timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,2.6500,2.9000,2.4000,2.4000,2.4000,17216,0.0000,1.0000
2018-08-13,2.4000,2.6500,2.4000,2.4000,2.4000,1427,0.0000,1.0000
2018-08-10,2.5500,2.6000,2.5500,2.5500,2.5500,2257,0.0000,1.0000
2018-08-09,2.5000,2.5000,2.5000,2.5000,2.5000,80,0.0000,1.0000
2018-08-08,2.5000,2.5000,2.5000,2.5000,2.5000,500,0.0000,1.0000
2018-08-07,2.4000,2.6000,2.2000,2.5000,2.5000,9318,0.0000,1.0000
2018-08-06,2.6500,2.6500,2.6500,2.6500,2.6500,106,0.0000,1.0000
2018-08-03,2.6500,2.6500,2.6500,2.6500,2.6500,104,0.0000,1.0000
2018-08-02,2.3550,2.6500,2.3550,2.6500,2.6500,940,0.0000,1.0000
2018-08-01,2.6000,2.6000,2.6000,2.6000,2.6000,146,0.0000,1.0000
2018-07-31,2.4500,2.6000,2.3165,2.6000,2.6000,1802,0.0000,1.0000
2018-07-30,2.5500,2.5500,2.3500,2.4766,2.4766,1512,0.0000,1.0000
2018-07-27,2.6000,2.6000,2.5500,2.5500,2.5500,1362,0.0000,1.0000
2018-07-26,2.3500,2.4050,2.3500,2.4050,2.4050,2845,0.0000,1.0000
2018-07-25,2.4050,2.4050,2.4000,2.4000,2.4000,973,0.0000,1.0000
2018-07-24,2.6000,2.6000,2.5000,2.6000,2.6000,5653,0.0000,1.0000
2018-07-23,2.5000,2.6250,2.5000,2.5600,2.5600,6819,0.0000,1.0000
2018-07-20,2.6000,2.6000,2.5000,2.6000,2.6000,4961,0.0000,1.0000
2018-07-19,2.5500,2.5500,2.5500,2.5500,2.5500,249,0.0000,1.0000
2018-07-18,2.5500,2.7000,2.4500,2.6500,2.6500,8280,0.0000,1.0000
2018-07-17,2.3791,2.7000,2.3791,2.7000,2.7000,9874,0.0000,1.0000
2018-07-16,2.4403,2.4403,2.4252,2.4252,2.4252,686,0.0000,1.0000
2018-07-13,2.3998,2.3998,2.3500,2.3880,2.3880,1091,0.0000,1.0000
2018-07-12,2.4186,2.4186,2.4186,2.4186,2.4186,316,0.0000,1.0000
2018-07-11,2.5000,2.5000,2.4500,2.4500,2.4500,2103,0.0000,1.0000
2018-07-10,2.4000,2.4500,2.4000,2.4500,2.4500,5354,0.0000,1.0000
2018-07-09,2.6000,2.6000,2.3500,2.3500,2.3500,11352,0.0000,1.0000
2018-07-06,2.6000,2.6550,2.4500,2.4500,2.4500,6763,0.0000,1.0000
2018-07-05,2.5750,2.5750,2.5750,2.5750,2.5750,1234,0.0000,1.0000
2018-07-03,2.6500,2.6500,2.5500,2.5500,2.5500,1552,0.0000,1.0000
2018-07-02,2.7500,2.7500,2.4000,2.5500,2.5500,10041,0.0000,1.0000
2018-06-29,2.4000,2.7000,2.4000,2.7000,2.7000,5046,0.0000,1.0000
2018-06-28,2.5000,2.5000,2.5000,2.5000,2.5000,117,0.0000,1.0000
2018-06-27,2.6330,2.7000,2.5000,2.5000,2.5000,5414,0.0000,1.0000
2018-06-26,2.6250,2.6500,2.6000,2.6000,2.6000,10464,0.0000,1.0000
2018-06-25,2.6500,2.6500,2.5000,2.5000,2.5000,1472,0.0000,1.0000
2018-06-22,2.6000,2.6000,2.6000,2.6000,2.6000,1071,0.0000,1.0000
2018-06-21,2.5500,2.7000,2.4550,2.4550,2.4550,2163,0.0000,1.0000
2018-06-20,2.3500,2.5403,2.3500,2.4500,2.4500,2050,0.0000,1.0000
2018-06-19,2.5000,2.5500,2.4000,2.4000,2.4000,2041,0.0000,1.0000
2018-06-18,2.5000,2.7000,2.3000,2.5000,2.5000,4301,0.0000,1.0000
2018-06-15,2.7000,2.7500,2.5000,2.5000,2.5000,9256,0.0000,1.0000
2018-06-14,2.9500,2.9500,2.6500,2.7000,2.7000,3973,0.0000,1.0000
2018-06-13,2.6100,2.8750,2.5950,2.7500,2.7500,15115,0.0000,1.0000
2018-06-12,2.6683,2.7000,2.6000,2.6000,2.6000,6803,0.0000,1.0000
2018-06-11,2.7000,2.7000,2.6500,2.6500,2.6500,1959,0.0000,1.0000
2018-06-08,2.6500,2.7500,2.6500,2.6500,2.6500,3077,0.0000,1.0000
2018-06-07,2.7240,2.8500,2.7000,2.7500,2.7500,5491,0.0000,1.0000
2018-06-06,2.9444,2.9444,2.7000,2.7000,2.7000,3397,0.0000,1.0000
2018-06-05,2.7500,2.9500,2.7500,2.9000,2.9000,1976,0.0000,1.0000
2018-06-04,2.8250,2.9000,2.8250,2.9000,2.9000,1569,0.0000,1.0000
2018-06-01,2.8000,2.9500,2.7000,2.9000,2.9000,4733,0.0000,1.0000
2018-05-31,2.9118,2.9500,2.7500,2.9500,2.9500,2966,0.0000,1.0000
2018-05-30,2.8500,2.9500,2.8330,2.8494,2.8494,2236,0.0000,1.0000
2018-05-29,2.7000,2.7000,2.6747,2.7000,2.7000,1543,0.0000,1.0000
2018-05-25,2.6950,2.6950,2.6950,2.6950,2.6950,1242,0.0000,1.0000
2018-05-24,2.7500,2.7500,2.6500,2.6500,2.6500,2166,0.0000,1.0000
2018-05-23,2.8500,2.8500,2.7500,2.7500,2.7500,2271,0.0000,1.0000
