timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,3.1800,3.2800,3.1500,3.2200,3.2200,164448,0.0000,1.0000
2018-08-13,3.1400,3.2000,3.1000,3.1800,3.1800,134385,0.0000,1.0000
2018-08-10,3.2400,3.2500,3.1300,3.1400,3.1400,123898,0.0000,1.0000
2018-08-09,3.2100,3.3160,3.2100,3.2600,3.2600,184663,0.0000,1.0000
2018-08-08,3.2400,3.2400,3.1300,3.2000,3.2000,157984,0.0000,1.0000
2018-08-07,3.2600,3.2600,3.1800,3.2400,3.2400,89836,0.0000,1.0000
2018-08-06,3.2100,3.2900,3.1400,3.2400,3.2400,95381,0.0000,1.0000
2018-08-03,3.1600,3.2400,3.1200,3.2100,3.2100,128393,0.0000,1.0000
2018-08-02,3.1700,3.2200,3.1000,3.1700,3.1700,85016,0.0000,1.0000
2018-08-01,3.2500,3.2500,3.0800,3.1700,3.1700,135625,0.0000,1.0000
2018-07-31,3.1800,3.3200,3.0900,3.2700,3.2700,132918,0.0000,1.0000
2018-07-30,3.1400,3.2900,3.1400,3.1700,3.1700,146377,0.0000,1.0000
2018-07-27,3.3300,3.4000,3.1400,3.1500,3.1500,204163,0.0000,1.0000
2018-07-26,3.1200,3.4000,3.1000,3.3300,3.3300,246743,0.0000,1.0000
2018-07-25,3.1000,3.1502,2.9500,3.0400,3.0400,381493,0.0000,1.0000
2018-07-24,3.2100,3.2300,3.1000,3.1100,3.1100,290904,0.0000,1.0000
2018-07-23,3.2000,3.2500,3.0800,3.1800,3.1800,280114,0.0000,1.0000
2018-07-20,3.2900,3.3000,3.1600,3.2300,3.2300,391782,0.0000,1.0000
2018-07-19,3.2500,3.3500,3.1200,3.2800,3.2800,247810,0.0000,1.0000
2018-07-18,3.4300,3.4900,3.2200,3.2500,3.2500,364953,0.0000,1.0000
2018-07-17,3.4400,3.5400,3.2900,3.4100,3.4100,480318,0.0000,1.0000
2018-07-16,3.4300,3.4300,3.2600,3.2700,3.2700,239614,0.0000,1.0000
2018-07-13,3.4900,3.5200,3.4100,3.4200,3.4200,118256,0.0000,1.0000
2018-07-12,3.4500,3.5080,3.3684,3.4900,3.4900,147732,0.0000,1.0000
2018-07-11,3.4400,3.5000,3.3300,3.4400,3.4400,160403,0.0000,1.0000
2018-07-10,3.6500,3.7703,3.3400,3.4700,3.4700,673276,0.0000,1.0000
2018-07-09,3.6300,3.6900,3.5100,3.6300,3.6300,266405,0.0000,1.0000
2018-07-06,3.6600,3.7100,3.5900,3.6200,3.6200,290596,0.0000,1.0000
2018-07-05,3.6900,3.7550,3.5000,3.6700,3.6700,302050,0.0000,1.0000
2018-07-03,3.3000,3.9800,3.2700,3.6800,3.6800,753925,0.0000,1.0000
2018-07-02,3.3300,3.4000,3.1800,3.3100,3.3100,495710,0.0000,1.0000
2018-06-29,3.6600,3.6900,3.3150,3.3500,3.3500,715772,0.0000,1.0000
2018-06-28,3.6000,3.7200,3.4201,3.6800,3.6800,547851,0.0000,1.0000
2018-06-27,3.8200,3.8650,3.5900,3.6100,3.6100,399865,0.0000,1.0000
2018-06-26,3.9200,3.9900,3.7200,3.7900,3.7900,459656,0.0000,1.0000
2018-06-25,3.9600,4.0400,3.6700,3.9200,3.9200,496701,0.0000,1.0000
2018-06-22,4.0700,4.2200,3.9800,4.0000,4.0000,3551390,0.0000,1.0000
2018-06-21,4.1900,4.2000,3.9700,4.0600,4.0600,498026,0.0000,1.0000
2018-06-20,4.0600,4.1958,4.0538,4.1800,4.1800,456126,0.0000,1.0000
2018-06-19,4.0200,4.0900,3.9560,4.0500,4.0500,319096,0.0000,1.0000
2018-06-18,3.9900,4.0400,3.8450,4.0200,4.0200,359886,0.0000,1.0000
2018-06-15,3.7900,4.0600,3.7800,4.0300,4.0300,727744,0.0000,1.0000
2018-06-14,3.6400,3.8400,3.6000,3.8200,3.8200,257470,0.0000,1.0000
2018-06-13,3.7500,3.7500,3.5400,3.6300,3.6300,360325,0.0000,1.0000
2018-06-12,3.9800,4.2400,3.7000,3.7200,3.7200,922444,0.0000,1.0000
2018-06-11,3.6400,4.0100,3.5901,3.9800,3.9800,889159,0.0000,1.0000
2018-06-08,3.5200,3.6700,3.3900,3.6400,3.6400,560726,0.0000,1.0000
2018-06-07,3.3400,3.6500,3.2500,3.5500,3.5500,916260,0.0100,1.0000
2018-06-06,3.2800,3.7258,3.2800,3.3550,3.3456,1291908,0.0000,1.0000
2018-06-05,2.8400,3.2500,2.8300,3.2500,3.2409,1165177,0.0000,1.0000
2018-06-04,2.6400,2.8400,2.6100,2.8300,2.8221,512115,0.0000,1.0000
2018-06-01,2.6700,2.7500,2.6200,2.6200,2.6126,603936,0.0000,1.0000
2018-05-31,2.8500,2.8700,2.6300,2.6400,2.6326,952879,0.0000,1.0000
2018-05-30,2.9600,3.0150,2.7900,2.8300,2.8221,811990,0.0000,1.0000
2018-05-29,2.9200,2.9800,2.8700,2.9700,2.9617,269796,0.0000,1.0000
2018-05-25,2.9300,2.9800,2.8700,2.9200,2.9118,399828,0.0000,1.0000
2018-05-24,2.9700,3.0800,2.8800,2.9400,2.9317,497470,0.0000,1.0000
2018-05-23,2.9100,2.9900,2.8600,2.9800,2.9716,401084,0.0000,1.0000
