timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,10.8900,11.4200,10.6500,11.0200,11.0200,45042,0.0000,1.0000
2018-08-13,10.8200,11.1865,10.4401,10.8500,10.8500,54737,0.0000,1.0000
2018-08-10,10.7000,11.3270,10.2500,10.7900,10.7900,28680,0.0000,1.0000
2018-08-09,11.6900,12.1100,10.6100,10.6900,10.6900,119570,0.0000,1.0000
2018-08-08,9.5400,12.0700,9.5400,11.7000,11.7000,620920,0.0000,1.0000
2018-08-07,10.1300,10.1300,9.4500,9.5600,9.5600,132121,0.0000,1.0000
2018-08-06,10.3200,12.3800,10.0100,10.1800,10.1800,46879,0.0000,1.0000
2018-08-03,11.0000,11.3700,10.1400,10.3000,10.3000,40920,0.0000,1.0000
2018-08-02,11.1500,11.4800,10.8400,10.9500,10.9500,93855,0.0000,1.0000
2018-08-01,10.7100,10.8200,10.0400,10.4900,10.4900,161399,0.0000,1.0000
2018-07-31,10.5100,10.9100,10.3000,10.7100,10.7100,35368,0.0000,1.0000
2018-07-30,10.0200,10.8500,9.8200,10.4600,10.4600,69978,0.0000,1.0000
2018-07-27,10.5900,10.5900,9.8372,10.0200,10.0200,58695,0.0000,1.0000
2018-07-26,10.6000,10.7800,10.3502,10.5000,10.5000,19791,0.0000,1.0000
2018-07-25,10.7900,10.9100,10.4800,10.5800,10.5800,44923,0.0000,1.0000
2018-07-24,11.0600,11.3072,10.6200,10.7800,10.7800,64237,0.0000,1.0000
2018-07-23,11.3900,11.6700,10.9200,11.0300,11.0300,42436,0.0000,1.0000
2018-07-20,11.0800,11.6500,11.0100,11.3900,11.3900,107298,0.0000,1.0000
2018-07-19,10.8900,11.6200,10.6800,11.1300,11.1300,32517,0.0000,1.0000
2018-07-18,11.2600,11.2600,10.8800,10.9500,10.9500,47661,0.0000,1.0000
2018-07-17,11.1800,12.3450,10.7855,11.2800,11.2800,61382,0.0000,1.0000
2018-07-16,11.3700,11.3800,11.0901,11.2000,11.2000,59509,0.0000,1.0000
2018-07-13,11.6300,11.7100,11.2200,11.3800,11.3800,43425,0.0000,1.0000
2018-07-12,11.2900,12.0000,11.0700,11.6700,11.6700,69936,0.0000,1.0000
2018-07-11,11.8400,12.1700,11.0100,11.2300,11.2300,68178,0.0000,1.0000
2018-07-10,12.4000,12.5100,11.7100,11.9600,11.9600,72310,0.0000,1.0000
2018-07-09,13.2000,13.4200,12.3400,12.4100,12.4100,94419,0.0000,1.0000
2018-07-06,13.2600,13.5500,13.0200,13.1800,13.1800,112463,0.0000,1.0000
2018-07-05,13.5500,13.5500,12.9800,13.2200,13.2200,131775,0.0000,1.0000
2018-07-03,13.5000,13.9800,13.2550,13.5000,13.5000,57731,0.0000,1.0000
2018-07-02,12.9300,13.5850,12.9300,13.4800,13.4800,471873,0.0000,1.0000
2018-06-29,13.0900,13.1300,12.7400,13.0300,13.0300,95726,0.0000,1.0000
2018-06-28,13.1300,13.6000,12.8700,12.9900,12.9900,108749,0.0000,1.0000
2018-06-27,12.6500,13.7300,12.6500,13.1700,13.1700,70896,0.0000,1.0000
2018-06-26,13.6000,14.0000,13.2700,13.3400,13.3400,296673,0.0000,1.0000
2018-06-25,13.2900,13.8800,12.7200,13.5000,13.5000,152437,0.0000,1.0000
2018-06-22,13.0700,13.7700,12.8500,13.3800,13.3800,896535,0.0000,1.0000
2018-06-21,13.3500,13.4526,12.7400,13.0000,13.0000,146572,0.0000,1.0000
2018-06-20,13.5700,13.6900,13.1800,13.3000,13.3000,78085,0.0000,1.0000
2018-06-19,13.2700,13.5100,13.2000,13.4300,13.4300,67079,0.0000,1.0000
2018-06-18,13.4900,13.8500,13.2450,13.4200,13.4200,113305,0.0000,1.0000
2018-06-15,13.3400,13.6800,13.1700,13.5700,13.5700,141234,0.0000,1.0000
2018-06-14,13.5000,13.7400,12.5100,13.5300,13.5300,65966,0.0000,1.0000
2018-06-13,13.6300,13.9300,13.2700,13.5000,13.5000,147930,0.0000,1.0000
2018-06-12,13.5900,13.9200,13.3100,13.5500,13.5500,171372,0.0000,1.0000
2018-06-11,13.5000,14.1000,13.3700,13.5000,13.5000,87656,0.0000,1.0000
2018-06-08,13.4600,14.4200,13.3000,13.5200,13.5200,125060,0.0000,1.0000
2018-06-07,14.5600,14.8100,12.9400,13.5000,13.5000,229040,0.0000,1.0000
2018-06-06,14.7000,14.8500,14.0500,14.5900,14.5900,63307,0.0000,1.0000
2018-06-05,14.8300,14.9000,14.5628,14.7000,14.7000,74934,0.0000,1.0000
2018-06-04,15.0000,15.1000,14.6400,14.9200,14.9200,72662,0.0000,1.0000
2018-06-01,14.4600,15.0000,14.2938,14.9200,14.9200,52124,0.0000,1.0000
