timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,131.3600,131.5350,130.0000,130.6800,130.6800,36420,0.0000,1.0000
2018-08-13,129.7800,131.4600,129.7800,130.0600,130.0600,25046,0.0000,1.0000
2018-08-10,128.6000,131.0800,128.4510,129.8000,129.8000,10991,0.0000,1.0000
2018-08-09,129.0000,130.0000,126.8100,129.3400,129.3400,14597,0.0000,1.0000
2018-08-08,128.5700,130.0000,127.5200,129.0100,129.0100,5887,0.0000,1.0000
2018-08-07,129.8200,131.8800,127.2800,128.7000,128.7000,19717,0.0000,1.0000
2018-08-06,130.4300,130.8292,128.5000,129.6800,129.6800,11355,0.0000,1.0000
2018-08-03,129.5000,132.0449,128.2265,130.1100,130.1100,19937,0.0000,1.0000
2018-08-02,129.2100,131.4800,129.2100,129.6700,129.6700,21370,0.0000,1.0000
2018-08-01,129.2700,131.1600,128.5700,129.7000,129.7000,40573,0.0000,1.0000
2018-07-31,127.8500,130.2000,125.3346,128.9900,128.9900,35687,0.0000,1.0000
2018-07-30,127.6600,131.6400,127.0150,127.9800,127.9800,32065,0.0000,1.0000
2018-07-27,129.1800,130.6000,127.0100,127.6700,127.6700,39417,0.0000,1.0000
2018-07-26,125.5900,129.6450,125.5900,129.1500,129.1500,25653,0.0000,1.0000
2018-07-25,125.0800,125.7700,122.5925,125.3600,125.3600,45999,0.0000,1.0000
2018-07-24,124.0000,126.8700,124.0000,125.4900,125.4900,24339,0.0000,1.0000
2018-07-23,124.6500,125.4000,124.4400,125.0600,125.0600,22911,0.0000,1.0000
2018-07-20,123.9850,125.6649,123.1200,124.6700,124.6700,11286,0.0000,1.0000
2018-07-19,125.2200,125.2700,123.8100,124.3600,124.3600,32749,0.0000,1.0000
2018-07-18,124.0800,126.1389,123.9800,125.3200,125.3200,28535,0.0000,1.0000
2018-07-17,124.0000,124.9050,122.9900,124.1900,124.1900,42524,0.0000,1.0000
2018-07-16,124.5500,125.8300,122.8700,124.2500,124.2500,29374,0.0000,1.0000
2018-07-13,123.3000,124.6800,122.7250,123.6100,123.6100,58494,0.0000,1.0000
2018-07-12,124.3900,125.1000,122.6750,123.1000,123.1000,47185,0.0000,1.0000
2018-07-11,123.8000,125.4000,123.1200,123.9100,123.9100,84868,0.0000,1.0000
2018-07-10,123.1200,124.5600,121.7300,124.5200,124.5200,48611,0.0000,1.0000
2018-07-09,122.2000,124.6100,121.4300,124.0400,124.0400,37232,0.0000,1.0000
2018-07-06,119.8400,122.4700,119.8400,121.8200,121.8200,42036,0.0000,1.0000
2018-07-05,120.4200,121.3300,119.2300,119.7900,119.7900,92080,0.0000,1.0000
2018-07-03,120.1400,121.2500,119.2400,119.9200,119.9200,33771,0.0000,1.0000
2018-07-02,119.0300,120.0200,118.2895,119.7400,119.7400,73132,0.0000,1.0000
2018-06-29,118.6400,121.1850,118.0500,119.5900,119.5900,61423,0.0000,1.0000
2018-06-28,117.1200,119.1000,116.6100,118.2300,118.2300,28965,0.0000,1.0000
2018-06-27,120.1500,120.1500,117.1500,117.2500,117.2500,40036,0.0000,1.0000
2018-06-26,120.2600,120.4900,119.5500,119.8800,119.8800,38145,0.0000,1.0000
2018-06-25,121.4000,121.9400,119.5100,120.0800,120.0800,40871,0.0000,1.0000
2018-06-22,120.9800,122.2400,120.3900,121.7800,121.7800,81040,0.0000,1.0000
2018-06-21,121.6200,121.8000,119.9400,120.5200,120.5200,24639,0.0000,1.0000
2018-06-20,122.3600,122.7600,121.2400,121.6000,121.6000,40732,0.0000,1.0000
2018-06-19,120.6900,122.2100,120.5050,121.9600,121.9600,39409,0.0000,1.0000
2018-06-18,120.2000,121.6200,120.0000,121.3700,121.3700,33862,0.0000,1.0000
2018-06-15,119.2500,120.9900,118.5250,120.8300,120.8300,84286,0.0000,1.0000
2018-06-14,119.8900,119.9700,118.8100,119.6200,119.6200,32301,0.0000,1.0000
2018-06-13,119.2600,120.5699,118.5800,119.6000,119.6000,59925,0.0000,1.0000
2018-06-12,120.6900,121.3900,119.0100,119.2800,119.2800,29658,0.0000,1.0000
2018-06-11,121.7300,121.7300,119.7950,121.2300,121.2300,24305,0.0000,1.0000
2018-06-08,121.8400,122.3500,121.1325,121.6800,121.6800,23914,0.0000,1.0000
2018-06-07,120.4200,121.9900,119.7500,121.8200,121.8200,62808,0.0000,1.0000
2018-06-06,119.2900,121.1300,118.7000,120.2500,120.2500,49865,0.0000,1.0000
2018-06-05,120.6100,121.5500,118.8000,119.3000,119.3000,43449,0.0000,1.0000
2018-06-04,120.0900,121.4800,119.3810,120.6000,120.6000,45562,0.0000,1.0000
2018-06-01,119.7800,121.9700,119.1600,120.3000,120.3000,63479,0.0000,1.0000
2018-05-31,119.1500,119.9550,118.1100,119.0000,119.0000,137178,0.8200,1.0000
2018-05-30,117.9100,120.2100,117.9100,119.7500,118.9305,78735,0.0000,1.0000
2018-05-29,118.8100,118.9000,116.6100,117.7600,116.9541,46974,0.0000,1.0000
2018-05-25,120.3100,121.9077,119.2900,119.5100,118.6921,33015,0.0000,1.0000
2018-05-24,120.4100,121.4200,119.8410,120.5200,119.6952,40278,0.0000,1.0000
2018-05-23,121.0700,121.9400,119.6500,120.4000,119.5760,38868,0.0000,1.0000
2018-05-22,122.0900,122.4700,121.1000,121.3500,120.5195,49100,0.0000,1.0000
2018-05-21,121.8300,122.4200,120.7600,122.0000,121.1651,22000,0.0000,1.0000
2018-05-18,120.6400,121.8000,119.6700,121.3700,120.5394,52514,0.0000,1.0000
2018-05-17,120.0300,121.1000,119.6000,120.7000,119.8740,38008,0.0000,1.0000
2018-05-16,119.1200,120.9900,119.1200,120.2800,119.4569,45607,0.0000,1.0000
2018-05-15,118.8400,120.0450,116.6980,119.0000,118.1856,33414,0.0000,1.0000
2018-05-14,119.9500,120.2398,118.6200,119.2500,118.4339,71320,0.0000,1.0000
2018-05-11,119.9900,120.7650,119.2000,119.6200,118.8014,32297,0.0000,1.0000
2018-05-10,119.7900,120.6000,119.1900,119.4900,118.6723,24461,0.0000,1.0000
2018-05-09,118.8400,120.3900,118.8000,119.6200,118.8014,33714,0.0000,1.0000
2018-05-08,118.9500,120.0700,117.7400,118.7300,117.9175,42081,0.0000,1.0000
