timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,27.6800,27.9700,27.6414,27.7500,27.7500,30130,0.0000,1.0000
2018-08-13,27.7500,27.9600,27.5800,27.6400,27.6400,26577,0.0000,1.0000
2018-08-10,27.5500,27.8800,27.4600,27.8100,27.8100,26014,0.0000,1.0000
2018-08-09,27.8100,27.9400,27.6150,27.7200,27.7200,29890,0.0000,1.0000
2018-08-08,27.2900,27.9000,27.1300,27.8900,27.8900,59414,0.1600,1.0000
2018-08-07,27.4700,27.7050,27.3500,27.4200,27.2636,25969,0.0000,1.0000
2018-08-06,27.6100,27.6800,27.4100,27.4600,27.3034,26225,0.0000,1.0000
2018-08-03,27.8200,28.3500,27.6100,27.6600,27.5022,36562,0.0000,1.0000
2018-08-02,27.7100,28.1500,27.7100,28.1300,27.9695,27664,0.0000,1.0000
2018-08-01,27.7900,27.9600,27.1953,27.8800,27.7210,50056,0.0000,1.0000
2018-07-31,27.8000,27.8100,27.2000,27.7800,27.6215,54272,0.0000,1.0000
2018-07-30,27.6300,27.9300,27.5700,27.8000,27.6414,53495,0.0000,1.0000
2018-07-27,28.1800,28.7934,27.5100,27.7800,27.6215,66807,0.0000,1.0000
2018-07-26,28.2700,28.6800,28.2500,28.5400,28.3772,32463,0.0000,1.0000
2018-07-25,28.9300,28.9300,28.2700,28.2700,28.1087,39839,0.0000,1.0000
2018-07-24,28.8000,29.0100,28.6400,28.9600,28.7948,59185,0.0000,1.0000
2018-07-23,28.5700,28.9400,28.3600,28.7100,28.5462,89971,0.0000,1.0000
2018-07-20,28.3900,28.7600,28.3600,28.5900,28.4269,47967,0.0000,1.0000
2018-07-19,28.4000,28.5900,28.0000,28.4100,28.2479,104790,0.0000,1.0000
2018-07-18,28.4000,28.5000,28.2300,28.4700,28.3076,81644,0.0000,1.0000
2018-07-17,28.6000,28.7900,28.4100,28.4300,28.2678,58289,0.0000,1.0000
2018-07-16,28.5000,28.8404,28.4700,28.6100,28.4468,58411,0.0000,1.0000
2018-07-13,28.8500,28.9500,28.5800,28.7400,28.5761,39604,0.0000,1.0000
2018-07-12,29.4000,29.4000,28.7200,28.9300,28.7650,44747,0.0000,1.0000
2018-07-11,29.2000,29.4200,29.2000,29.3100,29.1428,60854,0.0000,1.0000
2018-07-10,29.7200,29.7400,29.0100,29.2800,29.1130,65375,0.0000,1.0000
2018-07-09,29.7800,30.1400,29.7800,30.0100,29.8388,50127,0.0000,1.0000
2018-07-06,29.5800,29.8936,29.5800,29.7000,29.5306,22283,0.0000,1.0000
2018-07-05,29.5000,29.8100,29.4000,29.6700,29.5008,33433,0.0000,1.0000
2018-07-03,29.0600,29.5200,28.9700,29.5000,29.3317,25818,0.0000,1.0000
2018-07-02,28.5100,29.0200,28.5100,29.0000,28.8346,24824,0.0000,1.0000
2018-06-29,28.9400,29.2100,28.5200,28.6000,28.4369,48925,0.0000,1.0000
2018-06-28,29.5600,29.7100,28.8200,28.9200,28.7550,56649,0.0000,1.0000
2018-06-27,29.9900,30.0400,29.6000,29.6000,29.4312,172452,0.0000,1.0000
2018-06-26,29.8900,30.1088,29.5100,29.9800,29.8090,57856,0.0000,1.0000
2018-06-25,30.1300,30.1700,29.5700,29.9600,29.7891,45203,0.0000,1.0000
2018-06-22,30.1800,30.4000,29.9850,30.1900,30.0178,154764,0.0000,1.0000
2018-06-21,30.0100,30.2400,29.6850,30.0700,29.8985,65834,0.0000,1.0000
2018-06-20,29.6300,30.0000,28.8750,30.0000,29.8289,66990,0.0000,1.0000
2018-06-19,29.0600,29.7500,28.2656,29.6200,29.4510,147584,0.0000,1.0000
2018-06-18,28.9300,29.4500,28.8900,29.3700,29.2025,70529,0.0000,1.0000
2018-06-15,28.8300,29.2200,28.7700,29.1400,28.9738,63676,0.0000,1.0000
2018-06-14,29.0100,29.0500,28.6800,29.0000,28.8346,45772,0.0000,1.0000
