timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,3.7964,3.7964,3.6000,3.6900,3.6900,11737,0.0000,1.0000
2018-08-13,3.8000,3.8071,3.7398,3.7538,3.7538,1414,0.0000,1.0000
2018-08-10,3.8900,3.9000,3.5350,3.7500,3.7500,4392,0.0000,1.0000
2018-08-09,3.5070,3.8600,3.4600,3.4852,3.4852,27815,0.0000,1.0000
2018-08-08,3.5500,3.6931,3.4300,3.5500,3.5500,21747,0.0000,1.0000
2018-08-07,3.7300,3.9000,3.5100,3.5600,3.5600,27802,0.0000,1.0000
2018-08-06,3.7732,3.8900,3.7500,3.8900,3.8900,5531,0.0000,1.0000
2018-08-03,3.8100,3.8900,3.5950,3.6300,3.6300,25935,0.0000,1.0000
2018-08-02,3.8500,3.9754,3.6000,3.6300,3.6300,37247,0.0000,1.0000
2018-08-01,3.9210,3.9521,3.8500,3.8600,3.8600,72443,0.0000,1.0000
2018-07-31,4.0100,4.0750,3.9164,3.9300,3.9300,65277,0.0000,1.0000
2018-07-30,4.0600,4.1490,4.0200,4.0500,4.0500,14792,0.0000,1.0000
2018-07-27,4.1500,4.1500,4.0200,4.0600,4.0600,48749,0.0000,1.0000
2018-07-26,4.1800,4.2000,4.0500,4.0972,4.0972,37507,0.0000,1.0000
2018-07-25,4.2300,4.2550,4.1600,4.2000,4.2000,85586,0.0000,1.0000
2018-07-24,4.1800,4.2500,4.1700,4.1801,4.1801,67071,0.0000,1.0000
2018-07-23,4.2400,4.3000,4.1700,4.1800,4.1800,80082,0.0000,1.0000
2018-07-20,4.0400,4.2400,4.0200,4.1700,4.1700,42176,0.0000,1.0000
2018-07-19,4.0200,4.2435,4.0200,4.0900,4.0900,84950,0.0000,1.0000
2018-07-18,4.1900,4.2500,4.0800,4.0800,4.0800,190897,0.0000,1.0000
2018-07-17,4.2100,4.3100,4.1500,4.1600,4.1600,89240,0.0000,1.0000
