timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.8700,1.9000,1.8500,1.8600,1.8600,103564,0.0000,1.0000
2018-08-13,2.2500,2.2590,1.8300,1.8300,1.8300,443622,0.0000,1.0000
2018-08-10,2.2300,2.3217,2.2220,2.2600,2.2600,65762,0.0000,1.0000
2018-08-09,2.2200,2.3400,2.1800,2.2700,2.2700,70174,0.0000,1.0000
2018-08-08,2.3800,2.4272,2.1900,2.2300,2.2300,145713,0.0000,1.0000
2018-08-07,2.2100,2.4700,2.1700,2.4000,2.4000,302562,0.0000,1.0000
2018-08-06,2.2200,2.2600,2.0800,2.1700,2.1700,139933,0.0000,1.0000
2018-08-03,2.4100,2.4352,2.2200,2.2400,2.2400,80267,0.0000,1.0000
2018-08-02,2.4300,2.4800,2.3800,2.4200,2.4200,101855,0.0000,1.0000
2018-08-01,2.5000,2.5200,2.3200,2.4100,2.4100,109237,0.0000,1.0000
2018-07-31,2.4400,2.5500,2.3500,2.5200,2.5200,96870,0.0000,1.0000
2018-07-30,2.5200,2.5200,2.3500,2.4400,2.4400,76385,0.0000,1.0000
2018-07-27,2.8600,2.9000,2.5000,2.5300,2.5300,207586,0.0000,1.0000
2018-07-26,2.7400,2.8800,2.6200,2.8500,2.8500,173958,0.0000,1.0000
2018-07-25,2.8100,2.9060,2.7100,2.7200,2.7200,259287,0.0000,1.0000
2018-07-24,3.0000,3.0450,2.7700,2.8400,2.8400,167432,0.0000,1.0000
2018-07-23,3.0100,3.1200,2.8200,3.0000,3.0000,117559,0.0000,1.0000
2018-07-20,3.2000,3.2900,2.9800,3.0300,3.0300,207910,0.0000,1.0000
2018-07-19,3.0000,3.2400,3.0000,3.1700,3.1700,172445,0.0000,1.0000
2018-07-18,3.0900,3.0900,2.9400,2.9800,2.9800,115311,0.0000,1.0000
2018-07-17,3.3000,3.3000,3.0900,3.1000,3.1000,88389,0.0000,1.0000
2018-07-16,3.4000,3.4072,3.2000,3.3000,3.3000,143375,0.0000,1.0000
2018-07-13,3.4800,3.4900,3.3600,3.4000,3.4000,70936,0.0000,1.0000
2018-07-12,3.5800,3.5800,3.4100,3.4800,3.4800,80619,0.0000,1.0000
2018-07-11,3.5800,3.5900,3.4300,3.5700,3.5700,69651,0.0000,1.0000
2018-07-10,3.5800,3.6400,3.4500,3.5800,3.5800,91387,0.0000,1.0000
2018-07-09,3.5500,3.6500,3.4300,3.6000,3.6000,212924,0.0000,1.0000
2018-07-06,3.8500,3.8500,3.5500,3.6300,3.6300,160501,0.0000,1.0000
2018-07-05,3.8500,4.0890,3.7400,3.8200,3.8200,198272,0.0000,1.0000
2018-07-03,3.9900,3.9900,3.7110,3.8500,3.8500,128991,0.0000,1.0000
2018-07-02,3.7000,4.1900,3.4500,3.9100,3.9100,597608,0.0000,1.0000
2018-06-29,4.1500,4.1700,3.5500,3.6300,3.6300,429934,0.0000,1.0000
2018-06-28,5.0400,7.3899,3.9500,4.0000,4.0000,1442246,0.0000,1.0000
2018-06-27,18.2700,18.5300,17.1100,18.1900,18.1900,33286,0.0000,1.0000
2018-06-26,16.4200,18.2800,16.4200,18.2300,18.2300,22579,0.0000,1.0000
2018-06-25,18.7400,18.7400,17.6500,18.1400,18.1400,37729,0.0000,1.0000
2018-06-22,16.6200,18.9900,15.7241,18.9400,18.9400,118576,0.0000,1.0000
2018-06-21,16.3450,16.7900,16.2750,16.5300,16.5300,20697,0.0000,1.0000
