timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,6.2000,6.2660,6.1500,6.1750,6.1750,223531,0.0000,1.0000
2018-08-13,6.2500,6.3000,6.2000,6.2500,6.2500,196428,0.0000,1.0000
2018-08-10,6.3500,6.4000,6.2600,6.3500,6.3500,161744,0.0000,1.0000
2018-08-09,6.4000,6.4272,6.3500,6.3500,6.3500,106774,0.0000,1.0000
2018-08-08,6.4500,6.4500,6.3000,6.3750,6.3750,169904,0.0000,1.0000
2018-08-07,6.3500,6.4000,6.3500,6.4000,6.4000,76083,0.0000,1.0000
2018-08-06,6.4500,6.4500,6.3500,6.3500,6.3500,138832,0.0000,1.0000
2018-08-03,6.4000,6.4500,6.4000,6.4250,6.4250,59566,0.0000,1.0000
2018-08-02,6.5000,6.5000,6.4000,6.4500,6.4500,60191,0.0000,1.0000
2018-08-01,6.4500,6.5000,6.4000,6.4500,6.4500,222944,0.0000,1.0000
2018-07-31,6.4500,6.4500,6.3900,6.4500,6.4500,153977,0.0000,1.0000
2018-07-30,6.3500,6.4000,6.3500,6.4000,6.4000,51015,0.0000,1.0000
2018-07-27,6.4000,6.4000,6.3500,6.4000,6.4000,124777,0.0000,1.0000
2018-07-26,6.3690,6.4000,6.3500,6.4000,6.4000,65636,0.0000,1.0000
2018-07-25,6.4000,6.4000,6.3500,6.4000,6.4000,59721,0.0000,1.0000
2018-07-24,6.4000,6.4000,6.3500,6.3750,6.3750,29132,0.0000,1.0000
2018-07-23,6.4000,6.4000,6.3600,6.4000,6.4000,40135,0.0000,1.0000
2018-07-20,6.3582,6.4000,6.3500,6.3775,6.3775,18416,0.0000,1.0000
2018-07-19,6.3500,6.4000,6.3500,6.3750,6.3750,36777,0.0000,1.0000
2018-07-18,6.3500,6.4000,6.3500,6.4000,6.4000,63209,0.0000,1.0000
2018-07-17,6.4000,6.4000,6.3500,6.3750,6.3750,14474,0.0000,1.0000
2018-07-16,6.3500,6.4000,6.3500,6.4000,6.4000,27948,0.0000,1.0000
2018-07-13,6.4500,6.4500,6.3600,6.4000,6.4000,55740,0.0000,1.0000
2018-07-12,6.4500,6.4500,6.3550,6.3750,6.3750,108839,0.0000,1.0000
2018-07-11,6.4500,6.4500,6.4000,6.4250,6.4250,76994,0.0000,1.0000
2018-07-10,6.4000,6.4500,6.3550,6.4500,6.4500,70017,0.0000,1.0000
2018-07-09,6.3500,6.4000,6.3500,6.3750,6.3750,74660,0.0000,1.0000
2018-07-06,6.3500,6.4000,6.3500,6.4000,6.4000,49116,0.0000,1.0000
2018-07-05,6.4000,6.4000,6.3500,6.4000,6.4000,22596,0.0000,1.0000
2018-07-03,6.3500,6.4000,6.3450,6.3750,6.3750,114129,0.0000,1.0000
2018-07-02,6.3500,6.4000,6.3000,6.4000,6.4000,21329,0.0000,1.0000
2018-06-29,6.3500,6.4000,6.3000,6.3500,6.3500,113536,0.0000,1.0000
2018-06-28,6.3500,6.3500,6.2752,6.3500,6.3500,67362,0.1250,1.0000
2018-06-27,6.4000,6.4500,6.3500,6.4000,6.2764,106657,0.0000,1.0000
2018-06-26,6.3500,6.4250,6.3500,6.4000,6.2764,89793,0.0000,1.0000
2018-06-25,6.4000,6.4000,6.3500,6.3500,6.2274,45740,0.0000,1.0000
2018-06-22,6.4000,6.4300,6.3550,6.4000,6.2764,16869,0.0000,1.0000
2018-06-21,6.4000,6.4000,6.3596,6.4000,6.2764,58630,0.0000,1.0000
2018-06-20,6.3500,6.4500,6.3500,6.3750,6.2519,131784,0.0000,1.0000
2018-06-19,6.4000,6.4500,6.3550,6.4000,6.2764,119560,0.0000,1.0000
2018-06-18,6.4000,6.4000,6.3500,6.4000,6.2764,50286,0.0000,1.0000
2018-06-15,6.4000,6.4000,6.3500,6.3750,6.2519,74622,0.0000,1.0000
2018-06-14,6.4000,6.4450,6.3500,6.4000,6.2764,119718,0.0000,1.0000
2018-06-13,6.4000,6.4000,6.3500,6.4000,6.2764,73157,0.0000,1.0000
2018-06-12,6.3500,6.4000,6.3500,6.3750,6.2519,27646,0.0000,1.0000
2018-06-11,6.4000,6.4000,6.3500,6.4000,6.2764,42642,0.0000,1.0000
2018-06-08,6.3500,6.4000,6.3000,6.3750,6.2519,73778,0.0000,1.0000
2018-06-07,6.4000,6.4000,6.3000,6.3250,6.2029,59983,0.0000,1.0000
2018-06-06,6.4000,6.4500,6.3500,6.3500,6.2274,30880,0.0000,1.0000
2018-06-05,6.4000,6.4450,6.3500,6.3750,6.2519,51822,0.0000,1.0000
2018-06-04,6.4500,6.4500,6.3500,6.3750,6.2519,116655,0.0000,1.0000
2018-06-01,6.4000,6.4450,6.3650,6.3750,6.2519,18040,0.0000,1.0000
2018-05-31,6.3450,6.4000,6.3250,6.4000,6.2764,39694,0.0000,1.0000
2018-05-30,6.3500,6.3600,6.2500,6.3250,6.2029,65027,0.0000,1.0000
2018-05-29,6.2500,6.3500,6.2500,6.3000,6.1784,46736,0.0000,1.0000
2018-05-25,6.3000,6.3450,6.2500,6.3000,6.1784,47522,0.0000,1.0000
2018-05-24,6.3000,6.3500,6.2500,6.3500,6.2274,25823,0.0000,1.0000
2018-05-23,6.3000,6.3500,6.2500,6.3500,6.2274,84000,0.0000,1.0000
2018-05-22,6.3000,6.3000,6.2000,6.2250,6.1048,66055,0.0000,1.0000
2018-05-21,6.2000,6.3000,6.2000,6.2750,6.1539,44900,0.0000,1.0000
2018-05-18,6.2500,6.2750,6.2000,6.2500,6.1293,67807,0.0000,1.0000
2018-05-17,6.2000,6.2950,6.2000,6.2000,6.0803,181263,0.0000,1.0000
2018-05-16,6.3500,6.3500,6.2550,6.2750,6.1539,92632,0.0000,1.0000
2018-05-15,6.5000,6.5000,6.3000,6.4000,6.2764,133245,0.0000,1.0000
2018-05-14,6.4500,6.5000,6.4000,6.4500,6.3255,128322,0.0000,1.0000
2018-05-11,6.4500,6.4500,6.4000,6.4250,6.3010,54874,0.0000,1.0000
2018-05-10,6.4400,6.4500,6.4000,6.4500,6.3255,87896,0.0000,1.0000
2018-05-09,6.4500,6.4500,6.3550,6.4000,6.2764,58621,0.0000,1.0000
2018-05-08,6.4000,6.4500,6.3500,6.4000,6.2764,100748,0.0000,1.0000
2018-05-07,6.4500,6.4500,6.4000,6.4500,6.3255,41859,0.0000,1.0000
2018-05-04,6.4500,6.4500,6.4000,6.4250,6.3010,50894,0.0000,1.0000
2018-05-03,6.4500,6.4500,6.3550,6.4000,6.2764,89671,0.0000,1.0000
2018-05-02,6.4500,6.4500,6.4000,6.4000,6.2764,30198,0.0000,1.0000
2018-05-01,6.4000,6.4500,6.4000,6.4250,6.3010,82977,0.0000,1.0000
2018-04-30,6.4000,6.4500,6.3543,6.4000,6.2764,196437,0.0000,1.0000
2018-04-27,6.3000,6.4000,6.2500,6.4000,6.2764,132332,0.0000,1.0000
2018-04-26,6.2500,6.3000,6.1500,6.2750,6.1539,61444,0.0000,1.0000
2018-04-25,6.3000,6.3000,6.1500,6.2000,6.0803,116599,0.0000,1.0000
2018-04-24,6.3000,6.4000,6.2500,6.2750,6.1539,97025,0.0000,1.0000
2018-04-23,6.2500,6.3500,6.2500,6.3000,6.1784,67043,0.0000,1.0000
2018-04-20,6.2000,6.3000,6.1500,6.3000,6.1784,126037,0.0000,1.0000
2018-04-19,6.2000,6.2000,6.1500,6.1500,6.0313,64730,0.0000,1.0000
2018-04-18,6.1500,6.2000,6.1500,6.1750,6.0558,118831,0.0000,1.0000
2018-04-17,6.1500,6.2000,6.1500,6.2000,6.0803,83542,0.0000,1.0000
2018-04-16,6.2500,6.2500,6.1500,6.2000,6.0803,83576,0.0000,1.0000
2018-04-13,6.1500,6.2000,6.1500,6.1750,6.0558,34131,0.0000,1.0000
2018-04-12,6.2000,6.2000,6.1500,6.1750,6.0558,75348,0.0000,1.0000
2018-04-11,6.1500,6.2000,6.1500,6.1750,6.0558,39208,0.0000,1.0000
2018-04-10,6.2000,6.2000,6.1500,6.1750,6.0558,45789,0.0000,1.0000
2018-04-09,6.1500,6.2000,6.1500,6.1750,6.0558,42589,0.0000,1.0000
2018-04-06,6.1750,6.2000,6.1500,6.1750,6.0558,45969,0.0000,1.0000
2018-04-05,6.2000,6.2000,6.1500,6.2000,6.0803,46237,0.0000,1.0000
2018-04-04,6.2000,6.2100,6.1500,6.2000,6.0803,53057,0.0000,1.0000
2018-04-03,6.2500,6.2500,6.1550,6.2000,6.0803,26889,0.0000,1.0000
2018-04-02,6.1500,6.2500,6.1500,6.1750,6.0558,75993,0.0000,1.0000
2018-03-29,6.2500,6.2500,6.1500,6.1750,6.0558,71787,0.0000,1.0000
2018-03-28,6.2000,6.2500,6.1500,6.2500,6.1293,69356,0.1250,1.0000
2018-03-27,6.2500,6.2500,6.2000,6.2500,6.0092,102944,0.0000,1.0000
2018-03-26,6.3000,6.3000,6.2000,6.2500,6.0092,54041,0.0000,1.0000
2018-03-23,6.2000,6.2500,6.2000,6.2000,5.9611,29020,0.0000,1.0000
2018-03-22,6.3000,6.3299,6.2000,6.2000,5.9611,94395,0.0000,1.0000
2018-03-21,6.3000,6.3500,6.2500,6.3000,6.0572,60136,0.0000,1.0000
2018-03-20,6.3500,6.4000,6.2600,6.3000,6.0572,79748,0.0000,1.0000
2018-03-19,6.4000,6.4000,6.3500,6.3500,6.1053,49316,0.0000,1.0000
2018-03-16,6.2880,6.4000,6.2880,6.4000,6.1534,45407,0.0000,1.0000
2018-03-15,6.2500,6.3550,6.2500,6.3000,6.0572,99963,0.0000,1.0000
