timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,30.5500,30.5500,29.9000,30.1000,30.1000,3969,0.0000,1.0000
2018-08-13,30.3000,30.6000,30.1456,30.2500,30.2500,5069,0.0000,1.0000
2018-08-10,30.0000,30.3500,30.0000,30.2000,30.2000,2109,0.0000,1.0000
2018-08-09,29.8452,30.1000,29.6500,30.1000,30.1000,1600,0.0000,1.0000
2018-08-08,30.1000,30.1000,29.8500,29.8500,29.8500,2344,0.0000,1.0000
2018-08-07,30.8000,30.8000,29.3000,29.8000,29.8000,18743,0.0000,1.0000
2018-08-06,30.6500,30.7000,30.6500,30.7000,30.7000,2197,0.0000,1.0000
2018-08-03,31.7500,32.0000,30.7500,30.7500,30.7500,5350,0.0000,1.0000
2018-08-02,30.7500,31.6500,30.7500,31.6500,31.6500,6360,0.0000,1.0000
2018-08-01,31.4500,31.4500,30.6500,30.6500,30.6500,4625,0.0000,1.0000
2018-07-31,31.0500,31.6500,30.7550,31.4500,31.4500,6894,0.2300,1.0000
2018-07-30,31.1500,31.7500,31.1500,31.3000,31.0728,6501,0.0000,1.0000
2018-07-27,31.1000,31.1500,30.7500,31.0000,30.7749,5204,0.0000,1.0000
2018-07-26,31.7000,32.1500,30.6000,31.1500,30.9238,10047,0.0000,1.0000
2018-07-25,31.7500,31.7500,31.5000,31.5000,31.2713,3130,0.0000,1.0000
2018-07-24,31.5446,31.7500,31.5195,31.6500,31.4202,2743,0.0000,1.0000
2018-07-23,31.2000,31.7000,30.8500,31.7000,31.4699,6191,0.0000,1.0000
2018-07-20,31.3500,31.7500,31.3500,31.3500,31.1224,4274,0.0000,1.0000
2018-07-19,30.7500,31.4500,30.7000,31.2500,31.0231,3844,0.0000,1.0000
2018-07-18,30.9000,31.0000,30.4000,30.7500,30.5268,13113,0.0000,1.0000
2018-07-17,31.2500,31.2500,30.8000,30.9000,30.6757,3178,0.0000,1.0000
2018-07-16,31.2500,31.2500,31.2000,31.2500,31.0231,3020,0.0000,1.0000
2018-07-13,31.5000,31.5000,31.1250,31.2500,31.0231,3426,0.0000,1.0000
2018-07-12,31.2279,31.5000,31.1000,31.5000,31.2713,5215,0.0000,1.0000
2018-07-11,31.5500,31.5500,30.9500,30.9500,30.7253,3126,0.0000,1.0000
2018-07-10,32.0000,32.0000,31.5750,31.6500,31.4202,6236,0.0000,1.0000
2018-07-09,31.7000,32.0000,31.4500,32.0000,31.7677,6257,0.0000,1.0000
2018-07-06,31.3000,31.6000,31.2500,31.6000,31.3706,9217,0.0000,1.0000
2018-07-05,30.8000,31.4500,30.8000,31.3500,31.1224,7245,0.0000,1.0000
2018-07-03,31.3000,31.3036,29.8100,31.3000,31.0728,4908,0.0000,1.0000
2018-07-02,30.8000,31.4000,30.8000,31.2000,30.9735,6322,0.0000,1.0000
2018-06-29,31.2500,31.3750,30.4500,30.8500,30.6260,12188,0.0000,1.0000
2018-06-28,30.7520,31.2500,30.7520,31.2500,31.0231,3928,0.0000,1.0000
2018-06-27,31.3000,31.3000,30.9750,31.1000,30.8742,4686,0.0000,1.0000
2018-06-26,30.1250,31.2500,30.1250,31.1500,30.9238,6314,0.0000,1.0000
2018-06-25,31.2000,31.5000,30.9500,31.0500,30.8246,6878,0.0000,1.0000
2018-06-22,30.7000,31.4500,29.2500,31.4500,31.2217,56714,0.0000,1.0000
2018-06-21,30.7000,30.8000,29.8750,30.6000,30.3778,3135,0.0000,1.0000
2018-06-20,30.7000,30.9500,30.6000,30.8500,30.6260,7622,0.0000,1.0000
2018-06-19,30.8000,30.9500,30.6500,30.6500,30.4275,5372,0.0000,1.0000
2018-06-18,30.4500,31.5500,30.2250,30.7500,30.5268,5880,0.0000,1.0000
2018-06-15,30.5000,30.8500,30.4000,30.8500,30.6260,18234,0.0000,1.0000
2018-06-14,30.7500,31.0750,30.4000,30.7000,30.4771,4521,0.0000,1.0000
2018-06-13,30.7000,30.8000,30.6000,30.6500,30.4275,3736,0.0000,1.0000
2018-06-12,30.8000,31.1000,30.7500,30.8500,30.6260,5002,0.0000,1.0000
2018-06-11,31.0000,31.0000,30.6500,30.8500,30.6260,9569,0.0000,1.0000
2018-06-08,30.8500,31.3500,30.5500,31.0000,30.7749,12338,0.0000,1.0000
2018-06-07,30.9000,31.4000,30.4500,30.8500,30.6260,4386,0.0000,1.0000
2018-06-06,30.8500,31.0000,30.6750,30.8000,30.5764,9588,0.0000,1.0000
2018-06-05,30.7000,31.0000,30.6000,30.8000,30.5764,7543,0.0000,1.0000
2018-06-04,30.4500,31.0000,30.4500,30.7500,30.5268,8216,0.0000,1.0000
2018-06-01,30.6500,31.0000,30.2550,30.6000,30.3778,13166,0.0000,1.0000
2018-05-31,30.1000,30.6500,30.0450,30.2500,30.0304,12079,0.0000,1.0000
2018-05-30,29.7000,30.1000,29.6500,30.0000,29.7822,8214,0.0000,1.0000
2018-05-29,30.0500,30.1000,29.5000,29.8000,29.5836,10063,0.0000,1.0000
2018-05-25,30.1000,30.1000,29.8100,30.1000,29.8815,4399,0.0000,1.0000
2018-05-24,29.9500,30.1000,29.9500,30.0250,29.8070,4071,0.0000,1.0000
2018-05-23,30.1000,30.1500,29.5750,30.0500,29.8318,4454,0.0000,1.0000
2018-05-22,30.2500,30.2500,29.9000,29.9000,29.6829,8458,0.0000,1.0000
2018-05-21,29.7500,30.1500,29.7500,30.1000,29.8815,8075,0.0000,1.0000
2018-05-18,30.1000,30.1000,29.4000,29.8000,29.5836,9972,0.0000,1.0000
2018-05-17,29.7500,29.9500,28.5500,29.9000,29.6829,6817,0.0000,1.0000
2018-05-16,29.3000,29.6100,29.1500,29.6000,29.3851,14734,0.0000,1.0000
2018-05-15,28.3000,29.6000,28.2000,29.5500,29.3355,12023,0.0000,1.0000
2018-05-14,28.2000,28.3000,27.8000,28.1000,27.8960,5068,0.0000,1.0000
2018-05-11,28.0000,28.4000,27.9000,28.4000,28.1938,3079,0.0000,1.0000
2018-05-10,27.4750,27.8500,27.4500,27.4500,27.2507,2869,0.0000,1.0000
2018-05-09,27.3000,27.6500,27.3000,27.4000,27.2011,2396,0.0000,1.0000
2018-05-08,27.5000,27.6000,27.5000,27.5500,27.3500,2698,0.0000,1.0000
2018-05-07,27.6500,27.6500,27.3050,27.4500,27.2507,2129,0.0000,1.0000
2018-05-04,27.3000,27.4000,27.3000,27.4000,27.2011,7835,0.0000,1.0000
2018-05-03,27.7500,27.7500,27.2000,27.3000,27.1018,4838,0.0000,1.0000
2018-05-02,28.2500,28.2500,27.7500,28.2000,27.9953,4961,0.0000,1.0000
2018-05-01,27.5500,27.9500,27.5500,27.9500,27.7471,3251,0.0000,1.0000
2018-04-30,27.9500,28.1410,27.6500,27.6500,27.4493,8655,0.2300,1.0000
2018-04-27,29.3000,29.3000,28.6000,28.8000,28.3550,3790,0.0000,1.0000
2018-04-26,28.9000,29.1000,28.6500,28.9000,28.4535,8738,0.0000,1.0000
2018-04-25,29.0000,29.1000,28.6000,28.8000,28.3550,8332,0.0000,1.0000
2018-04-24,28.7987,29.0000,28.6750,28.8500,28.4043,3737,0.0000,1.0000
2018-04-23,28.7000,28.9500,28.7000,28.8000,28.3550,1800,0.0000,1.0000
2018-04-20,27.9000,28.9500,27.9000,28.8000,28.3550,4410,0.0000,1.0000
2018-04-19,27.9000,28.1500,27.8500,27.9500,27.5182,4287,0.0000,1.0000
2018-04-18,28.1000,28.2500,27.8000,27.8500,27.4197,5358,0.0000,1.0000
2018-04-17,28.3000,28.3000,28.0050,28.2500,27.8135,7597,0.0000,1.0000
2018-04-16,28.1500,28.5000,28.1500,28.2000,27.7643,7337,0.0000,1.0000
2018-04-13,27.9000,28.0500,27.4500,28.0000,27.5674,5888,0.0000,1.0000
2018-04-12,28.1500,28.1500,27.6000,27.6500,27.2228,3222,0.0000,1.0000
2018-04-11,27.4500,28.7450,27.4500,28.0000,27.5674,6482,0.0000,1.0000
2018-04-10,27.1500,27.6000,27.1500,27.3500,26.9274,3679,0.0000,1.0000
2018-04-09,27.1000,27.8000,27.1000,27.3000,26.8782,5981,0.0000,1.0000
2018-04-06,27.3000,28.1500,27.3000,27.6000,27.1736,3195,0.0000,1.0000
2018-04-05,28.4950,28.5000,27.2000,27.4500,27.0259,3783,0.0000,1.0000
2018-04-04,26.8000,27.1000,26.8000,27.1000,26.6813,2116,0.0000,1.0000
2018-04-03,27.4000,27.4500,27.3000,27.3500,26.9274,4393,0.0000,1.0000
2018-04-02,27.3000,27.3660,26.8000,27.3500,26.9274,7348,0.0000,1.0000
2018-03-29,27.7000,27.8500,27.3000,27.5000,27.0751,6455,0.0000,1.0000
2018-03-28,27.7000,27.8500,27.5500,27.8500,27.4197,7194,0.0000,1.0000
