timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,649.5000,661.1750,646.0500,656.9500,656.9500,9360,0.0000,1.0000
2018-08-13,641.0000,650.0000,633.3250,644.0000,644.0000,22160,0.0000,1.0000
2018-08-10,641.4500,641.4500,630.0000,637.1500,637.1500,9853,0.0000,1.0000
2018-08-09,638.0000,645.3000,637.0000,645.3000,645.3000,1903,0.0000,1.0000
2018-08-08,626.0500,640.8000,625.0000,635.0000,635.0000,13713,0.0000,1.0000
2018-08-07,642.6000,642.6000,624.1000,628.0000,628.0000,8508,0.0000,1.0000
2018-08-06,636.4500,648.7500,634.0000,642.0000,642.0000,17823,0.0000,1.0000
2018-08-03,668.9750,683.0500,614.2000,636.0000,636.0000,13852,0.0000,1.0000
2018-08-02,666.9500,677.0000,666.9500,673.0000,673.0000,10495,0.0000,1.0000
2018-08-01,688.5500,694.2500,662.1000,669.0000,669.0000,8852,0.0000,1.0000
2018-07-31,638.8000,691.0300,628.3000,688.0000,688.0000,20956,0.0000,1.0000
2018-07-30,630.0000,638.8000,630.0000,638.8000,638.8000,3135,0.0000,1.0000
2018-07-27,633.8000,640.0000,627.9250,630.0000,630.0000,3872,0.0000,1.0000
2018-07-26,635.5000,640.0000,632.2000,632.2000,632.2000,3623,0.0000,1.0000
2018-07-25,634.0500,635.8000,633.9000,635.6500,635.6500,3055,0.0000,1.0000
2018-07-24,639.9500,641.1500,629.1500,632.4500,632.4500,7571,0.0000,1.0000
2018-07-23,628.4000,640.7500,627.9500,640.0000,640.0000,2984,0.0000,1.0000
2018-07-20,631.1500,632.0000,628.5750,630.0000,630.0000,4417,0.0000,1.0000
2018-07-19,627.8500,632.9000,627.8500,631.3500,631.3500,3342,0.0000,1.0000
2018-07-18,615.0000,625.8000,615.0000,625.8000,625.8000,1766,0.0000,1.0000
2018-07-17,602.4500,617.1000,602.4500,616.4000,616.4000,2512,0.0000,1.0000
2018-07-16,616.5000,623.0500,605.0500,605.0500,605.0500,5549,0.0000,1.0000
2018-07-13,621.1000,621.1000,615.6000,617.0000,617.0000,3410,0.0000,1.0000
2018-07-12,615.1500,624.0000,601.3000,623.0000,623.0000,11640,0.0000,1.0000
2018-07-11,620.0500,627.9000,613.0500,614.0000,614.0000,5379,0.0000,1.0000
2018-07-10,634.7000,635.9500,618.8000,621.4000,621.4000,7220,0.0000,1.0000
2018-07-09,637.9000,645.0000,632.2000,632.2000,632.2000,6975,0.0000,1.0000
2018-07-06,630.8000,644.9500,630.8000,637.4000,637.4000,8370,0.0000,1.0000
2018-07-05,608.0000,639.9500,605.0500,631.9000,631.9000,13328,0.0000,1.0000
2018-07-03,602.7000,607.9500,602.1000,604.9000,604.9000,2366,0.0000,1.0000
2018-07-02,599.5000,602.8000,593.5000,602.8000,602.8000,6296,0.0000,1.0000
2018-06-29,599.5000,608.4500,595.4000,599.4000,599.4000,7664,0.0000,1.0000
2018-06-28,589.3000,602.0000,588.6500,599.1000,599.1000,7176,0.0000,1.0000
2018-06-27,600.0000,600.0000,588.9500,588.9500,588.9500,3229,0.0000,1.0000
2018-06-26,598.2000,601.0500,596.9563,597.3000,597.3000,3260,0.0000,1.0000
2018-06-25,598.7500,604.0500,594.1000,597.0000,597.0000,13226,0.0000,1.0000
2018-06-22,606.9000,611.6000,600.1750,604.0500,604.0500,15687,0.0000,1.0000
2018-06-21,606.6500,606.9500,596.0000,603.2000,603.2000,9931,0.0000,1.0000
2018-06-20,598.4250,612.0000,589.0000,604.7000,604.7000,15926,0.0000,1.0000
2018-06-19,585.0000,593.0000,582.0000,591.5000,591.5000,14811,0.0000,1.0000
2018-06-18,585.9000,586.2500,577.5000,586.2500,586.2500,15700,0.0000,1.0000
2018-06-15,583.7000,586.9000,573.5000,581.0000,581.0000,16263,0.0000,1.0000
2018-06-14,578.8500,606.8950,578.8500,585.9000,585.9000,21348,1.2000,1.0000
2018-06-13,574.0000,580.7500,571.0000,580.7500,579.5630,9290,0.0000,1.0000
2018-06-12,576.5000,577.2000,567.5000,571.1500,569.9826,11744,0.0000,1.0000
2018-06-11,574.9000,580.9500,570.8500,570.8500,569.6832,14293,0.0000,1.0000
2018-06-08,567.8000,576.0000,566.9500,573.0000,571.8288,13825,0.0000,1.0000
2018-06-07,574.7500,577.4500,561.2000,569.6000,568.4358,4736,0.0000,1.0000
2018-06-06,578.9000,578.9000,560.6500,568.2500,567.0885,11228,0.0000,1.0000
2018-06-05,580.9000,583.0000,564.3500,573.2000,572.0284,17993,0.0000,1.0000
2018-06-04,599.4000,600.0000,579.6500,579.6500,578.4652,18678,0.0000,1.0000
2018-06-01,593.7000,600.0000,590.5500,594.0000,592.7859,5428,0.0000,1.0000
2018-05-31,595.0000,599.9000,588.0000,590.0000,588.7941,5548,0.0000,1.0000
2018-05-30,582.8500,598.5000,582.8500,595.9500,594.7319,6559,0.0000,1.0000
2018-05-29,581.0500,587.7000,578.5000,583.4500,582.2575,5685,0.0000,1.0000
2018-05-25,579.3500,589.7500,574.1000,589.7500,588.5446,9692,0.0000,1.0000
2018-05-24,584.9000,591.5000,579.1000,581.0500,579.8624,10521,0.0000,1.0000
2018-05-23,600.4500,600.4500,584.5000,584.5000,583.3053,3004,0.0000,1.0000
2018-05-22,612.0000,612.0000,593.2500,593.2500,592.0374,5521,0.0000,1.0000
2018-05-21,595.7500,604.7500,593.2500,599.6000,598.3745,8563,0.0000,1.0000
2018-05-18,596.0000,596.0000,593.0000,594.4500,593.2350,4002,0.0000,1.0000
2018-05-17,610.0000,610.0000,589.5000,596.8500,595.6301,3021,0.0000,1.0000
2018-05-16,591.6000,603.0000,591.6000,600.0000,598.7736,8052,0.0000,1.0000
2018-05-15,580.0500,584.3500,576.0000,584.3500,583.1556,5017,0.0000,1.0000
2018-05-14,595.5000,595.5000,580.0000,585.2500,584.0538,7576,0.0000,1.0000
2018-05-11,599.3250,609.0000,591.5000,594.7500,593.5344,11594,0.0000,1.0000
2018-05-10,601.3000,609.4000,592.7000,599.0000,597.7757,12935,0.0000,1.0000
2018-05-09,616.8000,630.4750,608.3500,608.3500,607.1066,11489,0.0000,1.0000
2018-05-08,615.5500,621.2500,607.5000,616.9000,615.6391,17921,0.0000,1.0000
2018-05-07,630.3250,632.4500,621.4000,622.5500,621.2775,6486,0.0000,1.0000
2018-05-04,628.0000,633.8750,621.5000,628.9500,627.6645,8013,0.0000,1.0000
2018-05-03,630.0000,635.8250,623.9500,628.6000,627.3152,18086,0.0000,1.0000
2018-05-02,635.8500,636.7500,632.8500,632.8500,631.5565,4411,0.0000,1.0000
2018-05-01,620.0000,629.9500,620.0000,628.7500,627.4649,4514,0.0000,1.0000
2018-04-30,635.0000,635.0000,605.9000,622.1000,620.8285,5209,0.0000,1.0000
2018-04-27,630.9000,640.0000,627.9000,627.9000,626.6166,4317,0.0000,1.0000
2018-04-26,627.0250,636.7500,627.0000,629.7000,628.4129,4517,0.0000,1.0000
2018-04-25,637.0000,639.5000,623.2500,632.0000,630.7082,5357,0.0000,1.0000
2018-04-24,642.9500,645.4250,616.9000,628.0000,626.7164,6316,0.0000,1.0000
2018-04-23,643.0000,643.0000,633.5000,634.5000,633.2031,3442,0.0000,1.0000
2018-04-20,628.3500,640.0000,627.1000,635.8000,634.5005,8100,0.0000,1.0000
2018-04-19,615.8000,631.2000,615.8000,629.6500,628.3630,5179,0.0000,1.0000
2018-04-18,618.0000,627.0000,613.9000,620.2000,618.9323,7934,0.0000,1.0000
2018-04-17,615.0000,618.0000,602.0800,618.0000,616.7368,9316,0.0000,1.0000
2018-04-16,612.0500,617.7000,603.0000,606.6500,605.4100,16028,0.0000,1.0000
2018-04-13,608.4000,613.8500,605.7000,607.2000,605.9589,4888,0.0000,1.0000
2018-04-12,608.0500,611.5000,604.0000,607.2500,606.0088,6983,0.0000,1.0000
2018-04-11,599.4500,609.9500,587.5386,609.9000,608.6534,6885,0.0000,1.0000
2018-04-10,599.0500,604.0500,599.0500,601.0000,599.7716,6325,0.0000,1.0000
2018-04-09,614.0000,615.5000,594.5000,594.5000,593.2849,16221,0.0000,1.0000
2018-04-06,602.3500,615.0000,580.5500,602.0000,600.7695,10228,0.0000,1.0000
2018-04-05,608.0000,625.5000,604.7000,609.0000,607.7552,12640,0.0000,1.0000
2018-04-04,596.0000,616.1000,596.0000,606.1500,604.9111,9189,0.0000,1.0000
2018-04-03,601.6000,604.2000,580.0000,604.2000,602.9650,11168,0.0000,1.0000
2018-04-02,633.0000,633.0000,580.6045,597.9000,596.6779,15353,0.0000,1.0000
2018-03-29,633.8500,642.9500,627.5000,631.3000,630.0097,14959,0.0000,1.0000
2018-03-28,629.8500,639.1127,629.0000,633.8500,632.5544,4606,0.0000,1.0000
2018-03-27,624.9500,640.0000,622.0000,625.0000,623.7225,3758,0.0000,1.0000
2018-03-26,605.2500,626.0000,605.2500,624.7000,623.4231,11458,0.0000,1.0000
2018-03-23,607.6500,621.0000,598.5000,598.5000,597.2767,5800,0.0000,1.0000
2018-03-22,625.0000,632.0000,607.5000,607.5000,606.2583,9213,0.0000,1.0000
2018-03-21,623.9500,646.0000,623.9500,630.0000,628.7123,7136,0.0000,1.0000
2018-03-20,615.0000,627.4000,613.0000,623.1000,621.8264,12289,0.0000,1.0000
2018-03-19,607.0500,611.0000,599.9500,611.0000,609.7511,12868,0.0000,1.0000
2018-03-16,606.5000,614.0500,598.4500,606.5000,605.2603,26971,0.0000,1.0000
2018-03-15,607.0000,616.0000,593.6250,607.4000,606.1585,12811,0.0000,1.0000
2018-03-14,603.5500,605.3750,585.6000,602.1000,600.8693,15468,1.2000,1.0000
2018-03-13,605.9500,614.2500,595.4000,600.5500,598.1304,7839,0.0000,1.0000
2018-03-12,602.6000,611.6500,598.0000,600.5000,598.0806,9612,0.0000,1.0000
2018-03-09,624.1500,625.7000,603.5000,603.5000,601.0685,5637,0.0000,1.0000
2018-03-08,617.4000,635.8900,617.4000,621.0000,618.4980,7433,0.0000,1.0000
2018-03-07,592.4500,629.7500,591.1000,614.0500,611.5760,12338,0.0000,1.0000
2018-03-06,578.0000,597.5000,573.0000,597.1000,594.6943,8010,0.0000,1.0000
2018-03-05,576.0000,600.4000,571.0000,582.1000,579.7548,17574,0.0000,1.0000
2018-03-02,575.0000,596.4000,563.4500,569.7000,567.4047,9768,0.0000,1.0000
2018-03-01,588.2500,602.0000,575.0000,579.6000,577.2648,8820,0.0000,1.0000
2018-02-28,537.0500,623.0000,537.0500,588.9000,586.5274,27986,0.0000,1.0000
2018-02-27,559.6500,559.6500,543.2000,543.2000,541.0115,3652,0.0000,1.0000
2018-02-26,539.0000,563.4000,527.7355,550.0000,547.7841,10613,0.0000,1.0000
2018-02-23,574.9500,585.1000,545.6500,547.8000,545.5929,6923,0.0000,1.0000
2018-02-22,535.0000,582.9000,530.2500,582.9000,580.5515,4551,0.0000,1.0000
2018-02-21,539.8500,540.0500,516.8500,526.8000,524.6776,10868,0.0000,1.0000
2018-02-20,541.8500,555.0500,535.4000,535.4000,533.2429,10751,0.0000,1.0000
