timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,64.6300,66.2150,64.6300,66.1400,66.1400,119814,0.0000,1.0000
2018-08-13,64.9200,65.4550,64.6000,64.6200,64.6200,91183,0.0000,1.0000
2018-08-10,64.6900,65.6000,64.6200,65.0500,65.0500,91258,0.0000,1.0000
2018-08-09,65.0100,65.4400,64.8700,65.0300,65.0300,113982,0.0000,1.0000
2018-08-08,65.2400,65.8600,64.7800,65.0300,65.0300,196590,0.0000,1.0000
2018-08-07,64.5300,65.4100,64.4800,65.0300,65.0300,121967,0.0000,1.0000
2018-08-06,63.9200,64.4400,63.7200,64.4200,64.4200,126710,0.0000,1.0000
2018-08-03,64.4800,64.7850,63.7400,63.8500,63.8500,84015,0.0000,1.0000
2018-08-02,63.7400,64.8350,63.7400,64.7300,64.7300,148930,0.0000,1.0000
2018-08-01,62.9700,64.3100,62.8400,64.2200,64.2200,239147,0.0000,1.0000
2018-07-31,62.6400,63.0300,61.9500,62.9700,62.9700,160553,0.0000,1.0000
2018-07-30,63.1500,63.7000,62.7700,62.8300,62.8300,229280,0.0000,1.0000
2018-07-27,63.6700,64.0000,62.1800,62.8600,62.8600,121861,0.0000,1.0000
2018-07-26,63.0700,65.0000,62.2600,63.4200,63.4200,276831,0.0000,1.0000
2018-07-25,62.0100,62.0100,60.8300,61.6000,61.6000,163428,0.0000,1.0000
2018-07-24,62.4900,62.6000,61.5900,62.0200,62.0200,100876,0.0000,1.0000
2018-07-23,61.8100,62.8800,61.8100,62.5000,62.5000,169294,0.0000,1.0000
2018-07-20,61.6900,62.3560,61.4400,62.0400,62.0400,121039,0.0000,1.0000
2018-07-19,61.5200,62.1200,61.2850,61.8900,61.8900,133183,0.0000,1.0000
2018-07-18,61.0100,61.7300,61.0100,61.6700,61.6700,92212,0.0000,1.0000
2018-07-17,61.2800,61.5200,60.9900,61.1400,61.1400,84203,0.0000,1.0000
2018-07-16,60.5300,61.1200,60.4600,61.0800,61.0800,73597,0.0000,1.0000
2018-07-13,60.4300,60.9700,60.2000,60.3500,60.3500,112717,0.0000,1.0000
2018-07-12,61.3700,61.3900,59.7600,60.8600,60.8600,112345,0.0000,1.0000
2018-07-11,61.2500,61.7400,60.9900,61.1600,61.1600,114043,0.0000,1.0000
2018-07-10,62.1500,62.1800,60.7800,61.1800,61.1800,168026,0.0000,1.0000
2018-07-09,61.5500,62.4100,61.0050,61.9300,61.9300,159893,0.3500,1.0000
2018-07-06,61.5400,62.3800,61.0500,62.2000,61.8504,178354,0.0000,1.0000
2018-07-05,61.2800,61.7200,60.9650,61.7000,61.3533,143613,0.0000,1.0000
2018-07-03,61.1600,61.5500,60.7700,61.0000,60.6572,72514,0.0000,1.0000
2018-07-02,60.1300,61.0500,60.0700,61.0200,60.6771,279321,0.0000,1.0000
2018-06-29,61.1900,61.6100,60.1000,60.1300,59.7921,166137,0.0000,1.0000
2018-06-28,60.5100,61.0000,60.2900,60.8100,60.4683,183259,0.0000,1.0000
2018-06-27,61.5000,61.5800,60.3500,60.3900,60.0506,107713,0.0000,1.0000
2018-06-26,61.8500,61.8500,61.0100,61.5400,61.1942,104316,0.0000,1.0000
2018-06-25,61.9000,62.1600,61.2900,61.6900,61.3433,244836,0.0000,1.0000
2018-06-22,62.7000,62.9300,61.8200,62.0800,61.7311,271522,0.0000,1.0000
2018-06-21,62.4200,62.9100,61.7500,62.4700,62.1189,194069,0.0000,1.0000
2018-06-20,62.2600,62.6600,61.7700,62.2200,61.8703,201885,0.0000,1.0000
2018-06-19,60.4200,62.1100,60.4200,62.0000,61.6516,219808,0.0000,1.0000
2018-06-18,60.0900,60.7600,59.7000,60.7200,60.3788,137696,0.0000,1.0000
2018-06-15,60.1100,60.5900,59.4400,60.2600,59.9214,351977,0.0000,1.0000
2018-06-14,60.2000,60.4000,59.4300,60.1700,59.8319,249130,0.0000,1.0000
2018-06-13,60.5900,61.1350,59.9700,59.9800,59.6429,256329,0.0000,1.0000
2018-06-12,61.4700,61.4900,60.3600,60.6000,60.2594,105211,0.0000,1.0000
2018-06-11,62.0800,62.1850,61.0500,61.2600,60.9157,109305,0.0000,1.0000
