timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.0000,0.0000,0.0000,0.4200,0.4200,0,0.0000,1.0000
2018-07-31,0.4200,0.4200,0.4200,0.4200,0.4200,100,0.0000,1.0000
2018-07-26,0.4500,0.4521,0.4500,0.4521,0.4521,1110,0.0000,1.0000
2018-07-18,0.3800,0.3800,0.3700,0.3700,0.3700,900,0.0000,1.0000
2018-07-06,0.3700,0.3700,0.3700,0.3700,0.3700,25000,0.0000,1.0000
2018-07-05,0.3505,0.3523,0.3505,0.3523,0.3523,200,0.0000,1.0000
2018-07-03,0.4020,0.4020,0.4020,0.4020,0.4020,1593,0.0000,1.0000
2018-06-28,0.3700,0.3700,0.3700,0.3700,0.3700,2350,0.0000,1.0000
2018-06-26,0.3500,0.3500,0.3500,0.3500,0.3500,2292,0.0000,1.0000
2018-05-21,0.3900,0.4300,0.3900,0.4300,0.4300,100500,0.0000,1.0000
2018-05-09,0.2705,0.4700,0.2705,0.4700,0.4700,5800,0.0000,1.0000
2018-05-08,0.3510,0.3510,0.3500,0.3500,0.3500,1300,0.0000,1.0000
2018-05-07,0.4000,0.4000,0.3900,0.3900,0.3900,600,0.0000,1.0000
2018-04-20,0.4900,0.4900,0.4900,0.4900,0.4900,31300,0.0000,1.0000
2018-04-19,0.4943,0.4943,0.4943,0.4943,0.4943,100,0.0000,1.0000
2018-04-17,0.5300,0.5300,0.5300,0.5300,0.5300,1,0.0000,1.0000
2018-04-16,0.5490,0.5490,0.5300,0.5300,0.5300,2000,0.0000,1.0000
2018-04-13,0.4917,0.4917,0.4900,0.4913,0.4913,47100,0.0000,1.0000
2018-04-12,0.4900,0.4925,0.4900,0.4925,0.4925,18000,0.0000,1.0000
2018-04-10,0.4990,0.4990,0.4700,0.4990,0.4990,60246,0.0000,1.0000
2018-04-09,0.4500,0.4500,0.4500,0.4500,0.4500,50,0.0000,1.0000
2018-04-04,0.4400,0.4500,0.4400,0.4500,0.4500,4100,0.0000,1.0000
2018-04-02,0.4500,0.4500,0.4490,0.4490,0.4490,307,0.0000,1.0000
2018-03-29,0.4395,0.4395,0.4000,0.4000,0.4000,900,0.0000,1.0000
2018-03-28,0.4500,0.4500,0.4000,0.4000,0.4000,4400,0.0000,1.0000
2018-03-26,0.4500,0.4500,0.4200,0.4500,0.4500,27750,0.0000,1.0000
2018-03-23,0.3700,0.4000,0.3700,0.4000,0.4000,15950,0.0000,1.0000
2018-02-23,0.3480,0.3500,0.3480,0.3500,0.3500,51248,0.0000,1.0000
2018-02-20,0.3500,0.3500,0.3500,0.3500,0.3500,19825,0.0000,1.0000
2018-02-12,0.3500,0.3500,0.3500,0.3500,0.3500,193,0.0000,1.0000
2018-02-08,0.3500,0.3500,0.3500,0.3500,0.3500,282,0.0000,1.0000
2018-02-06,0.3500,0.3500,0.3500,0.3500,0.3500,9800,0.0000,1.0000
2018-02-02,0.3500,0.3500,0.3320,0.3320,0.3320,15975,0.0000,1.0000
2018-01-31,0.3790,0.3790,0.3790,0.3790,0.3790,2100,0.0000,1.0000
2018-01-26,0.3904,0.4000,0.3904,0.4000,0.4000,200,0.0000,1.0000
2018-01-24,0.3500,0.3500,0.3500,0.3500,0.3500,700,0.0000,1.0000
2018-01-23,0.3500,0.3800,0.3500,0.3800,0.3800,10436,0.0000,1.0000
2018-01-22,0.3500,0.3500,0.3500,0.3500,0.3500,5000,0.0000,1.0000
