timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,3.8803,3.8877,3.8300,3.8800,3.8800,1768,0.0000,1.0000
2018-08-13,3.8802,3.8802,3.7900,3.7900,3.7900,2846,0.0000,1.0000
2018-08-10,3.7990,3.9000,3.7811,3.7900,3.7900,24532,0.0000,1.0000
2018-08-09,3.7600,3.8300,3.7500,3.7800,3.7800,3900,0.0000,1.0000
2018-08-08,3.6600,3.7788,3.6600,3.7600,3.7600,1009,0.0000,1.0000
2018-08-07,3.7000,3.7566,3.6500,3.7566,3.7566,10385,0.0000,1.0000
2018-08-06,3.7300,3.7400,3.7000,3.7000,3.7000,1592,0.0000,1.0000
2018-08-03,3.7572,3.8350,3.6974,3.8350,3.8350,4295,0.0000,1.0000
2018-08-02,3.7185,3.8392,3.7185,3.8392,3.8392,1175,0.0000,1.0000
2018-08-01,3.8526,3.8526,3.6300,3.6600,3.6600,32508,0.0000,1.0000
2018-07-31,3.8052,3.8052,3.6300,3.6300,3.6300,2094,0.0000,1.0000
2018-07-30,3.7986,3.8000,3.6650,3.7000,3.7000,7333,0.0000,1.0000
2018-07-27,3.8920,3.8920,3.7650,3.7650,3.7650,8514,0.0000,1.0000
2018-07-26,3.8220,3.8700,3.8220,3.8700,3.8700,1670,0.0000,1.0000
2018-07-25,3.7400,3.8500,3.7400,3.8476,3.8476,4971,0.0000,1.0000
2018-07-24,3.9100,3.9500,3.7500,3.7500,3.7500,30369,0.0000,1.0000
2018-07-23,3.9000,3.9000,3.8301,3.8301,3.8301,2904,0.0000,1.0000
2018-07-20,4.0000,4.0400,3.7890,3.9700,3.9700,31684,0.0000,1.0000
2018-07-19,4.0300,4.0300,3.9800,3.9800,3.9800,3508,0.0000,1.0000
2018-07-18,4.1033,4.1152,3.9900,4.0000,4.0000,5775,0.0000,1.0000
2018-07-17,4.0700,4.1167,4.0500,4.0600,4.0600,2224,0.0000,1.0000
2018-07-16,4.0610,4.1500,4.0300,4.0952,4.0952,2055,0.0000,1.0000
2018-07-13,4.1894,4.2000,4.0982,4.1400,4.1400,1786,0.0000,1.0000
2018-07-12,4.1300,4.1800,4.1010,4.1341,4.1341,6155,0.0000,1.0000
2018-07-11,4.0700,4.1600,4.0400,4.0400,4.0400,10728,0.0000,1.0000
2018-07-10,4.0900,4.1984,3.9700,4.0200,4.0200,9166,0.0000,1.0000
2018-07-09,4.0800,4.0900,4.0205,4.0600,4.0600,5846,0.0000,1.0000
