timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,24.9000,24.9942,24.8700,24.8900,24.8900,4266,0.0000,1.0000
2018-08-13,24.9000,24.9966,24.9000,24.9100,24.9100,8888,0.0000,1.0000
2018-08-10,24.9966,24.9997,24.9000,24.9000,24.9000,7728,0.0000,1.0000
2018-08-09,24.9200,24.9750,24.9000,24.9000,24.9000,8419,0.0000,1.0000
2018-08-08,25.0000,25.0764,24.9000,24.9000,24.9000,7795,0.0000,1.0000
2018-08-07,25.1100,25.1100,25.0000,25.0000,25.0000,10219,0.0000,1.0000
2018-08-06,24.9300,25.0945,24.9200,24.9500,24.9500,8005,0.0000,1.0000
2018-08-03,24.9100,25.0288,24.9000,24.9100,24.9100,15054,0.0000,1.0000
2018-08-02,24.9500,25.0700,24.9000,24.9000,24.9000,7047,0.0000,1.0000
2018-08-01,25.0200,25.1400,25.0000,25.0000,25.0000,7935,0.0000,1.0000
2018-07-31,25.2400,25.2400,25.0200,25.0200,25.0200,7219,0.0000,1.0000
2018-07-30,25.2200,25.2400,25.1000,25.1200,25.1200,10583,0.0000,1.0000
2018-07-27,25.0000,25.1940,25.0000,25.0500,25.0500,9731,0.0000,1.0000
2018-07-26,25.0000,25.0500,25.0000,25.0400,25.0400,10316,0.0000,1.0000
2018-07-25,25.0000,25.1400,25.0000,25.0950,25.0950,9077,0.0000,1.0000
2018-07-24,25.0600,25.1299,25.0300,25.0300,25.0300,15165,0.0000,1.0000
2018-07-23,25.0700,25.1476,25.0100,25.0300,25.0300,11481,0.0000,1.0000
2018-07-20,25.0900,25.0928,25.0200,25.0200,25.0200,7016,0.0000,1.0000
2018-07-19,25.0000,25.1033,25.0000,25.0200,25.0200,82524,0.0000,1.0000
2018-07-18,25.0000,25.1505,25.0000,25.0100,25.0100,20976,0.0000,1.0000
2018-07-17,25.0000,25.0400,24.9900,25.0000,25.0000,14839,0.0000,1.0000
2018-07-16,25.0000,25.0690,25.0000,25.0000,25.0000,8567,0.0000,1.0000
2018-07-13,25.0300,25.1103,25.0000,25.0400,25.0400,8374,0.0000,1.0000
2018-07-12,25.1200,25.2900,25.0000,25.0200,25.0200,14648,0.0000,1.0000
2018-07-11,25.2100,25.4119,25.1200,25.1200,25.1200,11897,0.0000,1.0000
2018-07-10,25.4000,25.4036,25.2000,25.2000,25.2000,18834,0.0000,1.0000
2018-07-09,25.4550,25.4830,25.3000,25.3100,25.3100,13581,0.0000,1.0000
2018-07-06,25.4600,25.4600,25.2500,25.3200,25.3200,7986,0.0000,1.0000
2018-07-05,25.5800,25.6900,25.2753,25.4600,25.4600,13438,0.0000,1.0000
2018-07-03,25.4900,25.6400,25.4900,25.6400,25.6400,3668,0.0000,1.0000
2018-07-02,25.4100,25.6200,25.4100,25.6200,25.6200,3758,0.0000,1.0000
2018-06-29,25.6800,25.6800,25.3000,25.5900,25.5900,11903,0.0000,1.0000
2018-06-28,25.8400,25.8400,25.3000,25.4265,25.4265,12670,0.0000,1.0000
2018-06-27,25.5700,25.6508,25.3010,25.6100,25.6100,7290,0.0000,1.0000
2018-06-26,25.4500,25.6900,25.4100,25.6900,25.6900,5846,0.0000,1.0000
2018-06-25,25.4000,25.7500,25.3200,25.5500,25.5500,13777,0.0000,1.0000
2018-06-22,25.4000,25.4500,25.2000,25.4400,25.4400,6917,0.0000,1.0000
2018-06-21,25.4800,25.4800,25.2000,25.2562,25.2562,5735,0.0000,1.0000
2018-06-20,25.2700,25.4500,25.1200,25.4500,25.4500,10195,0.0000,1.0000
2018-06-19,25.2800,25.3607,25.0200,25.1800,25.1800,7665,0.0000,1.0000
2018-06-18,25.0700,25.3335,25.0700,25.2815,25.2815,2719,0.0000,1.0000
2018-06-15,25.2600,25.2900,25.2500,25.2800,25.2800,5231,0.0000,1.0000
2018-06-14,25.3400,25.3800,25.1800,25.2972,25.2972,16947,0.3360,1.0000
2018-06-13,25.5500,25.5500,25.3966,25.3966,25.0637,2365,0.0000,1.0000
2018-06-12,25.5700,25.5700,25.3600,25.3600,25.0276,4593,0.0000,1.0000
2018-06-11,25.4200,25.5308,25.4200,25.5308,25.1961,3508,0.0000,1.0000
2018-06-08,25.4600,25.4778,25.4001,25.4400,25.1065,2576,0.0000,1.0000
2018-06-07,25.4400,25.5800,25.4000,25.5800,25.2447,14773,0.0000,1.0000
2018-06-06,25.4000,25.4500,25.2800,25.4400,25.1065,14725,0.0000,1.0000
2018-06-05,25.2888,25.4500,25.2734,25.4000,25.0671,11061,0.0000,1.0000
2018-06-04,25.0900,25.3500,25.0900,25.3500,25.0177,5808,0.0000,1.0000
2018-06-01,25.0900,25.2000,25.0900,25.2000,24.8697,3631,0.0000,1.0000
2018-05-31,25.0800,25.2000,25.0800,25.2000,24.8697,5548,0.0000,1.0000
2018-05-30,25.2000,25.2000,25.1400,25.1900,24.8598,20294,0.0000,1.0000
2018-05-29,25.2000,25.2030,25.0700,25.0900,24.7611,12829,0.0000,1.0000
2018-05-25,25.2400,25.2650,25.2100,25.2451,24.9142,4426,0.0000,1.0000
2018-05-24,25.3400,25.3400,25.2100,25.2400,24.9092,9877,0.0000,1.0000
2018-05-23,25.1500,25.3400,25.1500,25.3400,25.0078,10847,0.0000,1.0000
2018-05-22,25.2100,25.2100,25.1500,25.1900,24.8598,6791,0.0000,1.0000
2018-05-21,25.2100,25.2100,25.1000,25.1500,24.8203,9961,0.0000,1.0000
2018-05-18,25.3000,25.3000,25.1000,25.2100,24.8795,2795,0.0000,1.0000
2018-05-17,25.1700,25.3290,25.1300,25.2890,24.9575,5766,0.0000,1.0000
2018-05-16,25.0700,25.3300,25.0700,25.3300,24.9980,7556,0.0000,1.0000
2018-05-15,25.1200,25.2100,25.0500,25.1800,24.8499,11075,0.0000,1.0000
2018-05-14,25.2100,25.2100,25.0500,25.0700,24.7414,15594,0.0000,1.0000
2018-05-11,25.0900,25.0900,25.0200,25.0761,24.7474,3924,0.0000,1.0000
2018-05-10,25.0100,25.2100,25.0000,25.2100,24.8795,6087,0.0000,1.0000
2018-05-09,24.9700,25.1700,24.9500,25.0400,24.7118,10998,0.0000,1.0000
2018-05-08,25.0100,25.2100,25.0100,25.1600,24.8302,5586,0.0000,1.0000
2018-05-07,25.0900,25.1100,24.9700,25.0000,24.6723,5716,0.0000,1.0000
2018-05-04,25.1028,25.1123,25.0200,25.0200,24.6920,1408,0.0000,1.0000
2018-05-03,25.1700,25.1700,24.9500,24.9900,24.6624,8435,0.0000,1.0000
2018-05-02,25.2000,25.2000,25.0600,25.0600,24.7315,4482,0.0000,1.0000
2018-05-01,25.0200,25.2000,25.0200,25.2000,24.8697,3540,0.0000,1.0000
2018-04-30,25.0700,25.1050,25.0201,25.0201,24.6921,2931,0.0000,1.0000
2018-04-27,25.1200,25.1716,24.9500,25.0800,24.7513,7580,0.0000,1.0000
2018-04-26,25.0000,25.2000,25.0000,25.2000,24.8697,11528,0.0000,1.0000
2018-04-25,25.0600,25.1300,24.9998,25.0300,24.7019,11409,0.0000,1.0000
2018-04-24,25.0400,25.1300,24.9000,25.1300,24.8006,9849,0.0000,1.0000
2018-04-23,24.8300,25.0336,24.8300,24.9000,24.5736,3045,0.0000,1.0000
2018-04-20,24.7300,25.1700,24.7300,24.9500,24.6230,5023,0.0000,1.0000
2018-04-19,25.0200,25.1200,24.7772,24.7800,24.4552,6254,0.0000,1.0000
2018-04-18,24.9300,24.9600,24.9300,24.9300,24.6032,4759,0.0000,1.0000
2018-04-17,25.0300,25.0300,24.9300,24.9300,24.6032,8396,0.0000,1.0000
2018-04-16,24.9900,25.2249,24.9900,25.0300,24.7019,6977,0.0000,1.0000
2018-04-13,25.1900,25.2400,24.9300,25.0500,24.7216,16804,0.0000,1.0000
2018-04-12,25.1500,25.1900,25.1300,25.1900,24.8598,5659,0.0000,1.0000
2018-04-11,24.9400,25.1200,24.9400,25.1100,24.7809,15274,0.0000,1.0000
2018-04-10,25.0500,25.1620,24.9500,24.9700,24.6427,4524,0.0000,1.0000
2018-04-09,25.0500,25.1670,25.0010,25.0200,24.6920,5736,0.0000,1.0000
2018-04-06,25.1800,25.1800,25.0500,25.0500,24.7216,9063,0.0000,1.0000
2018-04-05,25.0800,25.1900,25.0600,25.1900,24.8598,6967,0.0000,1.0000
2018-04-04,24.9700,25.2787,24.9700,25.0800,24.7513,9623,0.0000,1.0000
2018-04-03,25.1400,25.3450,24.9799,25.3450,25.0128,4576,0.0000,1.0000
2018-04-02,25.3400,25.3599,24.8800,25.1600,24.8302,27824,0.0000,1.0000
2018-03-29,25.4400,25.4400,24.8400,25.2000,24.8697,13919,0.0000,1.0000
2018-03-28,25.1000,25.2787,24.8901,25.1700,24.8401,10772,0.0000,1.0000
2018-03-27,25.0200,25.1398,24.8101,24.9900,24.6624,9973,0.0000,1.0000
2018-03-26,24.9200,25.3500,24.8400,24.9500,24.6230,10207,0.0000,1.0000
2018-03-23,24.8300,25.0000,24.8300,24.9900,24.6624,10922,0.0000,1.0000
2018-03-22,24.8300,24.9999,24.8300,24.8300,24.5045,6250,0.0000,1.0000
2018-03-21,24.7400,25.0000,24.7200,24.8300,24.5045,10330,0.0000,1.0000
2018-03-20,24.9600,25.0167,24.7800,24.7800,24.4552,7967,0.0000,1.0000
2018-03-19,25.4000,25.4000,24.9700,24.9800,24.6526,10882,0.0000,1.0000
2018-03-16,25.2700,25.2700,25.1771,25.2400,24.9092,2302,0.0000,1.0000
2018-03-15,25.4000,25.4000,25.2200,25.2300,24.8993,2926,0.0000,1.0000
2018-03-14,25.3300,25.3300,25.2201,25.3000,24.9684,12303,0.3359,1.0000
2018-03-13,25.5100,25.5100,25.3800,25.4600,24.7970,5264,0.0000,1.0000
2018-03-12,25.5100,25.7330,25.3500,25.4200,24.7581,20752,0.0000,1.0000
2018-03-09,25.4200,25.4500,25.3405,25.4500,24.7873,7271,0.0000,1.0000
2018-03-08,25.3800,25.7050,25.3700,25.4700,24.8068,10188,0.0000,1.0000
2018-03-07,25.4814,25.5500,25.4100,25.5100,24.8457,10187,0.0000,1.0000
2018-03-06,25.4500,25.4999,25.3900,25.4300,24.7678,5398,0.0000,1.0000
2018-03-05,25.3800,25.3800,25.3120,25.3618,24.7014,6913,0.0000,1.0000
2018-03-02,25.3000,25.4900,25.3000,25.4899,24.8261,3911,0.0000,1.0000
2018-03-01,25.4000,25.4683,25.3610,25.4400,24.7775,8240,0.0000,1.0000
2018-02-28,25.3100,25.4900,25.2000,25.4900,24.8262,13457,0.0000,1.0000
2018-02-27,25.3100,25.3100,25.1485,25.2074,24.5510,7704,0.0000,1.0000
2018-02-26,25.0900,25.2100,25.0700,25.1500,24.4951,7503,0.0000,1.0000
2018-02-23,25.0200,25.2000,25.0200,25.1500,24.4951,7582,0.0000,1.0000
2018-02-22,25.0400,25.2800,25.0400,25.1800,24.5243,8128,0.0000,1.0000
2018-02-21,25.0000,25.1200,25.0000,25.0900,24.4366,10101,0.0000,1.0000
2018-02-20,25.0100,25.0630,25.0000,25.0100,24.3587,4073,0.0000,1.0000
2018-02-16,24.9800,25.0310,24.8500,25.0310,24.3792,14340,0.0000,1.0000
2018-02-15,24.8900,25.0000,24.8900,24.9800,24.3295,6330,0.0000,1.0000
2018-02-14,24.9800,25.0200,24.7398,24.9100,24.2613,8651,0.0000,1.0000
2018-02-13,24.6900,25.0900,24.6900,24.9924,24.3416,20763,0.0000,1.0000
2018-02-12,25.1000,25.1000,24.6000,24.7600,24.1152,14508,0.0000,1.0000
2018-02-09,24.8100,25.0600,24.5500,25.0600,24.4074,8563,0.0000,1.0000
2018-02-08,24.7800,25.0650,24.5600,24.5800,23.9399,11108,0.0000,1.0000
2018-02-07,24.9000,25.1000,24.5500,24.5900,23.9497,15810,0.0000,1.0000
2018-02-06,24.7000,25.4000,24.4700,24.6400,23.9984,26136,0.0000,1.0000
2018-02-05,24.7900,25.3579,24.6600,24.6600,24.0178,14573,0.0000,1.0000
2018-02-02,25.1600,25.1600,24.6600,24.8500,24.2029,21059,0.0000,1.0000
2018-02-01,25.3400,25.3792,25.0100,25.0800,24.4269,13369,0.0000,1.0000
2018-01-31,25.1300,25.4400,25.1300,25.3900,24.7288,11331,0.0000,1.0000
2018-01-30,25.2100,25.4500,25.1100,25.3040,24.6451,9782,0.0000,1.0000
2018-01-29,25.4500,25.5200,25.1500,25.3500,24.6899,22934,0.0000,1.0000
2018-01-26,25.6100,25.6500,25.4900,25.4900,24.8262,13261,0.0000,1.0000
2018-01-25,25.5600,25.6500,25.4487,25.6500,24.9821,10098,0.0000,1.0000
2018-01-24,25.7000,25.7200,25.5400,25.6060,24.9392,5284,0.0000,1.0000
2018-01-23,25.7400,25.7400,25.5400,25.6000,24.9334,19457,0.0000,1.0000
2018-01-22,25.8000,25.8000,25.5500,25.7400,25.0697,7540,0.0000,1.0000
2018-01-19,25.8100,25.8800,25.6100,25.7800,25.1087,27820,0.0000,1.0000
2018-01-18,25.5200,25.7500,25.3600,25.6900,25.0210,27549,0.0000,1.0000
2018-01-17,25.5800,25.7500,25.4200,25.4500,24.7873,7774,0.0000,1.0000
2018-01-16,25.6500,25.7200,25.5100,25.5100,24.8457,3597,0.0000,1.0000
2018-01-12,25.6000,25.6390,25.5249,25.6000,24.9334,9070,0.0000,1.0000
2018-01-11,25.5400,25.6400,25.5000,25.6200,24.9528,13429,0.0000,1.0000
2018-01-10,25.6500,25.6500,25.4550,25.5750,24.9090,14016,0.0000,1.0000
2018-01-09,25.5400,25.6400,25.5150,25.6400,24.9723,9583,0.0000,1.0000
2018-01-08,25.6500,25.7420,25.5110,25.6400,24.9723,12188,0.0000,1.0000
2018-01-05,25.6500,25.6500,25.4210,25.6400,24.9723,6571,0.0000,1.0000
2018-01-04,25.6100,25.6628,25.4130,25.6500,24.9821,13525,0.0000,1.0000
2018-01-03,25.5300,25.6000,25.4000,25.4200,24.7581,5513,0.0000,1.0000
2018-01-02,25.5500,25.7800,25.2600,25.4100,24.7483,21381,0.0000,1.0000
2017-12-29,25.8600,25.8600,25.6100,25.6100,24.9431,10881,0.0000,1.0000
2017-12-28,25.8000,25.8000,25.4200,25.6100,24.9431,16770,0.0000,1.0000
2017-12-27,25.6800,25.7300,25.6550,25.7300,25.0600,3317,0.0000,1.0000
2017-12-26,25.9300,25.9300,25.5900,25.6400,24.9723,4992,0.0000,1.0000
2017-12-22,25.9100,25.9100,25.6000,25.8400,25.1671,4198,0.0000,1.0000
2017-12-21,25.7300,25.8738,25.7010,25.7800,25.1087,8364,0.0000,1.0000
2017-12-20,25.7200,25.7200,25.2000,25.6800,25.0113,10060,0.0000,1.0000
2017-12-19,25.8900,25.8900,25.6200,25.8000,25.1282,7999,0.0000,1.0000
2017-12-18,25.7000,25.9977,25.5200,25.9000,25.2256,30930,0.0000,1.0000
2017-12-15,25.4100,25.6566,25.3900,25.4500,24.7873,10993,0.0000,1.0000
2017-12-14,25.7500,25.7500,25.4282,25.5200,24.8554,17648,0.3359,1.0000
2017-12-13,25.9600,26.0900,25.7301,25.9500,24.9459,9222,0.0000,1.0000
2017-12-12,26.0900,26.0900,25.9000,25.9100,24.9074,9492,0.0000,1.0000
2017-12-11,26.0000,26.0000,25.9500,25.9700,24.9651,16784,0.0000,1.0000
2017-12-08,25.8600,25.9800,25.8460,25.9800,24.9747,7692,0.0000,1.0000
2017-12-07,25.8500,25.8600,25.7980,25.8600,24.8594,6751,0.0000,1.0000
2017-12-06,25.8500,25.8500,25.7500,25.8400,24.8401,13100,0.0000,1.0000
2017-12-05,25.8500,25.8500,25.6100,25.7778,24.7803,5442,0.0000,1.0000
2017-12-04,25.8100,25.8440,25.6000,25.8000,24.8017,5204,0.0000,1.0000
2017-12-01,25.7800,25.8000,25.5821,25.5997,24.6091,8351,0.0000,1.0000
2017-11-30,25.6000,25.7999,25.5000,25.6900,24.6959,23383,0.0000,1.0000
2017-11-29,25.8000,25.8521,25.6200,25.6400,24.6479,17903,0.0000,1.0000
2017-11-28,25.7200,25.8999,25.6220,25.8200,24.8209,10145,0.0000,1.0000
2017-11-27,25.9800,25.9800,25.6200,25.6400,24.6479,19942,0.0000,1.0000
2017-11-24,25.9500,25.9800,25.8301,25.8600,24.8594,10555,0.0000,1.0000
2017-11-22,25.8100,25.9400,25.8100,25.9200,24.9170,6009,0.0000,1.0000
2017-11-21,25.9000,25.9700,25.8000,25.9005,24.8983,16470,0.0000,1.0000
2017-11-20,25.8400,25.9800,25.6300,25.9000,24.8978,11774,0.0000,1.0000
2017-11-17,25.7000,25.7500,25.6400,25.6400,24.6479,12294,0.0000,1.0000
2017-11-16,25.4600,25.7000,25.4600,25.6403,24.6482,9623,0.0000,1.0000
2017-11-15,25.5500,25.5900,25.4215,25.5900,24.5998,17560,0.0000,1.0000
2017-11-14,25.4800,25.5500,25.3900,25.5500,24.5613,19397,0.0000,1.0000
2017-11-13,25.4200,25.4800,25.3962,25.4800,24.4941,11171,0.0000,1.0000
