timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,13.0900,13.2700,12.8200,12.9900,12.9900,276403,0.0000,1.0000
2018-08-13,13.2800,13.7100,12.8925,13.0000,13.0000,545413,0.0000,1.0000
2018-08-10,13.0100,13.5000,11.7110,13.3900,13.3900,375136,0.0000,1.0000
2018-08-09,13.2400,13.5400,13.1000,13.1000,13.1000,263608,0.0000,1.0000
2018-08-08,13.3100,13.7500,12.8601,13.2300,13.2300,473157,0.0000,1.0000
2018-08-07,13.7400,13.7500,12.9000,13.3300,13.3300,548668,0.0000,1.0000
2018-08-06,13.3900,13.6900,13.2500,13.5500,13.5500,246826,0.0000,1.0000
2018-08-03,13.3600,13.6350,13.1100,13.3800,13.3800,594623,0.0000,1.0000
2018-08-02,13.5500,13.6300,13.3000,13.3000,13.3000,583938,0.0000,1.0000
2018-08-01,13.7700,13.8700,13.5000,13.6100,13.6100,362167,0.0000,1.0000
2018-07-31,13.8700,13.9500,13.6500,13.7500,13.7500,737220,0.0000,1.0000
2018-07-30,13.2300,13.8400,13.2300,13.8000,13.8000,845050,0.0000,1.0000
2018-07-27,13.0600,13.9900,12.5100,13.2900,13.2900,1047776,0.0000,1.0000
2018-07-26,13.2500,14.1000,12.9000,13.2500,13.2500,5064706,0.0000,1.0000
2018-07-25,17.0000,17.0000,14.5000,14.5000,14.5000,3435,0.0000,1.0000
2018-07-24,14.5000,14.5000,14.5000,14.5000,14.5000,400,0.0000,1.0000
2018-07-23,16.0000,16.0000,16.0000,16.0000,16.0000,200,0.0000,1.0000
2018-07-20,14.5000,16.0000,14.5000,16.0000,16.0000,2900,0.0000,1.0000
2018-07-19,14.5000,14.5000,14.5000,14.5000,14.5000,400,0.0000,1.0000
2018-07-18,13.5000,13.7500,13.5000,13.7500,13.7500,6900,0.0000,1.0000
2013-12-16,48.9000,49.5700,47.2200,47.2500,47.2500,6487415,0.0000,1.0000
2013-12-13,49.2700,49.4500,48.1700,48.6100,48.6100,251942,0.0000,1.0000
2013-12-12,49.4100,49.7600,49.0100,49.1600,49.1600,161532,0.0000,1.0000
2013-12-11,49.7700,50.0700,49.1500,49.2200,49.2200,182038,0.0800,1.0000
2013-12-10,50.3300,50.8100,49.7000,49.7300,49.6493,204193,0.0000,1.0000
2013-12-09,50.1700,50.7100,50.0100,50.3800,50.2982,208247,0.0000,1.0000
2013-12-06,50.3000,50.4000,49.8700,49.9400,49.8590,130705,0.0000,1.0000
2013-12-05,50.3700,50.7100,49.7400,50.0000,49.9189,144222,0.0000,1.0000
2013-12-04,50.2200,50.9900,50.0800,50.4100,50.3282,158932,0.0000,1.0000
2013-12-03,49.5400,50.2000,49.3800,49.6400,49.5594,211703,0.0000,1.0000
2013-12-02,50.2000,50.4100,49.5500,49.6400,49.5594,139024,0.0000,1.0000
2013-11-29,50.6400,50.8700,50.2300,50.3200,50.2383,45933,0.0000,1.0000
2013-11-27,50.5600,50.7200,50.2600,50.3900,50.3082,90467,0.0000,1.0000
2013-11-26,50.9000,51.1200,50.4500,50.7600,50.6776,67979,0.0000,1.0000
2013-11-25,51.0600,51.0600,50.4800,50.8800,50.7974,70487,0.0000,1.0000
