timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,29.2300,29.5000,29.2000,29.4800,29.4800,20292,0.0000,1.0000
2018-08-13,29.2500,29.2500,29.0000,29.2000,29.2000,124806,0.0000,1.0000
2018-08-10,29.2400,29.3000,29.0400,29.2000,29.2000,41884,0.0000,1.0000
2018-08-09,29.6600,29.6800,29.1500,29.4400,29.4400,14773,0.0000,1.0000
2018-08-08,29.1800,29.6800,29.0200,29.6800,29.6800,139203,0.0000,1.0000
2018-08-07,29.1700,29.2600,29.0380,29.1900,29.1900,11583,0.0000,1.0000
2018-08-06,29.2400,29.2400,28.6300,29.1800,29.1800,11188,0.0000,1.0000
2018-08-03,29.6700,29.7500,29.0200,29.1000,29.1000,14808,0.0000,1.0000
2018-08-02,29.6400,29.7800,29.2600,29.7500,29.7500,23007,0.0000,1.0000
2018-08-01,29.4000,29.6100,29.2300,29.4400,29.4400,11761,0.1600,1.0000
2018-07-31,29.4900,29.6800,29.3600,29.5400,29.3803,30606,0.0000,1.0000
2018-07-30,29.5600,29.8300,29.2900,29.3800,29.2212,21166,0.0000,1.0000
2018-07-27,29.8400,30.0100,29.3400,29.4500,29.2908,42132,0.0000,1.0000
2018-07-26,29.3100,29.8600,28.8600,29.8400,29.6787,21320,0.0000,1.0000
2018-07-25,29.4400,29.4400,29.0100,29.2400,29.0819,14848,0.0000,1.0000
2018-07-24,29.6000,29.6000,29.2200,29.3500,29.1914,11143,0.0000,1.0000
2018-07-23,29.1000,29.5500,29.1000,29.4500,29.2908,27237,0.0000,1.0000
2018-07-20,28.8300,29.1600,28.0300,29.0500,28.8930,27247,0.0000,1.0000
2018-07-19,28.6400,28.9900,28.6400,28.9100,28.7537,24936,0.0000,1.0000
2018-07-18,28.3900,28.7400,28.3600,28.7300,28.5747,26464,0.0000,1.0000
2018-07-17,28.4600,28.8900,28.3900,28.4300,28.2763,17349,0.0000,1.0000
2018-07-16,28.2700,28.5800,28.2600,28.5600,28.4056,20896,0.0000,1.0000
2018-07-13,28.6300,28.9400,28.2100,28.3300,28.1769,14015,0.0000,1.0000
2018-07-12,28.8800,28.8800,28.1300,28.5000,28.3459,26561,0.0000,1.0000
2018-07-11,28.8800,29.1900,28.1300,28.7500,28.5946,27712,0.0000,1.0000
2018-07-10,29.4400,29.4400,28.8400,28.9600,28.8035,20273,0.0000,1.0000
2018-07-09,29.0700,29.5700,29.0300,29.3500,29.1914,37170,0.0000,1.0000
2018-07-06,29.1000,29.3600,28.9400,29.0200,28.8631,19407,0.0000,1.0000
2018-07-05,28.8000,29.3400,28.7200,29.0900,28.9328,22508,0.0000,1.0000
2018-07-03,28.6800,29.0750,28.6800,28.7800,28.6244,18205,0.0000,1.0000
2018-07-02,28.1900,28.9700,28.1900,28.6000,28.4454,63270,0.0000,1.0000
2018-06-29,28.1300,28.3600,28.0400,28.2400,28.0874,50523,0.0000,1.0000
2018-06-28,27.8200,28.1700,27.3150,28.0100,27.8586,43616,0.0000,1.0000
2018-06-27,28.2200,28.3800,27.7700,27.7700,27.6199,22995,0.0000,1.0000
2018-06-26,28.7800,28.7800,27.6900,28.3300,28.1769,41827,0.0000,1.0000
2018-06-25,29.0500,29.1700,28.5800,28.7100,28.5548,74150,0.0000,1.0000
2018-06-22,29.3700,29.5600,28.8300,29.3200,29.1615,151267,0.0000,1.0000
2018-06-21,29.4800,29.5999,28.9100,29.2300,29.0720,33137,0.0000,1.0000
2018-06-20,29.6500,29.8800,29.3700,29.5500,29.3903,20782,0.0000,1.0000
2018-06-19,29.1500,29.6600,29.1500,29.5400,29.3803,19582,0.0000,1.0000
2018-06-18,28.9700,29.4000,28.8700,29.2300,29.0720,18935,0.0000,1.0000
2018-06-15,28.7900,29.2800,28.5300,28.9900,28.8333,35520,0.0000,1.0000
2018-06-14,28.9500,28.9500,28.4400,28.9100,28.7537,17308,0.0000,1.0000
2018-06-13,29.2800,29.4800,28.7006,28.8600,28.7040,10413,0.0000,1.0000
2018-06-12,29.1900,29.4300,28.5900,28.6800,28.5250,18514,0.0000,1.0000
2018-06-11,29.4400,29.4900,28.9900,29.1500,28.9924,16407,0.0000,1.0000
2018-06-08,29.5200,29.9600,29.4700,29.4800,29.3206,12764,0.0000,1.0000
2018-06-07,29.4400,29.7300,29.3500,29.6300,29.4698,18772,0.0000,1.0000
2018-06-06,29.2800,29.5000,29.0000,29.4500,29.2908,34894,0.0000,1.0000
2018-06-05,28.9600,29.3900,28.9600,29.2900,29.1317,24655,0.0000,1.0000
2018-06-04,28.5300,29.0500,28.5300,29.0000,28.8432,21455,0.0000,1.0000
2018-06-01,28.3600,28.6500,28.3600,28.5800,28.4255,17212,0.0000,1.0000
2018-05-31,28.3700,28.5400,28.1000,28.2400,28.0874,27841,0.0000,1.0000
2018-05-30,28.1700,28.6694,28.0900,28.3700,28.2166,24589,0.0000,1.0000
2018-05-29,28.3500,28.6000,27.9100,28.0900,27.9382,24664,0.0000,1.0000
2018-05-25,28.5100,28.8700,28.4410,28.5600,28.4056,14022,0.0000,1.0000
2018-05-24,28.8100,28.8100,28.2750,28.6000,28.4454,15179,0.0000,1.0000
2018-05-23,28.7100,28.9200,28.5000,28.8800,28.7239,11976,0.0000,1.0000
