timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,41.5700,42.3600,41.5700,42.1100,42.1100,248065,0.0000,1.0000
2018-08-13,41.9300,42.0000,41.3800,41.4200,41.4200,292083,0.0000,1.0000
2018-08-10,41.9900,42.2850,41.5500,41.9400,41.9400,286116,0.0000,1.0000
2018-08-09,42.4800,42.6500,42.1700,42.2900,42.2900,182611,0.0000,1.0000
2018-08-08,41.9700,42.6200,41.7800,42.4800,42.4800,264996,0.0000,1.0000
2018-08-07,42.1500,42.5000,41.8000,42.0000,42.0000,199087,0.0000,1.0000
2018-08-06,41.8800,42.0700,41.6100,42.0500,42.0500,257793,0.0000,1.0000
2018-08-03,42.4600,42.6400,41.8600,41.8800,41.8800,375369,0.0000,1.0000
2018-08-02,41.8400,42.5300,41.6400,42.4100,42.4100,320133,0.0000,1.0000
2018-08-01,41.6400,42.1000,41.5700,41.9500,41.9500,235080,0.0000,1.0000
2018-07-31,41.7600,41.8250,41.3100,41.5900,41.5900,400229,0.0000,1.0000
2018-07-30,41.9700,42.2700,41.7000,41.7300,41.7300,291934,0.0000,1.0000
2018-07-27,42.0000,42.2600,41.5500,41.8700,41.8700,332822,0.0000,1.0000
2018-07-26,41.5300,42.4000,41.5300,41.9000,41.9000,426906,0.0000,1.0000
2018-07-25,42.4300,42.4300,41.3300,41.4600,41.4600,578169,0.0000,1.0000
2018-07-24,42.8800,42.9099,42.2200,42.4600,42.4600,345417,0.0000,1.0000
2018-07-23,42.1200,43.0000,42.1200,42.7400,42.7400,459403,0.0000,1.0000
2018-07-20,42.0700,42.6200,41.6200,42.1100,42.1100,518582,0.0000,1.0000
2018-07-19,41.7100,42.5400,41.4600,42.1000,42.1000,1703381,0.0000,1.0000
2018-07-18,40.4500,41.0900,40.3500,41.0400,41.0400,461662,0.0000,1.0000
2018-07-17,40.7500,40.8700,40.3800,40.4200,40.4200,335471,0.0000,1.0000
2018-07-16,40.7000,40.9300,40.4200,40.6900,40.6900,403817,0.0000,1.0000
2018-07-13,41.1200,41.3500,40.5300,40.5600,40.5600,316456,0.0000,1.0000
2018-07-12,41.6600,41.6600,40.7400,41.2300,41.2300,341080,0.0000,1.0000
2018-07-11,41.3100,41.7370,41.2700,41.4800,41.4800,234215,0.0000,1.0000
2018-07-10,42.2400,42.5100,41.2500,41.6000,41.6000,504127,0.0000,1.0000
2018-07-09,41.3300,42.3800,41.3300,42.3300,42.3300,356464,0.0000,1.0000
2018-07-06,40.9700,41.3800,40.5900,41.1800,41.1800,223819,0.0000,1.0000
2018-07-05,41.0000,41.0750,40.5900,40.9600,40.9600,273231,0.0000,1.0000
2018-07-03,40.9500,41.0800,40.6300,40.6800,40.6800,153627,0.0000,1.0000
2018-07-02,40.3000,40.8900,40.2000,40.8900,40.8900,227820,0.0000,1.0000
2018-06-29,41.2000,41.4600,40.4800,40.4900,40.4900,408310,0.0000,1.0000
2018-06-28,41.0700,41.2300,40.6500,40.9000,40.9000,389633,0.0000,1.0000
2018-06-27,41.6600,41.7950,40.8700,40.9100,40.9100,299478,0.0000,1.0000
2018-06-26,41.9800,41.9800,41.3200,41.7900,41.7900,497037,0.0000,1.0000
2018-06-25,41.9300,42.2500,41.4900,41.9400,41.9400,410669,0.0000,1.0000
2018-06-22,42.9000,42.9400,41.8400,42.1900,42.1900,981358,0.0000,1.0000
2018-06-21,42.9500,43.1300,42.4700,42.6800,42.6800,258336,0.0000,1.0000
2018-06-20,43.2500,43.2600,42.4100,43.0500,43.0500,257095,0.0000,1.0000
2018-06-19,42.1700,43.0100,42.1700,42.9500,42.9500,383980,0.0000,1.0000
2018-06-18,42.2300,43.2800,42.0300,42.5900,42.5900,256168,0.0000,1.0000
2018-06-15,42.4900,42.8300,41.8300,42.5900,42.5900,1370235,0.0000,1.0000
2018-06-14,42.6000,42.6000,41.9400,42.4800,42.4800,410095,0.0000,1.0000
2018-06-13,42.6200,43.1800,42.3100,42.5600,42.5600,457935,0.0000,1.0000
2018-06-12,42.8200,42.9200,42.4000,42.6300,42.6300,489279,0.0000,1.0000
2018-06-11,43.7900,43.8400,42.6500,42.7800,42.7800,413393,0.0000,1.0000
2018-06-08,43.7700,43.9000,43.5300,43.6800,43.6800,431852,0.0000,1.0000
2018-06-07,43.8400,44.0500,43.4600,43.8000,43.8000,572673,0.0000,1.0000
2018-06-06,43.0000,43.6000,42.9600,43.6000,43.6000,388543,0.0000,1.0000
2018-06-05,42.9500,43.0900,42.5100,42.9200,42.9200,273420,0.0000,1.0000
2018-06-04,42.9400,43.1000,42.5000,43.0500,43.0500,249385,0.0000,1.0000
2018-06-01,42.6700,43.0900,42.5700,42.7000,42.7000,306327,0.0000,1.0000
2018-05-31,42.6800,42.9400,42.0300,42.1900,42.1900,331143,0.2400,1.0000
2018-05-30,42.5400,43.0800,42.2450,42.9300,42.6872,519463,0.0000,1.0000
2018-05-29,42.5700,42.7500,41.7900,42.1400,41.9016,491617,0.0000,1.0000
2018-05-25,42.5900,43.0200,42.5900,42.8300,42.5877,262255,0.0000,1.0000
2018-05-24,42.8000,42.8600,41.9300,42.8300,42.5877,261456,0.0000,1.0000
2018-05-23,42.7100,42.9800,42.5225,42.8700,42.6275,324458,0.0000,1.0000
2018-05-22,42.7300,43.2700,42.7300,42.9600,42.7170,260252,0.0000,1.0000
2018-05-21,42.1300,42.9200,42.1300,42.7300,42.4883,405061,0.0000,1.0000
2018-05-18,42.4000,42.4000,41.8800,42.0400,41.8022,470318,0.0000,1.0000
2018-05-17,41.8800,42.4200,41.6800,42.2600,42.0210,400981,0.0000,1.0000
2018-05-16,41.9300,42.2200,41.6200,41.8700,41.6332,615699,0.0000,1.0000
2018-05-15,41.6400,42.1050,41.5400,41.8600,41.6232,679532,0.0000,1.0000
2018-05-14,41.9600,42.0400,41.6900,41.7700,41.5337,338707,0.0000,1.0000
2018-05-11,41.8200,42.1700,41.6400,41.7600,41.5238,238361,0.0000,1.0000
2018-05-10,41.7500,41.8900,41.4200,41.7300,41.4940,270612,0.0000,1.0000
2018-05-09,41.6100,41.9900,41.2400,41.7400,41.5039,364857,0.0000,1.0000
2018-05-08,41.0700,41.7600,41.0700,41.4400,41.2056,299300,0.0000,1.0000
2018-05-07,40.9700,41.3600,40.6300,41.0800,40.8476,267351,0.0000,1.0000
2018-05-04,40.1300,41.3300,39.9200,40.8850,40.6537,278865,0.0000,1.0000
2018-05-03,40.7500,40.9500,39.9800,40.3900,40.1615,378894,0.0000,1.0000
2018-05-02,41.1900,41.6600,40.5500,41.0300,40.7979,510131,0.0000,1.0000
2018-05-01,39.8100,40.5200,39.3600,40.4000,40.1715,386367,0.0000,1.0000
2018-04-30,40.8600,41.1000,40.0000,40.0100,39.7837,286237,0.0000,1.0000
2018-04-27,40.5000,41.1800,40.5000,40.8600,40.6289,276679,0.0000,1.0000
2018-04-26,40.1700,41.0300,39.9400,40.5100,40.2809,440341,0.0000,1.0000
2018-04-25,40.2900,40.5600,39.9700,40.1000,39.8732,634465,0.0000,1.0000
2018-04-24,40.6800,41.1200,40.0900,40.3700,40.1417,665979,0.0000,1.0000
2018-04-23,40.3700,40.7500,40.2100,40.4600,40.2311,766368,0.0000,1.0000
2018-04-20,40.3200,40.5600,39.8600,40.1100,39.8831,587674,0.0000,1.0000
2018-04-19,41.0000,41.0000,39.7450,40.4600,40.2311,631198,0.0000,1.0000
2018-04-18,39.2800,39.4300,38.9500,39.3000,39.0777,540031,0.0000,1.0000
2018-04-17,39.8800,39.9500,39.0400,39.2300,39.0081,347163,0.0000,1.0000
2018-04-16,39.6700,39.9100,39.3700,39.7000,39.4754,332324,0.0000,1.0000
2018-04-13,40.4500,40.4500,39.3300,39.5000,39.2766,226340,0.0000,1.0000
2018-04-12,39.8200,40.3800,39.7100,40.1200,39.8931,185126,0.0000,1.0000
2018-04-11,39.4400,39.7100,39.2700,39.4900,39.2666,196652,0.0000,1.0000
2018-04-10,39.3500,40.0475,39.0200,39.7800,39.5550,371941,0.0000,1.0000
2018-04-09,39.2900,39.7800,38.7300,38.7600,38.5408,320726,0.0000,1.0000
2018-04-06,39.8400,39.9300,38.4600,38.9800,38.7595,327261,0.0000,1.0000
2018-04-05,40.1700,40.2300,39.8000,40.1700,39.9428,293735,0.0000,1.0000
2018-04-04,39.0400,40.0700,38.9100,39.9300,39.7041,286044,0.0000,1.0000
2018-04-03,39.1300,39.7500,38.9600,39.6600,39.4357,566181,0.0000,1.0000
2018-04-02,39.9500,40.1900,38.4900,38.9400,38.7197,312539,0.0000,1.0000
2018-03-29,40.1700,40.3900,39.8500,39.9800,39.7539,467094,0.0000,1.0000
2018-03-28,39.5900,40.1600,39.3000,39.8800,39.6544,300079,0.0000,1.0000
2018-03-27,40.2800,40.4100,39.2900,39.5100,39.2865,562380,0.0000,1.0000
2018-03-26,39.6800,40.2900,39.3500,40.2600,40.0323,412083,0.0000,1.0000
2018-03-23,41.0400,41.0700,39.0600,39.0600,38.8391,456741,0.0000,1.0000
2018-03-22,41.7600,41.9500,40.9900,40.9900,40.7581,659990,0.0000,1.0000
2018-03-21,42.4300,42.8200,41.5783,42.3500,42.1105,400061,0.0000,1.0000
2018-03-20,42.7900,42.8100,42.1200,42.2500,42.0110,208289,0.0000,1.0000
2018-03-19,42.8000,42.8000,42.0300,42.5800,42.3392,241220,0.0000,1.0000
2018-03-16,42.8700,43.2800,42.5000,42.8000,42.5579,1091318,0.0000,1.0000
2018-03-15,42.7400,42.8600,42.1600,42.8300,42.5877,287852,0.0000,1.0000
2018-03-14,43.3700,43.3700,42.4250,42.5600,42.3193,240927,0.0000,1.0000
2018-03-13,43.5500,43.7599,43.0800,43.2100,42.9656,324372,0.0000,1.0000
2018-03-12,43.8400,43.8900,43.1500,43.5100,43.2639,259409,0.0000,1.0000
2018-03-09,43.5700,43.9300,43.0900,43.8000,43.5523,224111,0.0000,1.0000
2018-03-08,43.4000,43.5200,42.5800,42.8500,42.6076,206566,0.0000,1.0000
2018-03-07,43.0100,43.7500,42.6850,43.2100,42.9656,575122,0.0000,1.0000
2018-03-06,42.5900,43.3100,42.1100,43.2600,43.0153,504576,0.0000,1.0000
2018-03-05,41.6200,42.6400,41.2400,42.3600,42.1204,270276,0.0000,1.0000
2018-03-02,40.9300,42.1300,40.5100,41.9500,41.7127,350574,0.0000,1.0000
2018-03-01,41.0000,41.4000,40.7700,41.2200,40.9868,424902,0.0000,1.0000
2018-02-28,42.1200,42.4800,41.0300,41.0600,40.8277,257189,0.2400,1.0000
2018-02-27,42.8700,43.5800,42.1700,42.2000,41.7175,249442,0.0000,1.0000
2018-02-26,42.9100,43.1400,42.4400,42.9800,42.4885,174821,0.0000,1.0000
2018-02-23,42.5100,42.7800,42.2600,42.7300,42.2414,267406,0.0000,1.0000
2018-02-22,43.0000,43.1950,42.2300,42.2400,41.7570,216940,0.0000,1.0000
2018-02-21,42.4900,43.2900,42.4600,42.8400,42.3501,324432,0.0000,1.0000
2018-02-20,42.9900,43.3600,42.3100,42.4100,41.9251,261493,0.0000,1.0000
2018-02-16,42.6600,43.5600,42.6600,43.2100,42.7159,187643,0.0000,1.0000
2018-02-15,43.0000,43.1900,42.4800,42.8800,42.3897,291168,0.0000,1.0000
2018-02-14,41.5400,42.8600,41.5400,42.7500,42.2612,242476,0.0000,1.0000
2018-02-13,41.3600,41.9800,41.2700,41.8000,41.3220,343381,0.0000,1.0000
2018-02-12,42.0900,42.4300,41.5200,41.7500,41.2726,501521,0.0000,1.0000
2018-02-09,42.1000,42.2100,40.7700,41.8900,41.4110,380686,0.0000,1.0000
2018-02-08,42.7400,42.8400,41.3700,41.3900,40.9167,372391,0.0000,1.0000
2018-02-07,41.9900,42.7600,41.8000,42.4800,41.9943,325978,0.0000,1.0000
2018-02-06,40.9400,42.3820,40.3600,42.0700,41.5889,561773,0.0000,1.0000
2018-02-05,43.6000,44.2500,41.7150,41.9300,41.4505,359165,0.0000,1.0000
2018-02-02,44.2100,44.9900,43.9500,44.0900,43.5858,377861,0.0000,1.0000
2018-02-01,43.6200,44.4900,42.9500,44.4900,43.9813,597089,0.0000,1.0000
2018-01-31,43.9100,44.6700,43.1061,43.7400,43.2398,598838,0.0000,1.0000
2018-01-30,43.6200,44.1100,43.3200,43.5300,43.0322,205189,0.0000,1.0000
2018-01-29,44.4800,44.7700,43.8600,43.8800,43.3782,333588,0.0000,1.0000
2018-01-26,44.7700,44.7700,44.0900,44.5900,44.0801,134933,0.0000,1.0000
2018-01-25,45.3200,45.4000,44.4100,44.6300,44.1197,247037,0.0000,1.0000
2018-01-24,45.4200,45.5900,44.9600,45.0900,44.5744,258728,0.0000,1.0000
2018-01-23,44.8200,45.4400,44.5650,45.2000,44.6832,263342,0.0000,1.0000
2018-01-22,44.6900,45.1200,44.3000,45.1200,44.6041,332028,0.0000,1.0000
2018-01-19,43.9800,44.7900,43.9800,44.7700,44.2581,240220,0.0000,1.0000
2018-01-18,44.5100,44.6700,44.0300,44.0800,43.5760,199469,0.0000,1.0000
2018-01-17,44.3300,44.6700,43.9150,44.5900,44.0801,151145,0.0000,1.0000
2018-01-16,44.9900,45.1800,43.9175,44.0900,43.5858,187729,0.0000,1.0000
2018-01-12,44.5200,45.0600,44.1400,44.7000,44.1889,279571,0.0000,1.0000
2018-01-11,43.9900,44.3200,43.6300,44.3200,43.8132,276023,0.0000,1.0000
2018-01-10,43.0000,44.1200,43.0000,43.5100,43.0125,217842,0.0000,1.0000
2018-01-09,42.7500,43.4600,42.6800,42.9900,42.4984,473887,0.0000,1.0000
2018-01-08,42.5200,42.7600,42.2200,42.6500,42.1623,240753,0.0000,1.0000
2018-01-05,42.4300,42.6100,42.1200,42.5700,42.0832,224232,0.0000,1.0000
2018-01-04,42.7000,42.9150,42.1000,42.1200,41.6384,425028,0.0000,1.0000
2018-01-03,42.4800,42.6850,41.9700,42.3200,41.8361,387739,0.0000,1.0000
2018-01-02,42.4200,42.6400,42.0150,42.6400,42.1524,498017,0.0000,1.0000
2017-12-29,42.8100,43.0500,42.1500,42.1700,41.6878,240641,0.0000,1.0000
2017-12-28,42.7800,42.8600,42.5500,42.8400,42.3501,103710,0.0000,1.0000
2017-12-27,42.8800,43.1600,42.5500,42.6700,42.1821,203391,0.0000,1.0000
2017-12-26,43.2000,43.3400,42.5300,42.7400,42.2513,248816,0.0000,1.0000
2017-12-22,43.6400,43.6400,42.9900,43.2600,42.7653,196778,0.0000,1.0000
2017-12-21,43.4700,43.9900,43.3100,43.6300,43.1311,209757,0.0000,1.0000
2017-12-20,43.7800,43.7800,42.6800,43.0600,42.5676,208386,0.0000,1.0000
2017-12-19,44.0400,44.0700,43.2200,43.3300,42.8345,273333,0.0000,1.0000
2017-12-18,43.4400,44.0900,43.3100,43.7500,43.2497,252043,0.0000,1.0000
