timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,5.7200,5.8800,5.6900,5.7400,5.7400,207792,0.0000,1.0000
2018-08-13,5.7000,5.9400,5.6232,5.7300,5.7300,256306,0.0000,1.0000
2018-08-10,5.5600,5.7900,5.5400,5.7100,5.7100,216541,0.0000,1.0000
2018-08-09,5.5000,5.6500,5.4800,5.5500,5.5500,223076,0.0000,1.0000
2018-08-08,5.3000,5.7800,5.2500,5.6100,5.6100,409764,0.0000,1.0000
2018-08-07,5.4100,5.4300,5.2300,5.3200,5.3200,224965,0.0000,1.0000
2018-08-06,5.4900,5.5200,5.3000,5.3900,5.3900,517039,0.0000,1.0000
2018-08-03,5.7400,5.7650,5.4600,5.5100,5.5100,262288,0.0000,1.0000
2018-08-02,5.6700,5.9900,5.6200,5.7400,5.7400,585769,0.0000,1.0000
2018-08-01,5.5500,5.9600,5.4700,5.6600,5.6600,337279,0.0000,1.0000
2018-07-31,5.4300,5.6400,5.3600,5.5700,5.5700,254340,0.0000,1.0000
2018-07-30,5.5600,5.5900,5.4000,5.4500,5.4500,240897,0.0000,1.0000
2018-07-27,5.6000,5.6709,5.4500,5.4700,5.4700,246399,0.0000,1.0000
2018-07-26,5.6400,5.7300,5.4111,5.6000,5.6000,433679,0.0000,1.0000
2018-07-25,5.7200,5.8300,5.6400,5.6600,5.6600,359039,0.0000,1.0000
2018-07-24,5.8500,5.8990,5.5000,5.7700,5.7700,861083,0.0000,1.0000
2018-07-23,6.1200,6.5700,5.8200,5.8700,5.8700,1673596,0.0000,1.0000
2018-07-20,5.6400,6.1000,5.6400,6.0700,6.0700,1192442,0.0000,1.0000
2018-07-19,5.4800,5.7800,5.2900,5.6700,5.6700,1363965,0.0000,1.0000
2018-07-18,5.4100,5.7490,5.4000,5.4800,5.4800,1294644,0.0000,1.0000
2018-07-17,4.8000,5.8500,4.6600,5.5000,5.5000,6482814,0.0000,1.0000
2018-07-16,4.6500,4.6700,4.3700,4.4700,4.4700,625267,0.0000,1.0000
2018-07-13,4.7400,4.7400,4.6100,4.6400,4.6400,529298,0.0000,1.0000
2018-07-12,4.7800,4.8000,4.6100,4.7500,4.7500,427992,0.0000,1.0000
2018-07-11,4.7600,4.8200,4.5500,4.7600,4.7600,718481,0.0000,1.0000
2018-07-10,4.4000,4.7800,4.3900,4.7700,4.7700,720277,0.0000,1.0000
2018-07-09,4.4400,4.4400,4.3600,4.3800,4.3800,667673,0.0000,1.0000
2018-07-06,4.2500,4.4400,4.2200,4.4000,4.4000,346792,0.0000,1.0000
2018-07-05,4.3800,4.4973,4.2200,4.2800,4.2800,416861,0.0000,1.0000
2018-07-03,4.2200,4.4000,4.1000,4.3400,4.3400,316421,0.0000,1.0000
2018-07-02,3.8600,4.3600,3.8600,4.2800,4.2800,620274,0.0000,1.0000
2018-06-29,3.9100,4.1900,3.8500,3.9200,3.9200,485759,0.0000,1.0000
2018-06-28,3.9200,4.0200,3.8500,3.8800,3.8800,266673,0.0000,1.0000
2018-06-27,3.6600,4.0300,3.6600,3.9300,3.9300,674165,0.0000,1.0000
2018-06-26,3.7300,3.9000,3.6500,3.7800,3.7800,543815,0.0000,1.0000
2018-06-25,3.9600,4.0800,3.6700,3.7600,3.7600,1419901,0.0000,1.0000
2018-06-22,3.3200,3.6000,3.2900,3.5300,3.5300,6114536,0.0000,1.0000
2018-06-21,3.3300,3.4200,3.2500,3.2700,3.2700,411039,0.0000,1.0000
2018-06-20,3.5000,3.5600,3.3400,3.3400,3.3400,216073,0.0000,1.0000
2018-06-19,3.4800,3.6050,3.4300,3.4800,3.4800,222395,0.0000,1.0000
2018-06-18,3.6000,3.6100,3.4800,3.4900,3.4900,282690,0.0000,1.0000
2018-06-15,3.6100,3.7150,3.6000,3.6200,3.6200,299515,0.0000,1.0000
2018-06-14,3.6700,3.7400,3.5500,3.6700,3.6700,235871,0.0000,1.0000
2018-06-13,3.7400,3.8200,3.5700,3.6400,3.6400,321610,0.0000,1.0000
2018-06-12,3.3200,3.7700,3.3200,3.7100,3.7100,814940,0.0000,1.0000
2018-06-11,3.3000,3.4000,3.2450,3.3600,3.3600,355494,0.0000,1.0000
2018-06-08,3.3200,3.4400,3.2400,3.2700,3.2700,164927,0.0000,1.0000
2018-06-07,3.3100,3.3600,3.2300,3.3100,3.3100,205641,0.0000,1.0000
2018-06-06,3.3500,3.4500,3.3200,3.3200,3.3200,171260,0.0000,1.0000
2018-06-05,3.3100,3.4000,3.2300,3.3500,3.3500,171390,0.0000,1.0000
2018-06-04,3.2700,3.3500,3.1700,3.3100,3.3100,218185,0.0000,1.0000
2018-06-01,3.1200,3.2700,3.1200,3.1900,3.1900,443645,0.0000,1.0000
2018-05-31,3.2500,3.3600,3.0500,3.1000,3.1000,457740,0.0000,1.0000
2018-05-30,3.3700,3.4900,3.2100,3.2300,3.2300,194589,0.0000,1.0000
2018-05-29,3.3900,3.4200,3.2400,3.3800,3.3800,248533,0.0000,1.0000
2018-05-25,3.4500,3.4500,3.3500,3.3900,3.3900,238101,0.0000,1.0000
2018-05-24,3.6900,3.6900,3.4300,3.4500,3.4500,465883,0.0000,1.0000
2018-05-23,3.6000,3.6200,3.5200,3.5600,3.5600,193147,0.0000,1.0000
2018-05-22,3.4700,3.6300,3.4300,3.5700,3.5700,220482,0.0000,1.0000
2018-05-21,3.4800,3.5025,3.3267,3.4500,3.4500,232952,0.0000,1.0000
2018-05-18,3.4800,3.5200,3.3500,3.3900,3.3900,234336,0.0000,1.0000
2018-05-17,3.5200,3.5600,3.4400,3.4700,3.4700,222558,0.0000,1.0000
2018-05-16,3.5600,3.6200,3.5100,3.5400,3.5400,161473,0.0000,1.0000
2018-05-15,3.6200,3.6600,3.5500,3.5800,3.5800,213791,0.0000,1.0000
2018-05-14,3.7100,3.7615,3.5900,3.6200,3.6200,445205,0.0000,1.0000
2018-05-11,3.6100,3.7200,3.6000,3.6800,3.6800,193283,0.0000,1.0000
2018-05-10,3.6500,3.7000,3.5200,3.6200,3.6200,133837,0.0000,1.0000
2018-05-09,3.6000,3.7500,3.5600,3.6200,3.6200,333491,0.0000,1.0000
2018-05-08,3.4800,3.6000,3.4514,3.5900,3.5900,191021,0.0000,1.0000
2018-05-07,3.3500,3.5800,3.3500,3.5000,3.5000,251411,0.0000,1.0000
2018-05-04,3.3800,3.4600,3.2800,3.3900,3.3900,196968,0.0000,1.0000
2018-05-03,3.4500,3.5400,3.3500,3.4200,3.4200,335588,0.0000,1.0000
2018-05-02,3.3800,3.6800,3.3800,3.4800,3.4800,402402,0.0000,1.0000
2018-05-01,3.6600,3.7000,3.3600,3.3800,3.3800,675056,0.0000,1.0000
2018-04-30,3.8100,3.9590,3.6600,3.6700,3.6700,863525,0.0000,1.0000
2018-04-27,3.8800,4.0000,3.7500,3.8000,3.8000,481303,0.0000,1.0000
2018-04-26,3.6900,3.9300,3.6600,3.9000,3.9000,704425,0.0000,1.0000
2018-04-25,3.8300,3.9600,3.6200,3.7400,3.7400,749728,0.0000,1.0000
2018-04-24,3.4000,4.0000,3.4000,3.8100,3.8100,1583471,0.0000,1.0000
2018-04-23,3.2800,3.4300,3.2106,3.3800,3.3800,234852,0.0000,1.0000
2018-04-20,3.3100,3.3100,3.2300,3.3000,3.3000,206627,0.0000,1.0000
2018-04-19,3.1600,3.3400,3.1000,3.2800,3.2800,238558,0.0000,1.0000
2018-04-18,3.2000,3.2000,3.0000,3.1300,3.1300,659431,0.0000,1.0000
2018-04-17,3.2800,3.3000,3.0400,3.2100,3.2100,537680,0.0000,1.0000
2018-04-16,3.4500,3.4900,3.2650,3.2800,3.2800,629075,0.0000,1.0000
2018-04-13,3.2900,3.4000,3.2700,3.3800,3.3800,241546,0.0000,1.0000
