timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,164.0000,166.5400,163.9700,166.3100,166.3100,1206439,0.0000,1.0000
2018-08-13,163.9900,166.0800,163.6200,163.9500,163.9500,1161892,0.0000,1.0000
2018-08-10,162.2600,164.2021,161.7700,163.9200,163.9200,1146207,0.0000,1.0000
2018-08-09,163.6900,163.8750,162.7100,162.9700,162.9700,887103,0.0000,1.0000
2018-08-08,163.4000,164.1800,162.0700,163.7400,163.7400,1187782,0.0000,1.0000
2018-08-07,162.6500,163.8500,162.0900,163.4200,163.4200,1011842,0.0000,1.0000
2018-08-06,161.6300,162.5700,161.3200,161.8700,161.8700,1106587,0.0000,1.0000
2018-08-03,161.1700,162.3500,159.9900,161.6300,161.6300,959298,0.0000,1.0000
2018-08-02,161.4300,162.2000,158.8600,161.0400,161.0400,1350527,0.0000,1.0000
2018-08-01,159.8600,163.5873,159.0700,161.4300,161.4300,1529914,0.0000,1.0000
2018-07-31,161.4900,161.8800,158.3450,159.1200,159.1200,1547716,0.0000,1.0000
2018-07-30,165.5000,165.7700,160.7900,161.2100,161.2100,1267181,0.0000,1.0000
2018-07-27,166.0000,166.9000,165.3900,165.4900,165.4900,1530543,0.0000,1.0000
2018-07-26,171.8900,171.9900,166.2600,166.4600,166.4600,2283098,0.0000,1.0000
2018-07-25,168.0000,169.9100,167.8500,169.5200,169.5200,1657006,0.0000,1.0000
2018-07-24,168.9600,169.5300,167.6700,168.4600,168.4600,1403322,0.0000,1.0000
2018-07-23,169.0000,169.7300,168.0300,169.3000,169.3000,1314778,0.0000,1.0000
2018-07-20,168.3800,169.1500,167.3300,169.0000,169.0000,979745,0.0000,1.0000
2018-07-19,170.7900,171.4800,168.7900,168.8500,168.8500,1290631,0.0000,1.0000
2018-07-18,169.4600,171.4900,169.1000,171.0200,171.0200,1029156,0.0000,1.0000
2018-07-17,168.2200,169.1800,167.3201,169.0200,169.0200,889377,0.0000,1.0000
2018-07-16,166.8300,168.4700,166.1500,168.2200,168.2200,721043,0.0000,1.0000
2018-07-13,166.9600,167.1800,165.1300,166.9100,166.9100,1021144,0.0000,1.0000
2018-07-12,166.4400,167.4000,164.9850,166.7000,166.7000,1236295,0.0000,1.0000
2018-07-11,162.8700,165.7900,162.1738,165.4300,165.4300,1407591,0.0000,1.0000
2018-07-10,163.6400,164.8900,162.5500,164.1700,164.1700,1400056,0.0000,1.0000
2018-07-09,161.2100,163.8000,161.0000,163.5300,163.5300,1652286,0.0000,1.0000
2018-07-06,160.0800,161.5300,159.5100,160.4300,160.4300,1574250,0.0000,1.0000
2018-07-05,161.4400,161.8800,159.3600,160.3000,160.3000,1334546,0.0000,1.0000
2018-07-03,164.0000,165.6499,160.7600,161.1200,161.1200,511956,0.0000,1.0000
2018-07-02,163.4800,164.0600,162.9800,163.9900,163.9900,917806,0.0000,1.0000
2018-06-29,164.6700,165.9300,163.8500,163.9200,163.9200,1686709,0.0000,1.0000
2018-06-28,163.6200,165.0000,162.3850,163.8600,163.8600,1100116,0.0000,1.0000
2018-06-27,163.0200,166.4400,162.5096,163.1900,163.1900,1406912,0.0000,1.0000
2018-06-26,166.8600,168.5500,165.2000,165.5500,165.5500,1646302,0.0000,1.0000
2018-06-25,168.2000,168.2000,165.1500,166.4900,166.4900,1327093,0.0000,1.0000
2018-06-22,168.8400,169.9700,167.7855,168.4200,168.4200,1967044,0.0000,1.0000
2018-06-21,167.0300,168.7700,165.1200,168.2200,168.2200,1408043,0.0000,1.0000
2018-06-20,167.8700,168.8700,167.0900,167.2100,167.2100,1231565,0.0000,1.0000
2018-06-19,167.8500,168.7200,166.4000,166.9600,166.9600,2017398,0.0000,1.0000
2018-06-18,169.0000,169.7200,168.3800,169.2000,169.2000,1117226,0.0000,1.0000
2018-06-15,168.1000,170.4000,167.2100,169.8300,169.8300,2074769,0.0000,1.0000
2018-06-14,170.7900,172.2100,168.1700,168.8600,168.8600,1684597,0.0000,1.0000
2018-06-13,170.2800,171.6700,169.1200,170.4800,170.4800,1547596,0.0000,1.0000
2018-06-12,170.3400,170.9000,168.6600,170.2200,170.2200,1217646,0.0000,1.0000
2018-06-11,171.2500,171.4300,169.6400,170.6300,170.6300,1449922,0.0000,1.0000
2018-06-08,171.4100,171.6900,169.6900,170.9700,170.9700,1428055,0.0000,1.0000
2018-06-07,173.4900,173.7600,170.8030,171.7400,171.7400,1926915,0.7000,1.0000
2018-06-06,171.2100,174.3600,170.7200,173.5400,172.8355,2257347,0.0000,1.0000
2018-06-05,169.0800,170.7900,169.0800,170.4600,169.7680,2619253,0.0000,1.0000
2018-06-04,167.6700,170.4800,167.5200,170.3000,169.6087,1984823,0.0000,1.0000
