timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,9.9001,9.9700,9.9001,9.9700,9.9700,1125,0.0000,1.0000
2018-08-13,9.9300,9.9300,9.8500,9.9300,9.9300,9029,0.0000,1.0000
2018-08-10,9.9400,9.9400,9.9200,9.9400,9.9400,1490,0.0000,1.0000
2018-08-09,9.9500,9.9500,9.9400,9.9400,9.9400,1100,0.0000,1.0000
2018-08-08,9.9400,9.9400,9.9400,9.9400,9.9400,1176,0.0000,1.0000
2018-08-07,9.9500,9.9600,9.9400,9.9400,9.9400,22630,0.0000,1.0000
2018-08-06,9.9600,9.9650,9.9300,9.9500,9.9500,182298,0.0000,1.0000
2018-08-03,10.0150,10.0150,9.9500,9.9500,9.9500,20938,0.0000,1.0000
2018-08-02,9.9501,9.9700,9.9500,9.9500,9.9500,5331,0.0000,1.0000
2018-08-01,9.9600,9.9600,9.9600,9.9600,9.9600,4567,0.0000,1.0000
2018-07-31,9.9500,9.9550,9.9300,9.9500,9.9500,351140,0.0000,1.0000
2018-07-30,9.9900,9.9900,9.9500,9.9500,9.9500,6812,0.0000,1.0000
2018-07-27,9.9500,9.9500,9.9500,9.9500,9.9500,8522,0.0000,1.0000
2018-07-26,10.0300,10.0300,9.9500,9.9500,9.9500,755458,0.0000,1.0000
2018-07-25,9.9500,10.0700,9.9500,10.0300,10.0300,16594,0.0000,1.0000
2018-07-24,9.8900,11.0000,9.8900,10.0900,10.0900,16629,0.0000,1.0000
2018-07-23,9.9000,9.9000,9.8950,9.8950,9.8950,6091,0.0000,1.0000
2018-07-20,9.8600,9.9000,9.8600,9.9000,9.9000,175015,0.0000,1.0000
2018-07-19,9.8800,9.8800,9.8800,9.8800,9.8800,13000,0.0000,1.0000
2018-07-18,9.8750,9.8800,9.8750,9.8800,9.8800,29078,0.0000,1.0000
2018-07-17,9.8800,9.8800,9.8800,9.8800,9.8800,100,0.0000,1.0000
2018-07-16,9.8800,9.8800,9.8800,9.8800,9.8800,0,0.0000,1.0000
2018-07-13,9.8800,9.8800,9.8800,9.8800,9.8800,0,0.0000,1.0000
2018-07-12,9.8800,9.8800,9.8800,9.8800,9.8800,0,0.0000,1.0000
2018-07-11,9.8800,9.8800,9.8800,9.8800,9.8800,0,0.0000,1.0000
2018-07-10,9.8800,9.8800,9.8800,9.8800,9.8800,0,0.0000,1.0000
2018-07-09,9.8800,9.8800,9.8800,9.8800,9.8800,97,0.0000,1.0000
2018-07-06,9.8700,9.8800,9.8700,9.8800,9.8800,3021,0.0000,1.0000
2018-07-05,9.8900,9.8900,9.8900,9.8900,9.8900,694,0.0000,1.0000
2018-07-03,9.8900,9.8900,9.8500,9.8900,9.8900,53220,0.0000,1.0000
2018-07-02,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,1.0000
2018-06-29,9.8600,9.8900,9.8500,9.8900,9.8900,35872,0.0000,1.0000
2018-06-28,9.8700,9.8700,9.8700,9.8700,9.8700,11586,0.0000,1.0000
2018-06-27,9.8900,9.8900,9.8900,9.8900,9.8900,336,0.0000,1.0000
2018-06-26,9.8600,9.8900,9.8500,9.8900,9.8900,19924,0.0000,1.0000
2018-06-25,9.8800,9.8900,9.8600,9.8900,9.8900,30526,0.0000,1.0000
2018-06-22,9.8900,9.9200,9.8900,9.9200,9.9200,2179,0.0000,1.0000
2018-06-21,9.8900,9.9200,9.8900,9.9200,9.9200,3400,0.0000,1.0000
2018-06-20,9.9100,9.9100,9.9000,9.9100,9.9100,1860,0.0000,1.0000
2018-06-19,9.8901,9.9000,9.8901,9.9000,9.9000,675,0.0000,1.0000
2018-06-18,9.8900,9.9000,9.8900,9.9000,9.9000,512,0.0000,1.0000
2018-06-15,9.8600,9.9000,9.8600,9.9000,9.9000,201527,0.0000,1.0000
2018-06-14,9.9000,9.9000,9.8900,9.8900,9.8900,265605,0.0000,1.0000
2018-06-13,9.9000,9.9000,9.8700,9.8700,9.8700,4343,0.0000,1.0000
2018-06-12,9.9000,9.9000,9.8750,9.9000,9.9000,5476,0.0000,1.0000
2018-06-11,9.8700,9.8900,9.8500,9.8900,9.8900,107185,0.0000,1.0000
2018-06-08,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-06-07,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-06-06,9.8500,9.8500,9.8500,9.8500,9.8500,100,0.0000,1.0000
2018-06-05,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-06-04,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-06-01,9.8600,9.8600,9.8300,9.8500,9.8500,26600,0.0000,1.0000
2018-05-31,9.8300,9.8359,9.8200,9.8200,9.8200,22300,0.0000,1.0000
2018-05-30,9.8200,9.8200,9.8200,9.8200,9.8200,575,0.0000,1.0000
2018-05-29,9.8300,9.8300,9.8200,9.8200,9.8200,45900,0.0000,1.0000
2018-05-25,9.8600,9.8600,9.8300,9.8300,9.8300,19162,0.0000,1.0000
2018-05-24,9.8300,9.8700,9.8000,9.8400,9.8400,317400,0.0000,1.0000
2018-05-23,9.8001,9.8001,9.8001,9.8001,9.8001,0,0.0000,1.0000
2018-05-22,9.7800,9.8200,9.7800,9.8001,9.8001,18100,0.0000,1.0000
2018-05-21,9.7850,9.7850,9.7850,9.7850,9.7850,0,0.0000,1.0000
2018-05-18,9.7850,9.7850,9.7850,9.7850,9.7850,0,0.0000,1.0000
2018-05-17,9.7850,9.7850,9.7850,9.7850,9.7850,0,0.0000,1.0000
2018-05-16,9.7900,9.7900,9.7800,9.7850,9.7850,4000,0.0000,1.0000
2018-05-15,9.7400,9.7400,9.7400,9.7400,9.7400,178600,0.0000,1.0000
2018-05-14,9.7800,9.7900,9.7800,9.7900,9.7900,801,0.0000,1.0000
2018-05-11,9.7400,9.7400,9.7400,9.7400,9.7400,0,0.0000,1.0000
2018-05-10,9.7400,9.7400,9.7400,9.7400,9.7400,100000,0.0000,1.0000
2018-05-09,9.7400,9.7800,9.7400,9.7800,9.7800,103800,0.0000,1.0000
2018-05-08,9.7400,9.7800,9.7200,9.7400,9.7400,150201,0.0000,1.0000
2018-05-07,9.7208,9.7208,9.7200,9.7200,9.7200,200,0.0000,1.0000
2018-05-04,9.7500,9.7500,9.7500,9.7500,9.7500,0,0.0000,1.0000
2018-05-03,9.7500,9.7500,9.7500,9.7500,9.7500,0,0.0000,1.0000
2018-05-02,9.7500,9.7500,9.7500,9.7500,9.7500,23,0.0000,1.0000
2018-05-01,9.7500,9.7500,9.7500,9.7500,9.7500,44,0.0000,1.0000
2018-04-30,9.7500,9.7500,9.7500,9.7500,9.7500,77300,0.0000,1.0000
2018-04-27,9.7201,9.7201,9.7201,9.7201,9.7201,44,0.0000,1.0000
2018-04-26,9.7201,9.7201,9.7201,9.7201,9.7201,44,0.0000,1.0000
2018-04-25,9.7200,9.7200,9.7200,9.7200,9.7200,1400,0.0000,1.0000
2018-04-24,9.7700,9.7700,9.7700,9.7700,9.7700,44,0.0000,1.0000
2018-04-23,9.7700,9.7700,9.7700,9.7700,9.7700,43,0.0000,1.0000
2018-04-20,9.7700,9.7700,9.7700,9.7700,9.7700,42,0.0000,1.0000
2018-04-19,9.7700,9.7700,9.7700,9.7700,9.7700,44,0.0000,1.0000
2018-04-18,9.7700,9.7700,9.7700,9.7700,9.7700,47,0.0000,1.0000
2018-04-17,9.7700,9.7700,9.7700,9.7700,9.7700,71,0.0000,1.0000
2018-04-16,9.8200,9.8200,9.7700,9.7700,9.7700,5676,0.0000,1.0000
2018-04-13,9.7700,9.8100,9.7500,9.8100,9.8100,430,0.0000,1.0000
2018-04-12,9.7500,9.7500,9.7100,9.7400,9.7400,79645,0.0000,1.0000
2018-04-11,9.7000,9.8000,9.7000,9.8000,9.8000,445,0.0000,1.0000
2018-04-10,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,1.0000
2018-04-09,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,1.0000
2018-04-06,9.7000,9.7900,9.7000,9.7900,9.7900,2267,0.0000,1.0000
2018-04-05,9.8200,9.8200,9.7000,9.7000,9.7000,5265,0.0000,1.0000
2018-04-04,9.7000,9.7000,9.7000,9.7000,9.7000,3934,0.0000,1.0000
2018-04-03,9.8200,9.8200,9.7400,9.7500,9.7500,2800,0.0000,1.0000
2018-04-02,9.7400,9.7400,9.7400,9.7400,9.7400,0,0.0000,1.0000
