timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.5500,0.5500,0.5500,0.5500,0.5500,5900,0.0000,1.0000
2018-08-13,0.5500,0.5500,0.5500,0.5500,0.5500,3600,0.0000,1.0000
2018-08-09,0.5500,0.5500,0.5400,0.5499,0.5499,34700,0.0000,1.0000
2018-08-08,0.5400,0.5500,0.5400,0.5500,0.5500,19000,0.0000,1.0000
2018-08-07,0.5500,0.5650,0.5292,0.5500,0.5500,64000,0.0000,1.0000
2018-08-06,0.5500,0.5500,0.5400,0.5500,0.5500,111159,0.0000,1.0000
2018-08-02,0.5000,0.5000,0.4541,0.5000,0.5000,75700,0.0000,1.0000
2018-08-01,0.4600,0.6538,0.4600,0.5300,0.5300,26441,0.0000,1.0000
2018-07-31,0.4150,0.4400,0.4150,0.4400,0.4400,320725,0.0000,1.0000
2018-07-25,0.4199,0.4200,0.4199,0.4200,0.4200,36000,0.0000,1.0000
2018-07-24,0.4000,0.4000,0.4000,0.4000,0.4000,50000,0.0000,1.0000
2018-07-23,0.3999,0.4000,0.3999,0.4000,0.4000,25000,0.0000,1.0000
2018-07-20,0.4000,0.4000,0.4000,0.4000,0.4000,1500,0.0000,1.0000
2018-07-19,0.3611,0.4000,0.3611,0.4000,0.4000,14900,0.0000,1.0000
2018-07-12,0.3600,0.3600,0.3600,0.3600,0.3600,1500,0.0000,1.0000
2018-07-09,0.3500,0.3500,0.3500,0.3500,0.3500,100,0.0000,1.0000
2018-07-06,0.3200,0.3201,0.3200,0.3201,0.3201,35100,0.0000,1.0000
2018-07-05,0.3300,0.3316,0.3200,0.3200,0.3200,10100,0.0000,1.0000
2018-06-28,0.3200,0.3200,0.3200,0.3200,0.3200,11160,0.0000,1.0000
2018-06-26,0.3600,0.3600,0.3500,0.3500,0.3500,200,0.0000,1.0000
2018-06-22,0.3200,0.3201,0.3200,0.3200,0.3200,59100,0.0000,1.0000
2018-06-21,0.3201,0.3201,0.3200,0.3200,0.3200,10900,0.0000,1.0000
2018-06-20,0.3800,0.3800,0.3800,0.3800,0.3800,30000,0.0000,1.0000
2018-06-18,0.3700,0.4000,0.3700,0.3800,0.3800,3200,0.0000,1.0000
2018-06-15,0.3600,0.3600,0.3600,0.3600,0.3600,1500,0.0000,1.0000
2018-06-14,0.3600,0.3600,0.3600,0.3600,0.3600,2713,0.0000,1.0000
2018-06-13,0.3500,0.3500,0.3500,0.3500,0.3500,1000,0.0000,1.0000
2018-06-08,0.3500,0.3500,0.3500,0.3500,0.3500,154568,0.0000,1.0000
2018-06-07,0.3400,0.3490,0.3200,0.3300,0.3300,127804,0.0000,1.0000
2018-06-06,0.3200,0.3200,0.3200,0.3200,0.3200,100000,0.0000,1.0000
2018-05-22,0.2700,0.2701,0.2700,0.2701,0.2701,10000,0.0000,1.0000
2018-05-21,0.3400,0.3400,0.3400,0.3400,0.3400,200,0.0000,1.0000
2018-05-08,0.2800,0.3100,0.2700,0.3100,0.3100,169900,0.0000,1.0000
2018-05-03,0.3110,0.3238,0.3110,0.3238,0.3238,400,0.0000,1.0000
2018-05-02,0.3400,0.3400,0.3400,0.3400,0.3400,1,0.0000,1.0000
2018-04-30,0.3400,0.3400,0.3400,0.3400,0.3400,7646,0.0000,1.0000
2018-04-24,0.3200,0.3216,0.3200,0.3200,0.3200,7100,0.0000,1.0000
2018-04-23,0.3499,0.3499,0.3200,0.3200,0.3200,50100,0.0000,1.0000
2018-04-09,0.3150,0.3200,0.3150,0.3200,0.3200,216312,0.0000,1.0000
2018-04-06,0.3200,0.3200,0.3100,0.3100,0.3100,52054,0.0000,1.0000
2018-04-05,0.3000,0.3100,0.3000,0.3100,0.3100,5104,0.0000,1.0000
2018-03-27,0.3500,0.3500,0.3200,0.3200,0.3200,116500,0.0000,1.0000
2018-03-26,0.3000,0.3000,0.2924,0.2924,0.2924,252000,0.0000,1.0000
2018-03-22,0.3200,0.3200,0.3200,0.3200,0.3200,49988,0.0000,1.0000
2018-03-20,0.3200,0.3200,0.3200,0.3200,0.3200,1000,0.0000,1.0000
2018-03-19,0.3292,0.3465,0.3292,0.3300,0.3300,23500,0.0000,1.0000
2018-03-15,0.3100,0.3497,0.3100,0.3497,0.3497,238186,0.0000,1.0000
