timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.0000,0.0000,0.0000,0.5500,0.5500,0,0.0000,1.0000
2018-08-13,0.5300,0.5500,0.5300,0.5500,0.5500,70625,0.0000,1.0000
2018-08-09,0.5300,0.5300,0.5100,0.5200,0.5200,13050,0.0000,1.0000
2018-08-08,0.5300,0.5300,0.5022,0.5022,0.5022,1595,0.0000,1.0000
2018-08-07,0.4700,0.5400,0.4650,0.5400,0.5400,127753,0.0000,1.0000
2018-08-06,0.4500,0.4500,0.4500,0.4500,0.4500,8450,0.0000,1.0000
2018-08-02,0.4500,0.4500,0.4500,0.4500,0.4500,3000,0.0000,1.0000
2018-08-01,0.4500,0.4500,0.4500,0.4500,0.4500,5000,0.0000,1.0000
2018-07-31,0.4200,0.4300,0.4200,0.4300,0.4300,158797,0.0000,1.0000
2018-07-26,0.4300,0.4300,0.4300,0.4300,0.4300,6100,0.0000,1.0000
2018-07-23,0.3800,0.3800,0.3800,0.3800,0.3800,7500,0.0000,1.0000
2018-07-10,0.3800,0.3800,0.3800,0.3800,0.3800,17500,0.0000,1.0000
2018-07-06,0.3800,0.3800,0.3800,0.3800,0.3800,3000,0.0000,1.0000
2018-07-05,0.3800,0.3819,0.3800,0.3819,0.3819,400,0.0000,1.0000
2018-06-29,0.4200,0.4300,0.3925,0.3950,0.3950,23000,0.0000,1.0000
2018-06-26,0.3500,0.4100,0.3500,0.4100,0.4100,24680,0.0000,1.0000
2018-06-21,0.3800,0.3800,0.3500,0.3800,0.3800,35000,0.0000,1.0000
2018-06-18,0.4000,0.4000,0.4000,0.4000,0.4000,50,0.0000,1.0000
2018-06-14,0.4000,0.4010,0.4000,0.4000,0.4000,177800,0.0000,1.0000
2018-06-12,0.4000,0.4000,0.3999,0.3999,0.3999,200,0.0000,1.0000
2018-06-07,0.3600,0.3600,0.3600,0.3600,0.3600,50000,0.0000,1.0000
2018-05-31,0.3800,0.3800,0.3800,0.3800,0.3800,100,0.0000,1.0000
2018-05-30,0.4000,0.4000,0.4000,0.4000,0.4000,500,0.0000,1.0000
2018-05-25,0.4200,0.4300,0.4200,0.4300,0.4300,1000,0.0000,1.0000
2018-05-24,0.2900,0.3526,0.2800,0.3526,0.3526,1200,0.0000,1.0000
2018-05-22,0.3900,0.4700,0.3900,0.4000,0.4000,14400,0.0000,1.0000
2018-05-21,0.3900,0.3900,0.3900,0.3900,0.3900,200,0.0000,1.0000
2018-05-09,0.3798,0.3999,0.3798,0.3899,0.3899,34000,0.0000,1.0000
2018-05-08,0.3600,0.3600,0.3500,0.3500,0.3500,51054,0.0000,1.0000
2018-05-07,0.3700,0.3700,0.3700,0.3700,0.3700,200,0.0000,1.0000
2018-05-04,0.3799,0.3799,0.3700,0.3700,0.3700,2000,0.0000,1.0000
2018-05-02,0.3600,0.3797,0.3600,0.3797,0.3797,89428,0.0000,1.0000
2018-05-01,0.3500,0.3500,0.3500,0.3500,0.3500,450,0.0000,1.0000
2018-04-30,0.3799,0.3799,0.3799,0.3799,0.3799,300,0.0000,1.0000
2018-04-27,0.3799,0.3799,0.3799,0.3799,0.3799,1200,0.0000,1.0000
2018-04-24,0.3786,0.3786,0.3786,0.3786,0.3786,1000,0.0000,1.0000
2018-04-23,0.4000,0.4000,0.3700,0.3798,0.3798,45700,0.0000,1.0000
2018-04-18,0.4000,0.4000,0.3999,0.3999,0.3999,405,0.0000,1.0000
2018-04-17,0.3500,0.3998,0.3500,0.3500,0.3500,277600,0.0000,1.0000
2018-04-16,0.3500,0.3998,0.3500,0.3699,0.3699,75400,0.0000,1.0000
2018-04-13,0.3700,0.3700,0.3700,0.3700,0.3700,2000,0.0000,1.0000
2018-04-12,0.3500,0.3799,0.3200,0.3630,0.3630,1105,0.0000,1.0000
2018-04-11,0.3730,0.3952,0.3200,0.3800,0.3800,74900,0.0000,1.0000
2018-04-06,0.3200,0.3200,0.3200,0.3200,0.3200,50000,0.0000,1.0000
2018-04-05,0.3300,0.3300,0.3300,0.3300,0.3300,500,0.0000,1.0000
2018-04-04,0.2937,0.3766,0.2937,0.3766,0.3766,200,0.0000,1.0000
2018-04-03,0.3300,0.3400,0.3300,0.3400,0.3400,300,0.0000,1.0000
2018-04-02,0.3300,0.3300,0.3300,0.3300,0.3300,350,0.0000,1.0000
2018-03-29,0.3500,0.3500,0.3500,0.3500,0.3500,1000,0.0000,1.0000
2018-03-28,0.3100,0.3100,0.3100,0.3100,0.3100,2500,0.0000,1.0000
