timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,24.8000,25.4000,24.8000,25.3000,25.3000,101258,0.0000,1.0000
2018-08-13,25.3500,25.3500,24.7750,24.8000,24.8000,109571,0.0000,1.0000
2018-08-10,25.1000,25.3500,24.9000,25.3000,25.3000,71817,0.0000,1.0000
2018-08-09,25.0000,25.3000,24.8726,25.3000,25.3000,129359,0.0000,1.0000
2018-08-08,24.5500,25.0500,24.4500,25.0500,25.0500,113175,0.0000,1.0000
2018-08-07,24.7000,24.9500,24.5500,24.6000,24.6000,65293,0.0000,1.0000
2018-08-06,24.5500,24.6500,24.4500,24.6000,24.6000,107889,0.0000,1.0000
2018-08-03,25.1500,25.2000,24.6000,24.6000,24.6000,64741,0.0000,1.0000
2018-08-02,25.0000,25.2250,24.7500,25.1000,25.1000,65780,0.0000,1.0000
2018-08-01,24.9000,25.2000,24.8000,25.0000,25.0000,118034,0.0000,1.0000
2018-07-31,24.8000,25.1000,24.6500,24.8000,24.8000,224497,0.0000,1.0000
2018-07-30,24.8500,25.1500,24.7500,24.7500,24.7500,221040,0.0000,1.0000
2018-07-27,25.3000,25.4750,24.9000,24.9000,24.9000,81017,0.0000,1.0000
2018-07-26,24.7000,25.5750,24.7000,25.3000,25.3000,165971,0.0000,1.0000
2018-07-25,25.3500,25.4000,24.6000,24.6500,24.6500,132589,0.0000,1.0000
2018-07-24,25.6500,25.6500,25.1500,25.2500,25.2500,95891,0.0000,1.0000
2018-07-23,25.3500,25.7000,25.3500,25.5500,25.5500,70336,0.0000,1.0000
2018-07-20,25.3500,25.6000,25.2500,25.3500,25.3500,82832,0.0000,1.0000
2018-07-19,25.3000,25.4500,24.9000,25.3500,25.3500,163944,0.0000,1.0000
2018-07-18,25.0500,25.3500,25.0500,25.2500,25.2500,95901,0.0000,1.0000
2018-07-17,25.4000,25.6500,25.1000,25.1500,25.1500,92200,0.0000,1.0000
2018-07-16,25.3000,25.7000,25.1500,25.4500,25.4500,65874,0.0000,1.0000
2018-07-13,25.2500,25.6500,25.1000,25.1000,25.1000,77422,0.0750,1.0000
2018-07-12,26.4000,26.7000,25.2500,25.4000,25.3243,204958,0.0000,1.0000
2018-07-11,25.2000,25.4000,25.0500,25.1500,25.0751,57583,0.0000,1.0000
2018-07-10,25.6500,25.7500,25.0500,25.2000,25.1249,76809,0.0000,1.0000
2018-07-09,25.3000,25.7500,25.3000,25.7000,25.6234,145835,0.0000,1.0000
2018-07-06,25.1000,25.3500,25.0500,25.1500,25.0751,112382,0.0000,1.0000
2018-07-05,25.3000,25.4000,25.1500,25.3000,25.2246,80371,0.0000,1.0000
2018-07-03,25.7000,25.8000,25.3000,25.3000,25.2246,43832,0.0000,1.0000
2018-07-02,24.8500,25.7000,24.8500,25.7000,25.6234,149974,0.0000,1.0000
2018-06-29,25.2000,25.3500,24.8750,24.9000,24.8258,150337,0.0000,1.0000
2018-06-28,25.1000,25.3500,25.0500,25.1500,25.0751,75644,0.0000,1.0000
2018-06-27,25.5500,25.7500,25.0000,25.1500,25.0751,145348,0.0000,1.0000
2018-06-26,25.8000,25.8000,25.5000,25.5000,25.4240,117565,0.0000,1.0000
2018-06-25,26.0000,26.1000,25.6000,25.7000,25.6234,128041,0.0000,1.0000
2018-06-22,26.3500,26.5500,25.9500,26.2000,26.1219,165337,0.0000,1.0000
