timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,3.0400,3.0500,3.0200,3.0500,3.0500,319305,0.0000,1.0000
2018-08-13,3.0300,3.0400,3.0010,3.0200,3.0200,396888,0.0000,1.0000
2018-08-10,3.0500,3.0600,3.0200,3.0400,3.0400,163390,0.0000,1.0000
2018-08-09,3.0400,3.0599,3.0300,3.0400,3.0400,186513,0.0000,1.0000
2018-08-08,3.0400,3.0550,3.0300,3.0500,3.0500,159668,0.0000,1.0000
2018-08-07,3.0600,3.0700,3.0400,3.0450,3.0450,331558,0.0000,1.0000
2018-08-06,3.0900,3.0900,3.0500,3.0600,3.0600,245903,0.0000,1.0000
2018-08-03,3.0700,3.0900,3.0500,3.0600,3.0600,309181,0.0000,1.0000
2018-08-02,3.0500,3.0900,3.0200,3.0800,3.0800,307519,0.0000,1.0000
2018-08-01,3.0500,3.0608,3.0200,3.0400,3.0400,381015,0.0800,1.0000
2018-07-31,3.1000,3.1090,3.0700,3.1000,3.0205,478895,0.0000,1.0000
2018-07-30,3.1500,3.1600,3.0700,3.0700,2.9913,444842,0.0000,1.0000
2018-07-27,3.1400,3.1590,3.1200,3.1500,3.0692,321479,0.0000,1.0000
2018-07-26,3.1200,3.1700,3.1115,3.1600,3.0790,270731,0.0000,1.0000
2018-07-25,3.1500,3.1500,3.1000,3.1200,3.0400,218675,0.0000,1.0000
2018-07-24,3.1600,3.1600,3.1200,3.1400,3.0595,201860,0.0000,1.0000
2018-07-23,3.1500,3.1700,3.1200,3.1500,3.0692,321196,0.0000,1.0000
2018-07-20,3.1800,3.1860,3.1100,3.1200,3.0400,248731,0.0000,1.0000
2018-07-19,3.0600,3.1900,3.0600,3.1800,3.0985,498556,0.0000,1.0000
2018-07-18,3.0600,3.0800,3.0400,3.0600,2.9815,202273,0.0000,1.0000
2018-07-17,3.0400,3.0600,3.0100,3.0500,2.9718,360243,0.0000,1.0000
2018-07-16,3.0500,3.0700,3.0200,3.0300,2.9523,454549,0.0000,1.0000
2018-07-13,3.0700,3.0800,3.0500,3.0500,2.9718,262243,0.0000,1.0000
2018-07-12,3.0700,3.1178,3.0600,3.0700,2.9913,277600,0.0000,1.0000
2018-07-11,3.1400,3.1599,3.0700,3.0700,2.9913,289663,0.0000,1.0000
2018-07-10,3.1700,3.2000,3.1400,3.1400,3.0595,386091,0.0000,1.0000
2018-07-09,3.1800,3.2000,3.1600,3.1800,3.0985,371286,0.0000,1.0000
2018-07-06,3.1700,3.2250,3.1600,3.2000,3.1179,552197,0.0000,1.0000
2018-07-05,3.0900,3.1700,3.0900,3.1600,3.0790,782108,0.0000,1.0000
2018-07-03,3.0500,3.1100,3.0400,3.1000,3.0205,1238175,0.0000,1.0000
2018-07-02,3.0600,3.0611,3.0300,3.0400,2.9621,311632,0.0000,1.0000
2018-06-29,3.0500,3.0890,3.0300,3.0600,2.9815,830024,0.0000,1.0000
2018-06-28,3.0700,3.0700,3.0300,3.0500,2.9718,470719,0.0000,1.0000
2018-06-27,3.0500,3.0900,3.0500,3.0750,2.9962,387366,0.0000,1.0000
