timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.7100,0.7100,0.6800,0.6825,0.6825,29970,0.0000,1.0000
2018-08-13,0.7100,0.7100,0.6850,0.6999,0.6999,218121,0.0000,1.0000
2018-08-10,0.7499,0.7499,0.7100,0.7196,0.7196,122274,0.0000,1.0000
2018-08-09,0.7665,0.7691,0.7210,0.7301,0.7301,171603,0.0000,1.0000
2018-08-08,0.7700,0.8025,0.7256,0.7300,0.7300,356891,0.0000,1.0000
2018-08-07,0.8300,0.8300,0.7600,0.7700,0.7700,362670,0.0000,1.0000
2018-08-06,0.7700,0.8698,0.7310,0.8444,0.8444,440641,0.0000,1.0000
2018-08-03,0.7800,0.7800,0.7191,0.7510,0.7510,197208,0.0000,1.0000
2018-08-02,0.7890,0.8500,0.7500,0.7850,0.7850,583888,0.0000,1.0000
2018-08-01,0.7500,0.7700,0.7100,0.7602,0.7602,189801,0.0000,1.0000
2018-07-31,0.7229,0.7780,0.7026,0.7107,0.7107,115644,0.0000,1.0000
2018-07-30,0.7400,0.7900,0.7200,0.7222,0.7222,209429,0.0000,1.0000
2018-07-27,0.8300,0.8300,0.6910,0.7400,0.7400,419895,0.0000,1.0000
2018-07-26,0.8000,0.8000,0.7552,0.7699,0.7699,329775,0.0000,1.0000
2018-07-25,0.8750,0.8750,0.7500,0.7984,0.7984,486455,0.0000,1.0000
2018-07-24,0.9200,0.9200,0.8000,0.8500,0.8500,1139865,0.0000,1.0000
2018-07-23,1.1100,1.3000,0.9500,0.9518,0.9518,7497165,0.0000,1.0000
2018-07-20,0.9600,1.0500,0.8500,0.9091,0.9091,794041,0.0000,1.0000
2018-07-19,0.9501,0.9795,0.9500,0.9600,0.9600,113120,0.0000,1.0000
2018-07-18,1.0500,1.0500,0.9400,0.9500,0.9500,266764,0.0000,1.0000
2018-07-17,1.1100,1.1150,1.0000,1.0400,1.0400,399260,0.0000,1.0000
2018-07-16,1.2000,1.2000,1.1100,1.1200,1.1200,80123,0.0000,1.0000
2018-07-13,1.1800,1.2000,1.1500,1.1600,1.1600,138727,0.0000,1.0000
2018-07-12,1.2300,1.2300,1.1600,1.1700,1.1700,147208,0.0000,1.0000
2018-07-11,1.3000,1.3000,1.2000,1.2000,1.2000,160023,0.0000,1.0000
2018-07-10,1.2800,1.3400,1.2000,1.2500,1.2500,160770,0.0000,1.0000
2018-07-09,1.3000,1.3194,1.1500,1.1800,1.1800,246774,0.0000,1.0000
2018-07-06,1.4100,1.4100,1.3000,1.3000,1.3000,269806,0.0000,1.0000
2018-07-05,1.4500,1.4500,1.3500,1.4400,1.4400,60041,0.0000,1.0000
2018-07-03,1.4500,1.5000,1.3600,1.3600,1.3600,77272,0.0000,1.0000
2018-07-02,1.2900,1.5000,1.2900,1.4900,1.4900,45734,0.0000,1.0000
2018-06-29,1.3800,1.4120,1.2900,1.3000,1.3000,88289,0.0000,1.0000
2018-06-28,1.3700,1.3794,1.3100,1.3700,1.3700,59917,0.0000,1.0000
2018-06-27,1.4900,1.4900,1.3600,1.3700,1.3700,68524,0.0000,1.0000
2018-06-26,1.4300,1.5300,1.4000,1.4600,1.4600,219830,0.0000,1.0000
2018-06-25,1.5200,1.6100,1.4700,1.4900,1.4900,127578,0.0000,1.0000
2018-06-22,1.6800,1.6800,1.4700,1.4700,1.4700,221415,0.0000,1.0000
2018-06-21,1.6300,1.6500,1.4601,1.5400,1.5400,289437,0.0000,1.0000
2018-06-20,1.5600,1.6800,1.5400,1.5900,1.5900,179790,0.0000,1.0000
2018-06-19,1.5100,1.6799,1.5000,1.5400,1.5400,308860,0.0000,1.0000
2018-06-18,1.4700,1.5200,1.4600,1.4900,1.4900,77415,0.0000,1.0000
2018-06-15,1.5200,1.5200,1.4500,1.5200,1.5200,90948,0.0000,1.0000
2018-06-14,1.6500,1.7300,1.5000,1.5500,1.5500,441547,0.0000,1.0000
2018-06-13,1.5700,1.5700,1.4500,1.4500,1.4500,117007,0.0000,1.0000
2018-06-12,1.4900,1.6900,1.4500,1.5900,1.5900,324122,0.0000,1.0000
2018-06-11,1.6697,1.6697,1.4400,1.4850,1.4850,203341,0.0000,1.0000
2018-06-08,1.5600,1.6400,1.5200,1.5200,1.5200,150046,0.0000,1.0000
2018-06-07,1.5400,1.5800,1.4545,1.5400,1.5400,130687,0.0000,1.0000
2018-06-06,1.4900,1.6590,1.4500,1.5300,1.5300,322397,0.0000,1.0000
2018-06-05,1.4300,1.5000,1.3000,1.4970,1.4970,395664,0.0000,1.0000
2018-06-04,1.6000,1.6300,1.4100,1.4300,1.4300,239045,0.0000,1.0000
2018-06-01,1.8000,1.8000,1.5000,1.5500,1.5500,368133,0.0000,1.0000
2018-05-31,1.9000,1.9300,1.7500,1.7800,1.7800,209795,0.0000,1.0000
2018-05-30,1.9200,2.0500,1.8500,1.8800,1.8800,359919,0.0000,1.0000
2018-05-29,2.0300,2.5995,1.8100,1.8800,1.8800,950037,0.0000,0.1250
2018-05-25,0.2500,0.2900,0.2442,0.2522,2.0176,1574724,0.0000,1.0000
2018-05-24,0.2550,0.2550,0.2400,0.2540,2.0320,146623,0.0000,1.0000
2018-05-23,0.2625,0.2625,0.2353,0.2540,2.0322,246017,0.0000,1.0000
2018-05-22,0.2800,0.2800,0.2350,0.2470,1.9760,289574,0.0000,1.0000
2018-05-21,0.2557,0.2595,0.2311,0.2500,2.0000,482625,0.0000,1.0000
2018-05-18,0.2570,0.2680,0.2570,0.2650,2.1200,157342,0.0000,1.0000
2018-05-17,0.2700,0.2700,0.2571,0.2599,2.0792,173306,0.0000,1.0000
2018-05-16,0.2800,0.2800,0.2570,0.2588,2.0704,207437,0.0000,1.0000
2018-05-15,0.2590,0.2750,0.2590,0.2680,2.1440,125891,0.0000,1.0000
2018-05-14,0.2700,0.2750,0.2582,0.2681,2.1448,159485,0.0000,1.0000
2018-05-11,0.2750,0.2750,0.2570,0.2650,2.1200,531327,0.0000,1.0000
2018-05-10,0.2725,0.2895,0.2687,0.2798,2.2384,1120220,0.0000,1.0000
2018-05-09,0.2550,0.2650,0.2503,0.2650,2.1200,188117,0.0000,1.0000
2018-05-08,0.2543,0.2543,0.2417,0.2511,2.0088,175864,0.0000,1.0000
2018-05-07,0.2400,0.2549,0.2400,0.2499,1.9992,183175,0.0000,1.0000
2018-05-04,0.2500,0.2548,0.2400,0.2548,2.0384,241872,0.0000,1.0000
2018-05-03,0.2400,0.2520,0.2400,0.2487,1.9896,141365,0.0000,1.0000
2018-05-02,0.2500,0.2549,0.2400,0.2435,1.9480,347283,0.0000,1.0000
2018-05-01,0.2500,0.2578,0.2300,0.2470,1.9760,531901,0.0000,1.0000
2018-04-30,0.2660,0.2660,0.2450,0.2500,2.0000,127586,0.0000,1.0000
2018-04-27,0.2400,0.2594,0.2300,0.2499,1.9992,143570,0.0000,1.0000
2018-04-26,0.2300,0.2450,0.2266,0.2400,1.9200,127749,0.0000,1.0000
2018-04-25,0.2500,0.2540,0.2250,0.2442,1.9536,368825,0.0000,1.0000
2018-04-24,0.2600,0.2638,0.2500,0.2548,2.0384,160956,0.0000,1.0000
2018-04-23,0.2610,0.2700,0.2566,0.2578,2.0624,239203,0.0000,1.0000
2018-04-20,0.2700,0.2723,0.2509,0.2687,2.1496,382796,0.0000,1.0000
2018-04-19,0.2606,0.2750,0.2500,0.2669,2.1352,395506,0.0000,1.0000
2018-04-18,0.2710,0.2799,0.2606,0.2664,2.1312,271237,0.0000,1.0000
2018-04-17,0.2870,0.2899,0.2683,0.2790,2.2320,504422,0.0000,1.0000
2018-04-16,0.3050,0.3094,0.2800,0.2940,2.3520,611790,0.0000,1.0000
2018-04-13,0.3000,0.3000,0.2750,0.3000,2.4000,1208456,0.0000,1.0000
2018-04-12,0.2600,0.3050,0.2600,0.2803,2.2424,1985097,0.0000,1.0000
2018-04-11,0.2450,0.2748,0.2450,0.2730,2.1840,428872,0.0000,1.0000
2018-04-10,0.2680,0.2799,0.2610,0.2748,2.1984,923087,0.0000,1.0000
2018-04-09,0.2600,0.2900,0.2450,0.2671,2.1368,2232910,0.0000,1.0000
2018-04-06,0.2500,0.2599,0.2310,0.2499,1.9992,571338,0.0000,1.0000
2018-04-05,0.2250,0.2579,0.2250,0.2471,1.9768,2129230,0.0000,1.0000
2018-04-04,0.2200,0.2370,0.2170,0.2300,1.8400,334903,0.0000,1.0000
2018-04-03,0.2230,0.2350,0.2230,0.2277,1.8216,162811,0.0000,1.0000
2018-04-02,0.2399,0.2399,0.2200,0.2309,1.8472,260353,0.0000,1.0000
2018-03-29,0.2300,0.2400,0.2153,0.2350,1.8800,323566,0.0000,1.0000
2018-03-28,0.2399,0.2399,0.2250,0.2294,1.8352,300034,0.0000,1.0000
2018-03-27,0.2200,0.2399,0.2200,0.2338,1.8704,233186,0.0000,1.0000
2018-03-26,0.2590,0.2590,0.2060,0.2430,1.9440,851021,0.0000,1.0000
2018-03-23,0.2550,0.2598,0.2334,0.2406,1.9248,782886,0.0000,1.0000
2018-03-22,0.2399,0.2584,0.2305,0.2518,2.0144,891149,0.0000,1.0000
2018-03-21,0.2378,0.2489,0.2202,0.2425,1.9400,912336,0.0000,1.0000
2018-03-20,0.2247,0.2380,0.2175,0.2330,1.8640,650893,0.0000,1.0000
2018-03-19,0.2300,0.2300,0.2152,0.2247,1.7976,594476,0.0000,1.0000
2018-03-16,0.2100,0.2279,0.2051,0.2100,1.6800,889713,0.0000,1.0000
2018-03-15,0.2200,0.2200,0.2095,0.2095,1.6760,1241546,0.0000,1.0000
2018-03-14,0.2200,0.2298,0.2182,0.2197,1.7576,823696,0.0000,1.0000
2018-03-13,0.2299,0.2300,0.2167,0.2198,1.7584,940220,0.0000,1.0000
2018-03-12,0.2320,0.2397,0.2155,0.2200,1.7600,1617300,0.0000,1.0000
2018-03-09,0.2420,0.2440,0.2100,0.2346,1.8768,2878663,0.0000,1.0000
2018-03-08,0.2439,0.2690,0.2420,0.2426,1.9408,6297352,0.0000,1.0000
2018-03-07,0.2410,0.2624,0.2410,0.2494,1.9952,2469019,0.0000,1.0000
2018-03-06,0.2590,0.2590,0.2410,0.2450,1.9600,481955,0.0000,1.0000
2018-03-05,0.2500,0.2537,0.2450,0.2470,1.9760,597415,0.0000,1.0000
2018-03-02,0.2512,0.2512,0.2430,0.2500,2.0000,719995,0.0000,1.0000
2018-03-01,0.2600,0.2600,0.2410,0.2480,1.9840,813431,0.0000,1.0000
2018-02-28,0.2570,0.2630,0.2500,0.2500,2.0000,1282476,0.0000,1.0000
2018-02-27,0.2639,0.2700,0.2550,0.2563,2.0504,1451577,0.0000,1.0000
2018-02-26,0.2835,0.2835,0.2550,0.2611,2.0888,882678,0.0000,1.0000
2018-02-23,0.2643,0.2739,0.2530,0.2669,2.1352,1230233,0.0000,1.0000
2018-02-22,0.3100,0.3200,0.2520,0.2642,2.1136,6209043,0.0000,1.0000
2018-02-21,0.2600,0.2601,0.2400,0.2470,1.9760,896402,0.0000,1.0000
2018-02-20,0.2800,0.2827,0.2550,0.2600,2.0800,641484,0.0000,1.0000
2018-02-16,0.2700,0.2770,0.2600,0.2600,2.0800,2323651,0.0000,1.0000
2018-02-15,0.2500,0.2650,0.2500,0.2550,2.0400,1115496,0.0000,1.0000
2018-02-14,0.2650,0.2790,0.2480,0.2605,2.0840,1347711,0.0000,1.0000
