timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.3700,1.3822,1.2169,1.3300,1.3300,140767,0.0000,1.0000
2018-08-13,1.6200,1.6200,1.3400,1.3794,1.3794,88626,0.0000,1.0000
2018-08-10,1.5600,1.6000,1.2000,1.4000,1.4000,601525,0.0000,1.0000
2018-08-09,1.4700,3.1400,1.4700,1.6900,1.6900,4317584,0.0000,1.0000
2018-08-08,1.3900,1.4100,1.1200,1.1400,1.1400,382693,0.0000,1.0000
2018-08-07,1.7500,1.7600,1.3400,1.4000,1.4000,333410,0.0000,1.0000
2018-08-06,2.0400,2.1500,1.6200,1.7900,1.7900,145714,0.0000,1.0000
2018-08-03,2.2500,2.2500,2.1500,2.1500,2.1500,44360,0.0000,1.0000
2018-08-02,2.2927,2.3200,2.2261,2.2550,2.2550,37068,0.0000,1.0000
2018-08-01,2.4200,2.4300,2.1500,2.1850,2.1850,112248,0.0000,1.0000
2018-07-31,2.5600,2.5600,2.4200,2.4900,2.4900,26819,0.0000,1.0000
2018-07-30,2.3500,2.7000,2.3400,2.6500,2.6500,25321,0.0000,1.0000
2018-07-27,2.7192,2.7192,2.5276,2.6900,2.6900,33710,0.0000,1.0000
2018-07-26,2.7754,2.7754,2.5049,2.7000,2.7000,27888,0.0000,1.0000
2018-07-25,2.8100,2.8933,2.6600,2.7005,2.7005,61523,0.0000,1.0000
2018-07-24,2.6614,2.8900,2.6420,2.7985,2.7985,228711,0.0000,1.0000
2018-07-23,2.7100,2.7100,2.5000,2.5890,2.5890,22125,0.0000,1.0000
2018-07-20,2.5900,2.8000,2.5900,2.7400,2.7400,31291,0.0000,1.0000
2018-07-19,2.5662,2.6400,2.5310,2.6300,2.6300,37112,0.0000,1.0000
2018-07-18,2.7500,2.7500,2.5200,2.6299,2.6299,29115,0.0000,1.0000
2018-07-17,2.7500,2.7500,2.6100,2.6383,2.6383,55789,0.0000,1.0000
2018-07-16,3.1500,3.1500,2.5500,2.6500,2.6500,145170,0.0000,1.0000
2018-07-13,2.9500,3.1200,2.9200,3.0900,3.0900,184093,0.0000,1.0000
2018-07-12,2.8000,3.0300,2.6910,2.9300,2.9300,164132,0.0000,1.0000
2018-07-11,2.6000,2.7999,2.5500,2.7350,2.7350,240628,0.0000,1.0000
2018-07-10,2.3400,3.0000,2.3400,2.5200,2.5200,738972,0.0000,1.0000
2018-07-09,2.2000,2.4800,2.2000,2.3280,2.3280,7630,0.0000,1.0000
2018-07-06,2.3900,2.3900,2.2710,2.3494,2.3494,13516,0.0000,1.0000
2018-07-05,2.2000,2.3900,2.2000,2.3900,2.3900,10421,0.0000,1.0000
2018-07-03,2.3000,2.3000,2.2172,2.2339,2.2339,15302,0.0000,1.0000
2018-07-02,2.3800,2.3900,2.3005,2.3450,2.3450,9188,0.0000,1.0000
2018-06-29,2.2100,2.3654,2.1417,2.3000,2.3000,10178,0.0000,1.0000
2018-06-28,2.2678,2.2678,2.0804,2.1404,2.1404,14976,0.0000,1.0000
2018-06-27,2.3390,2.3390,2.2500,2.2987,2.2987,19483,0.0000,1.0000
2018-06-26,2.3200,2.4129,2.2810,2.3000,2.3000,17597,0.0000,1.0000
2018-06-25,2.4053,2.4053,2.3400,2.3400,2.3400,8785,0.0000,1.0000
2018-06-22,2.4700,2.5000,2.4000,2.4268,2.4268,16896,0.0000,1.0000
2018-06-21,2.5900,2.6161,2.5000,2.5000,2.5000,13324,0.0000,1.0000
2018-06-20,2.7400,2.7400,2.6000,2.6000,2.6000,11859,0.0000,1.0000
2018-06-19,2.7300,2.7300,2.6600,2.6600,2.6600,5662,0.0000,1.0000
2018-06-18,2.6900,2.7500,2.6400,2.6400,2.6400,6134,0.0000,1.0000
2018-06-15,2.6400,2.6982,2.6400,2.6900,2.6900,2889,0.0000,1.0000
2018-06-14,2.6710,2.7318,2.6700,2.6700,2.6700,4187,0.0000,1.0000
2018-06-13,2.6850,2.7700,2.6600,2.6600,2.6600,18230,0.0000,1.0000
2018-06-12,2.6867,2.7000,2.6400,2.6990,2.6990,6958,0.0000,1.0000
2018-06-11,2.6900,2.7265,2.6428,2.6824,2.6824,19125,0.0000,1.0000
2018-06-08,2.7400,2.7500,2.6750,2.6900,2.6900,4090,0.0000,1.0000
2018-06-07,2.7700,2.7700,2.7190,2.7390,2.7390,3938,0.0000,1.0000
2018-06-06,2.7182,2.8400,2.6300,2.7300,2.7300,13787,0.0000,1.0000
2018-06-05,2.6201,2.8000,2.6201,2.7800,2.7800,12850,0.0000,1.0000
2018-06-04,2.7000,2.8900,2.6706,2.7600,2.7600,38856,0.0000,1.0000
2018-06-01,2.7391,2.7391,2.6800,2.7000,2.7000,17244,0.0000,1.0000
2018-05-31,2.7300,2.7333,2.6200,2.6838,2.6838,23068,0.0000,1.0000
2018-05-30,2.8100,2.8100,2.6000,2.7100,2.7100,26312,0.0000,1.0000
2018-05-29,2.7500,2.8900,2.7500,2.7800,2.7800,43541,0.0000,1.0000
2018-05-25,2.9000,2.9747,2.6010,2.7400,2.7400,71359,0.0000,1.0000
2018-05-24,2.6500,2.9506,2.6300,2.8500,2.8500,127009,0.0000,1.0000
2018-05-23,2.6000,2.7500,2.4700,2.6500,2.6500,149431,0.0000,1.0000
2018-05-22,2.4900,2.5150,2.3850,2.3900,2.3900,2452,0.0000,1.0000
2018-05-21,2.7200,2.7412,2.4900,2.5800,2.5800,17861,0.0000,1.0000
2018-05-18,2.4000,2.5450,2.3628,2.5450,2.5450,9595,0.0000,1.0000
2018-05-17,2.3000,2.3252,2.2600,2.3200,2.3200,6632,0.0000,1.0000
2018-05-16,2.3850,2.4344,2.3300,2.3300,2.3300,4636,0.0000,1.0000
2018-05-15,2.5600,2.5600,2.2610,2.3700,2.3700,40922,0.0000,1.0000
2018-05-14,2.5800,2.6728,2.5400,2.5427,2.5427,5479,0.0000,1.0000
2018-05-11,2.5226,2.6300,2.5226,2.6300,2.6300,5882,0.0000,1.0000
2018-05-10,2.5100,2.6400,2.5100,2.6200,2.6200,4520,0.0000,1.0000
2018-05-09,2.5400,2.5400,2.4501,2.5075,2.5075,10264,0.0000,1.0000
2018-05-08,2.4600,2.4600,2.4500,2.4500,2.4500,1578,0.0000,1.0000
2018-05-07,2.4650,2.5195,2.4650,2.5195,2.5195,939,0.0000,1.0000
2018-05-04,2.4600,2.8874,2.4600,2.4600,2.4600,7898,0.0000,1.0000
2018-05-03,2.6200,2.6200,2.5100,2.5300,2.5300,1107,0.0000,1.0000
2018-05-02,2.4500,2.8200,2.4500,2.6200,2.6200,8275,0.0000,1.0000
2018-05-01,2.4510,2.5200,2.4510,2.5200,2.5200,8534,0.0000,1.0000
2018-04-30,2.3200,2.5500,2.3100,2.5300,2.5300,12486,0.0000,1.0000
2018-04-27,2.3600,2.4421,2.2500,2.3864,2.3864,16868,0.0000,1.0000
2018-04-26,2.5900,2.5900,2.3800,2.4000,2.4000,32349,0.0000,1.0000
2018-04-25,2.7400,2.7400,2.5000,2.5200,2.5200,25833,0.0000,1.0000
2018-04-24,2.6700,2.8390,2.6000,2.7300,2.7300,31755,0.0000,1.0000
2018-04-23,2.9700,2.9700,2.6200,2.7200,2.7200,39718,0.0000,1.0000
2018-04-20,2.8300,2.8800,2.7555,2.8800,2.8800,20269,0.0000,1.0000
2018-04-19,2.7700,2.8800,2.7700,2.7800,2.7800,7326,0.0000,1.0000
2018-04-18,2.8700,2.8844,2.8100,2.8100,2.8100,3201,0.0000,1.0000
2018-04-17,2.7807,2.9706,2.7807,2.8900,2.8900,14600,0.0000,1.0000
2018-04-16,3.1000,3.1000,2.9450,2.9600,2.9600,7027,0.0000,1.0000
2018-04-13,2.9800,3.0000,2.8100,3.0000,3.0000,6150,0.0000,1.0000
2018-04-12,2.8820,2.9861,2.8100,2.9100,2.9100,16762,0.0000,1.0000
