timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.0022,0.0023,0.0022,0.0023,0.0023,2000,0.0000,1.0000
2018-08-10,0.0088,0.0088,0.0080,0.0088,0.0088,16000,0.0000,1.0000
2018-08-09,0.0079,0.0079,0.0079,0.0079,0.0079,49,0.0000,1.0000
2018-08-08,0.0100,0.0100,0.0079,0.0079,0.0079,585,0.0000,1.0000
2018-08-07,0.0080,0.0080,0.0045,0.0045,0.0045,12954,0.0000,1.0000
2018-08-06,0.0081,0.0081,0.0081,0.0081,0.0081,100,0.0000,1.0000
2018-08-03,0.0081,0.0081,0.0081,0.0081,0.0081,200,0.0000,1.0000
2018-08-02,0.0080,0.0081,0.0080,0.0081,0.0081,8273,0.0000,1.0000
2018-08-01,0.0050,0.0081,0.0030,0.0081,0.0081,26593,0.0000,1.0000
2018-07-31,0.0080,0.0080,0.0079,0.0079,0.0079,2418,0.0000,1.0000
2018-07-30,0.0081,0.0081,0.0080,0.0080,0.0080,3100,0.0000,1.0000
2018-07-27,0.0105,0.0105,0.0080,0.0081,0.0081,38300,0.0000,1.0000
2018-07-26,0.0080,0.0081,0.0080,0.0080,0.0080,30600,0.0000,1.0000
2018-07-24,0.0039,0.0040,0.0039,0.0040,0.0040,10400,0.0000,1.0000
2018-07-23,0.0081,0.0081,0.0030,0.0077,0.0077,239500,0.0000,1.0000
2018-07-19,0.0081,0.0081,0.0053,0.0081,0.0081,31913,0.0000,1.0000
2018-07-18,0.0097,0.0097,0.0081,0.0081,0.0081,22767,0.0000,1.0000
2018-07-16,0.0091,0.0092,0.0091,0.0092,0.0092,966,0.0000,1.0000
2018-07-13,0.0099,0.0099,0.0097,0.0098,0.0098,10420,0.0000,1.0000
2018-07-12,0.0099,0.0099,0.0081,0.0081,0.0081,11200,0.0000,1.0000
2018-07-11,0.0099,0.0099,0.0099,0.0099,0.0099,42160,0.0000,1.0000
2018-07-10,0.0100,0.0100,0.0099,0.0099,0.0099,36800,0.0000,1.0000
2018-07-09,0.0109,0.0109,0.0100,0.0100,0.0100,2100,0.0000,1.0000
2018-07-06,0.0148,0.0149,0.0144,0.0144,0.0144,15356,0.0000,1.0000
2018-07-05,0.0086,0.0148,0.0086,0.0148,0.0148,11300,0.0000,1.0000
2018-07-02,0.0140,0.0150,0.0072,0.0072,0.0072,19779,0.0000,1.0000
2018-06-29,0.0100,0.0113,0.0070,0.0073,0.0073,53003,0.0000,1.0000
2018-06-27,0.0101,0.0102,0.0101,0.0102,0.0102,16500,0.0000,1.0000
2018-06-20,0.0150,0.0150,0.0100,0.0150,0.0150,32250,0.0000,1.0000
2018-06-19,0.0100,0.0150,0.0100,0.0150,0.0150,13800,0.0000,1.0000
2018-06-11,0.0179,0.0179,0.0100,0.0100,0.0100,26918,0.0000,1.0000
2018-06-08,0.0179,0.0179,0.0179,0.0179,0.0179,2007,0.0000,1.0000
2018-06-06,0.0188,0.0188,0.0101,0.0101,0.0101,9467,0.0000,1.0000
2018-06-05,0.0150,0.0150,0.0100,0.0100,0.0100,18800,0.0000,1.0000
2018-06-01,0.0180,0.0180,0.0180,0.0180,0.0180,500,0.0000,1.0000
2018-05-31,0.0100,0.0100,0.0100,0.0100,0.0100,249,0.0000,1.0000
2018-05-30,0.0111,0.0112,0.0111,0.0112,0.0112,13300,0.0000,1.0000
2018-05-25,0.0101,0.0110,0.0101,0.0110,0.0110,5100,0.0000,1.0000
2018-05-24,0.0198,0.0200,0.0100,0.0100,0.0100,70770,0.0000,1.0000
2018-05-23,0.0180,0.0180,0.0101,0.0101,0.0101,15824,0.0000,1.0000
2018-05-22,0.0180,0.0180,0.0180,0.0180,0.0180,8888,0.0000,1.0000
2018-05-17,0.0100,0.0199,0.0100,0.0199,0.0199,8100,0.0000,1.0000
2018-05-16,0.0199,0.0199,0.0198,0.0198,0.0198,24800,0.0000,1.0000
2018-05-14,0.0200,0.0200,0.0190,0.0199,0.0199,7288,0.0000,1.0000
2018-05-11,0.0200,0.0200,0.0200,0.0200,0.0200,4000,0.0000,1.0000
2018-05-09,0.0199,0.0199,0.0199,0.0199,0.0199,200,0.0000,1.0000
2018-05-08,0.0086,0.0200,0.0053,0.0159,0.0159,63443,0.0000,1.0000
2018-05-04,0.0140,0.0200,0.0101,0.0200,0.0200,18100,0.0000,1.0000
2018-05-03,0.0200,0.0200,0.0200,0.0200,0.0200,5722,0.0000,1.0000
2018-05-02,0.0200,0.0200,0.0200,0.0200,0.0200,100,0.0000,1.0000
2018-05-01,0.0200,0.0200,0.0140,0.0140,0.0140,11266,0.0000,1.0000
2018-04-30,0.0200,0.0200,0.0199,0.0199,0.0199,5000,0.0000,1.0000
2018-04-27,0.0200,0.0200,0.0200,0.0200,0.0200,5000,0.0000,1.0000
2018-04-26,0.0121,0.0200,0.0121,0.0200,0.0200,17800,0.0000,1.0000
2018-04-25,0.0200,0.0200,0.0200,0.0200,0.0200,100000,0.0000,1.0000
2018-04-24,0.0120,0.0200,0.0120,0.0200,0.0200,575,0.0000,1.0000
2018-04-20,0.0200,0.0200,0.0200,0.0200,0.0200,100,0.0000,1.0000
2018-04-19,0.0200,0.0201,0.0200,0.0200,0.0200,5000,0.0000,1.0000
2018-04-18,0.0250,0.0250,0.0249,0.0250,0.0250,9100,0.0000,1.0000
2018-04-17,0.0250,0.0250,0.0249,0.0249,0.0249,200,0.0000,1.0000
2018-04-13,0.0299,0.0300,0.0250,0.0250,0.0250,2950,0.0000,1.0000
2018-04-10,0.0250,0.0250,0.0250,0.0250,0.0250,100,0.0000,1.0000
2018-04-05,0.0110,0.0250,0.0110,0.0250,0.0250,300,0.0000,1.0000
2018-04-03,0.0250,0.0250,0.0150,0.0151,0.0151,10100,0.0000,1.0000
2018-04-02,0.0275,0.0275,0.0250,0.0250,0.0250,54000,0.0000,1.0000
2018-03-29,0.0111,0.0299,0.0111,0.0299,0.0299,10400,0.0000,1.0000
2018-03-27,0.0176,0.0299,0.0176,0.0254,0.0254,15201,0.0000,1.0000
2018-03-23,0.0220,0.0220,0.0220,0.0220,0.0220,8522,0.0000,1.0000
2018-03-22,0.0200,0.0220,0.0111,0.0220,0.0220,8789,0.0000,1.0000
2018-03-20,0.0257,0.0257,0.0215,0.0215,0.0215,1400,0.0000,1.0000
2018-03-19,0.0155,0.0220,0.0155,0.0220,0.0220,11474,0.0000,1.0000
2018-03-16,0.0251,0.0300,0.0200,0.0200,0.0200,21100,0.0000,1.0000
2018-03-15,0.0247,0.0247,0.0247,0.0247,0.0247,13700,0.0000,1.0000
2018-03-14,0.0300,0.0300,0.0300,0.0300,0.0300,2500,0.0000,1.0000
2018-03-12,0.0299,0.0299,0.0299,0.0299,0.0299,1000,0.0000,1.0000
2018-03-09,0.0299,0.0299,0.0299,0.0299,0.0299,1500,0.0000,1.0000
2018-03-08,0.0272,0.0272,0.0272,0.0272,0.0272,310,0.0000,1.0000
