timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,27.6298,28.0000,27.5300,28.0000,28.0000,16199,0.0000,1.0000
2018-08-13,27.6000,27.6600,27.2453,27.5200,27.5200,10677,0.0000,1.0000
2018-08-10,27.2600,27.6599,27.1320,27.6200,27.6200,16313,0.0000,1.0000
2018-08-09,27.4780,27.5580,26.6910,27.0200,27.0200,16464,0.0000,1.0000
2018-08-08,27.0500,27.1300,26.5540,26.9300,26.9300,7505,0.0000,1.0000
2018-08-07,26.8700,27.2786,26.3900,27.0100,27.0100,17295,0.0000,1.0000
2018-08-06,26.1501,26.9100,26.1501,26.8200,26.8200,9654,0.0000,1.0000
2018-08-03,26.9300,27.3600,26.3580,26.6100,26.6100,15300,0.0000,1.0000
2018-08-02,27.2000,27.2000,26.3100,26.9300,26.9300,8007,0.0000,1.0000
2018-08-01,26.5100,26.7700,26.2671,26.5200,26.5200,18567,0.0000,1.0000
2018-07-31,26.9731,27.4200,26.8600,27.0800,27.0800,13256,0.0000,1.0000
2018-07-30,27.5147,27.8200,27.1000,27.1000,27.1000,9585,0.0000,1.0000
2018-07-27,27.4850,28.2900,25.4200,27.4400,27.4400,7277,0.2700,1.0000
2018-07-26,28.4400,28.5700,27.5101,28.3000,28.0243,9039,0.0000,1.0000
2018-07-25,28.4700,28.9700,27.8010,28.6100,28.3312,11178,0.0000,1.0000
2018-07-24,27.4810,28.9900,27.4810,28.3100,28.0342,12361,0.0000,1.0000
2018-07-23,27.9900,28.0500,27.2000,27.8100,27.5390,10889,0.0000,1.0000
2018-07-20,27.4300,28.2500,27.3300,27.9000,27.6281,12679,0.0000,1.0000
2018-07-19,27.4100,27.7200,27.0800,27.5000,27.2320,8627,0.0000,1.0000
2018-07-18,27.0650,27.6100,27.0650,27.6100,27.3410,11998,0.0000,1.0000
2018-07-17,27.0900,27.2500,26.5191,27.1000,26.8359,7481,0.0000,1.0000
2018-07-16,27.1950,27.4000,27.0300,27.2300,26.9647,7218,0.0000,1.0000
2018-07-13,26.5800,26.9300,26.5800,26.7600,26.4993,1588,0.0000,1.0000
2018-07-12,27.5300,27.5300,26.8200,27.0500,26.7864,4328,0.0000,1.0000
2018-07-11,26.8757,27.5200,26.8000,27.2600,26.9944,8592,0.0000,1.0000
2018-07-10,27.7900,27.7900,26.9500,27.1250,26.8607,9300,0.0000,1.0000
2018-07-09,27.3100,27.8500,27.1258,27.6100,27.3410,10779,0.0000,1.0000
2018-07-06,26.9900,27.3100,26.8550,27.1100,26.8458,11388,0.0000,1.0000
2018-07-05,26.4200,26.7400,26.0931,26.6200,26.3606,10506,0.0000,1.0000
2018-07-03,25.9300,26.5100,25.7650,26.3400,26.0833,6798,0.0000,1.0000
2018-07-02,25.7800,26.2700,25.7800,26.1300,25.8754,7839,0.0000,1.0000
2018-06-29,26.8500,26.8500,25.7900,25.8600,25.6080,16180,0.0000,1.0000
2018-06-28,26.3900,26.8000,26.2810,26.3700,26.1131,10925,0.0000,1.0000
2018-06-27,27.3000,27.3000,26.3600,26.3600,26.1032,15699,0.0000,1.0000
2018-06-26,27.2200,27.6500,27.2100,27.3600,27.0934,15670,0.0000,1.0000
2018-06-25,27.3200,27.6700,27.0200,27.2600,26.9944,36070,0.0000,1.0000
2018-06-22,26.8800,27.7200,26.6654,27.7100,27.4400,94282,0.0000,1.0000
2018-06-21,26.6600,27.0400,25.7947,26.8200,26.5587,17985,0.0000,1.0000
2018-06-20,26.5801,26.8550,26.5801,26.7800,26.5191,14499,0.0000,1.0000
2018-06-19,26.2700,26.8000,25.8600,26.5800,26.3210,25679,0.0000,1.0000
2018-06-18,26.0100,26.3500,25.8700,26.3300,26.0734,11226,0.0000,1.0000
2018-06-15,25.5700,26.3900,25.4100,26.0200,25.7665,29669,0.0000,1.0000
2018-06-14,26.0200,26.1400,25.5900,25.7500,25.4991,15069,0.0000,1.0000
2018-06-13,25.6200,26.1900,25.6200,25.9300,25.6773,14522,0.0000,1.0000
2018-06-12,25.5981,26.0200,25.5981,25.7900,25.5387,7573,0.0000,1.0000
2018-06-11,26.2900,26.5877,26.0000,26.0100,25.7566,13949,0.0000,1.0000
2018-06-08,26.3500,26.6200,26.1900,26.2100,25.9546,12538,0.0000,1.0000
2018-06-07,26.0000,26.4200,26.0000,26.2700,26.0140,10071,0.0000,1.0000
2018-06-06,25.7510,26.2400,25.7510,26.1300,25.8754,11787,0.0000,1.0000
2018-06-05,26.0000,26.0700,25.6700,26.0600,25.8061,10249,0.0000,1.0000
2018-06-04,25.9000,26.2400,25.7300,26.1200,25.8655,16491,0.0000,1.0000
2018-06-01,25.5500,25.9000,25.3500,25.8900,25.6377,13930,0.0000,1.0000
2018-05-31,25.3600,25.6800,24.9910,25.5700,25.3209,16498,0.0000,1.0000
2018-05-30,25.0000,25.5700,24.9800,25.4900,25.2416,19759,0.0000,1.0000
2018-05-29,24.8100,24.9200,24.6300,24.7500,24.5088,12314,0.0000,1.0000
2018-05-25,24.9400,24.9400,24.7000,24.8200,24.5782,4426,0.0000,1.0000
2018-05-24,25.0000,25.0000,24.8000,24.9400,24.6970,7784,0.0000,1.0000
2018-05-23,24.9800,25.2400,24.8900,25.0200,24.7762,15031,0.0000,1.0000
2018-05-22,24.7279,25.1200,24.7279,24.9600,24.7168,10525,0.0000,1.0000
2018-05-21,24.7000,24.9900,24.5839,24.9900,24.7465,9469,0.0000,1.0000
2018-05-18,25.0000,25.0000,24.5701,24.7700,24.5286,9913,0.0000,1.0000
2018-05-17,24.6600,24.9100,24.4400,24.9100,24.6673,7537,0.0000,1.0000
2018-05-16,24.3700,24.6700,24.2600,24.5700,24.3306,14291,0.0000,1.0000
2018-05-15,24.2000,24.5700,24.1000,24.2900,24.0533,9752,0.0000,1.0000
2018-05-14,24.7450,24.8900,24.2100,24.2100,23.9741,14047,0.0000,1.0000
2018-05-11,24.9900,25.4000,24.9200,24.9900,24.7465,32996,0.0000,1.0000
2018-05-10,24.6900,24.9400,24.5760,24.8900,24.6475,6401,0.0000,1.0000
2018-05-09,24.9200,24.9700,24.6601,24.7800,24.5385,15251,0.0000,1.0000
2018-05-08,24.4100,24.8500,24.3200,24.7900,24.5485,16789,0.0000,1.0000
2018-05-07,24.4700,24.8000,24.2880,24.7100,24.4692,7828,0.0000,1.0000
2018-05-04,23.9100,24.9896,23.9100,24.6000,24.3603,10460,0.0000,1.0000
2018-05-03,23.9600,24.2000,23.8400,24.1100,23.8751,8284,0.0000,1.0000
2018-05-02,24.4800,24.6000,24.1400,24.3200,24.0830,22099,0.0000,1.0000
2018-05-01,24.1100,24.7700,24.0650,24.4900,24.2514,10194,0.0000,1.0000
2018-04-30,24.2500,24.4800,24.1000,24.1500,23.9147,18284,0.0000,1.0000
2018-04-27,24.5000,24.5600,24.1200,24.3300,24.0929,4123,0.2700,1.0000
2018-04-26,24.6600,24.8500,24.4900,24.7900,24.2790,6506,0.0000,1.0000
2018-04-25,24.5600,24.8200,24.3400,24.6600,24.1517,13536,0.0000,1.0000
2018-04-24,24.8300,24.8300,24.3100,24.6100,24.1027,17913,0.0000,1.0000
2018-04-23,24.5900,24.8300,24.3700,24.8300,24.3182,8122,0.0000,1.0000
2018-04-20,24.0700,24.7900,23.5000,24.5100,24.0048,13977,0.0000,1.0000
2018-04-19,23.9800,24.5400,23.9800,24.1500,23.6522,10728,0.0000,1.0000
2018-04-18,24.2000,24.3000,23.9700,24.2300,23.7306,12792,0.0000,1.0000
2018-04-17,24.3000,24.3000,24.0050,24.2300,23.7306,13634,0.0000,1.0000
