timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.0000,0.0000,0.0000,9.8500,9.8500,0,0.0000,1.0000
2018-08-13,9.8200,9.8500,9.8100,9.8500,9.8500,27995,0.0000,1.0000
2018-08-10,9.8000,9.8000,9.8000,9.8000,9.8000,18590,0.0000,1.0000
2018-08-09,9.7600,9.7600,9.7600,9.7600,9.7600,0,0.0000,1.0000
2018-08-08,9.7600,9.7600,9.7600,9.7600,9.7600,0,0.0000,1.0000
2018-08-07,9.7600,9.7600,9.7600,9.7600,9.7600,0,0.0000,1.0000
2018-08-06,9.7600,9.7600,9.7600,9.7600,9.7600,900,0.0000,1.0000
2018-08-03,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,1.0000
2018-08-02,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,1.0000
2018-08-01,9.7500,9.7900,9.7500,9.7900,9.7900,785000,0.0000,1.0000
2018-07-31,9.7500,9.7500,9.7500,9.7500,9.7500,0,0.0000,1.0000
2018-07-30,9.7500,9.7500,9.7500,9.7500,9.7500,0,0.0000,1.0000
2018-07-27,9.7500,9.7500,9.7500,9.7500,9.7500,0,0.0000,1.0000
2018-07-26,9.7400,9.7500,9.7400,9.7500,9.7500,1402,0.0000,1.0000
2018-07-25,9.7400,9.7400,9.7400,9.7400,9.7400,0,0.0000,1.0000
2018-07-24,9.7400,9.7400,9.7400,9.7400,9.7400,0,0.0000,1.0000
2018-07-23,9.7400,9.7400,9.7400,9.7400,9.7400,0,0.0000,1.0000
2018-07-20,9.7400,9.7400,9.7400,9.7400,9.7400,1000,0.0000,1.0000
2018-07-19,9.7700,9.7700,9.7700,9.7700,9.7700,0,0.0000,1.0000
2018-07-18,9.7700,9.7700,9.7700,9.7700,9.7700,0,0.0000,1.0000
2018-07-17,9.7600,9.7700,9.7600,9.7700,9.7700,2007,0.0000,1.0000
2018-07-16,9.7300,9.7300,9.7300,9.7300,9.7300,25000,0.0000,1.0000
2018-07-13,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-07-12,9.7300,9.7300,9.7300,9.7300,9.7300,400,0.0000,1.0000
2018-07-11,9.7200,9.7200,9.7200,9.7200,9.7200,2,0.0000,1.0000
2018-07-10,9.7200,9.7200,9.7200,9.7200,9.7200,2,0.0000,1.0000
2018-07-09,9.7200,9.7319,9.7200,9.7200,9.7200,1610,0.0000,1.0000
2018-07-06,9.7200,9.7200,9.7200,9.7200,9.7200,24902,0.0000,1.0000
2018-07-05,9.7200,9.7200,9.7200,9.7200,9.7200,250003,0.0000,1.0000
2018-07-03,9.7200,9.7200,9.7200,9.7200,9.7200,100000,0.0000,1.0000
2018-07-02,9.7200,9.7200,9.7200,9.7200,9.7200,4,0.0000,1.0000
2018-06-29,9.7201,9.7201,9.7200,9.7200,9.7200,250,0.0000,1.0000
2018-06-28,9.7400,9.8000,9.7400,9.8000,9.8000,17909,0.0000,1.0000
2018-06-27,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-26,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-25,9.7300,9.7300,9.7300,9.7300,9.7300,9,0.0000,1.0000
2018-06-22,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-21,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-20,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-19,9.7300,9.7300,9.7300,9.7300,9.7300,100000,0.0000,1.0000
2018-06-18,9.7400,9.7400,9.7400,9.7400,9.7400,101000,0.0000,1.0000
2018-06-15,9.7499,9.7499,9.7300,9.7300,9.7300,20655,0.0000,1.0000
2018-06-14,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-13,9.7300,9.7300,9.7300,9.7300,9.7300,50,0.0000,1.0000
2018-06-12,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-11,9.7200,9.7500,9.7200,9.7300,9.7300,51100,0.0000,1.0000
2018-06-08,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-07,9.7300,9.7300,9.7300,9.7300,9.7300,0,0.0000,1.0000
2018-06-06,9.7500,9.7500,9.7300,9.7300,9.7300,485500,0.0000,1.0000
2018-06-05,9.7500,9.7500,9.7500,9.7500,9.7500,0,0.0000,1.0000
2018-06-04,9.7500,9.7500,9.7500,9.7500,9.7500,10,0.0000,1.0000
2018-06-01,9.7500,9.7500,9.7500,9.7500,9.7500,42110,0.0000,1.0000
2018-05-31,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,1.0000
2018-05-30,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,1.0000
2018-05-29,9.8000,9.8000,9.8000,9.8000,9.8000,100,0.0000,1.0000
2018-05-25,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,1.0000
2018-05-24,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,1.0000
2018-05-23,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,1.0000
2018-05-22,9.8200,9.8200,9.8000,9.8000,9.8000,430,0.0000,1.0000
2018-05-21,9.8200,9.8500,9.8000,9.8000,9.8000,33567,0.0000,1.0000
2018-05-18,9.8100,9.9500,9.7000,9.9000,9.9000,16208,0.0000,1.0000
2018-05-17,9.7495,9.7495,9.7495,9.7495,9.7495,0,0.0000,1.0000
2018-05-16,9.8000,9.8000,9.7495,9.7495,9.7495,930,0.0000,1.0000
2018-05-15,9.8000,9.8300,9.8000,9.8000,9.8000,2330,0.0000,1.0000
2018-05-14,9.9000,9.9000,9.8000,9.8000,9.8000,10162,0.0000,1.0000
2018-05-11,9.8500,9.8500,9.8000,9.8400,9.8400,13900,0.0000,1.0000
2018-05-10,9.8000,9.8600,9.7050,9.8600,9.8600,12900,0.0000,1.0000
2018-05-09,9.8760,9.8760,9.8760,9.8760,9.8760,299999,0.0000,1.0000
2018-05-08,9.8760,9.8760,9.8760,9.8760,9.8760,0,0.0000,1.0000
2018-05-07,9.8000,9.8760,9.8000,9.8760,9.8760,800,0.0000,1.0000
2018-05-04,9.8150,9.8150,9.8150,9.8150,9.8150,0,0.0000,1.0000
2018-05-03,9.8150,9.8150,9.8150,9.8150,9.8150,700,0.0000,1.0000
2018-05-02,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,1.0000
2018-05-01,9.9500,9.9500,9.9500,9.9500,9.9500,100,0.0000,1.0000
2018-04-30,10.0000,10.0000,9.8400,9.8700,9.8700,1800,0.0000,1.0000
2018-04-27,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-26,9.8500,11.8200,9.8500,9.8500,9.8500,4450,0.0000,1.0000
2018-04-25,9.8020,9.8500,9.8020,9.8500,9.8500,609,0.0000,1.0000
2018-04-24,9.8000,9.8500,9.8000,9.8500,9.8500,16900,0.0000,1.0000
2018-04-23,9.6000,9.6000,9.6000,9.6000,9.6000,0,0.0000,1.0000
2018-04-20,9.6000,9.6000,9.6000,9.6000,9.6000,0,0.0000,1.0000
2018-04-19,9.6000,9.6000,9.6000,9.6000,9.6000,0,0.0000,1.0000
2018-04-18,9.6000,9.6000,9.6000,9.6000,9.6000,100,0.0000,1.0000
2018-04-17,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-16,9.8000,9.8500,9.8000,9.8500,9.8500,503180,0.0000,1.0000
2018-04-13,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-12,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-11,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-10,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-09,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-06,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-05,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-04,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-03,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-04-02,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-29,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-28,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-27,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-26,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-23,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-22,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-21,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-20,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-19,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-16,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-15,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-14,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-13,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2018-03-12,9.8500,9.8500,9.8500,9.8500,9.8500,500,0.0000,1.0000
2018-03-09,9.8500,9.8500,9.8500,9.8500,9.8500,100,0.0000,1.0000
2018-03-08,9.7500,9.7500,9.7500,9.7500,9.7500,50000,0.0000,1.0000
2017-11-29,9.8000,9.9000,9.7500,9.7500,9.7500,51599,0.0000,1.0000
2017-11-28,9.8000,9.9000,9.7500,9.9000,9.9000,31142,0.0000,1.0000
2017-11-27,9.7000,9.9000,9.7000,9.8500,9.8500,111882,0.0000,1.0000
2017-11-24,9.8000,10.0000,9.8000,9.8500,9.8500,9312,0.0000,1.0000
2017-11-22,10.0500,10.0500,9.8500,9.9000,9.9000,95254,0.0000,1.0000
2017-11-21,9.8500,10.1000,9.7500,10.0000,10.0000,100961,0.0000,1.0000
2017-11-20,9.6500,9.9000,9.5500,9.9000,9.9000,228776,0.0000,1.0000
2017-11-17,9.8000,9.8000,9.7000,9.7500,9.7500,172543,0.0000,1.0000
2017-11-16,9.9000,9.9500,9.6500,9.8000,9.8000,474828,0.0000,1.0000
2017-11-15,9.9500,9.9500,9.4500,9.7500,9.7500,139609,0.0000,1.0000
2017-11-14,10.0000,10.0700,9.8500,9.9500,9.9500,502076,0.0000,1.0000
2017-11-13,10.0000,10.0250,10.0000,10.0000,10.0000,971,0.0000,1.0000
2017-11-10,10.0500,10.0500,9.9500,10.0500,10.0500,149103,0.0000,1.0000
2017-11-09,10.0000,10.0500,10.0000,10.0500,10.0500,1082980,0.0000,1.0000
2017-11-08,10.0500,10.0500,10.0250,10.0500,10.0500,715350,0.0000,1.0000
2017-11-07,10.1000,10.1000,10.0000,10.0000,10.0000,246475,0.0000,1.0000
2017-11-06,10.0750,10.1000,10.0000,10.1000,10.1000,1085049,0.0000,1.0000
2017-11-03,10.0500,10.1000,10.0000,10.1000,10.1000,426516,0.0000,1.0000
2017-11-02,10.0500,10.1000,10.0500,10.0750,10.0750,106742,0.0000,1.0000
2017-11-01,10.0750,10.1000,10.0500,10.0750,10.0750,1022910,0.0000,1.0000
2017-10-31,10.0500,10.1000,10.0250,10.0500,10.0500,411243,0.0000,1.0000
2017-10-30,10.0000,10.1000,10.0000,10.0500,10.0500,910113,0.0000,1.0000
2017-10-27,10.0250,10.0500,10.0000,10.0000,10.0000,9569,0.0000,1.0000
2017-10-26,10.0500,10.0500,10.0000,10.0250,10.0250,556904,0.0000,1.0000
2017-10-25,10.0250,10.0750,10.0000,10.0500,10.0500,165630,0.0000,1.0000
