timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,8.9900,8.9900,8.9700,8.9700,8.9700,766199,0.0000,1.0000
2018-08-13,8.9900,9.0050,8.9650,8.9800,8.9800,611605,0.0000,1.0000
2018-08-10,8.9900,9.0100,8.9800,8.9900,8.9900,237187,0.0000,1.0000
2018-08-09,8.9900,9.0100,8.9750,8.9900,8.9900,411144,0.0000,1.0000
2018-08-08,9.0100,9.0200,8.9800,9.0000,9.0000,343539,0.0000,1.0000
2018-08-07,9.0200,9.0500,9.0000,9.0100,9.0100,393533,0.0000,1.0000
2018-08-06,9.0200,9.0306,8.9950,9.0000,9.0000,308905,0.0000,1.0000
2018-08-03,8.9900,9.0350,8.9900,9.0100,9.0100,656601,0.0000,1.0000
2018-08-02,8.9800,9.0100,8.9500,9.0000,9.0000,709143,0.0000,1.0000
2018-08-01,8.9500,9.0200,8.9500,8.9800,8.9800,863724,0.0000,1.0000
2018-07-31,8.9000,8.9600,8.8600,8.9500,8.9500,308970,0.0000,1.0000
2018-07-30,8.9400,8.9900,8.8500,8.8900,8.8900,672400,0.0000,1.0000
2018-07-27,8.9500,8.9500,8.9000,8.9200,8.9200,517263,0.0000,1.0000
2018-07-26,8.9700,9.0050,8.9200,8.9500,8.9500,519880,0.0000,1.0000
2018-07-25,8.9600,9.0100,8.9400,8.9700,8.9700,321206,0.0000,1.0000
2018-07-24,8.9800,9.0100,8.9400,8.9500,8.9500,504855,0.0000,1.0000
2018-07-23,8.9900,9.0000,8.9400,8.9500,8.9500,400991,0.0000,1.0000
2018-07-20,8.9800,9.0050,8.9400,8.9900,8.9900,264268,0.0000,1.0000
2018-07-19,8.9600,8.9800,8.9450,8.9700,8.9700,339526,0.0000,1.0000
2018-07-18,8.9400,9.0021,8.9200,8.9500,8.9500,424527,0.0000,1.0000
2018-07-17,8.9400,8.9750,8.9200,8.9600,8.9600,293833,0.0000,1.0000
2018-07-16,8.9400,8.9900,8.9100,8.9500,8.9500,710835,0.0000,1.0000
2018-07-13,8.9900,9.0000,8.9300,8.9400,8.9400,632582,0.0000,1.0000
2018-07-12,8.9800,9.0300,8.9400,9.0100,9.0100,402502,0.0000,1.0000
2018-07-11,8.9700,9.0600,8.9550,8.9700,8.9700,564407,0.0000,1.0000
2018-07-10,9.0400,9.1000,8.9400,8.9800,8.9800,402121,0.0000,1.0000
2018-07-09,9.0000,9.1000,8.9600,9.0300,9.0300,532994,0.0000,1.0000
2018-07-06,9.0000,9.0400,8.9100,9.0000,9.0000,315069,0.0000,1.0000
2018-07-05,9.0400,9.0500,8.9500,9.0000,9.0000,905278,0.0000,1.0000
2018-07-03,8.9900,9.2600,8.9300,9.0000,9.0000,518433,0.0000,1.0000
2018-07-02,8.8200,9.0000,8.8200,8.9700,8.9700,816158,0.0000,1.0000
2018-06-29,8.9000,8.9700,8.7700,8.8400,8.8400,972765,0.0000,1.0000
2018-06-28,8.8800,9.0000,8.6700,8.9500,8.9500,875501,0.0000,1.0000
2018-06-27,8.9900,9.0200,8.8400,8.8500,8.8500,2009635,0.0000,1.0000
2018-06-26,9.0100,9.0150,8.9500,8.9700,8.9700,1091854,0.0000,1.0000
2018-06-25,9.0100,9.0700,8.9600,8.9800,8.9800,1822366,0.0000,1.0000
2018-06-22,8.9700,9.1200,8.9500,9.0400,9.0400,2173241,0.0000,1.0000
2018-06-21,8.9800,9.0000,8.9400,8.9500,8.9500,1640685,0.0000,1.0000
2018-06-20,8.9900,9.0000,8.9700,8.9700,8.9700,3741857,0.0000,1.0000
2018-06-19,8.9100,9.0700,8.9100,8.9700,8.9700,6429566,0.0000,1.0000
2018-06-18,8.9500,8.9600,8.8000,8.9400,8.9400,9899964,0.0000,1.0000
2018-06-15,7.4100,7.5600,7.0752,7.4900,7.4900,743078,0.0000,1.0000
2018-06-14,7.8500,7.9228,7.2900,7.4800,7.4800,356445,0.0000,1.0000
2018-06-13,7.7900,7.9500,7.7101,7.8400,7.8400,186247,0.0000,1.0000
2018-06-12,7.9200,8.1299,7.7300,7.8900,7.8900,184035,0.0000,1.0000
2018-06-11,7.7400,8.0800,7.6200,7.9400,7.9400,205228,0.0000,1.0000
2018-06-08,7.9400,7.9435,7.5901,7.7700,7.7700,172588,0.0000,1.0000
2018-06-07,7.4100,8.1300,7.4100,7.9000,7.9000,520531,0.0000,1.0000
2018-06-06,7.2300,7.3900,7.0600,7.3700,7.3700,288932,0.0000,1.0000
2018-06-05,6.9800,7.4190,6.7800,7.2400,7.2400,396231,0.0000,1.0000
2018-06-04,7.4200,7.4900,6.9501,6.9800,6.9800,315236,0.0000,1.0000
2018-06-01,7.5600,7.7400,7.1600,7.4000,7.4000,419006,0.0000,1.0000
2018-05-31,7.2200,7.7190,7.2200,7.5200,7.5200,477261,0.0000,1.0000
2018-05-30,6.9600,7.4500,6.9600,7.3100,7.3100,365310,0.0000,1.0000
2018-05-29,6.9800,7.1600,6.8800,6.9200,6.9200,632729,0.0000,1.0000
2018-05-25,7.4900,7.4900,6.9200,7.0900,7.0900,497216,0.0000,1.0000
2018-05-24,7.8600,7.8900,7.4400,7.5900,7.5900,456705,0.0000,1.0000
2018-05-23,8.1200,8.4800,7.8500,8.0300,8.0300,506695,0.0000,1.0000
