timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,15.6600,15.9400,14.9800,15.1200,15.1200,85418,0.0000,1.0000
2018-08-13,15.1100,15.7700,14.8600,15.5300,15.5300,33086,0.0000,1.0000
2018-08-10,14.2700,15.1500,14.2500,15.0000,15.0000,35503,0.0000,1.0000
2018-08-09,14.0400,14.5400,13.5600,14.4300,14.4300,84163,0.0000,1.0000
2018-08-08,14.0800,14.5000,12.7600,14.2100,14.2100,70986,0.0000,1.0000
2018-08-07,13.5000,13.6000,13.0000,13.1500,13.1500,42834,0.0000,1.0000
2018-08-06,13.7300,13.8000,13.3500,13.4000,13.4000,89097,0.0000,1.0000
2018-08-03,14.1000,14.2050,13.3510,13.6700,13.6700,30327,0.0000,1.0000
2018-08-02,14.5200,14.7400,13.9500,14.0100,14.0100,64728,0.0000,1.0000
2018-08-01,15.1800,15.1800,14.3900,14.5800,14.5800,36286,0.0000,1.0000
2018-07-31,15.2500,15.2500,14.8000,15.1700,15.1700,65117,0.0000,1.0000
2018-07-30,15.7500,15.7500,15.0200,15.1400,15.1400,49403,0.0000,1.0000
2018-07-27,16.7000,16.7000,15.0300,15.7600,15.7600,49598,0.0000,1.0000
2018-07-26,16.3000,16.9443,16.0425,16.6700,16.6700,32431,0.0000,1.0000
2018-07-25,15.3300,16.8000,14.9700,16.4300,16.4300,58433,0.0000,1.0000
2018-07-24,16.2900,16.3000,15.6950,15.7700,15.7700,101836,0.0000,1.0000
2018-07-23,16.2800,16.5700,16.1000,16.1700,16.1700,63289,0.0000,1.0000
2018-07-20,17.0500,17.0500,16.1300,16.2300,16.2300,77369,0.0000,1.0000
2018-07-19,17.4000,17.4100,17.1100,17.2900,17.2900,30373,0.0000,1.0000
2018-07-18,17.5900,17.6300,17.2500,17.4100,17.4100,28497,0.0000,1.0000
2018-07-17,17.8800,17.8800,17.2500,17.6200,17.6200,36347,0.0000,1.0000
2018-07-16,18.9200,18.9200,17.5300,17.8600,17.8600,42032,0.0000,1.0000
2018-07-13,19.5900,19.6000,18.5100,18.8600,18.8600,57911,0.0000,1.0000
2018-07-12,18.9500,19.6900,18.7762,19.6300,19.6300,42426,0.0000,1.0000
