timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.6458,0.6600,0.4900,0.6200,0.6200,86264,0.0000,1.0000
2018-08-13,0.6200,0.6727,0.5660,0.6151,0.6151,40626,0.0000,1.0000
2018-08-10,0.6599,0.6599,0.5640,0.5650,0.5650,22988,0.0000,1.0000
2018-08-09,0.6319,0.6720,0.4900,0.6301,0.6301,75475,0.0000,1.0000
2018-08-08,0.6900,0.6900,0.6321,0.6760,0.6760,14890,0.0000,1.0000
2018-08-07,0.7000,0.7000,0.6650,0.6650,0.6650,10180,0.0000,1.0000
2018-08-06,0.6700,0.6950,0.6650,0.6945,0.6945,13206,0.0000,1.0000
2018-08-03,0.6862,0.6950,0.6501,0.6650,0.6650,17560,0.0000,1.0000
2018-08-02,0.7000,0.7000,0.6500,0.6950,0.6950,9694,0.0000,1.0000
2018-08-01,0.6601,0.7000,0.6601,0.6950,0.6950,12670,0.0000,1.0000
2018-07-31,0.7000,0.7000,0.6300,0.7000,0.7000,33316,0.0000,1.0000
2018-07-30,0.6898,0.7000,0.6890,0.6999,0.6999,2666,0.0000,1.0000
2018-07-27,0.6600,0.6999,0.6600,0.6900,0.6900,3349,0.0000,1.0000
2018-07-26,0.7000,0.7000,0.6710,0.6999,0.6999,888,0.0000,1.0000
2018-07-25,0.6900,0.7000,0.6250,0.7000,0.7000,39000,0.0000,1.0000
2018-07-24,0.6999,0.6999,0.6631,0.6700,0.6700,10790,0.0000,1.0000
2018-07-23,0.6900,0.7000,0.6502,0.7000,0.7000,7521,0.0000,1.0000
2018-07-20,0.6500,0.6800,0.6500,0.6800,0.6800,25915,0.0000,1.0000
2018-07-19,0.6316,0.7000,0.6316,0.6500,0.6500,23827,0.0000,1.0000
2018-07-18,0.7100,0.7100,0.6311,0.7000,0.7000,65204,0.0000,1.0000
2018-07-17,0.6999,0.7190,0.6999,0.7000,0.7000,3930,0.0000,1.0000
2018-07-16,0.7000,0.7200,0.6828,0.7200,0.7200,11912,0.0000,1.0000
2018-07-13,0.6900,0.7299,0.6259,0.7200,0.7200,73717,0.0000,1.0000
2018-07-12,0.7050,0.7369,0.6251,0.7369,0.7369,50122,0.0000,1.0000
2018-07-11,0.7380,0.7445,0.6800,0.7199,0.7199,15527,0.0000,1.0000
2018-07-10,0.6800,0.7369,0.6430,0.7097,0.7097,45520,0.0000,1.0000
2018-07-09,0.6720,0.7400,0.6519,0.6750,0.6750,30255,0.0000,1.0000
2018-07-06,0.6500,0.7400,0.6500,0.6720,0.6720,39599,0.0000,1.0000
2018-07-05,0.7091,0.7098,0.6567,0.6899,0.6899,29223,0.0000,1.0000
2018-07-03,0.7200,0.7523,0.6900,0.7300,0.7300,37025,0.0000,1.0000
2018-07-02,0.6825,0.7889,0.6300,0.7000,0.7000,209116,0.0000,1.0000
2018-06-29,0.7000,0.7000,0.6100,0.6500,0.6500,283775,0.0000,1.0000
2018-06-28,0.7000,0.8000,0.6438,0.7040,0.7040,725093,0.0000,1.0000
2018-06-27,0.7800,0.8030,0.7001,0.7440,0.7440,21622,0.0000,1.0000
2018-06-26,0.8049,0.8049,0.7208,0.7470,0.7470,149565,0.0000,1.0000
2018-06-25,0.8500,0.8500,0.7761,0.7761,0.7761,5115,0.0000,1.0000
2018-06-22,0.8300,0.8500,0.8000,0.8300,0.8300,6722,0.0000,1.0000
2018-06-21,0.8090,0.8200,0.8000,0.8000,0.8000,21788,0.0000,1.0000
2018-06-20,0.8048,0.8199,0.8000,0.8090,0.8090,5303,0.0000,1.0000
2018-06-19,0.8000,0.8298,0.7760,0.7760,0.7760,21584,0.0000,1.0000
2018-06-18,0.7900,0.8300,0.7900,0.8000,0.8000,11243,0.0000,1.0000
2018-06-15,0.7903,0.8150,0.7800,0.7800,0.7800,21314,0.0000,1.0000
2018-06-14,0.8001,0.8299,0.7900,0.7900,0.7900,23829,0.0000,1.0000
2018-06-13,0.8100,0.8500,0.7900,0.8000,0.8000,360407,0.0000,1.0000
2018-06-12,0.8000,0.8500,0.8000,0.8200,0.8200,9310,0.0000,1.0000
2018-06-11,0.8500,0.8500,0.8010,0.8200,0.8200,8933,0.0000,1.0000
2018-06-08,0.8500,0.8500,0.8100,0.8100,0.8100,12531,0.0000,1.0000
2018-06-07,0.8055,0.8481,0.8000,0.8000,0.8000,23370,0.0000,1.0000
2018-06-06,0.8400,0.8600,0.7990,0.8100,0.8100,10204,0.0000,1.0000
2018-06-05,0.8700,0.8799,0.8211,0.8400,0.8400,32460,0.0000,1.0000
2018-06-04,0.8300,0.8800,0.8300,0.8500,0.8500,58020,0.0000,1.0000
2018-06-01,0.8600,0.8800,0.8300,0.8600,0.8600,9830,0.0000,1.0000
2018-05-31,0.8200,0.8798,0.7722,0.8600,0.8600,84205,0.0000,1.0000
2018-05-30,0.7903,0.8800,0.7800,0.8000,0.8000,161967,0.0000,1.0000
2018-05-29,0.8000,0.8149,0.7599,0.7980,0.7980,19459,0.0000,1.0000
2018-05-25,0.7999,0.8180,0.7641,0.8180,0.8180,23009,0.0000,1.0000
2018-05-24,0.8680,0.8700,0.7600,0.8000,0.8000,158578,0.0000,1.0000
2018-05-23,0.9000,0.9000,0.8401,0.8402,0.8402,52946,0.0000,1.0000
2018-05-22,0.9399,0.9399,0.8045,0.9000,0.9000,220889,0.0000,1.0000
2018-05-21,0.9479,0.9479,0.9050,0.9100,0.9100,65668,0.0000,1.0000
2018-05-18,0.9399,0.9500,0.8999,0.9300,0.9300,35099,0.0000,1.0000
2018-05-17,0.9286,0.9490,0.9118,0.9200,0.9200,4067,0.0000,1.0000
2018-05-16,0.8629,0.9286,0.8016,0.9200,0.9200,168547,0.0000,1.0000
2018-05-15,1.0700,1.0700,0.9000,0.9286,0.9286,58791,0.0000,1.0000
2018-05-14,1.0200,1.0200,0.9220,0.9539,0.9539,54769,0.0000,1.0000
2018-05-11,1.0100,1.0100,0.9215,0.9900,0.9900,35635,0.0000,1.0000
2018-05-10,0.9952,1.0000,0.9503,0.9940,0.9940,8105,0.0000,1.0000
