timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,5.3500,6.4200,5.2800,5.5900,5.5900,6755,0.0000,1.0000
2018-08-13,5.5000,6.0900,5.5000,5.6700,5.6700,19835,0.0000,1.0000
2018-08-10,5.6529,5.6529,5.5400,5.5400,5.5400,3943,0.0000,1.0000
2018-08-09,6.0000,6.0000,5.7000,5.7000,5.7000,8493,0.0000,1.0000
2018-08-08,5.7100,5.8000,5.6065,5.7000,5.7000,40479,0.0000,1.0000
2018-08-07,5.7800,6.1807,5.7000,5.8000,5.8000,29820,0.0000,1.0000
2018-08-06,5.7300,5.8200,5.7300,5.8000,5.8000,94465,0.0000,1.0000
2018-08-03,5.8200,5.9247,5.7521,5.8000,5.8000,1356,0.0000,1.0000
2018-08-02,5.7500,5.9500,5.7400,5.8500,5.8500,12080,0.0000,1.0000
2018-08-01,5.8097,5.8110,5.7601,5.7700,5.7700,2671,0.0000,1.0000
2018-07-31,6.0100,6.0100,5.5500,5.7500,5.7500,8228,0.0000,1.0000
2018-07-30,5.8400,6.0000,5.6190,6.0000,6.0000,17601,0.0000,1.0000
2018-07-27,5.9500,6.0100,5.5000,5.9650,5.9650,17724,0.0000,1.0000
2018-07-26,6.0300,6.0500,5.7897,5.9888,5.9888,2599,0.0000,1.0000
2018-07-25,6.1000,6.1000,6.0000,6.0000,6.0000,9691,0.0000,1.0000
2018-07-24,6.4000,6.4000,6.1500,6.2000,6.2000,63338,0.0000,1.0000
2018-07-23,6.7000,6.7000,6.3127,6.4000,6.4000,22464,0.0000,1.0000
2018-07-20,6.8000,6.8100,6.3480,6.5000,6.5000,18540,0.0000,1.0000
2018-07-19,7.0300,7.0300,6.5900,6.5900,6.5900,11226,0.0000,1.0000
2018-07-18,6.7600,6.9900,6.4500,6.9400,6.9400,6113,0.0000,1.0000
2018-07-17,7.1300,7.4887,6.5101,6.7500,6.7500,20748,0.0000,1.0000
2018-07-16,6.5000,7.3700,6.5000,7.0200,7.0200,13520,0.0000,1.0000
2018-07-13,6.2400,6.5950,6.2400,6.4350,6.4350,2406,0.0000,1.0000
2018-07-12,7.1700,7.4553,6.5200,6.6000,6.6000,20713,0.0000,1.0000
2018-07-11,6.5600,7.2300,6.5000,7.2100,7.2100,11725,0.0000,1.0000
2018-07-10,6.9676,7.2300,6.4500,7.2200,7.2200,4072,0.0000,1.0000
2018-07-09,5.9400,7.2393,5.9400,7.0162,7.0162,29233,0.0000,1.0000
2018-07-06,6.1700,6.2100,5.9200,6.0500,6.0500,11888,0.0000,1.0000
2018-07-05,6.5500,6.5500,5.7536,5.8600,5.8600,14884,0.0000,1.0000
2018-07-03,6.3000,6.7400,6.2050,6.2900,6.2900,20717,0.0000,1.0000
2018-07-02,6.5500,6.5500,6.3000,6.3000,6.3000,3970,0.0000,1.0000
2018-06-29,6.4250,6.7500,6.2500,6.3000,6.3000,55955,0.0000,1.0000
2018-06-28,5.8600,6.7500,5.8600,6.2700,6.2700,14108,0.0000,1.0000
2018-06-27,7.0000,7.0000,6.1100,6.2500,6.2500,15424,0.0000,1.0000
2018-06-26,7.0390,7.0500,6.9801,7.0100,7.0100,30392,0.0000,1.0000
2018-06-25,7.6990,7.8148,6.8500,7.0000,7.0000,42310,0.0000,1.0000
2018-06-22,8.0000,8.2100,7.7800,7.9600,7.9600,22346,0.0000,1.0000
2018-06-21,8.0500,8.2500,7.8200,8.0300,8.0300,16012,0.0000,1.0000
2018-06-20,8.0500,8.3078,8.0500,8.0500,8.0500,39535,0.0000,1.0000
2018-06-19,8.0800,8.2500,7.6200,8.0500,8.0500,20802,0.0000,1.0000
2018-06-18,8.1801,8.2000,7.6710,8.0000,8.0000,12085,0.0000,1.0000
2018-06-15,8.0555,8.2500,7.7118,8.2500,8.2500,11249,0.0000,1.0000
2018-06-14,7.6800,8.4900,7.6800,8.4900,8.4900,6502,0.0000,1.0000
2018-06-13,8.0500,8.0500,7.7000,7.7000,7.7000,4328,0.0000,1.0000
2018-06-12,8.0200,8.0200,8.0200,8.0200,8.0200,302,0.0000,1.0000
2018-06-11,8.0200,8.4339,8.0200,8.0200,8.0200,2899,0.0000,1.0000
2018-06-08,8.4500,8.4500,8.0630,8.3900,8.3900,6063,0.0000,1.0000
2018-06-07,8.3900,8.4500,8.1350,8.3200,8.3200,8462,0.0000,1.0000
2018-06-06,8.1300,8.1300,8.1300,8.1300,8.1300,560,0.0000,1.0000
2018-06-05,8.4001,8.4001,8.1900,8.1900,8.1900,29040,0.0000,1.0000
2018-06-04,8.1721,8.2590,8.0800,8.1017,8.1017,4012,0.0000,1.0000
2018-06-01,7.9438,8.0200,7.9400,8.0200,8.0200,813,0.0000,1.0000
2018-05-31,7.9300,8.0096,7.9300,7.9400,7.9400,813,0.0000,1.0000
2018-05-30,8.1764,8.1764,7.9300,7.9300,7.9300,764,0.0000,1.0000
2018-05-29,8.0000,8.6100,7.9600,8.0000,8.0000,39693,0.0000,1.0000
2018-05-25,8.4499,8.5000,8.0561,8.0561,8.0561,9894,0.0000,1.0000
2018-05-24,7.9800,8.4500,7.9800,8.0300,8.0300,2849,0.0000,1.0000
2018-05-23,7.6300,7.6300,7.6300,7.6300,7.6300,248,0.0000,1.0000
2018-05-22,8.3800,8.9600,7.6600,8.4500,8.4500,25875,0.0000,1.0000
2018-05-21,8.2100,8.2506,7.7432,7.9000,7.9000,7330,0.0000,1.0000
2018-05-18,8.4700,8.4700,7.9375,8.2688,8.2688,5338,0.0000,1.0000
2018-05-17,8.5000,8.5000,8.4800,8.4881,8.4881,7987,0.0000,1.0000
2018-05-16,8.7400,8.7400,8.4600,8.4600,8.4600,826,0.0000,1.0000
2018-05-15,8.5000,8.7400,8.4800,8.6000,8.6000,9807,0.0000,1.0000
2018-05-14,8.5000,8.5000,8.4505,8.4586,8.4586,3286,0.0000,1.0000
2018-05-11,8.6504,8.8931,8.5000,8.5000,8.5000,811,0.0000,1.0000
2018-05-10,8.8222,8.8222,8.4500,8.4500,8.4500,518,0.0000,1.0000
2018-05-09,8.6500,8.7000,8.6250,8.7000,8.7000,4700,0.0000,1.0000
