timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.7500,0.7800,0.4700,0.6500,0.6500,23456,0.0000,1.0000
2018-08-13,0.6005,0.6144,0.6000,0.6030,0.6030,1289,0.0000,1.0000
2018-08-10,0.6500,0.6500,0.6491,0.6500,0.6500,6300,0.0000,1.0000
2018-08-09,0.5600,0.6200,0.5600,0.6000,0.6000,7184,0.0000,1.0000
2018-08-08,0.4000,0.6400,0.4000,0.5000,0.5000,7333,0.0000,1.0000
2018-08-03,0.6300,0.6300,0.6300,0.6300,0.6300,100,0.0000,1.0000
2018-08-02,0.6200,0.6500,0.6200,0.6499,0.6499,8430,0.0000,1.0000
2018-08-01,0.7500,0.7900,0.6400,0.7900,0.7900,5500,0.0000,1.0000
2018-07-30,0.2501,0.7800,0.2501,0.6491,0.6491,14388,0.0000,1.0000
2018-07-26,0.7900,0.7900,0.7900,0.7900,0.7900,4000,0.0000,1.0000
2018-07-25,0.7400,0.7900,0.7400,0.7899,0.7899,1110,0.0000,1.0000
2018-07-24,0.6800,0.6800,0.6700,0.6700,0.6700,2433,0.0000,1.0000
2018-07-20,0.7300,0.7300,0.7300,0.7300,0.7300,100,0.0000,1.0000
2018-07-19,0.7060,0.7060,0.7060,0.7060,0.7060,100,0.0000,1.0000
2018-07-18,0.6700,0.6751,0.6700,0.6700,0.6700,8102,0.0000,1.0000
2018-07-17,0.6700,0.7000,0.6700,0.7000,0.7000,950,0.0000,1.0000
2018-07-16,0.2204,0.6700,0.2204,0.6700,0.6700,350,0.0000,1.0000
2018-07-12,0.6100,0.6906,0.6100,0.6900,0.6900,19150,0.0000,1.0000
2018-07-11,0.7900,0.7900,0.6000,0.6200,0.6200,7640,0.0000,1.0000
2018-07-09,0.7990,0.7990,0.7990,0.7990,0.7990,500,0.0000,1.0000
2018-07-06,0.7000,0.7000,0.7000,0.7000,0.7000,511,0.0000,1.0000
2018-07-05,0.6200,0.6552,0.6200,0.6300,0.6300,4300,0.0000,1.0000
2018-07-03,0.6800,0.6814,0.6800,0.6812,0.6812,6480,0.0000,1.0000
2018-07-02,0.6901,0.6901,0.6901,0.6901,0.6901,103,0.0000,1.0000
2018-06-29,0.6500,0.6800,0.6500,0.6800,0.6800,1190,0.0000,1.0000
2018-06-28,0.6600,0.6633,0.6500,0.6500,0.6500,1155,0.0000,1.0000
2018-06-27,0.7000,0.7000,0.7000,0.7000,0.7000,50,0.0000,1.0000
2018-06-25,0.7000,0.7000,0.7000,0.7000,0.7000,100,0.0000,1.0000
2018-06-22,0.7981,0.7981,0.7981,0.7981,0.7981,100,0.0000,1.0000
2018-06-19,0.6865,0.7000,0.6750,0.6938,0.6938,10300,0.0000,1.0000
2018-06-18,0.6500,0.7590,0.6500,0.7590,0.7590,350,0.0000,1.0000
2018-06-15,0.7600,0.7600,0.7500,0.7500,0.7500,3729,0.0000,1.0000
2018-06-14,0.7600,0.7600,0.7600,0.7600,0.7600,1800,0.0000,1.0000
2018-06-13,0.7600,0.7601,0.7600,0.7601,0.7601,4658,0.0000,1.0000
2018-06-12,0.7500,0.7500,0.7500,0.7500,0.7500,15,0.0000,1.0000
2018-06-11,0.7400,0.7500,0.7400,0.7500,0.7500,3850,0.0000,1.0000
2018-06-07,0.7100,0.7100,0.7100,0.7100,0.7100,1500,0.0000,1.0000
2018-06-06,0.7200,0.7200,0.7100,0.7100,0.7100,1200,0.0000,1.0000
2018-06-05,0.7200,0.7215,0.7100,0.7115,0.7115,2000,0.0000,1.0000
2018-06-01,0.7000,0.7000,0.7000,0.7000,0.7000,689,0.0000,1.0000
2018-05-30,0.7000,0.7000,0.7000,0.7000,0.7000,407,0.0000,1.0000
2018-05-29,0.7000,0.7000,0.7000,0.7000,0.7000,255,0.0000,1.0000
2018-05-25,0.7650,0.8800,0.7650,0.8800,0.8800,450,0.0000,1.0000
2018-05-24,0.8800,0.8800,0.8784,0.8800,0.8800,2614,0.0000,1.0000
2018-05-23,0.8000,0.8800,0.7550,0.8800,0.8800,17661,0.0000,1.0000
