timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,17.7500,17.7500,17.6900,17.6900,17.6900,1300,0.0000,1.0000
2018-08-13,17.6000,17.7600,17.6000,17.7600,17.7600,3633,0.0000,1.0000
2018-08-10,18.0000,18.0000,17.5900,17.6000,17.6000,2806,0.0000,1.0000
2018-08-09,17.8498,18.8243,17.5885,17.9890,17.9890,4474,0.0000,1.0000
2018-08-08,17.4500,18.4900,17.4500,18.3800,18.3800,11012,0.0000,1.0000
2018-08-07,17.1800,17.1800,16.1989,16.9900,16.9900,21963,0.0000,1.0000
2018-08-06,17.5000,18.1500,17.1800,17.2500,17.2500,3107,0.0000,1.0000
2018-08-03,17.0000,18.7880,17.0000,17.5000,17.5000,13037,0.0000,1.0000
2018-08-02,20.8200,20.9036,14.0000,17.1560,17.1560,40217,0.0000,1.0000
2018-08-01,21.1600,21.1600,20.8100,21.0000,21.0000,526,0.0000,1.0000
2018-07-31,21.7500,21.7500,20.8000,20.8000,20.8000,2425,0.0000,1.0000
2018-07-30,21.9284,21.9284,21.9284,21.9284,21.9284,300,0.0000,1.0000
2018-07-27,20.8000,21.3696,20.8000,21.3696,21.3696,647,0.0000,1.0000
2018-07-26,20.7200,20.8100,20.7200,20.8100,20.8100,692,0.0000,1.0000
2018-07-25,20.9300,20.9300,20.4000,20.5250,20.5250,3619,0.0000,1.0000
2018-07-24,21.1400,21.1400,21.1400,21.1400,21.1400,500,0.0000,1.0000
2018-07-23,20.8000,20.9040,20.8000,20.9040,20.9040,400,0.0000,1.0000
2018-07-20,20.6701,20.8000,20.6000,20.8000,20.8000,2910,0.0000,1.0000
2018-07-19,21.0000,21.0000,20.7500,20.9000,20.9000,4810,0.0000,1.0000
2018-07-18,21.1500,21.1500,20.7000,20.9100,20.9100,1044,0.0000,1.0000
2018-07-17,21.1400,21.4250,20.7000,21.0500,21.0500,8680,0.0000,1.0000
2018-07-16,21.7500,21.9500,21.0000,21.0000,21.0000,2884,0.0000,1.0000
2018-07-13,21.6200,21.7600,21.2700,21.4500,21.4500,1950,0.0000,1.0000
2018-07-12,21.4997,21.6147,21.4997,21.6147,21.6147,635,0.0000,1.0000
2018-07-11,21.9466,21.9466,21.9466,21.9466,21.9466,100,0.0000,1.0000
2018-07-10,21.1200,21.2500,21.0590,21.2500,21.2500,7227,0.0000,1.0000
2018-07-09,21.2100,21.5010,21.1200,21.1200,21.1200,2225,0.0000,1.0000
2018-07-06,21.2500,21.9699,21.1000,21.2000,21.2000,5887,0.0000,1.0000
2018-07-05,21.0001,21.2300,20.6906,21.1247,21.1247,5288,0.0000,1.0000
2018-07-03,21.0000,21.0000,20.6110,20.6110,20.6110,797,0.0000,1.0000
2018-07-02,21.2400,21.2400,21.0000,21.1500,21.1500,2286,0.0000,1.0000
2018-06-29,21.2000,21.2000,21.0000,21.0000,21.0000,1590,0.0000,1.0000
2018-06-28,20.8200,20.8200,20.7100,20.7100,20.7100,1038,0.0000,1.0000
2018-06-27,21.9000,21.9000,20.7901,20.7901,20.7901,2640,0.0000,1.0000
2018-06-26,22.0200,22.0200,21.1000,21.6000,21.6000,1940,0.0000,1.0000
2018-06-25,22.0000,22.0000,22.0000,22.0000,22.0000,117,0.0000,1.0000
2018-06-22,21.3500,21.4770,21.1000,21.4737,21.4737,2012,0.0000,1.0000
2018-06-21,21.7500,21.7500,21.6500,21.6500,21.6500,485,0.0000,1.0000
2018-06-20,21.7500,21.7500,21.7500,21.7500,21.7500,1000,0.0000,1.0000
2018-06-19,21.6500,21.7600,21.6500,21.7600,21.7600,2785,0.0000,1.0000
2018-06-18,21.6500,21.6500,21.6250,21.6250,21.6250,2078,0.0000,1.0000
2018-06-15,21.6000,21.6400,21.6000,21.6000,21.6000,1384,0.0000,1.0000
2018-06-14,21.6500,21.6500,21.3900,21.3900,21.3900,1622,0.5860,1.0000
2018-06-13,22.0000,22.0000,21.5200,21.6700,21.0922,2650,0.0000,1.0000
2018-06-12,22.2000,22.4600,21.5100,21.5600,20.9851,8413,0.0000,1.0000
2018-06-11,22.0500,22.2050,21.5000,21.7500,21.1700,11150,0.0000,1.0000
2018-06-08,22.0000,22.0000,21.7710,21.9399,21.3549,4475,0.0000,1.0000
2018-06-07,22.0500,22.6900,22.0000,22.0000,21.4134,4950,0.0000,1.0000
2018-06-06,22.2500,22.2500,22.0100,22.0100,21.4231,2300,0.0000,1.0000
2018-06-05,22.5000,22.7900,22.5000,22.7224,22.1165,2622,0.0000,1.0000
2018-06-04,21.7000,22.4390,21.5000,22.4390,21.8407,4500,0.0000,1.0000
2018-06-01,22.3900,22.3900,21.2000,22.0000,21.4134,7650,0.0000,1.0000
2018-05-31,22.7800,22.7800,21.1200,22.4600,21.8611,8683,0.0000,1.0000
2018-05-30,21.7500,22.7700,21.7500,22.7700,22.1628,850,0.0000,1.0000
2018-05-29,22.2653,22.4000,22.0000,22.3180,21.7229,1760,0.0000,1.0000
2018-05-25,22.3000,22.5240,21.4750,22.0000,21.4134,6154,0.0000,1.0000
