timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,39.9900,40.6000,39.6000,40.6000,40.6000,16851,0.0000,1.0000
2018-08-13,39.6800,40.0800,39.2960,39.9900,39.9900,9000,0.0000,1.0000
2018-08-10,39.9800,40.0000,39.2100,39.7000,39.7000,5702,0.0000,1.0000
2018-08-09,40.4900,40.8700,39.9476,40.3300,40.3300,5789,0.0000,1.0000
2018-08-08,40.0000,40.7500,39.2500,40.4400,40.4400,2111,0.0000,1.0000
2018-08-07,40.5500,40.5500,40.1100,40.1800,40.1800,5608,0.0000,1.0000
2018-08-06,40.3900,41.1650,39.9702,40.5300,40.5300,15284,0.0000,1.0000
2018-08-03,41.2500,41.7900,39.9500,40.3900,40.3900,14032,0.0000,1.0000
2018-08-02,40.2700,41.7500,40.2700,41.2500,41.2500,12376,0.0000,1.0000
2018-08-01,40.7100,41.2500,40.3100,40.3100,40.3100,8232,0.0000,1.0000
2018-07-31,40.2400,40.9600,39.6705,40.7500,40.7500,18274,0.0000,1.0000
2018-07-30,40.0200,40.7900,39.8187,40.1000,40.1000,15092,0.0000,1.0000
2018-07-27,40.6300,40.9689,39.7500,39.9900,39.9900,13154,0.0000,1.0000
2018-07-26,40.0800,41.7299,39.4473,40.8000,40.8000,8192,0.0000,1.0000
2018-07-25,40.3800,40.6589,39.5222,40.0000,40.0000,13756,0.0000,1.0000
2018-07-24,40.3300,40.6500,40.0500,40.5000,40.5000,10154,0.0000,1.0000
2018-07-23,41.0000,41.0397,40.2400,40.2400,40.2400,12761,0.0000,1.0000
2018-07-20,39.9400,41.7600,39.4800,41.2500,41.2500,8580,0.0000,1.0000
2018-07-19,39.9000,40.6000,39.6695,39.8600,39.8600,8418,0.0000,1.0000
2018-07-18,40.2000,40.4400,39.6775,39.9500,39.9500,6717,0.0000,1.0000
2018-07-17,39.9800,40.5000,39.5000,40.1800,40.1800,6041,0.0000,1.0000
2018-07-16,39.7900,40.0000,39.3996,39.9900,39.9900,6150,0.0000,1.0000
2018-07-13,39.7000,40.2500,39.0340,39.8300,39.8300,10934,0.0000,1.0000
2018-07-12,39.6100,39.7600,38.5000,39.3800,39.3800,20439,0.0000,1.0000
2018-07-11,39.4050,39.8400,37.2600,39.5100,39.5100,13439,0.0000,1.0000
2018-07-10,40.1800,40.1800,39.2600,39.4800,39.4800,10253,0.0000,1.0000
2018-07-09,40.0300,42.0000,39.8500,40.0900,40.0900,9916,0.0000,1.0000
2018-07-06,39.5700,40.4182,39.3747,40.0000,40.0000,11914,0.0000,1.0000
2018-07-05,39.7500,40.0449,38.8029,39.5600,39.5600,19651,0.0000,1.0000
2018-07-03,39.7000,39.8068,39.1546,39.7000,39.7000,5646,0.0000,1.0000
2018-07-02,38.7900,39.6800,36.0444,39.6800,39.6800,13797,0.0000,1.0000
2018-06-29,39.8600,40.1400,38.6500,38.9800,38.9800,25035,0.0000,1.0000
2018-06-28,40.4000,40.8000,39.6500,39.7400,39.7400,25121,0.0000,1.0000
2018-06-27,41.6700,41.6900,40.0600,40.5200,40.5200,17925,0.0000,1.0000
2018-06-26,41.6200,42.0000,40.6550,41.6500,41.6500,20065,0.0000,1.0000
2018-06-25,41.2800,42.0400,40.5950,41.6200,41.6200,38013,0.0000,1.0000
2018-06-22,41.7600,41.8784,40.6300,41.5000,41.5000,147728,0.0000,1.0000
2018-06-21,40.7000,42.2400,40.1000,41.6200,41.6200,31949,0.2500,1.0000
2018-06-20,40.7700,41.7500,40.6894,41.0200,40.7751,30118,0.0000,1.0000
2018-06-19,40.1200,41.4300,39.8559,40.6300,40.3874,24968,0.0000,1.0000
2018-06-18,39.1600,40.6000,38.9530,40.4700,40.2284,14682,0.0000,1.0000
2018-06-15,39.1900,39.6500,38.5608,39.1900,38.9560,28077,0.0000,1.0000
2018-06-14,39.6200,39.9800,38.9850,39.3500,39.1150,30748,0.0000,1.0000
2018-06-13,39.2300,40.0000,38.7500,39.6700,39.4331,10013,0.0000,1.0000
2018-06-12,39.4900,39.6990,38.6550,39.3000,39.0653,26596,0.0000,1.0000
2018-06-11,39.6900,39.8500,39.2500,39.5000,39.2642,10639,0.0000,1.0000
2018-06-08,39.7400,39.9500,39.0000,39.7000,39.4630,19541,0.0000,1.0000
2018-06-07,40.1500,40.5000,39.5650,39.7200,39.4828,14455,0.0000,1.0000
2018-06-06,39.9500,40.9900,39.1200,40.1600,39.9202,16514,0.0000,1.0000
2018-06-05,39.4100,40.0500,38.7350,39.9600,39.7214,22709,0.0000,1.0000
2018-06-04,38.5400,40.2400,38.5400,39.4000,39.1647,28725,0.0000,1.0000
2018-06-01,38.0100,38.8800,37.3300,38.5500,38.3198,21209,0.0000,1.0000
2018-05-31,37.1000,38.5600,36.3900,37.8300,37.6041,64860,0.0000,1.0000
2018-05-30,37.4800,37.8400,36.5000,37.3000,37.0773,12839,0.0000,1.0000
2018-05-29,38.6300,38.8750,36.8100,37.3400,37.1170,16160,0.0000,1.0000
2018-05-25,39.0700,39.5000,38.8100,39.0100,38.7771,11241,0.0000,1.0000
2018-05-24,39.8000,39.8000,39.0000,39.2100,38.9759,15434,0.0000,1.0000
2018-05-23,39.4500,40.3450,37.9400,40.0600,39.8208,42098,0.0000,1.0000
2018-05-22,38.9600,39.8000,38.9500,39.6100,39.3735,22919,0.0000,1.0000
2018-05-21,39.5400,40.0000,38.1500,38.9500,38.7174,35283,0.0000,1.0000
2018-05-18,40.0900,40.2500,38.8700,39.3900,39.1548,32921,0.0000,1.0000
2018-05-17,39.9400,40.6700,38.9000,40.0000,39.7612,72763,0.0000,1.0000
