timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,8.1300,8.1454,8.1000,8.1000,8.1000,13762,0.0000,1.0000
2018-08-13,8.2000,8.2000,8.1000,8.1342,8.1342,38071,0.0000,1.0000
2018-08-10,8.2000,8.2556,8.2000,8.2100,8.2100,4919,0.0000,1.0000
2018-08-09,8.1800,8.2500,8.1800,8.2200,8.2200,33431,0.0000,1.0000
2018-08-08,8.2101,8.2490,8.2101,8.2410,8.2410,15555,0.0000,1.0000
2018-08-07,8.2320,8.2497,8.2100,8.2200,8.2200,2544,0.0000,1.0000
2018-08-06,8.2200,8.2400,8.2100,8.2100,8.2100,15337,0.0000,1.0000
2018-08-03,8.2200,8.2800,8.2100,8.2400,8.2400,7726,0.0000,1.0000
2018-08-02,8.2400,8.2790,8.2210,8.2210,8.2210,5776,0.0000,1.0000
2018-08-01,8.3000,8.3000,8.2500,8.2500,8.2500,4106,0.0000,1.0000
2018-07-31,8.2930,8.3300,8.2800,8.3000,8.3000,11700,0.0000,1.0000
2018-07-30,8.2900,8.3200,8.2900,8.2900,8.2900,27765,0.0000,1.0000
2018-07-27,8.2800,8.3124,8.2800,8.3000,8.3000,1816,0.0000,1.0000
2018-07-26,8.3100,8.3500,8.2900,8.2910,8.2910,18141,0.0000,1.0000
2018-07-25,8.3300,8.3697,8.3000,8.3400,8.3400,29497,0.0000,1.0000
2018-07-24,8.3000,8.3500,8.3000,8.3100,8.3100,6071,0.0000,1.0000
2018-07-23,8.3600,8.3600,8.3065,8.3268,8.3268,9943,0.0000,1.0000
2018-07-20,8.2600,8.3700,8.2600,8.3600,8.3600,22820,0.0000,1.0000
2018-07-19,8.3100,8.3380,8.2700,8.3100,8.3100,32181,0.0361,1.0000
2018-07-18,8.2700,8.3800,8.2700,8.3700,8.3338,70084,0.0000,1.0000
2018-07-17,8.2700,8.4100,8.2500,8.3700,8.3338,13535,0.0000,1.0000
2018-07-16,8.4790,8.4790,8.4200,8.4400,8.4035,12343,0.0000,1.0000
2018-07-13,8.4610,8.4799,8.4400,8.4600,8.4234,8443,0.0000,1.0000
2018-07-12,8.4700,8.5000,8.4700,8.4800,8.4433,7836,0.0000,1.0000
2018-07-11,8.5500,8.5500,8.4800,8.4800,8.4433,19312,0.0000,1.0000
2018-07-10,8.5200,8.5800,8.5200,8.5600,8.5230,25822,0.0000,1.0000
2018-07-09,8.5900,8.6250,8.5600,8.5775,8.5404,16309,0.0000,1.0000
2018-07-06,8.5790,8.5790,8.5510,8.5543,8.5173,3041,0.0000,1.0000
2018-07-05,8.5900,8.5900,8.5400,8.5700,8.5329,16663,0.0000,1.0000
2018-07-03,8.4600,8.5700,8.4600,8.5500,8.5130,17599,0.0000,1.0000
2018-07-02,8.5000,8.5190,8.4700,8.4700,8.4334,11204,0.0000,1.0000
2018-06-29,8.5100,8.5500,8.5100,8.5300,8.4931,23850,0.0000,1.0000
2018-06-28,8.5100,8.5400,8.5000,8.5000,8.4632,79427,0.0000,1.0000
2018-06-27,8.5500,8.5660,8.5330,8.5330,8.4961,22110,0.0000,1.0000
2018-06-26,8.5600,8.6000,8.5600,8.5800,8.5429,24969,0.0000,1.0000
2018-06-25,8.6100,8.6500,8.6100,8.6200,8.5827,10993,0.0000,1.0000
2018-06-22,8.6429,8.6800,8.6300,8.6800,8.6425,18385,0.0000,1.0000
2018-06-21,8.6600,8.6600,8.6200,8.6377,8.6003,17327,0.0000,1.0000
2018-06-20,8.6812,8.6990,8.6510,8.6700,8.6325,5209,0.0000,1.0000
2018-06-19,8.7100,8.7100,8.6800,8.6900,8.6524,12778,0.0307,1.0000
2018-06-18,8.7300,8.7700,8.7300,8.7590,8.6904,45308,0.0000,1.0000
2018-06-15,8.8600,8.8600,8.7200,8.7501,8.6816,170417,0.0000,1.0000
2018-06-14,8.9050,8.9100,8.8678,8.8990,8.8293,22255,0.0000,1.0000
2018-06-13,8.8400,8.8700,8.8400,8.8700,8.8005,7069,0.0000,1.0000
2018-06-12,8.8700,8.8700,8.8206,8.8400,8.7708,4512,0.0000,1.0000
2018-06-11,8.9000,8.9000,8.8277,8.8500,8.7807,14166,0.0000,1.0000
2018-06-08,8.7200,8.8590,8.7200,8.8450,8.7757,63432,0.0000,1.0000
2018-06-07,8.8301,8.8690,8.8300,8.8400,8.7708,117345,0.0000,1.0000
2018-06-06,8.8625,8.8700,8.8200,8.8400,8.7708,4743,0.0000,1.0000
2018-06-05,8.7700,8.8700,8.7700,8.8496,8.7803,12301,0.0000,1.0000
2018-06-04,8.8000,8.8460,8.8000,8.8200,8.7509,32585,0.0000,1.0000
2018-06-01,8.8000,8.8500,8.8000,8.8400,8.7708,4959,0.0000,1.0000
2018-05-31,8.8950,8.9000,8.8668,8.8700,8.8005,6022,0.0000,1.0000
2018-05-30,8.8100,8.9000,8.8100,8.8600,8.7906,6644,0.0000,1.0000
2018-05-29,8.8000,8.9200,8.8000,8.8990,8.8293,12476,0.0000,1.0000
2018-05-25,8.9100,8.9100,8.8510,8.8800,8.8105,20531,0.0000,1.0000
2018-05-24,8.8200,8.9200,8.8200,8.9000,8.8303,30083,0.0000,1.0000
2018-05-23,8.8200,8.8226,8.8000,8.8100,8.7410,18601,0.0000,1.0000
2018-05-22,8.8287,8.8300,8.8100,8.8173,8.7483,24672,0.0000,1.0000
