timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,56.2900,58.6500,55.9200,57.0600,57.0600,110530,0.0000,1.0000
2018-08-13,56.9300,58.2100,55.4800,56.3200,56.3200,219419,0.0000,1.0000
2018-08-10,56.2200,57.3370,54.5300,56.6900,56.6900,156100,0.0000,1.0000
2018-08-09,53.7300,64.8300,52.5350,56.1400,56.1400,499909,0.0000,1.0000
2018-08-08,52.7800,53.4600,51.0999,51.5200,51.5200,229286,0.0000,1.0000
2018-08-07,52.0000,53.8200,51.5300,52.9200,52.9200,97233,0.0000,1.0000
2018-08-06,50.7900,51.9199,50.3800,51.8300,51.8300,139325,0.0000,1.0000
2018-08-03,50.6000,51.6500,48.9500,51.3800,51.3800,208369,0.0000,1.0000
2018-08-02,54.0000,55.7100,50.3600,51.0700,51.0700,329600,0.0000,1.0000
2018-08-01,51.3900,54.6950,50.7700,54.0200,54.0200,376456,0.0000,1.0000
2018-07-31,49.9600,52.3800,49.3800,51.3500,51.3500,237641,0.0000,1.0000
2018-07-30,49.4100,51.8600,48.8600,49.9800,49.9800,363082,0.0000,1.0000
2018-07-27,49.9900,51.1200,48.7200,49.2900,49.2900,418586,0.0000,1.0000
2018-07-26,48.9700,51.5500,48.9200,49.9900,49.9900,251623,0.0000,1.0000
2018-07-25,48.3400,50.9650,47.5500,49.0200,49.0200,578712,0.0000,1.0000
2018-07-24,48.2300,49.2000,47.7400,48.1950,48.1950,213629,0.0000,1.0000
2018-07-23,47.2900,48.0700,46.5100,47.6000,47.6000,214374,0.0000,1.0000
2018-07-20,46.6700,48.3900,46.2610,47.5400,47.5400,150418,0.0000,1.0000
2018-07-19,47.3000,47.7900,46.0150,46.5400,46.5400,258413,0.0000,1.0000
2018-07-18,45.4000,47.9800,45.1000,47.5400,47.5400,188101,0.0000,1.0000
2018-07-17,44.8400,46.1000,44.8400,45.5900,45.5900,208409,0.0000,1.0000
2018-07-16,42.7400,45.1300,41.2900,44.6700,44.6700,464823,0.0000,1.0000
2018-07-13,45.3700,45.7200,41.3200,43.1500,43.1500,427228,0.0000,1.0000
2018-07-12,45.0000,46.3900,43.3800,45.4400,45.4400,372025,0.0000,1.0000
2018-07-11,46.0600,46.7500,44.1301,44.2300,44.2300,176332,0.0000,1.0000
2018-07-10,46.9300,47.4500,45.9400,46.4600,46.4600,121669,0.0000,1.0000
2018-07-09,46.3500,47.1650,45.5650,46.8900,46.8900,171255,0.0000,1.0000
2018-07-06,45.6000,46.9100,45.4200,45.9400,45.9400,134245,0.0000,1.0000
2018-07-05,45.6600,46.7600,44.8600,45.4200,45.4200,126700,0.0000,1.0000
