timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,7.8900,7.8900,7.5150,7.5150,7.5150,2410,0.0000,1.0000
2018-08-13,8.2000,8.2000,7.8900,7.8900,7.8900,968,0.0000,1.0000
2018-08-10,8.0501,8.1842,8.0500,8.1842,8.1842,470,0.0000,1.0000
2018-08-09,8.1600,8.2700,8.0132,8.0500,8.0500,1446,0.0000,1.0000
2018-08-08,8.1400,8.1500,8.1200,8.1500,8.1500,1876,0.0000,1.0000
2018-08-07,7.5500,8.1500,7.5500,7.8814,7.8814,10002,0.0000,1.0000
2018-08-06,7.5888,7.5888,7.5888,7.5888,7.5888,80,0.0000,1.0000
2018-08-03,7.7000,7.7000,7.5888,7.5888,7.5888,4552,0.0000,1.0000
2018-08-02,7.5000,8.1500,7.2747,8.1500,8.1500,17988,0.0000,1.0000
2018-08-01,7.5600,7.9999,7.5000,7.9999,7.9999,2863,0.0000,1.0000
2018-07-31,7.7375,7.7375,7.7375,7.7375,7.7375,73,0.0000,1.0000
2018-07-30,7.6700,7.7375,7.6700,7.7375,7.7375,1581,0.0000,1.0000
2018-07-27,8.0000,8.0000,8.0000,8.0000,8.0000,167,0.0000,1.0000
2018-07-26,7.5813,7.5813,7.5813,7.5813,7.5813,15,0.0000,1.0000
2018-07-25,7.5813,7.5813,7.5813,7.5813,7.5813,4,0.0000,1.0000
2018-07-24,7.5813,7.5813,7.5813,7.5813,7.5813,39,0.0000,1.0000
2018-07-23,7.5810,7.5810,7.5810,7.5810,7.5810,120,0.0000,1.0000
2018-07-20,7.4200,7.5813,7.4200,7.5813,7.5813,1705,0.0000,1.0000
2018-07-19,7.7000,7.7000,7.7000,7.7000,7.7000,807,0.0000,1.0000
2018-07-18,7.5150,7.9000,7.3500,7.9000,7.9000,4151,0.0000,1.0000
2018-07-17,7.9632,7.9632,7.9632,7.9632,7.9632,211,0.0000,1.0000
2018-07-16,8.0000,8.0000,7.9999,7.9999,7.9999,2953,0.0000,1.0000
2018-07-13,7.9500,7.9500,7.9500,7.9500,7.9500,3228,0.0000,1.0000
2018-07-12,7.6300,7.6529,7.6100,7.6529,7.6529,3088,0.0000,1.0000
2018-07-11,7.3229,7.7503,7.3000,7.3100,7.3100,8904,0.0000,1.0000
2018-07-10,7.2500,7.5100,7.2500,7.3798,7.3798,7077,0.0000,1.0000
2018-07-09,7.5900,7.6100,7.2010,7.6100,7.6100,2022,0.0000,1.0000
2018-07-06,7.6500,7.6500,7.6500,7.6500,7.6500,142,0.0000,1.0000
2018-07-05,7.7744,7.7744,7.7744,7.7744,7.7744,83,0.0000,1.0000
