timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,2.2800,2.5990,2.2555,2.4700,2.4700,82364,0.0000,1.0000
2018-08-13,2.2800,2.5000,2.2200,2.2600,2.2600,79623,0.0000,1.0000
2018-08-10,2.4300,2.5700,2.3400,2.3400,2.3400,41845,0.0000,1.0000
2018-08-09,2.8400,3.1000,2.3600,2.4761,2.4761,373175,0.0000,1.0000
2018-08-08,2.4800,2.5007,2.2200,2.4300,2.4300,75763,0.0000,1.0000
2018-08-07,2.6400,2.7168,2.5427,2.5500,2.5500,17884,0.0000,1.0000
2018-08-06,2.6600,2.8000,2.5120,2.6400,2.6400,21891,0.0000,1.0000
2018-08-03,2.8060,2.8800,2.5300,2.6300,2.6300,90802,0.0000,1.0000
2018-08-02,2.9700,2.9700,2.6500,2.8762,2.8762,41081,0.0000,1.0000
2018-08-01,3.0000,3.0000,2.4200,2.9800,2.9800,232797,0.0000,1.0000
2018-07-31,2.7200,3.1000,2.7000,3.0000,3.0000,653973,0.0000,1.0000
2018-07-30,2.6700,2.7800,2.6100,2.6400,2.6400,46295,0.0000,1.0000
2018-07-27,2.6200,2.8490,2.5100,2.6500,2.6500,76905,0.0000,1.0000
2018-07-26,2.7900,2.8300,2.4472,2.6400,2.6400,48253,0.0000,1.0000
2018-07-25,2.8700,2.9490,2.6300,2.7500,2.7500,68755,0.0000,1.0000
2018-07-24,3.1000,3.5666,2.7200,2.9344,2.9344,400533,0.0000,1.0000
2018-07-23,3.0000,3.1000,2.9800,3.0939,3.0939,83760,0.0000,1.0000
2018-07-20,2.9500,3.0305,2.8124,3.0000,3.0000,35414,0.0000,1.0000
2018-07-19,2.9000,3.0434,2.8100,2.9964,2.9964,80175,0.0000,1.0000
2018-07-18,2.9500,3.1000,2.9200,2.9200,2.9200,25089,0.0000,1.0000
2018-07-17,3.0200,3.1900,2.9500,2.9500,2.9500,58766,0.0000,1.0000
2018-07-16,3.1500,3.2964,2.7900,2.9800,2.9800,68482,0.0000,1.0000
2018-07-13,3.3200,3.4100,3.1700,3.1700,3.1700,68806,0.0000,1.0000
2018-07-12,3.6600,3.6722,3.2100,3.3000,3.3000,117785,0.0000,1.0000
2018-07-11,3.9000,3.9490,3.5000,3.6000,3.6000,376247,0.0000,1.0000
2018-07-10,3.2600,3.5500,3.2600,3.4900,3.4900,43235,0.0000,1.0000
2018-07-09,3.3800,3.4299,3.3100,3.3300,3.3300,22679,0.0000,1.0000
2018-07-06,3.5100,3.5900,3.2100,3.4000,3.4000,69928,0.0000,1.0000
2018-07-05,3.5889,3.6900,3.4800,3.4800,3.4800,56012,0.0000,1.0000
2018-07-03,3.6300,3.8800,3.5701,3.6800,3.6800,40563,0.0000,1.0000
2018-07-02,3.7500,3.8811,3.5907,3.6340,3.6340,29905,0.0000,1.0000
2018-06-29,3.3800,3.9300,3.2500,3.7500,3.7500,108592,0.0000,1.0000
2018-06-28,3.4700,3.6712,3.0501,3.4000,3.4000,126721,0.0000,1.0000
2018-06-27,4.0100,4.2000,3.3200,3.4500,3.4500,220502,0.0000,1.0000
2018-06-26,4.1500,4.2500,4.0000,4.0600,4.0600,54002,0.0000,1.0000
2018-06-25,4.3000,4.3000,3.7800,4.1708,4.1708,120883,0.0000,1.0000
2018-06-22,4.5400,4.7765,4.2356,4.3500,4.3500,98604,0.0000,1.0000
2018-06-21,4.8300,4.9568,4.3500,4.4500,4.4500,176586,0.0000,1.0000
2018-06-20,5.3200,5.3800,4.6501,4.7700,4.7700,1268439,0.0000,1.0000
2018-06-19,4.9300,4.9490,4.6000,4.6000,4.6000,120518,0.0000,1.0000
2018-06-18,4.6000,5.1200,4.5675,4.9300,4.9300,260020,0.0000,1.0000
2018-06-15,5.0000,5.5600,4.5700,4.7000,4.7000,1375026,0.0000,1.0000
2018-06-14,4.3500,4.5900,4.2000,4.5500,4.5500,128777,0.0000,1.0000
2018-06-13,4.2900,4.6000,4.1100,4.1801,4.1801,73196,0.0000,1.0000
2018-06-12,4.5900,4.6040,4.1000,4.3500,4.3500,141728,0.0000,1.0000
2018-06-11,5.0000,5.4000,4.5292,4.6200,4.6200,536080,0.0000,1.0000
2018-06-08,4.4800,5.2400,4.3740,4.9400,4.9400,533816,0.0000,1.0000
2018-06-07,4.5109,4.5481,4.0502,4.3025,4.3025,27105,0.0000,1.0000
2018-06-06,4.3900,4.6656,4.3800,4.4100,4.4100,45992,0.0000,1.0000
2018-06-05,4.6500,4.8999,4.2510,4.6300,4.6300,117307,0.0000,1.0000
2018-06-04,4.9500,4.9649,4.5500,4.7400,4.7400,97645,0.0000,1.0000
2018-06-01,5.2500,5.3400,4.9001,4.9800,4.9800,176342,0.0000,1.0000
2018-05-31,5.0000,5.6400,4.8001,5.2400,5.2400,479818,0.0000,1.0000
