timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,6.4200,6.5750,6.2900,6.4800,6.4800,28443,0.0000,1.0000
2018-08-13,6.4600,6.4700,6.2500,6.4200,6.4200,51673,0.0000,1.0000
2018-08-10,6.6300,6.6300,6.3100,6.4600,6.4600,32210,0.0000,1.0000
2018-08-09,6.6400,6.7700,6.5400,6.6700,6.6700,34885,0.0000,1.0000
2018-08-08,6.8800,6.8800,6.5300,6.6500,6.6500,88071,0.0000,1.0000
2018-08-07,7.0900,7.1200,6.8300,6.9100,6.9100,47728,0.0000,1.0000
2018-08-06,7.0200,7.0340,6.8500,6.9700,6.9700,29983,0.0000,1.0000
2018-08-03,7.0500,7.1500,6.9450,6.9700,6.9700,24757,0.0000,1.0000
2018-08-02,7.1900,7.3410,6.9700,7.0300,7.0300,62128,0.0000,1.0000
2018-08-01,7.0100,7.2199,6.9710,7.1800,7.1800,54071,0.0000,1.0000
2018-07-31,6.8100,7.0400,6.8100,7.0100,7.0100,42974,0.0000,1.0000
2018-07-30,6.4600,6.8200,6.4282,6.8000,6.8000,73254,0.0400,1.0000
2018-07-27,6.5100,6.5220,6.3400,6.4600,6.4222,40414,0.0000,1.0000
2018-07-26,6.3700,6.5700,6.3000,6.5200,6.4819,58354,0.0000,1.0000
2018-07-25,6.3600,6.3873,6.2500,6.3700,6.3327,38814,0.0000,1.0000
2018-07-24,6.4700,6.5700,6.3600,6.3700,6.3327,48084,0.0000,1.0000
2018-07-23,6.5400,6.5500,6.4100,6.4500,6.4123,43052,0.0000,1.0000
2018-07-20,6.2400,6.6100,6.2400,6.5800,6.5415,55112,0.0000,1.0000
2018-07-19,6.1800,6.2700,6.1550,6.2400,6.2035,43354,0.0000,1.0000
2018-07-18,6.1900,6.3000,6.1100,6.2600,6.2234,38463,0.0000,1.0000
2018-07-17,6.3400,6.4100,6.1000,6.1900,6.1538,32811,0.0000,1.0000
2018-07-16,6.3400,6.4200,6.2600,6.3300,6.2930,46695,0.0000,1.0000
2018-07-13,6.1200,6.4100,6.0700,6.3300,6.2930,64758,0.0000,1.0000
2018-07-12,6.3800,6.3999,6.1200,6.1300,6.0942,69100,0.0000,1.0000
2018-07-11,6.6000,6.6600,6.3800,6.4200,6.3825,60559,0.0000,1.0000
2018-07-10,6.6400,6.7800,6.4600,6.6300,6.5912,80688,0.0000,1.0000
2018-07-09,6.4000,6.7900,6.3500,6.6500,6.6111,91644,0.0000,1.0000
2018-07-06,7.0200,7.1700,6.2450,6.2800,6.2433,205181,0.0000,1.0000
2018-07-05,7.1300,7.4550,7.0200,7.0300,6.9889,39008,0.0000,1.0000
2018-07-03,7.2000,7.3550,7.0400,7.1000,7.0585,41020,0.0000,1.0000
2018-07-02,7.1400,7.3100,7.0608,7.1700,7.1281,45664,0.0000,1.0000
2018-06-29,7.2800,7.2800,7.0400,7.1400,7.0982,56281,0.0000,1.0000
2018-06-28,7.2800,7.2800,7.1600,7.2400,7.1977,64621,0.0000,1.0000
2018-06-27,7.3500,7.4000,7.2500,7.2600,7.2175,76290,0.0000,1.0000
2018-06-26,7.5900,7.6500,7.3400,7.3500,7.3070,48161,0.0000,1.0000
2018-06-25,7.4800,7.6850,7.2600,7.6300,7.5854,115310,0.0000,1.0000
2018-06-22,7.3200,7.6000,7.1000,7.5100,7.4661,240978,0.0000,1.0000
2018-06-21,7.8100,7.9300,7.2500,7.2700,7.2275,86801,0.0000,1.0000
2018-06-20,7.7600,7.8800,7.6700,7.8200,7.7743,203407,0.0000,1.0000
2018-06-19,7.6500,7.8400,7.4200,7.7100,7.6649,49141,0.0000,1.0000
2018-06-18,7.5000,7.7300,7.5000,7.6700,7.6251,229672,0.0000,1.0000
2018-06-15,7.4800,7.6000,7.3724,7.5300,7.4860,91953,0.0000,1.0000
2018-06-14,7.5700,7.6200,7.4400,7.5400,7.4959,42957,0.0000,1.0000
2018-06-13,7.5400,7.6900,7.4954,7.5500,7.5058,75686,0.0000,1.0000
2018-06-12,7.4800,7.6200,7.3522,7.5300,7.4860,147417,0.0000,1.0000
2018-06-11,7.3000,7.5890,7.3000,7.4700,7.4263,93663,0.0000,1.0000
2018-06-08,7.9100,7.9800,7.4600,7.4800,7.4363,61722,0.0000,1.0000
2018-06-07,7.5100,7.9800,7.4200,7.9000,7.8538,130593,0.0000,1.0000
2018-06-06,7.5400,7.6599,7.3200,7.4800,7.4363,104984,0.0000,1.0000
2018-06-05,7.6500,7.6700,7.4300,7.5000,7.4561,210174,0.0000,1.0000
2018-06-04,7.5800,7.7700,7.5400,7.6700,7.6251,95555,0.0000,1.0000
2018-06-01,7.5300,7.6000,7.4300,7.5300,7.4860,106605,0.0000,1.0000
2018-05-31,7.6000,7.6900,7.4900,7.4900,7.4462,46425,0.0000,1.0000
2018-05-30,7.3000,7.8400,7.0000,7.6400,7.5953,148766,0.0000,1.0000
2018-05-29,7.2000,7.3500,7.1700,7.2900,7.2474,102533,0.0000,1.0000
2018-05-25,7.0500,7.2500,7.0300,7.2500,7.2076,82060,0.0000,1.0000
2018-05-24,7.1400,7.1700,7.0200,7.0500,7.0088,61639,0.0000,1.0000
2018-05-23,7.0400,7.1900,6.9400,7.1200,7.0784,104538,0.0000,1.0000
2018-05-22,7.0200,7.1300,6.9300,7.0500,7.0088,160196,0.0000,1.0000
2018-05-21,7.0100,7.0800,6.8100,7.0000,6.9591,118790,0.0000,1.0000
2018-05-18,6.7300,7.0300,6.6700,6.8900,6.8497,342845,0.0000,1.0000
2018-05-17,6.6800,6.7800,6.5900,6.7300,6.6906,78158,0.0000,1.0000
2018-05-16,6.5100,6.7100,6.3700,6.6800,6.6409,79064,0.0000,1.0000
2018-05-15,7.1400,7.1400,6.3700,6.4900,6.4520,95923,0.0000,1.0000
2018-05-14,7.4500,7.4800,7.1300,7.3000,7.2573,47459,0.0000,1.0000
2018-05-11,7.4300,7.6105,7.3100,7.3800,7.3368,40748,0.0000,1.0000
2018-05-10,7.3100,7.6200,7.3100,7.3800,7.3368,60375,0.0000,1.0000
2018-05-09,7.0800,7.2900,7.0400,7.2700,7.2275,34371,0.0000,1.0000
2018-05-08,6.7000,7.2700,6.7000,7.0800,7.0386,73021,0.0000,1.0000
2018-05-07,6.7600,6.9600,6.6491,6.7900,6.7503,38945,0.0000,1.0000
2018-05-04,6.5300,6.8000,6.5300,6.7100,6.6708,20441,0.0000,1.0000
2018-05-03,6.4800,6.6000,6.4100,6.5400,6.5018,19740,0.0000,1.0000
2018-05-02,6.5500,6.6600,6.4500,6.4800,6.4421,25712,0.0000,1.0000
2018-05-01,6.5400,6.5600,6.4200,6.5400,6.5018,23607,0.0000,1.0000
2018-04-30,6.3000,6.6100,6.3000,6.5400,6.5018,19814,0.0000,1.0000
2018-04-27,6.6100,6.7950,6.3600,6.3700,6.3327,47457,0.0400,1.0000
2018-04-26,6.9000,6.9300,6.5700,6.6100,6.5303,34252,0.0000,1.0000
2018-04-25,6.8300,6.9400,6.7340,6.8500,6.7674,20117,0.0000,1.0000
2018-04-24,7.0200,7.0558,6.7300,6.8500,6.7674,38366,0.0000,1.0000
2018-04-23,6.9400,7.0900,6.5000,6.9800,6.8959,26524,0.0000,1.0000
2018-04-20,6.9800,7.2500,6.8700,6.8900,6.8070,65395,0.0000,1.0000
2018-04-19,6.7700,7.0400,6.7700,7.0100,6.9255,27645,0.0000,1.0000
2018-04-18,6.8200,7.0200,6.6900,6.7500,6.6687,39747,0.0000,1.0000
2018-04-17,6.5700,7.0000,6.4700,6.9700,6.8860,39097,0.0000,1.0000
2018-04-16,6.8100,6.8100,6.4300,6.5400,6.4612,83496,0.0000,1.0000
2018-04-13,6.8600,6.8600,6.6400,6.7600,6.6785,31370,0.0000,1.0000
2018-04-12,6.9900,6.9960,6.7400,6.8000,6.7180,21862,0.0000,1.0000
2018-04-11,6.7900,7.0400,6.7900,6.9700,6.8860,72411,0.0000,1.0000
2018-04-10,6.5700,6.8500,6.5700,6.8000,6.7180,43105,0.0000,1.0000
2018-04-09,6.5900,6.7300,6.4700,6.5000,6.4217,46770,0.0000,1.0000
2018-04-06,6.7600,6.8200,6.4700,6.6100,6.5303,40222,0.0000,1.0000
2018-04-05,6.9500,6.9800,6.7700,6.8100,6.7279,51321,0.0000,1.0000
2018-04-04,6.8100,6.9900,6.7600,6.8500,6.7674,28848,0.0000,1.0000
2018-04-03,6.9400,7.0000,6.7300,6.9200,6.8366,57194,0.0000,1.0000
2018-04-02,6.8600,7.0400,6.8000,6.8500,6.7674,71972,0.0000,1.0000
2018-03-29,6.8400,7.0100,6.8400,6.8700,6.7872,92275,0.0000,1.0000
2018-03-28,6.8000,6.8700,6.6977,6.8400,6.7576,43220,0.0000,1.0000
2018-03-27,7.0100,7.0400,6.7700,6.8000,6.7180,52750,0.0000,1.0000
2018-03-26,6.7200,7.0000,6.7200,7.0000,6.9156,77093,0.0000,1.0000
2018-03-23,6.6500,6.7300,6.5567,6.6000,6.5205,68602,0.0000,1.0000
2018-03-22,6.7500,6.8990,6.6300,6.6300,6.5501,48732,0.0000,1.0000
2018-03-21,6.7200,6.9300,6.7200,6.8400,6.7576,93512,0.0000,1.0000
2018-03-20,6.6300,6.7800,6.5700,6.7100,6.6291,83513,0.0000,1.0000
2018-03-19,6.6000,6.6500,6.4200,6.6000,6.5205,114797,0.0000,1.0000
2018-03-16,6.5000,6.7151,6.4200,6.6100,6.5303,160404,0.0000,1.0000
2018-03-15,6.0500,6.7500,6.0500,6.4100,6.3327,82745,0.0000,1.0000
2018-03-14,6.3700,6.6100,6.0500,6.1000,6.0265,122628,0.0000,1.0000
2018-03-13,6.7100,6.7790,6.2000,6.3300,6.2537,176556,0.0000,1.0000
2018-03-12,6.5500,6.7900,6.5310,6.7100,6.6291,50094,0.0000,1.0000
2018-03-09,6.3700,6.5900,6.3700,6.5300,6.4513,63657,0.0000,1.0000
2018-03-08,6.6900,6.6900,6.3800,6.4400,6.3624,40865,0.0000,1.0000
2018-03-07,6.4100,6.6700,6.4100,6.6500,6.5699,43862,0.0000,1.0000
2018-03-06,6.3900,6.5600,6.3800,6.4800,6.4019,61491,0.0000,1.0000
2018-03-05,6.2200,6.4500,6.2200,6.3500,6.2735,25270,0.0000,1.0000
2018-03-02,6.3400,6.5000,6.1624,6.2500,6.1747,91183,0.0000,1.0000
2018-03-01,6.5900,6.6000,6.2421,6.3700,6.2932,36989,0.0000,1.0000
2018-02-28,6.4800,6.6200,6.3600,6.6000,6.5205,88010,0.0000,1.0000
2018-02-27,6.4300,6.5000,6.2200,6.4600,6.3821,34760,0.0000,1.0000
2018-02-26,6.3600,6.4800,6.1910,6.4200,6.3426,62127,0.0000,1.0000
2018-02-23,6.0200,6.3300,6.0100,6.3300,6.2537,59480,0.0000,1.0000
2018-02-22,6.1700,6.1700,5.9400,5.9600,5.8882,34566,0.0000,1.0000
2018-02-21,6.0500,6.1900,6.0500,6.1400,6.0660,36225,0.0000,1.0000
2018-02-20,6.1700,6.3000,6.0100,6.0600,5.9870,62602,0.0000,1.0000
2018-02-16,6.3000,6.3500,6.0400,6.1700,6.0956,36796,0.0000,1.0000
2018-02-15,6.2500,6.4300,6.1900,6.3000,6.2241,49740,0.0000,1.0000
2018-02-14,6.2000,6.2500,6.0600,6.2400,6.1648,57814,0.0000,1.0000
2018-02-13,6.1900,6.2500,6.1200,6.2100,6.1352,56072,0.0000,1.0000
2018-02-12,6.3700,6.5000,6.1500,6.2400,6.1648,221856,0.0000,1.0000
2018-02-09,6.3900,6.3900,6.2000,6.3000,6.2241,52179,0.0000,1.0000
2018-02-08,6.6100,6.6330,6.2100,6.3300,6.2537,86661,0.0000,1.0000
2018-02-07,6.5700,6.7300,6.5396,6.6000,6.5205,79230,0.0000,1.0000
2018-02-06,6.5000,6.9000,6.3700,6.6000,6.5205,148007,0.0000,1.0000
2018-02-05,6.7400,6.8700,6.6100,6.6300,6.5501,58555,0.0000,1.0000
2018-02-02,7.0800,7.0800,6.6550,6.7700,6.6884,46982,0.0000,1.0000
2018-02-01,6.9400,7.3100,6.7780,7.1600,7.0737,43785,0.0000,1.0000
2018-01-31,7.1300,7.1300,6.7800,6.9800,6.8959,56334,0.0000,1.0000
2018-01-30,7.0900,7.1800,6.9600,7.1300,7.0441,77120,0.0400,1.0000
2018-01-29,7.2000,7.3136,7.1200,7.1500,7.0244,36241,0.0000,1.0000
2018-01-26,7.3500,7.3500,6.8319,7.2000,7.0735,61476,0.0000,1.0000
2018-01-25,7.1400,7.3500,7.0700,7.3100,7.1816,46548,0.0000,1.0000
2018-01-24,7.2800,7.2800,7.0554,7.1100,6.9851,26359,0.0000,1.0000
2018-01-23,7.1300,7.3000,7.0000,7.2600,7.1325,59698,0.0000,1.0000
2018-01-22,7.1400,7.2400,6.9900,7.1400,7.0146,51783,0.0000,1.0000
2018-01-19,6.7000,7.1800,6.5400,7.1400,7.0146,94397,0.0000,1.0000
2018-01-18,7.0300,7.2150,6.6900,6.7000,6.5823,65757,0.0000,1.0000
2018-01-17,7.2400,7.2400,6.9500,7.0400,6.9164,75803,0.0000,1.0000
2018-01-16,7.1500,7.4000,7.1035,7.2100,7.0834,118186,0.0000,1.0000
2018-01-12,6.7800,7.0400,6.7500,7.0000,6.8771,53303,0.0000,1.0000
2018-01-11,6.6900,6.8555,6.6900,6.7300,6.6118,78017,0.0000,1.0000
2018-01-10,6.8200,6.8500,6.6510,6.7500,6.6314,22952,0.0000,1.0000
2018-01-09,6.8600,6.8600,6.7700,6.8300,6.7100,34897,0.0000,1.0000
2018-01-08,7.0400,7.0899,6.7500,6.8100,6.6904,89818,0.0000,1.0000
2018-01-05,6.5300,7.1700,6.4933,7.0400,6.9164,149032,0.0000,1.0000
2018-01-04,6.3600,6.6700,6.3373,6.5700,6.4546,165171,0.0000,1.0000
2018-01-03,6.3000,6.3700,6.2900,6.3300,6.2188,73838,0.0000,1.0000
2018-01-02,6.0800,6.3400,6.0800,6.2900,6.1795,56229,0.0000,1.0000
2017-12-29,6.3200,6.3500,6.0500,6.0900,5.9830,80833,0.0000,1.0000
2017-12-28,6.3200,6.4700,6.2000,6.3500,6.2385,46166,0.0000,1.0000
2017-12-27,6.2200,6.4700,6.1000,6.3400,6.2286,66756,0.0000,1.0000
2017-12-26,6.2700,6.3300,6.2200,6.2200,6.1108,19931,0.0000,1.0000
2017-12-22,6.3000,6.3700,6.1700,6.2500,6.1402,28527,0.0000,1.0000
2017-12-21,6.2900,6.3200,6.1100,6.3000,6.1894,41802,0.0000,1.0000
2017-12-20,6.3600,6.4800,6.2000,6.2500,6.1402,50501,0.0000,1.0000
2017-12-19,6.1600,6.3900,6.0100,6.3100,6.1992,58762,0.0000,1.0000
2017-12-18,5.9200,6.2500,5.9200,6.1400,6.0322,78543,0.0000,1.0000
2017-12-15,5.7500,6.0000,5.7500,5.9300,5.8258,242357,0.0000,1.0000
2017-12-14,5.8300,6.0300,5.7100,5.7400,5.6392,95879,0.0000,1.0000
2017-12-13,5.9600,6.0699,5.7500,5.8100,5.7080,169592,0.0000,1.0000
2017-12-12,5.9000,6.0000,5.8900,5.9500,5.8455,44097,0.0000,1.0000
2017-12-11,5.8100,5.9100,5.5800,5.8700,5.7669,47548,0.0000,1.0000
2017-12-08,5.7900,5.9100,5.7000,5.8200,5.7178,30702,0.0000,1.0000
2017-12-07,5.7000,5.8600,5.6800,5.7400,5.6392,76838,0.0000,1.0000
2017-12-06,5.7300,5.7600,5.6000,5.7200,5.6195,62396,0.0000,1.0000
2017-12-05,5.7300,5.8700,5.5900,5.7300,5.6294,110927,0.0000,1.0000
2017-12-04,6.2200,6.3900,5.6800,5.7100,5.6097,108925,0.0000,1.0000
2017-12-01,6.5000,6.5000,6.0100,6.1900,6.0813,82268,0.0000,1.0000
2017-11-30,6.1700,6.6100,6.1500,6.5600,6.4448,138794,0.0000,1.0000
2017-11-29,5.8600,6.1500,5.8500,6.1200,6.0125,58720,0.0000,1.0000
2017-11-28,5.7500,5.8500,5.6800,5.8400,5.7374,40789,0.0000,1.0000
2017-11-27,5.9000,5.9000,5.7000,5.7400,5.6392,108432,0.0000,1.0000
2017-11-24,5.8900,5.9302,5.8800,5.9000,5.7964,31427,0.0000,1.0000
2017-11-22,5.7000,5.9500,5.7000,5.9000,5.7964,43313,0.0000,1.0000
2017-11-21,5.6700,5.8400,5.5800,5.6700,5.5704,46637,0.0000,1.0000
2017-11-20,5.7300,5.7300,5.5800,5.6300,5.5311,44061,0.0000,1.0000
2017-11-17,5.7100,5.8500,5.5400,5.7200,5.6195,53619,0.0000,1.0000
2017-11-16,5.7100,5.8750,5.5600,5.7200,5.6195,57354,0.0000,1.0000
2017-11-15,5.4500,5.7990,5.3300,5.7000,5.5999,71347,0.0000,1.0000
2017-11-14,5.6500,5.6500,5.3570,5.4500,5.3543,58062,0.0000,1.0000
2017-11-13,5.5200,5.6599,5.3694,5.5000,5.4034,80496,0.0000,1.0000
2017-11-10,5.2000,5.5700,5.2000,5.4800,5.3838,127352,0.0000,1.0000
2017-11-09,4.9500,5.3400,4.9500,5.1900,5.0988,148380,0.0000,1.0000
2017-11-08,5.0700,5.1084,4.9100,4.9900,4.9024,111116,0.0000,1.0000
2017-11-07,4.8800,5.2900,4.8800,5.0600,4.9711,189619,0.0000,1.0000
2017-11-06,5.0200,5.0400,4.7900,4.8700,4.7845,117897,0.0000,1.0000
2017-11-03,5.0000,5.0300,4.9800,5.0200,4.9318,49615,0.0000,1.0000
2017-11-02,5.1000,5.1936,5.0000,5.0500,4.9613,64869,0.0000,1.0000
2017-11-01,5.2500,5.3800,5.0600,5.1200,5.0301,56551,0.0000,1.0000
2017-10-31,5.2100,5.3200,5.1433,5.1800,5.0890,45880,0.0000,1.0000
2017-10-30,5.4000,5.4000,5.1100,5.2200,5.1283,53148,0.0400,1.0000
2017-10-27,5.0600,5.4400,5.0200,5.4000,5.2648,52712,0.0000,1.0000
2017-10-26,5.1400,5.2000,5.0600,5.0700,4.9431,64677,0.0000,1.0000
2017-10-25,5.3501,5.3700,5.1500,5.1500,5.0211,46613,0.0000,1.0000
2017-10-24,5.4000,5.4000,5.2900,5.3100,5.1771,61146,0.0000,1.0000
2017-10-23,5.4000,5.5000,5.3400,5.3400,5.2063,55703,0.0000,1.0000
2017-10-20,5.5000,5.5700,5.3500,5.4000,5.2648,46702,0.0000,1.0000
2017-10-19,5.3100,5.4700,5.3100,5.4300,5.2941,29440,0.0000,1.0000
2017-10-18,5.3100,5.4050,5.2900,5.3300,5.1966,57218,0.0000,1.0000
2017-10-17,5.3700,5.3900,5.2800,5.3300,5.1966,42577,0.0000,1.0000
2017-10-16,5.3500,5.4300,5.3300,5.3700,5.2356,26619,0.0000,1.0000
2017-10-13,5.4900,5.5900,5.3300,5.3300,5.1966,86681,0.0000,1.0000
2017-10-12,5.3000,5.4900,5.3000,5.4300,5.2941,88534,0.0000,1.0000
2017-10-11,5.2100,5.3700,5.2100,5.3000,5.1673,88460,0.0000,1.0000
2017-10-10,5.3200,5.4000,5.1500,5.2000,5.0698,111479,0.0000,1.0000
2017-10-09,5.2800,5.5000,5.2100,5.2400,5.1088,87670,0.0000,1.0000
2017-10-06,5.5100,5.6200,5.2300,5.2800,5.1478,90416,0.0000,1.0000
2017-10-05,5.7500,5.8700,5.5400,5.5700,5.4306,106933,0.0000,1.0000
2017-10-04,5.7500,5.8200,5.7400,5.7500,5.6061,98032,0.0000,1.0000
2017-10-03,5.8100,5.8500,5.6800,5.6900,5.5476,90984,0.0000,1.0000
2017-10-02,5.7200,5.9500,5.7200,5.8500,5.7035,67480,0.0000,1.0000
2017-09-29,5.7400,5.8000,5.7000,5.7200,5.5768,53718,0.0000,1.0000
2017-09-28,5.8100,5.8400,5.7000,5.7500,5.6061,43538,0.0000,1.0000
2017-09-27,5.8400,5.9000,5.7000,5.8200,5.6743,59106,0.0000,1.0000
2017-09-26,5.7200,5.8800,5.7000,5.7600,5.6158,34158,0.0000,1.0000
2017-09-25,5.8700,5.9600,5.7200,5.7300,5.5866,62298,0.0000,1.0000
2017-09-22,5.6400,5.9100,5.6326,5.8900,5.7425,51389,0.0000,1.0000
2017-09-21,5.7400,5.7400,5.6700,5.7100,5.5671,22490,0.0000,1.0000
2017-09-20,5.7700,5.8900,5.7500,5.8100,5.6646,45401,0.0000,1.0000
