timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,3.4000,3.5000,3.4000,3.4000,3.4000,70328,0.0000,1.0000
2018-08-13,3.5500,3.5500,3.1500,3.4250,3.4250,359253,0.0000,1.0000
2018-08-10,3.6000,3.6000,3.5000,3.5000,3.5000,122509,0.0000,1.0000
2018-08-09,3.4500,3.6500,3.4000,3.6500,3.6500,177343,0.0000,1.0000
2018-08-08,3.4500,3.4500,3.3000,3.4500,3.4500,181688,0.0000,1.0000
2018-08-07,3.4500,3.4518,3.3000,3.4000,3.4000,184990,0.0000,1.0000
2018-08-06,3.5000,3.5000,3.3000,3.4000,3.4000,212879,0.0000,1.0000
2018-08-03,3.6000,3.6000,3.4000,3.5000,3.5000,135637,0.0000,1.0000
2018-08-02,3.5000,3.6500,3.3500,3.6000,3.6000,433755,0.0000,1.0000
2018-08-01,3.7500,3.9000,3.5000,3.5500,3.5500,258557,0.0000,1.0000
2018-07-31,3.6000,3.8000,3.5500,3.8000,3.8000,307887,0.0000,1.0000
2018-07-30,3.7000,3.8500,3.5500,3.6000,3.6000,317047,0.0000,1.0000
2018-07-27,4.1000,4.1000,3.7000,3.7500,3.7500,307847,0.0000,1.0000
2018-07-26,4.1000,4.2000,3.9500,4.1000,4.1000,130391,0.0000,1.0000
2018-07-25,4.1500,4.2500,4.0000,4.0500,4.0500,206725,0.0000,1.0000
2018-07-24,4.4500,4.5000,4.1000,4.1000,4.1000,257804,0.0000,1.0000
2018-07-23,4.2500,4.5000,4.1000,4.4500,4.4500,305171,0.0000,1.0000
2018-07-20,4.4500,4.5500,4.0750,4.3000,4.3000,534566,0.0000,1.0000
2018-07-19,4.5000,4.5500,4.4000,4.4500,4.4500,125334,0.0000,1.0000
2018-07-18,4.4500,4.5000,4.3500,4.5000,4.5000,84447,0.0000,1.0000
2018-07-17,4.4000,4.5000,4.2500,4.4000,4.4000,115574,0.0000,1.0000
2018-07-16,4.6500,4.6500,4.3000,4.3500,4.3500,199836,0.0000,1.0000
2018-07-13,4.8000,4.8500,4.6000,4.6500,4.6500,71730,0.0000,1.0000
2018-07-12,4.8000,4.9000,4.6750,4.8000,4.8000,92796,0.0000,1.0000
2018-07-11,4.8000,4.8500,4.7500,4.7500,4.7500,52696,0.0000,1.0000
2018-07-10,4.7000,4.8500,4.6500,4.8000,4.8000,100903,0.0000,1.0000
2018-07-09,5.0000,5.0000,4.7000,4.8000,4.8000,123035,0.0000,1.0000
2018-07-06,4.8500,5.0500,4.8500,4.9500,4.9500,165852,0.0000,1.0000
2018-07-05,4.8500,4.9000,4.7000,4.8500,4.8500,159924,0.0000,1.0000
2018-07-03,4.7500,5.0000,4.6500,4.8500,4.8500,213858,0.0000,1.0000
2018-07-02,4.5000,4.7500,4.4250,4.7500,4.7500,250617,0.0000,1.0000
2018-06-29,4.3500,4.6500,4.3000,4.5500,4.5500,306411,0.0000,1.0000
2018-06-28,4.1500,4.4000,4.0500,4.3750,4.3750,195615,0.0000,1.0000
2018-06-27,4.4500,4.4500,4.1750,4.2000,4.2000,249514,0.0000,1.0000
2018-06-26,4.2000,4.4000,4.0500,4.4000,4.4000,307670,0.0000,1.0000
2018-06-25,4.4000,4.5500,4.2000,4.2500,4.2500,227440,0.0000,1.0000
2018-06-22,4.4000,4.4500,4.2500,4.4000,4.4000,602018,0.0000,1.0000
2018-06-21,4.7500,4.7500,4.4000,4.4500,4.4500,280480,0.0000,1.0000
2018-06-20,4.7000,4.8000,4.6000,4.7500,4.7500,163695,0.0000,1.0000
2018-06-19,4.6000,4.7500,4.5000,4.6500,4.6500,187195,0.0000,1.0000
2018-06-18,4.6500,4.9000,4.4500,4.5750,4.5750,429782,0.0000,1.0000
2018-06-15,4.4500,4.6750,4.4000,4.6500,4.6500,414922,0.0000,1.0000
2018-06-14,4.5000,4.6000,4.4500,4.5000,4.5000,92426,0.0000,1.0000
2018-06-13,4.5000,4.6000,4.4000,4.5000,4.5000,232979,0.0000,1.0000
2018-06-12,4.2500,4.5000,4.2500,4.4000,4.4000,245031,0.0000,1.0000
2018-06-11,4.3000,4.4500,4.2000,4.2000,4.2000,332222,0.0000,1.0000
2018-06-08,4.2500,4.3750,4.2250,4.2500,4.2500,69715,0.0000,1.0000
2018-06-07,4.2500,4.3500,4.1500,4.3000,4.3000,287115,0.0000,1.0000
