timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,5.1000,5.1000,5.0000,5.0304,5.0304,5648,0.0000,1.0000
2018-08-13,5.0300,5.0990,4.9774,4.9774,4.9774,4541,0.0000,1.0000
2018-08-10,5.0500,5.1000,5.0360,5.0851,5.0851,8718,0.0000,1.0000
2018-08-09,4.8000,5.0500,4.8000,5.0340,5.0340,6100,0.0000,1.0000
2018-08-08,4.7500,4.7500,4.7500,4.7500,4.7500,468,0.0000,1.0000
2018-08-07,4.9000,5.0000,4.9000,5.0000,5.0000,5400,0.0000,1.0000
2018-08-06,5.1000,5.1000,4.9900,5.0600,5.0600,3600,0.0000,1.0000
2018-08-03,4.9400,4.9800,4.9400,4.9800,4.9800,466,0.0000,1.0000
2018-08-02,4.8990,4.8990,4.8990,4.8990,4.8990,22,0.0000,1.0000
2018-08-01,4.7100,4.9000,4.7100,4.8990,4.8990,2898,0.0000,1.0000
2018-07-31,4.9000,5.0000,4.9000,5.0000,5.0000,8650,0.0000,1.0000
2018-07-30,5.0000,5.1000,5.0000,5.0000,5.0000,10534,0.0000,1.0000
2018-07-27,5.1000,5.1000,4.9500,5.0999,5.0999,9510,0.0000,1.0000
2018-07-26,5.0900,5.1000,5.0880,5.1000,5.1000,18687,0.0000,1.0000
2018-07-25,5.0000,5.0925,4.9900,5.0200,5.0200,7049,0.0000,1.0000
2018-07-24,4.8100,4.8340,4.8000,4.8240,4.8240,3000,0.0000,1.0000
2018-07-23,4.8004,4.8004,4.8004,4.8004,4.8004,37,0.0000,1.0000
2018-07-20,4.7796,4.8004,4.7500,4.8004,4.8004,4731,0.0000,1.0000
2018-07-19,4.7500,4.8500,4.6733,4.8000,4.8000,4700,0.0000,1.0000
2018-07-18,4.5900,4.6720,4.5900,4.6720,4.6720,2000,0.0000,1.0000
2018-07-17,4.5000,4.7000,4.5000,4.7000,4.7000,6412,0.0000,1.0000
2018-07-16,4.6200,4.6488,4.5500,4.6488,4.6488,3582,0.0000,1.0000
2018-07-13,4.8473,4.8473,4.7824,4.7824,4.7824,687,0.0000,1.0000
2018-07-12,4.8650,4.9000,4.7100,4.8100,4.8100,11206,0.0000,1.0000
2018-07-11,4.8700,4.9176,4.8000,4.8000,4.8000,4325,0.0000,1.0000
2018-07-10,4.8701,4.9992,4.8700,4.9150,4.9150,5125,0.0000,1.0000
2018-07-09,5.0000,5.0900,4.8501,5.0503,5.0503,15480,0.0000,1.0000
2018-07-06,5.0000,5.0000,5.0000,5.0000,5.0000,516,0.0000,1.0000
2018-07-05,5.1300,5.1486,5.0800,5.1486,5.1486,6142,0.0000,1.0000
2018-07-03,5.0000,5.0100,4.9500,5.0000,5.0000,4485,0.0000,1.0000
2018-07-02,5.0000,5.0000,5.0000,5.0000,5.0000,1230,0.0000,1.0000
2018-06-29,5.0700,5.0827,5.0000,5.0800,5.0800,10400,0.0000,1.0000
2018-06-28,5.2300,5.2300,5.0600,5.0600,5.0600,401,0.0000,1.0000
2018-06-27,5.0250,5.0800,4.9100,5.0200,5.0200,6377,0.0000,1.0000
2018-06-26,5.0727,5.0727,5.0700,5.0700,5.0700,354,0.0000,1.0000
2018-06-25,4.9800,5.0999,4.8800,4.9960,4.9960,8047,0.0000,1.0000
2018-06-22,4.8000,5.2200,4.8000,4.9800,4.9800,7134,0.0000,1.0000
2018-06-21,4.8000,4.9300,4.7995,4.8100,4.8100,34705,0.0000,1.0000
2018-06-20,5.1500,5.3000,4.8100,4.8100,4.8100,11816,0.0000,1.0000
2018-06-19,5.2000,5.2900,5.1100,5.2731,5.2731,11804,0.0000,1.0000
2018-06-18,5.3500,5.4300,5.3500,5.3500,5.3500,7014,0.0000,1.0000
2018-06-15,5.4510,5.6900,5.3500,5.3500,5.3500,28375,0.0000,1.0000
2018-06-14,5.7000,5.8000,5.3310,5.5000,5.5000,14288,0.0000,1.0000
2018-06-13,5.9800,5.9800,5.5200,5.8800,5.8800,13173,0.0000,1.0000
2018-06-12,5.9190,6.1500,5.9190,5.9800,5.9800,9129,0.0000,1.0000
2018-06-11,6.1594,6.1594,6.0000,6.0000,6.0000,7864,0.0000,1.0000
2018-06-08,6.1573,6.1573,6.0481,6.0481,6.0481,3149,0.0000,1.0000
2018-06-07,6.1000,6.1800,6.0000,6.0704,6.0704,16724,0.0000,1.0000
2018-06-06,6.2100,6.3600,6.1350,6.1900,6.1900,23889,0.0000,1.0000
2018-06-05,6.4000,6.5000,6.0050,6.2000,6.2000,14197,0.0000,1.0000
2018-06-04,7.1900,7.1900,6.3000,6.3400,6.3400,26800,0.0000,1.0000
2018-06-01,7.2099,7.2099,6.7500,6.8792,6.8792,3726,0.0000,1.0000
