timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,26.2700,26.3226,25.6900,26.2700,26.2700,3400,0.0000,1.0000
2018-08-13,26.1247,26.1247,26.0000,26.0000,26.0000,2150,0.0000,1.0000
2018-08-10,26.2100,26.2100,26.2100,26.2100,26.2100,0,0.0000,1.0000
2018-08-09,26.2100,26.2100,26.2100,26.2100,26.2100,200,0.0000,1.0000
2018-08-08,25.7600,25.7600,25.7600,25.7600,25.7600,0,0.0000,1.0000
2018-08-07,25.7600,25.7600,25.7600,25.7600,25.7600,0,0.0000,1.0000
2018-08-06,25.7600,25.7600,25.7600,25.7600,25.7600,0,0.0000,1.0000
2018-08-03,25.7600,25.7600,25.7600,25.7600,25.7600,0,0.0000,1.0000
2018-08-02,25.7600,25.7600,25.7600,25.7600,25.7600,10,0.0000,1.0000
2018-08-01,25.7600,25.7600,25.7600,25.7600,25.7600,0,0.0000,1.0000
2018-07-31,25.7600,25.7600,25.7600,25.7600,25.7600,1,0.0000,1.0000
2018-07-30,25.7600,25.7600,25.7600,25.7600,25.7600,900,0.0000,1.0000
2018-07-27,25.6758,25.6758,25.6758,25.6758,25.6758,0,0.0000,1.0000
2018-07-26,25.6758,25.6758,25.6758,25.6758,25.6758,0,0.0000,1.0000
2018-07-25,25.6758,25.6758,25.6758,25.6758,25.6758,0,0.0000,1.0000
2018-07-24,25.6760,25.6760,25.6760,25.6760,25.6760,0,0.0000,1.0000
2018-07-23,25.7000,25.7000,25.6758,25.6758,25.6758,325,0.0000,1.0000
2018-07-20,25.6600,25.6600,25.6600,25.6600,25.6600,0,0.0000,1.0000
2018-07-19,25.6600,25.6600,25.6600,25.6600,25.6600,0,0.0000,1.0000
2018-07-18,25.6600,25.6600,25.6600,25.6600,25.6600,500,0.0000,1.0000
2018-07-17,25.7500,25.7500,25.7500,25.7500,25.7500,6,0.0000,1.0000
2018-07-16,25.7500,25.7500,25.7500,25.7500,25.7500,200,0.0000,1.0000
2018-07-13,25.8786,25.8786,25.8786,25.8786,25.8786,630,0.0000,1.0000
2018-07-12,26.0229,26.0229,26.0229,26.0229,26.0229,0,0.0000,1.0000
2018-07-11,26.0230,26.0230,26.0230,26.0230,26.0230,100,0.0000,1.0000
2018-07-10,26.1700,26.2000,26.0417,26.2000,26.2000,2055,0.0000,1.0000
2018-07-09,26.0000,26.0000,26.0000,26.0000,26.0000,200,0.0000,1.0000
2018-07-06,26.2200,26.2200,26.2200,26.2200,26.2200,3,0.0000,1.0000
2018-07-05,26.2200,26.2200,26.2200,26.2200,26.2200,0,0.0000,1.0000
2018-07-03,26.2200,26.2200,26.2200,26.2200,26.2200,0,0.0000,1.0000
2018-07-02,26.2200,26.2200,26.2200,26.2200,26.2200,3,0.0000,1.0000
2018-06-29,26.2200,26.2200,26.2200,26.2200,26.2200,432,0.0000,1.0000
2018-06-28,25.7543,25.7543,25.7543,25.7543,25.7543,114,0.0000,1.0000
2018-06-27,25.7543,25.7543,25.7543,25.7543,25.7543,0,0.0000,1.0000
2018-06-26,25.7543,25.7543,25.7543,25.7543,25.7543,0,0.0000,1.0000
2018-06-25,25.7540,25.7540,25.7540,25.7540,25.7540,400,0.0000,1.0000
2018-06-22,25.6000,25.6000,25.6000,25.6000,25.6000,200,0.0000,1.0000
2018-06-21,25.7000,25.7000,25.7000,25.7000,25.7000,200,0.0000,1.0000
2018-06-20,26.1000,26.1000,26.1000,26.1000,26.1000,400,0.0000,1.0000
2018-06-19,25.7000,26.5027,25.5500,26.5000,26.5000,2500,0.0000,1.0000
2018-06-18,25.6500,25.6500,25.6500,25.6500,25.6500,128,0.0000,1.0000
2018-06-15,25.6500,25.6500,25.6500,25.6500,25.6500,0,0.0000,1.0000
2018-06-14,25.6500,25.6500,25.6500,25.6500,25.6500,200,0.0000,1.0000
2018-06-13,25.5797,25.7000,25.5797,25.6700,25.6700,3101,0.0000,1.0000
2018-06-12,25.5900,25.5900,25.5900,25.5900,25.5900,117,0.0000,1.0000
2018-06-11,25.5556,25.5556,25.5556,25.5556,25.5556,202,0.0000,1.0000
2018-06-08,25.5700,25.5700,25.5700,25.5700,25.5700,372,0.0000,1.0000
2018-06-07,25.5615,25.5615,25.5615,25.5615,25.5615,285,0.0000,1.0000
2018-06-06,25.5000,25.5000,25.5000,25.5000,25.5000,0,0.0000,1.0000
2018-06-05,25.5000,25.5000,25.5000,25.5000,25.5000,0,0.0000,1.0000
2018-06-04,25.5000,25.5000,25.5000,25.5000,25.5000,1200,0.0000,1.0000
2018-06-01,25.5000,25.5000,25.5000,25.5000,25.5000,200,0.0000,1.0000
2018-05-31,25.4403,25.4403,25.4403,25.4403,25.4403,100,0.0000,1.0000
2018-05-30,25.4822,25.5000,25.4822,25.4838,25.4838,2200,0.0000,1.0000
2018-05-29,25.5270,25.5270,25.5000,25.5000,25.5000,2900,0.0000,1.0000
2018-05-25,25.4000,25.5700,25.3100,25.3100,25.3100,2764,0.0000,1.0000
2018-05-24,25.3200,25.3200,25.3200,25.3200,25.3200,0,0.0000,1.0000
2018-05-23,25.3200,25.3200,25.3200,25.3200,25.3200,0,0.0000,1.0000
2018-05-22,25.3100,25.3200,25.3100,25.3200,25.3200,396,0.0000,1.0000
2018-05-21,25.4007,25.4810,25.3653,25.3653,25.3653,1846,0.0000,1.0000
2018-05-18,25.5352,25.5352,25.5352,25.5352,25.5352,0,0.0000,1.0000
2018-05-17,25.5352,25.5352,25.5352,25.5352,25.5352,0,0.0000,1.0000
2018-05-16,25.5350,25.5350,25.5350,25.5350,25.5350,400,0.0000,1.0000
2018-05-15,25.3000,25.3700,25.2993,25.3600,25.3600,4440,0.0000,1.0000
2018-05-14,25.4100,25.6800,25.2993,25.6800,25.6800,3849,0.3750,1.0000
2018-05-11,25.6000,25.6100,25.5500,25.6100,25.2414,2900,0.0000,1.0000
2018-05-10,25.6000,25.6000,25.6000,25.6000,25.2315,0,0.0000,1.0000
2018-05-09,25.5500,25.6000,25.5500,25.6000,25.2315,1627,0.0000,1.0000
2018-05-08,25.5300,25.5300,25.5300,25.5300,25.1626,100,0.0000,1.0000
2018-05-07,25.5200,25.5200,25.5000,25.5000,25.1330,299,0.0000,1.0000
2018-05-04,25.5200,25.5200,25.5200,25.5200,25.1527,100,0.0000,1.0000
2018-05-03,25.7100,25.7100,25.4511,25.7100,25.3400,400,0.0000,1.0000
2018-05-02,25.3860,25.6000,25.3860,25.6000,25.2315,700,0.0000,1.0000
2018-05-01,25.6566,25.6566,25.6566,25.6566,25.2873,200,0.0000,1.0000
2018-04-30,25.3200,25.3200,25.3200,25.3200,24.9556,14,0.0000,1.0000
2018-04-27,25.3200,25.3200,25.3200,25.3200,24.9556,22,0.0000,1.0000
2018-04-26,25.3200,25.3200,25.3200,25.3200,24.9556,200,0.0000,1.0000
2018-04-25,25.4000,25.4100,25.4000,25.4100,25.0443,700,0.0000,1.0000
2018-04-24,25.5300,25.5301,25.3000,25.5000,25.1330,2400,0.0000,1.0000
2018-04-23,25.5301,25.5301,25.5301,25.5301,25.1627,0,0.0000,1.0000
2018-04-20,25.5301,25.5301,25.5301,25.5301,25.1627,300,0.0000,1.0000
2018-04-19,25.5170,25.5170,25.5170,25.5170,25.1497,500,0.0000,1.0000
2018-04-18,25.4800,25.5300,25.4386,25.5300,25.1626,2792,0.0000,1.0000
2018-04-17,25.5384,25.5384,25.5384,25.5384,25.1708,0,0.0000,1.0000
2018-04-16,25.5000,25.5384,25.2999,25.5384,25.1708,4661,0.0000,1.0000
2018-04-13,25.5000,25.5000,25.5000,25.5000,25.1330,0,0.0000,1.0000
2018-04-12,25.3000,25.5980,25.3000,25.5000,25.1330,3166,0.0000,1.0000
2018-04-11,25.5000,25.5000,25.5000,25.5000,25.1330,0,0.0000,1.0000
2018-04-10,25.5140,25.5140,25.5000,25.5000,25.1330,800,0.0000,1.0000
2018-04-09,25.5000,25.5000,25.5000,25.5000,25.1330,214,0.0000,1.0000
