timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,9.9300,9.9300,9.9300,9.9300,9.9300,822,0.0000,1.0000
2018-08-10,9.9500,9.9500,9.9500,9.9500,9.9500,425,0.0000,1.0000
2018-08-09,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,1.0000
2018-08-08,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,1.0000
2018-08-07,9.9500,9.9500,9.9500,9.9500,9.9500,7,0.0000,1.0000
2018-08-06,9.9500,9.9500,9.9500,9.9500,9.9500,5400,0.0000,1.0000
2018-08-03,9.9700,9.9700,9.9700,9.9700,9.9700,0,0.0000,1.0000
2018-08-02,9.9700,9.9700,9.9700,9.9700,9.9700,914,0.0000,1.0000
2018-08-01,9.9700,9.9700,9.9700,9.9700,9.9700,10000,0.0000,1.0000
2018-07-31,9.9500,9.9700,9.9500,9.9500,9.9500,70478,0.0000,1.0000
2018-07-30,9.9200,9.9631,9.9200,9.9368,9.9368,5169,0.0000,1.0000
2018-07-27,9.9200,9.9200,9.9200,9.9200,9.9200,100,0.0000,1.0000
2018-07-26,9.9700,9.9700,9.9700,9.9700,9.9700,0,0.0000,1.0000
2018-07-25,9.9700,9.9700,9.9700,9.9700,9.9700,1500,0.0000,1.0000
2018-07-24,9.9600,10.3900,9.9400,10.3900,10.3900,63406,0.0000,1.0000
2018-07-23,9.9200,9.9200,9.9200,9.9200,9.9200,502,0.0000,1.0000
2018-07-20,9.9200,9.9200,9.9200,9.9200,9.9200,2,0.0000,1.0000
2018-07-19,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,1.0000
2018-07-18,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,1.0000
2018-07-17,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,1.0000
2018-07-16,9.9200,9.9200,9.9200,9.9200,9.9200,13,0.0000,1.0000
2018-07-13,9.9200,9.9200,9.9200,9.9200,9.9200,13,0.0000,1.0000
2018-07-12,9.9200,9.9200,9.9200,9.9200,9.9200,2500,0.0000,1.0000
2018-07-11,9.9600,9.9700,9.9200,9.9700,9.9700,16755,0.0000,1.0000
2018-07-10,9.9700,9.9700,9.9700,9.9700,9.9700,0,0.0000,1.0000
2018-07-09,9.9500,9.9700,9.9400,9.9700,9.9700,127354,0.0000,1.0000
2018-07-06,9.9300,9.9300,9.9300,9.9300,9.9300,2870,0.0000,1.0000
2018-07-05,9.9000,9.9000,9.9000,9.9000,9.9000,39,0.0000,1.0000
2018-07-03,9.9000,9.9000,9.9000,9.9000,9.9000,2027,0.0000,1.0000
2018-07-02,9.9350,9.9699,9.9000,9.9000,9.9000,2541,0.0000,1.0000
2018-06-29,9.8906,9.8906,9.8601,9.8601,9.8601,1351,0.0000,1.0000
2018-06-28,9.8999,9.9699,9.8748,9.9443,9.9443,101205,0.0000,1.0000
2018-06-27,9.9400,9.9500,9.9200,9.9400,9.9400,12815,0.0000,1.0000
2018-06-26,9.9000,9.9000,9.9000,9.9000,9.9000,500,0.0000,1.0000
2018-06-25,9.8600,9.9000,9.8600,9.9000,9.9000,151300,0.0000,1.0000
2018-06-22,9.9200,9.9200,9.9200,9.9200,9.9200,68,0.0000,1.0000
2018-06-21,9.9200,9.9200,9.9200,9.9200,9.9200,1300,0.0000,1.0000
2018-06-20,9.9000,9.9000,9.9000,9.9000,9.9000,45,0.0000,1.0000
2018-06-19,9.9000,9.9000,9.8900,9.9000,9.9000,22309,0.0000,1.0000
2018-06-18,9.8500,9.8500,9.8400,9.8400,9.8400,3221,0.0000,1.0000
2018-06-15,9.8653,9.8653,9.8653,9.8653,9.8653,187,0.0000,1.0000
2018-06-14,9.8800,9.8800,9.8800,9.8800,9.8800,0,0.0000,1.0000
2018-06-13,9.8800,9.8800,9.8800,9.8800,9.8800,50000,0.0000,1.0000
2018-06-12,9.8500,9.8500,9.8400,9.8400,9.8400,11500,0.0000,1.0000
2018-06-11,9.8400,9.8400,9.8400,9.8400,9.8400,5,0.0000,1.0000
2018-06-08,9.8400,9.8400,9.8400,9.8400,9.8400,0,0.0000,1.0000
2018-06-07,9.8400,9.8400,9.8400,9.8400,9.8400,25,0.0000,1.0000
2018-06-06,9.8500,9.8500,9.8400,9.8400,9.8400,151634,0.0000,1.0000
2018-06-05,9.8400,9.8400,9.8400,9.8400,9.8400,153,0.0000,1.0000
2018-06-04,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,1.0000
2018-06-01,9.8700,9.8700,9.8700,9.8700,9.8700,9,0.0000,1.0000
2018-05-31,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,1.0000
2018-05-30,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,1.0000
2018-05-29,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,1.0000
2018-05-25,9.8600,9.8700,9.8600,9.8700,9.8700,109106,0.0000,1.0000
2018-05-24,9.8600,9.8600,9.8600,9.8600,9.8600,0,0.0000,1.0000
2018-05-23,9.8600,9.8600,9.8600,9.8600,9.8600,95900,0.0000,1.0000
2018-05-22,9.9000,9.9000,9.9000,9.9000,9.9000,305,0.0000,1.0000
2018-05-21,9.8900,9.9000,9.8500,9.9000,9.9000,23306,0.0000,1.0000
2018-05-18,9.8400,9.8400,9.8400,9.8400,9.8400,0,0.0000,1.0000
2018-05-17,9.8400,9.8400,9.8400,9.8400,9.8400,200,0.0000,1.0000
2018-05-16,9.8400,9.8400,9.8007,9.8400,9.8400,12287,0.0000,1.0000
2018-05-15,9.9000,9.9000,9.8400,9.8400,9.8400,11630,0.0000,1.0000
2018-05-14,9.8500,9.8500,9.8500,9.8500,9.8500,56,0.0000,1.0000
2018-05-11,9.8500,9.8500,9.8500,9.8500,9.8500,34,0.0000,1.0000
2018-05-10,9.8500,9.8500,9.8500,9.8500,9.8500,25,0.0000,1.0000
2018-05-09,9.8500,9.8500,9.8500,9.8500,9.8500,9,0.0000,1.0000
2018-05-08,9.8000,9.8500,9.8000,9.8500,9.8500,50140,0.0000,1.0000
2018-05-07,9.8000,9.8000,9.8000,9.8000,9.8000,201,0.0000,1.0000
2018-05-04,9.8192,9.8192,9.8192,9.8192,9.8192,150,0.0000,1.0000
2018-05-03,9.8600,9.8600,9.8600,9.8600,9.8600,111255,0.0000,1.0000
2018-05-02,9.8584,9.8584,9.8584,9.8584,9.8584,19,0.0000,1.0000
2018-05-01,9.8500,9.8900,9.8500,9.8584,9.8584,332433,0.0000,1.0000
2018-04-30,9.8500,9.8500,9.8500,9.8500,9.8500,50,0.0000,1.0000
2018-04-27,9.8500,9.8500,9.8500,9.8500,9.8500,161,0.0000,1.0000
2018-04-26,9.8600,9.8600,9.8600,9.8600,9.8600,951,0.0000,1.0000
2018-04-25,9.8300,9.8300,9.8200,9.8200,9.8200,650,0.0000,1.0000
2018-04-24,9.8499,9.8499,9.8400,9.8400,9.8400,375,0.0000,1.0000
2018-04-23,9.8050,9.8500,9.8000,9.8500,9.8500,9296,0.0000,1.0000
2018-04-20,9.8400,9.8500,9.8400,9.8400,9.8400,112412,0.0000,1.0000
2018-04-19,9.8000,9.8300,9.8000,9.8300,9.8300,1259,0.0000,1.0000
2018-04-18,9.8317,9.8317,9.8300,9.8300,9.8300,1278,0.0000,1.0000
2018-04-17,9.8100,9.8300,9.8100,9.8300,9.8300,159079,0.0000,1.0000
2018-04-16,9.8500,11.7400,9.8289,9.8500,9.8500,16662,0.0000,1.0000
2018-04-13,9.8500,9.8500,9.8500,9.8500,9.8500,511,0.0000,1.0000
2018-04-12,9.8500,9.8500,9.8500,9.8500,9.8500,104,0.0000,1.0000
2018-04-11,9.8500,9.8500,9.8500,9.8500,9.8500,51,0.0000,1.0000
2018-04-10,9.8500,9.8500,9.8500,9.8500,9.8500,15000,0.0000,1.0000
2018-04-09,9.7800,9.8200,9.7800,9.8200,9.8200,4000,0.0000,1.0000
2018-04-06,9.8400,9.8500,9.8400,9.8500,9.8500,2000,0.0000,1.0000
2018-04-05,9.8500,9.8500,9.8100,9.8100,9.8100,5914,0.0000,1.0000
2018-04-04,9.8000,9.8000,9.8000,9.8000,9.8000,16,0.0000,1.0000
2018-04-03,9.8200,9.8200,9.7990,9.8000,9.8000,12028,0.0000,1.0000
2018-04-02,9.8000,9.8000,9.8000,9.8000,9.8000,60072,0.0000,1.0000
2018-03-29,9.8100,9.8200,9.8100,9.8100,9.8100,12334,0.0000,1.0000
2018-03-28,9.7831,9.8200,9.7700,9.8200,9.8200,5504,0.0000,1.0000
2018-03-27,9.8000,9.8000,9.7780,9.7780,9.7780,12000,0.0000,1.0000
2018-03-26,9.7700,9.7700,9.7700,9.7700,9.7700,0,0.0000,1.0000
2018-03-23,9.7600,9.8300,9.7600,9.7700,9.7700,3000,0.0000,1.0000
2018-03-22,9.7600,9.8400,9.7600,9.7600,9.7600,64100,0.0000,1.0000
2018-03-21,9.7600,9.7600,9.7500,9.7600,9.7600,8322,0.0000,1.0000
2018-03-20,9.7900,9.7972,9.7500,9.7500,9.7500,3675,0.0000,1.0000
2018-03-19,9.7600,9.7600,9.7600,9.7600,9.7600,60149,0.0000,1.0000
2018-03-16,9.7900,9.7900,9.7650,9.7700,9.7700,1754,0.0000,1.0000
2018-03-15,9.8199,9.8199,9.7700,9.7700,9.7700,2889,0.0000,1.0000
2018-03-14,9.8200,9.8200,9.7600,9.7600,9.7600,73816,0.0000,1.0000
2018-03-13,9.7600,9.7600,9.7600,9.7600,9.7600,52,0.0000,1.0000
2018-03-12,9.7950,9.7950,9.7600,9.7600,9.7600,3984,0.0000,1.0000
2018-03-09,9.8200,9.8200,9.8200,9.8200,9.8200,38,0.0000,1.0000
2018-03-08,9.8200,9.8200,9.8200,9.8200,9.8200,37895,0.0000,1.0000
2018-03-07,9.8200,9.8200,9.8200,9.8200,9.8200,535800,0.0000,1.0000
2018-03-06,9.7800,9.8200,9.7800,9.8200,9.8200,200165,0.0000,1.0000
2018-03-05,9.7800,9.8400,9.7800,9.8400,9.8400,5206,0.0000,1.0000
2018-03-02,9.7600,9.7600,9.7600,9.7600,9.7600,963,0.0000,1.0000
2018-03-01,9.8200,9.8300,9.8200,9.8200,9.8200,2997,0.0000,1.0000
2018-02-28,9.8200,9.8200,9.7710,9.7800,9.7800,155743,0.0000,1.0000
2018-02-27,9.7999,9.7999,9.7600,9.7600,9.7600,1065201,0.0000,1.0000
2018-02-26,9.8000,9.8000,9.8000,9.8000,9.8000,2421,0.0000,1.0000
2018-02-23,9.8000,9.8100,9.8000,9.8000,9.8000,4116,0.0000,1.0000
2018-02-22,9.7999,9.7999,9.7999,9.7999,9.7999,300,0.0000,1.0000
2018-02-21,9.7800,9.7800,9.7800,9.7800,9.7800,0,0.0000,1.0000
2018-02-20,9.7600,9.7800,9.7600,9.7800,9.7800,2000,0.0000,1.0000
2018-02-16,9.7449,9.7449,9.7449,9.7449,9.7449,344,0.0000,1.0000
2018-02-15,9.7400,9.7400,9.7400,9.7400,9.7400,8525,0.0000,1.0000
2018-02-14,9.7400,9.7800,9.7400,9.7800,9.7800,122984,0.0000,1.0000
2018-02-13,9.7700,9.7700,9.7700,9.7700,9.7700,2,0.0000,1.0000
2018-02-12,9.7400,9.7700,9.7400,9.7700,9.7700,2605,0.0000,1.0000
