timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,8.6700,8.9653,8.5200,8.6050,8.6050,4190,0.0000,1.0000
2018-08-13,8.9047,8.9047,8.5635,8.5671,8.5671,5920,0.0000,1.0000
2018-08-10,8.7400,8.7848,8.4500,8.7848,8.7848,1792,0.0000,1.0000
2018-08-09,8.5900,8.8800,8.5900,8.8800,8.8800,409,0.0000,1.0000
2018-08-08,8.3500,9.0100,8.3500,8.5300,8.5300,8084,0.0000,1.0000
2018-08-07,8.7938,8.9900,8.5000,8.5200,8.5200,5941,0.0000,1.0000
2018-08-06,8.5200,9.0386,8.5200,8.5500,8.5500,9124,0.0000,1.0000
2018-08-03,8.5300,9.0589,8.5300,8.6200,8.6200,3297,0.0000,1.0000
2018-08-02,9.0300,9.0366,8.5001,8.6000,8.6000,6214,0.0000,1.0000
2018-08-01,9.2100,9.2100,8.9001,9.0497,9.0497,5846,0.0000,1.0000
2018-07-31,9.4000,9.4000,8.4600,9.2899,9.2899,33236,0.0000,1.0000
2018-07-30,9.2527,9.3470,8.5300,8.9144,8.9144,13087,0.0000,1.0000
2018-07-27,8.4100,9.2500,8.3500,9.2100,9.2100,18442,0.0000,1.0000
2018-07-26,8.2100,8.6921,8.2100,8.3500,8.3500,5030,0.0000,1.0000
2018-07-25,8.8300,8.8300,8.3500,8.3600,8.3600,24052,0.0000,1.0000
2018-07-24,8.4500,9.0991,8.4500,8.8300,8.8300,4580,0.0000,1.0000
2018-07-23,8.1500,8.8900,8.1500,8.4500,8.4500,19245,0.0000,1.0000
2018-07-20,8.3200,8.7500,8.3200,8.3700,8.3700,13626,0.0000,1.0000
2018-07-19,8.6000,9.5000,8.1400,8.3700,8.3700,29202,0.0000,1.0000
2018-07-18,8.7700,8.7700,8.1273,8.3500,8.3500,25092,0.0000,1.0000
2018-07-17,9.0500,9.1251,8.2301,8.7850,8.7850,8688,0.0000,1.0000
2018-07-16,8.7135,9.1725,8.2300,8.5500,8.5500,19772,0.0000,1.0000
2018-07-13,8.7000,8.8500,8.2000,8.8400,8.8400,24578,0.0000,1.0000
2018-07-12,8.3600,9.0472,8.3600,8.6400,8.6400,2964,0.0000,1.0000
2018-07-11,9.8900,9.9900,8.2000,8.3000,8.3000,38895,0.0000,1.0000
2018-07-10,8.5400,9.6300,8.1750,8.4500,8.4500,53630,0.0000,1.0000
2018-07-09,8.8300,9.2827,8.5000,8.6500,8.6500,23371,0.0000,1.0000
2018-07-06,9.4000,10.2710,8.6900,8.7700,8.7700,55489,0.0000,1.0000
2018-07-05,10.1900,10.5516,9.0000,9.3400,9.3400,78600,0.0000,1.0000
2018-07-03,10.5890,10.7800,9.9600,9.9600,9.9600,5036,0.0000,1.0000
2018-07-02,11.9700,11.9700,9.5000,9.8500,9.8500,57655,0.0000,1.0000
2018-06-29,11.4279,12.2300,9.8000,10.6700,10.6700,60978,0.0000,1.0000
2018-06-28,11.5900,12.2800,11.3701,11.5000,11.5000,30046,0.0000,1.0000
2018-06-27,12.0800,12.2500,11.2500,11.5000,11.5000,68070,0.0000,1.0000
2018-06-26,12.1600,12.4000,12.0200,12.0700,12.0700,26837,0.0000,1.0000
2018-06-25,12.0800,12.3400,12.0000,12.1100,12.1100,12066,0.0000,1.0000
2018-06-22,12.2900,12.9000,11.8423,12.1700,12.1700,220839,0.0000,1.0000
2018-06-21,12.4000,12.4248,11.8100,12.0000,12.0000,123698,0.0000,1.0000
2018-06-20,12.5000,12.5900,11.8665,12.3000,12.3000,455745,0.0000,1.0000
2018-06-19,12.5800,12.5809,11.6000,12.3500,12.3500,281676,0.0000,1.0000
2018-06-18,12.0100,12.1688,11.5600,12.0000,12.0000,35336,0.0000,1.0000
2018-06-15,12.0300,12.2975,11.9000,12.2500,12.2500,27614,0.0000,1.0000
2018-06-14,12.5900,12.5900,11.8600,12.2500,12.2500,29555,0.0000,1.0000
2018-06-13,12.2500,12.6000,11.8550,12.2000,12.2000,47872,0.0000,1.0000
2018-06-12,12.1500,12.4000,11.9000,12.2000,12.2000,68093,0.0000,1.0000
2018-06-11,11.8600,12.1259,11.8500,12.0000,12.0000,45577,0.0000,1.0000
2018-06-08,12.1000,13.0000,11.8673,12.1100,12.1100,47493,0.0000,1.0000
2018-06-07,11.8100,12.6850,11.7100,12.0000,12.0000,62124,0.0000,1.0000
2018-06-06,11.8000,12.1500,11.7710,12.0600,12.0600,26098,0.0000,1.0000
2018-06-05,12.2000,12.2000,11.9000,12.1000,12.1000,43304,0.0000,1.0000
2018-06-04,12.3500,12.3500,11.8800,12.1600,12.1600,58570,0.0000,1.0000
2018-06-01,12.0000,12.4900,11.8700,12.2400,12.2400,139317,0.0000,1.0000
2018-05-31,12.4900,12.4900,11.2501,11.4400,11.4400,61205,0.0000,1.0000
2018-05-30,12.2200,12.2200,12.0000,12.1500,12.1500,51196,0.0000,1.0000
2018-05-29,12.2000,12.9999,11.2300,12.2400,12.2400,157668,0.0000,1.0000
2018-05-25,12.7000,12.8900,11.7300,12.8500,12.8500,730480,0.0000,1.0000
