timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.0900,1.1188,0.9900,0.9900,0.9900,222495,0.0000,1.0000
2018-08-13,1.1300,1.1894,1.1000,1.1000,1.1000,107915,0.0000,1.0000
2018-08-10,1.1000,1.1500,1.0900,1.1300,1.1300,94961,0.0000,1.0000
2018-08-09,1.0600,1.1791,1.0407,1.0999,1.0999,166572,0.0000,1.0000
2018-08-08,1.0400,1.0790,1.0206,1.0600,1.0600,31374,0.0000,1.0000
2018-08-07,1.0200,1.0601,1.0000,1.0400,1.0400,67351,0.0000,1.0000
2018-08-06,1.0300,1.0800,0.9802,1.0200,1.0200,107066,0.0000,1.0000
2018-08-03,1.0200,1.0200,1.0000,1.0100,1.0100,15573,0.0000,1.0000
2018-08-02,1.0200,1.0300,0.9711,1.0300,1.0300,54293,0.0000,1.0000
2018-08-01,1.0100,1.0300,0.9600,1.0200,1.0200,55508,0.0000,1.0000
2018-07-31,1.0400,1.0400,0.9800,1.0200,1.0200,76560,0.0000,1.0000
2018-07-30,0.9990,1.0400,0.9810,1.0300,1.0300,79450,0.0000,1.0000
2018-07-27,1.0400,1.0400,0.9500,0.9810,0.9810,147203,0.0000,1.0000
2018-07-26,1.0800,1.0800,1.0200,1.0500,1.0500,183093,0.0000,1.0000
2018-07-25,1.1300,1.1500,1.0600,1.0800,1.0800,135328,0.0000,1.0000
2018-07-24,1.1000,1.1534,1.1000,1.1200,1.1200,84601,0.0000,1.0000
2018-07-23,1.1600,1.2000,1.1100,1.1100,1.1100,132396,0.0000,1.0000
2018-07-20,1.1200,1.2400,1.1100,1.1600,1.1600,121175,0.0000,1.0000
2018-07-19,1.1000,1.1500,1.1000,1.1300,1.1300,135527,0.0000,1.0000
2018-07-18,1.1900,1.1900,1.0600,1.1000,1.1000,352778,0.0000,1.0000
2018-07-17,1.1900,1.2596,1.1200,1.1800,1.1800,318734,0.0000,1.0000
2018-07-16,1.3700,1.3900,1.2171,1.2200,1.2200,372461,0.0000,1.0000
2018-07-13,1.5200,1.5437,1.3500,1.3700,1.3700,508006,0.0000,1.0000
2018-07-12,1.4500,1.8800,1.4000,1.4800,1.4800,2047166,0.0000,1.0000
2018-07-11,1.3700,1.4200,1.3501,1.3600,1.3600,94043,0.0000,1.0000
2018-07-10,1.4200,1.4391,1.3600,1.3700,1.3700,65741,0.0000,1.0000
2018-07-09,1.4100,1.5200,1.4000,1.4100,1.4100,165589,0.0000,1.0000
2018-07-06,1.3700,1.5599,1.3700,1.4200,1.4200,445307,0.0000,1.0000
2018-07-05,1.3800,1.4000,1.3401,1.3700,1.3700,54592,0.0000,1.0000
2018-07-03,1.3500,1.4080,1.3398,1.3950,1.3950,37135,0.0000,1.0000
2018-07-02,1.4200,1.4500,1.3200,1.3500,1.3500,83057,0.0000,1.0000
2018-06-29,1.4700,1.5500,1.3900,1.4200,1.4200,185836,0.0000,1.0000
2018-06-28,1.4500,1.6800,1.4200,1.4700,1.4700,341204,0.0000,1.0000
2018-06-27,1.4100,1.5194,1.3800,1.4000,1.4000,159421,0.0000,1.0000
2018-06-26,1.4400,1.4500,1.3750,1.4000,1.4000,202071,0.0000,1.0000
