timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.0000,0.0000,0.0000,11.5000,11.5000,0,0.0000,1.0000
2018-08-13,11.4500,11.5000,11.4500,11.5000,11.5000,28513,0.0000,1.0000
2018-08-10,11.5000,11.5000,11.4500,11.4750,11.4750,55559,0.0000,1.0000
2018-08-09,11.4500,11.5000,11.4500,11.5000,11.5000,47595,0.0000,1.0000
2018-08-08,11.4750,11.5000,11.4500,11.5000,11.5000,99368,0.0000,1.0000
2018-08-07,11.4500,11.4816,11.4500,11.4500,11.4500,69950,0.0000,1.0000
2018-08-06,11.4500,11.4898,11.4500,11.4500,11.4500,156127,0.0000,1.0000
2018-08-03,11.4500,11.5000,11.4500,11.4500,11.4500,28641,0.0000,1.0000
2018-08-02,11.4500,11.5000,11.4500,11.4500,11.4500,184700,0.0000,1.0000
2018-08-01,11.4500,11.4750,11.4500,11.4500,11.4500,119549,0.0000,1.0000
2018-07-31,11.4500,11.5000,11.4500,11.5000,11.5000,57562,0.0000,1.0000
2018-07-30,11.5000,11.5000,11.4500,11.4500,11.4500,62600,0.0000,1.0000
2018-07-27,11.4500,11.5000,11.4500,11.4500,11.4500,97515,0.0000,1.0000
2018-07-26,11.4500,11.5000,11.4500,11.4500,11.4500,56516,0.0000,1.0000
2018-07-25,11.4500,11.5000,11.4500,11.4500,11.4500,81810,0.0000,1.0000
2018-07-24,11.4500,11.5000,11.4500,11.4500,11.4500,138400,0.0000,1.0000
2018-07-23,11.4500,11.5000,11.4500,11.5000,11.5000,128320,0.0000,1.0000
2018-07-20,11.4500,11.5000,11.4010,11.5000,11.5000,274389,0.0000,1.0000
2018-07-19,11.4500,11.4500,11.4000,11.4500,11.4500,282158,0.0000,1.0000
2018-07-18,11.4500,11.4500,11.4000,11.4500,11.4500,381575,0.0000,1.0000
2018-07-17,11.4500,11.4500,11.4000,11.4500,11.4500,641700,0.0000,1.0000
2018-07-16,11.4000,11.4500,11.4000,11.4000,11.4000,153427,0.0000,1.0000
2018-07-13,11.4000,11.4500,11.4000,11.4000,11.4000,369898,0.0000,1.0000
2018-07-12,11.4000,11.4500,11.4000,11.4000,11.4000,287975,0.0000,1.0000
2018-07-11,11.4000,11.4500,11.4000,11.4000,11.4000,254174,0.0000,1.0000
2018-07-10,11.4000,11.4500,11.4000,11.4250,11.4250,235000,0.0000,1.0000
2018-07-09,11.4000,11.4500,11.4000,11.4300,11.4300,571400,0.0000,1.0000
2018-07-06,11.4500,11.4500,11.4000,11.4000,11.4000,510621,0.0000,1.0000
2018-07-05,11.4000,11.4500,11.4000,11.4500,11.4500,597948,0.0000,1.0000
2018-07-03,11.4000,11.4500,11.4000,11.4500,11.4500,1600053,0.0000,1.0000
2018-07-02,8.7000,8.8500,8.6500,8.7000,8.7000,114416,0.0000,1.0000
2018-06-29,8.8500,8.9000,8.6500,8.7000,8.7000,33361,0.0000,1.0000
2018-06-28,9.0500,9.2000,8.8500,8.9000,8.9000,91087,0.0000,1.0000
2018-06-27,9.5000,9.5500,9.0000,9.0500,9.0500,29161,0.0000,1.0000
2018-06-26,9.3000,9.5000,9.2000,9.3500,9.3500,26591,0.0000,1.0000
2018-06-25,9.0500,9.2500,9.0500,9.2000,9.2000,31089,0.0000,1.0000
2018-06-22,8.9500,9.2500,8.9500,9.1000,9.1000,51538,0.0000,1.0000
2018-06-21,8.7000,9.1500,8.6500,8.9000,8.9000,104139,0.0000,1.0000
2018-06-20,8.7500,8.8000,8.6500,8.7000,8.7000,48117,0.0000,1.0000
2018-06-19,8.6500,8.8000,8.6000,8.7500,8.7500,32831,0.0000,1.0000
2018-06-18,8.7500,8.8500,8.5000,8.7000,8.7000,38446,0.0000,1.0000
2018-06-15,8.9000,8.9000,8.6500,8.7500,8.7500,47793,0.0000,1.0000
2018-06-14,9.0000,9.0000,8.7000,8.9000,8.9000,75013,0.0000,1.0000
2018-06-13,9.2000,9.2000,8.8500,9.0000,9.0000,25634,0.0000,1.0000
2018-06-12,9.4500,9.5000,9.1000,9.1500,9.1500,37957,0.0000,1.0000
2018-06-11,9.4000,9.6000,9.1500,9.4500,9.4500,43971,0.0000,1.0000
2018-06-08,9.2000,9.5999,9.2000,9.3000,9.3000,34381,0.0000,1.0000
2018-06-07,9.0500,9.4500,8.9500,9.2000,9.2000,46712,0.0000,1.0000
2018-06-06,9.0500,9.4000,8.9500,9.1000,9.1000,121064,0.0000,1.0000
2018-06-05,8.6000,9.1000,8.6000,9.0500,9.0500,81760,0.0000,1.0000
2018-06-04,8.9000,8.9000,8.4500,8.6500,8.6500,34384,0.0000,1.0000
2018-06-01,8.5500,8.9000,8.5500,8.9000,8.9000,65145,0.0000,1.0000
2018-05-31,8.6500,8.7000,8.5500,8.6500,8.6500,38542,0.0000,1.0000
2018-05-30,8.7000,8.8000,8.6000,8.6500,8.6500,23096,0.0000,1.0000
2018-05-29,9.0000,9.0000,8.4000,8.7500,8.7500,58116,0.0000,1.0000
2018-05-25,9.0500,9.0500,8.8000,8.9500,8.9500,42914,0.0000,1.0000
2018-05-24,8.9000,9.2000,8.7500,8.8500,8.8500,61752,0.0000,1.0000
2018-05-23,8.7000,9.0000,8.7000,8.8500,8.8500,72871,0.0000,1.0000
2018-05-22,8.6000,8.7500,8.5500,8.6500,8.6500,35419,0.0000,1.0000
2018-05-21,8.6500,8.7500,8.3500,8.6000,8.6000,35581,0.0000,1.0000
2018-05-18,8.3500,8.8000,8.2000,8.7000,8.7000,51872,0.0000,1.0000
2018-05-17,8.6500,8.8000,8.1500,8.4000,8.4000,151652,0.0000,1.0000
2018-05-16,8.9500,9.0000,8.5000,8.7000,8.7000,81654,0.0000,1.0000
2018-05-15,8.6500,9.1000,8.5590,9.0000,9.0000,76335,0.0000,1.0000
2018-05-14,9.5000,9.5500,8.7000,8.7000,8.7000,80140,0.0000,1.0000
2018-05-11,9.7500,9.7706,9.3604,9.4500,9.4500,111887,0.0000,1.0000
2018-05-10,8.6500,9.8000,8.4500,9.7500,9.7500,194857,0.0000,1.0000
2018-05-09,8.3000,8.3000,8.0000,8.1000,8.1000,44230,0.0000,1.0000
2018-05-08,8.3000,8.3000,8.0500,8.2000,8.2000,34162,0.0000,1.0000
2018-05-07,8.3500,8.4500,8.2500,8.2500,8.2500,37736,0.0000,1.0000
2018-05-04,8.5000,8.8060,8.2000,8.4000,8.4000,38361,0.0000,1.0000
2018-05-03,8.2000,8.4500,8.0000,8.4500,8.4500,45235,0.0000,1.0000
2018-05-02,8.1500,8.3500,8.0500,8.2000,8.2000,50505,0.0000,1.0000
2018-05-01,8.2000,8.3242,7.9500,8.2000,8.2000,45039,0.0000,1.0000
2018-04-30,7.6000,8.3000,7.6000,8.1500,8.1500,82784,0.0000,1.0000
2018-04-27,7.7500,8.1750,7.6500,7.7000,7.7000,121543,0.0000,1.0000
2018-04-26,8.0000,8.1000,7.7500,7.8000,7.8000,99836,0.0000,1.0000
2018-04-25,8.0500,8.2500,7.8000,7.9500,7.9500,150051,0.0000,1.0000
2018-04-24,8.5500,8.7815,7.9000,8.0000,8.0000,101415,0.0000,1.0000
2018-04-23,8.9000,9.0000,8.6500,8.6500,8.6500,73815,0.0000,1.0000
2018-04-20,9.1000,9.6000,9.0000,9.0500,9.0500,64805,0.0000,1.0000
2018-04-19,9.0500,9.2500,8.7232,9.1500,9.1500,77700,0.0000,1.0000
2018-04-18,9.2000,9.2500,9.0500,9.1500,9.1500,64298,0.0000,1.0000
2018-04-17,9.2000,9.3000,9.0190,9.1500,9.1500,57731,0.0000,1.0000
2018-04-16,9.5000,9.6000,9.1000,9.2000,9.2000,72470,0.0000,1.0000
2018-04-13,9.9500,9.9500,9.2000,9.5500,9.5500,67046,0.0000,1.0000
2018-04-12,9.7000,10.3500,9.7000,10.0000,10.0000,89826,0.0000,1.0000
2018-04-11,10.4500,10.4500,9.6000,9.7000,9.7000,101735,0.0000,1.0000
2018-04-10,10.4500,10.7000,10.2000,10.5000,10.5000,75922,0.0000,1.0000
2018-04-09,10.4000,10.8500,10.2000,10.3500,10.3500,83256,0.0000,1.0000
2018-04-06,10.5000,10.9000,10.2340,10.4000,10.4000,97416,0.0000,1.0000
2018-04-05,10.1500,10.8500,10.0227,10.5000,10.5000,122467,0.0000,1.0000
2018-04-04,10.6500,10.8500,10.1010,10.2500,10.2500,88998,0.0000,1.0000
2018-04-03,10.7500,10.9500,10.4000,10.6000,10.6000,78128,0.0000,1.0000
2018-04-02,10.2500,11.1500,10.1999,10.7000,10.7000,115111,0.0000,1.0000
2018-03-29,9.1500,11.0000,9.1500,10.1500,10.1500,218988,0.0000,1.0000
2018-03-28,8.6000,10.1000,8.5200,9.1500,9.1500,238618,0.0000,1.0000
2018-03-27,11.6500,11.6500,8.5500,8.6500,8.6500,491114,0.0000,1.0000
2018-03-26,12.6500,12.6500,11.4700,11.7000,11.7000,204721,0.0000,1.0000
2018-03-23,12.6000,12.9500,12.5997,12.7500,12.7500,87036,0.0000,1.0000
2018-03-22,12.6000,12.7555,12.3686,12.5500,12.5500,93368,0.0000,1.0000
2018-03-21,12.5000,13.2500,12.0500,12.7000,12.7000,148245,0.0000,1.0000
2018-03-20,12.0000,12.6000,11.9500,12.4500,12.4500,80179,0.0000,1.0000
2018-03-19,12.1500,12.2983,11.3500,12.0000,12.0000,111086,0.0000,1.0000
2018-03-16,12.5000,12.8000,12.0000,12.1500,12.1500,134983,0.0000,1.0000
2018-03-15,11.3500,12.6500,11.0000,12.5000,12.5000,266598,0.0000,1.0000
2018-03-14,11.0000,11.6000,10.9000,11.4000,11.4000,151501,0.0000,1.0000
2018-03-13,11.0500,11.1500,10.7500,11.0000,11.0000,144263,0.0000,1.0000
2018-03-12,9.7500,11.1470,9.7500,10.9000,10.9000,238608,0.0000,1.0000
2018-03-09,10.5000,10.5000,9.2500,9.3000,9.3000,163418,0.0000,1.0000
2018-03-08,10.1500,10.7000,9.6500,10.0000,10.0000,235238,0.0000,1.0000
2018-03-07,8.4500,9.7500,8.3500,9.6000,9.6000,143380,0.0000,1.0000
2018-03-06,8.8000,8.8000,8.3500,8.6000,8.6000,51729,0.0000,1.0000
2018-03-05,8.8000,8.9000,8.5500,8.7500,8.7500,94193,0.0000,1.0000
2018-03-02,8.5500,8.8500,8.2500,8.8000,8.8000,69505,0.0000,1.0000
2018-03-01,8.3500,8.8000,8.3500,8.6500,8.6500,75495,0.0000,1.0000
2018-02-28,8.5000,8.6000,8.4000,8.4000,8.4000,84531,0.0000,1.0000
2018-02-27,8.6500,8.6500,8.4501,8.5000,8.5000,35973,0.0000,1.0000
2018-02-26,8.8500,8.8500,8.3500,8.7000,8.7000,69714,0.0000,1.0000
2018-02-23,8.3000,8.8000,8.1000,8.7000,8.7000,58700,0.0000,1.0000
2018-02-22,8.6000,8.6500,8.3000,8.3500,8.3500,44478,0.0000,1.0000
2018-02-21,8.7000,8.7500,8.5000,8.6000,8.6000,38165,0.0000,1.0000
2018-02-20,8.7500,8.8400,8.0500,8.7500,8.7500,94025,0.0000,1.0000
2018-02-16,8.6000,8.7500,8.6000,8.7000,8.7000,39444,0.0000,1.0000
2018-02-15,8.9000,8.9500,8.4000,8.5500,8.5500,81498,0.0000,1.0000
2018-02-14,8.4000,8.8000,8.4000,8.7000,8.7000,60817,0.0000,1.0000
2018-02-13,8.4500,8.8999,8.4000,8.4000,8.4000,55574,0.0000,1.0000
2018-02-12,8.4000,8.9000,8.0500,8.4000,8.4000,166903,0.0000,1.0000
2018-02-09,8.0000,8.1500,7.6000,7.9000,7.9000,76775,0.0000,1.0000
2018-02-08,8.4500,8.4500,7.9000,7.9000,7.9000,39885,0.0000,1.0000
2018-02-07,8.0000,8.5000,7.8000,8.4000,8.4000,59155,0.0000,1.0000
2018-02-06,8.1500,8.3500,7.7500,7.9500,7.9500,39268,0.0000,1.0000
2018-02-05,7.5000,8.4000,7.5000,8.1500,8.1500,68014,0.0000,1.0000
2018-02-02,8.0000,8.2000,7.4500,7.5500,7.5500,146287,0.0000,1.0000
2018-02-01,8.0000,8.7500,7.9000,8.0000,8.0000,118521,0.0000,1.0000
2018-01-31,7.4500,7.9500,7.4500,7.9000,7.9000,147853,0.0000,1.0000
2018-01-30,7.1000,7.2500,6.8000,7.2000,7.2000,54664,0.0000,1.0000
2018-01-29,7.2000,7.3000,7.1000,7.1000,7.1000,72148,0.0000,1.0000
2018-01-26,6.7000,7.1300,6.7000,7.1000,7.1000,60835,0.0000,1.0000
2018-01-25,6.6500,6.8000,6.6000,6.6500,6.6500,26278,0.0000,1.0000
2018-01-24,6.4000,6.8000,6.4000,6.5500,6.5500,58220,0.0000,1.0000
2018-01-23,6.1000,6.3000,6.0000,6.3000,6.3000,27634,0.0000,1.0000
2018-01-22,6.0000,6.2500,5.9000,6.1000,6.1000,66023,0.0000,1.0000
2018-01-19,5.9500,6.0000,5.7500,5.9500,5.9500,40319,0.0000,1.0000
2018-01-18,6.3000,6.4000,6.0000,6.0000,6.0000,40285,0.0000,1.0000
2018-01-17,6.4000,6.4000,6.0000,6.3000,6.3000,21142,0.0000,1.0000
2018-01-16,6.1000,6.3000,6.1000,6.3000,6.3000,38027,0.0000,1.0000
2018-01-12,5.9118,6.0000,5.9118,5.9750,5.9750,18534,0.0000,1.0000
2018-01-11,5.9500,6.1500,5.8500,5.9000,5.9000,29524,0.0000,1.0000
2018-01-10,6.0000,6.2500,5.9300,6.0000,6.0000,38662,0.0000,1.0000
2018-01-09,5.8500,6.4000,5.7000,6.0501,6.0501,72849,0.0000,1.0000
2018-01-08,5.4500,5.9000,5.3500,5.8000,5.8000,42982,0.0000,1.0000
2018-01-05,5.5500,5.5500,5.3000,5.3500,5.3500,36430,0.0000,1.0000
2018-01-04,5.2000,5.7160,5.1917,5.4500,5.4500,88394,0.0000,1.0000
2018-01-03,5.0000,5.2500,4.8000,5.2000,5.2000,262862,0.0000,1.0000
2018-01-02,5.0000,5.0000,4.8972,4.9000,4.9000,49910,0.0000,1.0000
2017-12-29,4.9000,4.9500,4.8010,4.8500,4.8500,55611,0.0000,1.0000
2017-12-28,4.6500,4.9000,4.6000,4.9000,4.9000,44836,0.0000,1.0000
2017-12-27,4.6000,4.7500,4.6000,4.6500,4.6500,8911,0.0000,1.0000
2017-12-26,4.6500,4.7000,4.5500,4.7000,4.7000,13305,0.0000,1.0000
2017-12-22,4.6934,4.7000,4.6501,4.7000,4.7000,6679,0.0000,1.0000
2017-12-21,4.8000,4.8500,4.6500,4.6500,4.6500,12328,0.0000,1.0000
2017-12-20,4.8000,4.9000,4.7500,4.7500,4.7500,5499,0.0000,1.0000
2017-12-19,4.7000,4.9000,4.7000,4.8500,4.8500,19752,0.0000,1.0000
2017-12-18,4.9000,4.9000,4.5000,4.7500,4.7500,86511,0.0000,1.0000
2017-12-15,5.0000,5.0000,4.6500,4.8000,4.8000,97823,0.0000,1.0000
2017-12-14,5.0500,5.1200,5.0000,5.0500,5.0500,10725,0.0000,1.0000
2017-12-13,4.9500,5.1500,4.9500,5.1000,5.1000,14931,0.0000,1.0000
2017-12-12,5.1500,5.1500,4.9250,5.0000,5.0000,13442,0.0000,1.0000
2017-12-11,5.0500,5.1090,5.0000,5.1000,5.1000,21061,0.0000,1.0000
2017-12-08,5.1000,5.1500,5.1000,5.1000,5.1000,14498,0.0000,1.0000
2017-12-07,4.9450,5.0500,4.9000,5.0500,5.0500,10711,0.0000,1.0000
2017-12-06,5.0000,5.0500,4.9500,5.0000,5.0000,4601,0.0000,1.0000
2017-12-05,5.0500,5.0500,4.8750,5.0500,5.0500,14577,0.0000,1.0000
2017-12-04,5.0999,5.0999,4.9600,5.0500,5.0500,8174,0.0000,1.0000
2017-12-01,4.9500,5.0500,4.8500,5.0250,5.0250,33247,0.0000,1.0000
2017-11-30,4.9000,5.0000,4.8500,4.9000,4.9000,17134,0.0000,1.0000
2017-11-29,4.9000,5.0000,4.8500,4.9000,4.9000,12539,0.0000,1.0000
2017-11-28,4.8500,5.0000,4.8000,4.9500,4.9500,20056,0.0000,1.0000
2017-11-27,5.1500,5.1500,4.7380,4.8000,4.8000,48125,0.0000,1.0000
2017-11-24,5.2000,5.2500,5.1500,5.2000,5.2000,3073,0.0000,1.0000
2017-11-22,5.1500,5.3000,5.1500,5.2500,5.2500,5729,0.0000,1.0000
2017-11-21,5.3000,5.3000,5.2000,5.2000,5.2000,9290,0.0000,1.0000
2017-11-20,5.2500,5.3000,5.1500,5.2000,5.2000,23957,0.0000,1.0000
2017-11-17,5.4000,5.4000,5.1000,5.2000,5.2000,31189,0.0000,1.0000
2017-11-16,5.2500,5.4000,4.9500,5.4000,5.4000,39312,0.0000,1.0000
2017-11-15,5.1500,5.2500,4.9500,5.1500,5.1500,21031,0.0000,1.0000
2017-11-14,5.0500,5.3000,5.0000,5.2500,5.2500,118604,0.0000,1.0000
2017-11-13,4.7500,5.0500,4.7500,5.0300,5.0300,61326,0.0000,1.0000
2017-11-10,4.8500,4.8500,4.6500,4.8000,4.8000,27851,0.0000,1.0000
2017-11-09,4.8000,4.8500,4.7000,4.8500,4.8500,50936,0.0000,1.0000
2017-11-08,4.6000,4.8000,4.4500,4.8000,4.8000,27499,0.0000,1.0000
2017-11-07,4.7500,4.7500,4.6000,4.6000,4.6000,32444,0.0000,1.0000
2017-11-06,4.7500,4.7500,4.6000,4.7000,4.7000,24428,0.0000,1.0000
2017-11-03,4.7000,4.7500,4.5000,4.6500,4.6500,23438,0.0000,1.0000
2017-11-02,4.6300,4.7500,4.6000,4.7000,4.7000,19150,0.0000,1.0000
2017-11-01,4.8500,4.8500,4.4000,4.7000,4.7000,58939,0.0000,1.0000
2017-10-31,4.8000,4.8500,4.7500,4.8500,4.8500,31085,0.0000,1.0000
2017-10-30,4.8500,4.8500,4.6700,4.8000,4.8000,35512,0.0000,1.0000
2017-10-27,4.8500,4.9000,4.7500,4.8000,4.8000,36680,0.0000,1.0000
2017-10-26,4.9000,4.9500,4.7000,4.8500,4.8500,47357,0.0000,1.0000
2017-10-25,4.6000,4.8500,4.6000,4.8500,4.8500,253056,0.0000,1.0000
2017-10-24,4.6500,4.6500,4.6000,4.6300,4.6300,16889,0.0000,1.0000
2017-10-23,4.6000,4.6500,4.4500,4.6300,4.6300,24030,0.0000,1.0000
2017-10-20,4.6500,4.6500,4.5500,4.5500,4.5500,14585,0.0000,1.0000
2017-10-19,4.7000,4.7000,4.5000,4.6000,4.6000,30147,0.0000,1.0000
2017-10-18,4.7100,4.8000,4.5000,4.5500,4.5500,22330,0.0000,1.0000
2017-10-17,4.8500,4.9000,4.7200,4.7500,4.7500,32533,0.0000,1.0000
2017-10-16,4.9000,5.0000,4.8000,4.8500,4.8500,52300,0.0000,1.0000
2017-10-13,4.9500,4.9500,4.9000,4.9500,4.9500,15195,0.0000,1.0000
2017-10-12,4.8500,4.9500,4.8400,4.9000,4.9000,35615,0.0000,1.0000
2017-10-11,4.7500,4.8500,4.7400,4.8500,4.8500,34306,0.0000,1.0000
2017-10-10,4.7000,4.7500,4.6700,4.7500,4.7500,33256,0.0000,1.0000
2017-10-09,4.7000,4.7000,4.6000,4.7000,4.7000,17586,0.0000,1.0000
2017-10-06,4.7000,4.7000,4.6500,4.7000,4.7000,12081,0.0000,1.0000
2017-10-05,4.6000,4.6500,4.5600,4.6500,4.6500,26307,0.0000,1.0000
