timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.6600,1.7000,1.6400,1.7000,1.7000,175900,0.0000,1.0000
2018-08-13,1.7000,1.7500,1.6500,1.6500,1.6500,508402,0.0000,1.0000
2018-08-10,1.7000,1.7000,1.7000,1.7000,1.7000,210,0.0000,1.0000
2018-08-09,1.7000,1.7000,1.6000,1.7000,1.7000,691670,0.0000,1.0000
2018-08-08,1.3500,1.3500,1.3500,1.3500,1.3500,4000,0.0000,1.0000
2018-08-07,1.3500,1.3500,1.3200,1.3500,1.3500,316333,0.0000,1.0000
2018-07-30,1.3500,1.3500,1.3500,1.3500,1.3500,5725,0.0000,1.0000
2018-07-26,1.3000,1.3200,1.2900,1.3200,1.3200,53729,0.0000,1.0000
2018-07-18,1.2200,1.2200,1.2200,1.2200,1.2200,2275,0.0000,1.0000
2018-07-09,1.2000,1.2000,1.2000,1.2000,1.2000,800,0.0000,1.0000
2018-07-06,1.2000,1.2000,1.2000,1.2000,1.2000,107500,0.0000,1.0000
2018-06-29,1.2000,1.3000,1.2000,1.2000,1.2000,105736,0.0000,1.0000
2018-06-28,1.2500,1.2500,1.2500,1.2500,1.2500,26676,0.0000,1.0000
2018-06-26,1.1001,1.2500,1.1000,1.2500,1.2500,264421,0.0000,1.0000
2018-06-13,1.1651,1.2500,1.1500,1.1500,1.1500,1266,0.0000,1.0000
2018-05-30,1.0465,1.2000,1.0465,1.2000,1.2000,1833,0.0000,1.0000
2018-05-24,1.2000,1.2000,1.2000,1.2000,1.2000,300,0.0000,1.0000
2018-05-23,1.1500,1.1500,1.1500,1.1500,1.1500,1005,0.0000,1.0000
2018-05-17,1.1000,1.1000,1.0500,1.1000,1.1000,9613,0.0000,1.0000
2018-05-16,0.9500,1.1000,0.9400,1.1000,1.1000,7005,0.0000,1.0000
2018-05-11,1.0500,1.0500,1.0500,1.0500,1.0500,166666,0.0000,1.0000
2018-05-07,1.0500,1.0500,1.0500,1.0500,1.0500,133,0.0000,1.0000
2018-05-04,1.1000,1.1000,1.0500,1.0500,1.0500,2201,0.0000,1.0000
2018-05-02,1.0500,1.1000,1.0000,1.1000,1.1000,202000,0.0000,1.0000
2018-05-01,1.0400,1.0400,1.0400,1.0400,1.0400,1010,0.0000,1.0000
2018-04-30,1.0400,1.0500,0.9300,0.9300,0.9300,6866,0.0000,1.0000
2018-04-27,0.9200,0.9200,0.9000,0.9000,0.9000,400,0.0000,1.0000
2018-04-23,1.0400,1.0400,1.0400,1.0400,1.0400,1000,0.0000,1.0000
2018-04-20,1.0300,1.0400,1.0300,1.0400,1.0400,1000,0.0000,1.0000
2018-04-19,0.9650,0.9655,0.9650,0.9655,0.9655,7000,0.0000,1.0000
2018-04-18,0.9800,0.9800,0.9800,0.9800,0.9800,800,0.0000,1.0000
2018-04-13,0.9200,1.0200,0.9100,0.9600,0.9600,4031,0.0000,1.0000
2018-04-12,0.9300,1.0500,0.9000,1.0000,1.0000,24200,0.0000,1.0000
2018-04-11,1.0400,1.0500,0.9000,0.9000,0.9000,123066,0.0000,1.0000
2018-04-10,0.9100,1.0200,0.9000,0.9500,0.9500,28044,0.0000,1.0000
2018-04-03,0.9300,0.9300,0.9300,0.9300,0.9300,6100,0.0000,1.0000
2018-03-26,0.9500,0.9500,0.9500,0.9500,0.9500,500,0.0000,1.0000
2018-03-21,0.9100,0.9100,0.9100,0.9100,0.9100,300,0.0000,1.0000
2018-03-19,0.9010,0.9010,0.9010,0.9010,0.9010,700,0.0000,1.0000
2018-03-16,0.9000,0.9000,0.9000,0.9000,0.9000,50000,0.0000,1.0000
2018-03-13,0.9000,0.9000,0.9000,0.9000,0.9000,100,0.0000,1.0000
2018-03-12,0.9000,0.9000,0.9000,0.9000,0.9000,600,0.0000,1.0000
2018-03-07,0.8926,0.8926,0.8926,0.8926,0.8926,580,0.0000,1.0000
2018-03-06,0.8600,0.8600,0.8600,0.8600,0.8600,177124,0.0000,1.0000
2018-03-02,0.8500,0.9300,0.8500,0.9300,0.9300,3600,0.0000,1.0000
2018-02-27,0.9500,0.9500,0.8500,0.9500,0.9500,3409,0.0000,1.0000
2018-02-21,0.8600,0.8600,0.8600,0.8600,0.8600,175000,0.0000,1.0000
2018-02-20,0.8600,0.8600,0.8600,0.8600,0.8600,300000,0.0000,1.0000
2018-02-13,0.8800,0.9000,0.8800,0.9000,0.9000,300,0.0000,1.0000
2018-02-09,0.8200,0.9500,0.8200,0.9500,0.9500,7200,0.0000,1.0000
2018-02-05,0.8300,0.9300,0.8200,0.9300,0.9300,5250,0.0000,1.0000
2018-02-01,0.9500,0.9500,0.9300,0.9300,0.9300,208132,0.0000,1.0000
2018-01-17,0.9074,1.0000,0.9074,1.0000,1.0000,12700,0.0000,1.0000
2018-01-12,1.0000,1.0000,1.0000,1.0000,1.0000,1100,0.0000,1.0000
2018-01-11,0.9097,0.9500,0.9000,0.9500,0.9500,17350,0.0000,1.0000
2018-01-10,0.9000,1.0400,0.9000,0.9500,0.9500,11900,0.0000,1.0000
2018-01-09,0.9000,0.9000,0.9000,0.9000,0.9000,11700,0.0000,1.0000
2018-01-08,0.9000,0.9000,0.9000,0.9000,0.9000,20102,0.0000,1.0000
2018-01-05,0.9000,0.9000,0.9000,0.9000,0.9000,1000,0.0000,1.0000
2018-01-04,0.8700,0.8700,0.8700,0.8700,0.8700,10000,0.0000,1.0000
2018-01-02,0.8300,0.8500,0.8300,0.8500,0.8500,128700,0.0000,1.0000
2017-12-27,0.8500,0.8500,0.8200,0.8500,0.8500,13400,0.0000,1.0000
2017-12-21,0.8500,0.8500,0.8500,0.8500,0.8500,100,0.0000,1.0000
2017-12-20,0.8000,0.8387,0.8000,0.8150,0.8150,10200,0.0000,1.0000
2017-12-19,0.7900,0.7900,0.7900,0.7900,0.7900,10000,0.0000,1.0000
2017-12-15,0.8300,0.8500,0.7775,0.8500,0.8500,25283,0.0000,1.0000
2017-12-12,0.8490,0.8500,0.8490,0.8500,0.8500,4900,0.0000,1.0000
2017-12-11,0.8400,0.8400,0.7975,0.8340,0.8340,8600,0.0000,1.0000
2017-12-08,0.5863,0.8450,0.5863,0.8450,0.8450,900,0.0000,1.0000
2017-12-07,0.7305,0.7650,0.7305,0.7650,0.7650,400,0.0000,1.0000
2017-12-04,0.8000,0.8000,0.8000,0.8000,0.8000,4700,0.0000,1.0000
2017-12-01,0.8000,0.8000,0.8000,0.8000,0.8000,1132,0.0000,1.0000
2017-11-30,0.8095,0.8095,0.7775,0.8000,0.8000,19485,0.0000,1.0000
2017-11-29,0.8181,0.8500,0.7600,0.8000,0.8000,10521,0.0000,1.0000
2017-11-28,0.7800,0.7800,0.7800,0.7800,0.7800,200,0.0000,1.0000
2017-11-21,0.8500,0.8500,0.8500,0.8500,0.8500,1227,0.0000,1.0000
2017-11-15,0.8500,0.8500,0.8500,0.8500,0.8500,1227,0.0000,1.0000
2017-11-14,0.8500,0.8500,0.8500,0.8500,0.8500,2373,0.0000,1.0000
