timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,2.1348,2.1348,2.0815,2.1005,2.1005,1180,0.0000,1.0000
2018-08-13,2.1200,2.1352,2.0800,2.0800,2.0800,4039,0.0000,1.0000
2018-08-10,2.1200,2.1398,2.1110,2.1300,2.1300,1346,0.0000,1.0000
2018-08-09,2.1300,2.2097,2.1200,2.1243,2.1243,1150,0.0000,1.0000
2018-08-08,2.1532,2.3000,2.1233,2.3000,2.3000,8689,0.0000,1.0000
2018-08-07,2.2500,2.5402,2.1100,2.1400,2.1400,92440,0.0000,1.0000
2018-08-06,2.3200,2.3200,2.1000,2.1401,2.1401,16799,0.0000,1.0000
2018-08-03,2.0797,2.1559,2.0200,2.0600,2.0600,8912,0.0000,1.0000
2018-08-02,2.1000,2.1600,2.0500,2.1459,2.1459,2786,0.0000,1.0000
2018-08-01,2.0000,2.1600,2.0000,2.1386,2.1386,8841,0.0000,1.0000
2018-07-31,2.0500,2.0803,2.0200,2.0200,2.0200,2229,0.0000,1.0000
2018-07-30,2.0797,2.1100,2.0037,2.1100,2.1100,3461,0.0000,1.0000
2018-07-27,2.0400,2.0400,2.0000,2.0000,2.0000,589,0.0000,1.0000
2018-07-26,2.0048,2.0350,1.9900,2.0000,2.0000,5036,0.0000,1.0000
2018-07-25,2.0020,2.0400,1.9900,2.0200,2.0200,2901,0.0000,1.0000
2018-07-24,2.0017,2.0600,1.9900,2.0288,2.0288,3984,0.0000,1.0000
2018-07-23,2.0910,2.0910,2.0601,2.0687,2.0687,2751,0.0000,1.0000
2018-07-20,2.1100,2.1100,2.0000,2.0001,2.0001,12893,0.0000,1.0000
2018-07-19,2.0501,2.0800,2.0000,2.0200,2.0200,3420,0.0000,1.0000
2018-07-18,2.0900,2.0900,1.9900,2.0000,2.0000,7507,0.0000,1.0000
2018-07-17,2.0400,2.0700,2.0300,2.0539,2.0539,2241,0.0000,1.0000
2018-07-16,2.1000,2.2000,2.0600,2.0600,2.0600,7113,0.0000,1.0000
2018-07-13,2.1530,2.1800,2.0600,2.1345,2.1345,8361,0.0000,1.0000
2018-07-12,2.0774,2.2082,2.0400,2.0700,2.0700,7322,0.0000,1.0000
2018-07-11,2.0100,2.1928,2.0000,2.1400,2.1400,20647,0.0000,1.0000
2018-07-10,1.9500,2.1000,1.8601,2.0000,2.0000,16413,0.0000,1.0000
2018-07-09,2.0000,2.0000,1.7900,1.9700,1.9700,22148,0.0000,1.0000
2018-07-06,2.0900,2.0900,2.0100,2.0500,2.0500,1430,0.0000,1.0000
2018-07-05,2.0000,2.0702,2.0000,2.0000,2.0000,6105,0.0000,1.0000
2018-07-03,2.1000,2.1895,2.1000,2.1600,2.1600,912,0.0000,1.0000
2018-07-02,1.8686,2.3300,1.8686,2.2000,2.2000,21837,0.0000,1.0000
2018-06-29,2.1165,2.1500,1.9800,2.1500,2.1500,3784,0.0000,1.0000
2018-06-28,2.1100,2.2000,2.0600,2.1000,2.1000,12023,0.0000,1.0000
2018-06-27,2.1755,2.2252,2.1755,2.1900,2.1900,2543,0.0000,1.0000
2018-06-26,2.1600,2.3000,2.1600,2.2000,2.2000,15956,0.0000,1.0000
2018-06-25,2.4400,2.4400,2.1600,2.2200,2.2200,37641,0.0000,1.0000
2018-06-22,2.1954,2.4800,2.1600,2.4800,2.4800,16915,0.0000,1.0000
2018-06-21,2.2400,2.2400,2.1600,2.1700,2.1700,8279,0.0000,1.0000
2018-06-20,2.1952,2.2498,2.1600,2.2400,2.2400,2716,0.0000,1.0000
2018-06-19,2.2110,2.2700,2.1610,2.2300,2.2300,4006,0.0000,1.0000
2018-06-18,2.1800,2.1900,2.1500,2.1900,2.1900,2695,0.0000,1.0000
2018-06-15,2.2283,2.2283,2.1200,2.2200,2.2200,16116,0.0000,1.0000
2018-06-14,2.2000,2.2135,2.1000,2.2000,2.2000,3285,0.0000,1.0000
2018-06-13,2.1700,2.2535,2.1401,2.1701,2.1701,10325,0.0000,1.0000
2018-06-12,2.1948,2.2500,2.1600,2.2294,2.2294,15293,0.0000,1.0000
2018-06-11,2.1400,2.2000,2.1300,2.1600,2.1600,5739,0.0000,1.0000
2018-06-08,2.1000,2.3100,2.1000,2.1300,2.1300,42178,0.0000,1.0000
2018-06-07,2.1800,2.6000,2.1600,2.4400,2.4400,44833,0.0000,1.0000
2018-06-06,2.2800,2.4500,2.0700,2.2500,2.2500,70253,0.0000,1.0000
2018-06-05,2.2430,2.8400,2.2430,2.3400,2.3400,41397,0.0000,1.0000
2018-06-04,2.2998,2.3322,2.2400,2.2400,2.2400,15017,0.0000,1.0000
2018-06-01,2.2247,2.2938,2.1610,2.2700,2.2700,21871,0.0000,1.0000
2018-05-31,2.1000,2.2300,2.0700,2.1600,2.1600,11640,0.0000,1.0000
2018-05-30,2.3100,2.3400,2.1100,2.1100,2.1100,35145,0.0000,1.0000
2018-05-29,2.3500,2.3500,2.2401,2.2700,2.2700,26647,0.0000,1.0000
2018-05-25,2.3100,2.3300,2.3000,2.3000,2.3000,2283,0.0000,1.0000
2018-05-24,2.3000,2.3500,2.2500,2.3000,2.3000,19116,0.0000,1.0000
