timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,9.5600,9.6200,9.5600,9.6200,9.6200,133952,0.0000,1.0000
2018-08-13,9.5800,9.5800,9.5600,9.5600,9.5600,702000,0.0000,1.0000
2018-08-10,9.5800,9.5800,9.5800,9.5800,9.5800,0,0.0000,1.0000
2018-08-09,9.5800,9.5800,9.5800,9.5800,9.5800,0,0.0000,1.0000
2018-08-08,9.5800,9.5800,9.5800,9.5800,9.5800,0,0.0000,1.0000
2018-08-07,9.6000,9.6000,9.5800,9.5800,9.5800,10500,0.0000,1.0000
2018-08-06,9.5701,9.5701,9.5701,9.5701,9.5701,0,0.0000,1.0000
2018-08-03,9.5700,9.5701,9.5700,9.5701,9.5701,4900,0.0000,1.0000
2018-08-02,9.5800,9.5800,9.5800,9.5800,9.5800,1300,0.0000,1.0000
2018-08-01,9.6100,9.6100,9.6100,9.6100,9.6100,0,0.0000,1.0000
2018-07-31,9.6100,9.6100,9.6100,9.6100,9.6100,0,0.0000,1.0000
2018-07-30,9.6100,9.6100,9.6100,9.6100,9.6100,100000,0.0000,1.0000
2018-07-27,9.6100,9.6100,9.6100,9.6100,9.6100,0,0.0000,1.0000
2018-07-26,9.6500,9.6500,9.6000,9.6100,9.6100,201200,0.0000,1.0000
2018-07-25,9.6300,9.6300,9.6300,9.6300,9.6300,0,0.0000,1.0000
2018-07-24,9.6300,9.6300,9.6300,9.6300,9.6300,0,0.0000,1.0000
2018-07-23,9.6300,9.6300,9.6300,9.6300,9.6300,0,0.0000,1.0000
2018-07-20,9.6300,9.6300,9.6300,9.6300,9.6300,0,0.0000,1.0000
2018-07-19,9.6300,9.6300,9.6300,9.6300,9.6300,0,0.0000,1.0000
2018-07-18,9.6300,9.6300,9.6300,9.6300,9.6300,0,0.0000,1.0000
2018-07-17,9.5800,9.6300,9.5800,9.6300,9.6300,255575,0.0000,1.0000
2018-07-16,9.6000,10.1000,9.5800,9.5800,9.5800,38943,0.0000,1.0000
2018-07-13,9.6000,9.6000,9.6000,9.6000,9.6000,0,0.0000,1.0000
2018-07-12,9.6000,9.6000,9.6000,9.6000,9.6000,60000,0.0000,1.0000
2018-07-11,9.6300,9.6300,9.6000,9.6000,9.6000,72300,0.0000,1.0000
2018-07-10,9.6100,9.6100,9.6100,9.6100,9.6100,0,0.0000,1.0000
2018-07-09,9.6000,9.6100,9.6000,9.6100,9.6100,202000,0.0000,1.0000
2018-07-06,9.6100,9.6100,9.6100,9.6100,9.6100,0,0.0000,1.0000
2018-07-05,9.6000,9.7000,9.6000,9.6100,9.6100,70000,0.0000,1.0000
2018-07-03,9.6000,9.6000,9.6000,9.6000,9.6000,606475,0.0000,1.0000
2018-07-02,9.6000,9.6300,9.5900,9.5900,9.5900,413800,0.0000,1.0000
2018-06-29,9.6500,9.6500,9.6000,9.6300,9.6300,150683,0.0000,1.0000
