timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.5700,0.5700,0.5700,0.5700,0.5700,20000,0.0000,1.0000
2018-08-13,0.5500,0.5500,0.5500,0.5500,0.5500,500,0.0000,1.0000
2018-08-08,0.5500,0.5500,0.5000,0.5000,0.5000,100500,0.0000,1.0000
2018-08-07,0.5600,0.5600,0.5600,0.5600,0.5600,5,0.0000,1.0000
2018-07-31,0.5600,0.5600,0.5600,0.5600,0.5600,24,0.0000,1.0000
2018-07-27,0.5600,0.5600,0.5600,0.5600,0.5600,100000,0.0000,1.0000
2018-07-26,0.5500,0.5500,0.5500,0.5500,0.5500,215000,0.0000,1.0000
2018-07-24,0.6000,0.6000,0.5800,0.5800,0.5800,800,0.0000,1.0000
2018-07-20,0.6000,0.6200,0.6000,0.6200,0.6200,10100,0.0000,1.0000
2018-07-19,0.5800,0.5800,0.5800,0.5800,0.5800,10000,0.0000,1.0000
2018-07-18,0.5800,0.5800,0.5700,0.5700,0.5700,13070,0.0000,1.0000
2018-07-16,0.5900,0.5900,0.5900,0.5900,0.5900,29,0.0000,1.0000
2018-07-11,0.6000,0.6000,0.5700,0.5900,0.5900,23356,0.0000,1.0000
2018-07-10,0.5800,0.6000,0.5800,0.6000,0.6000,11710,0.0000,1.0000
2018-07-09,0.5500,0.5500,0.5400,0.5500,0.5500,405600,0.0000,1.0000
2018-07-06,0.5400,0.5450,0.5400,0.5450,0.5450,205200,0.0000,1.0000
2018-07-05,0.5200,0.5400,0.5200,0.5400,0.5400,42100,0.0000,1.0000
2018-07-03,0.5200,0.5200,0.5200,0.5200,0.5200,218300,0.0000,1.0000
2018-07-02,0.4900,0.5150,0.4900,0.5150,0.5150,521200,0.0000,1.0000
2018-06-29,0.4700,0.5200,0.4500,0.4900,0.4900,2780600,0.0000,1.0000
