timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,6.9800,7.3000,6.9800,7.2600,7.2600,17494,0.0000,1.0000
2018-08-13,6.9300,7.2731,6.9200,6.9200,6.9200,29622,0.0000,1.0000
2018-08-10,6.4100,7.4503,6.4100,7.3100,7.3100,77492,0.0000,1.0000
2018-08-09,6.3000,6.7199,6.3000,6.6600,6.6600,50346,0.0000,1.0000
2018-08-08,6.4000,7.0000,6.4000,6.5900,6.5900,74418,0.0000,1.0000
2018-08-07,6.7000,6.9800,6.5100,6.5200,6.5200,51296,0.0000,1.0000
2018-08-06,7.2400,7.2400,6.8000,6.8000,6.8000,31222,0.0000,1.0000
2018-08-03,7.3200,7.3300,7.0200,7.1900,7.1900,26638,0.0000,1.0000
2018-08-02,7.1928,7.4190,6.9958,7.3800,7.3800,9936,0.0000,1.0000
2018-08-01,7.5500,7.5500,6.9200,7.0400,7.0400,84710,0.0000,1.0000
2018-07-31,7.7413,7.7800,7.4630,7.4800,7.4800,11397,0.0000,1.0000
2018-07-30,7.5810,7.5810,7.1600,7.4800,7.4800,32853,0.0000,1.0000
2018-07-27,8.0000,8.0196,7.5477,7.6529,7.6529,35316,0.0000,1.0000
2018-07-26,8.1600,8.1600,7.7000,8.1400,8.1400,51284,0.0000,1.0000
2018-07-25,8.1283,8.7300,7.9000,8.0800,8.0800,52156,0.0000,1.0000
2018-07-24,8.5800,8.5800,8.0500,8.0800,8.0800,35020,0.0000,1.0000
2018-07-23,8.7500,8.7500,8.2110,8.4200,8.4200,42462,0.0000,1.0000
2018-07-20,8.5600,8.5675,8.2500,8.2900,8.2900,19747,0.0000,1.0000
2018-07-19,8.2379,8.6100,8.2379,8.5100,8.5100,18849,0.0000,1.0000
2018-07-18,8.4100,8.4100,8.2000,8.3500,8.3500,25414,0.0000,1.0000
2018-07-17,8.4600,8.5100,8.3000,8.3400,8.3400,19687,0.0000,1.0000
2018-07-16,8.5942,8.5942,8.3500,8.4100,8.4100,11519,0.0000,1.0000
2018-07-13,8.6700,8.7500,8.4900,8.5500,8.5500,19737,0.0000,1.0000
2018-07-12,8.5450,8.7500,8.4805,8.6600,8.6600,23949,0.0000,1.0000
2018-07-11,8.4900,8.6100,8.4000,8.5300,8.5300,29667,0.0000,1.0000
2018-07-10,8.3861,8.8000,8.3861,8.5100,8.5100,10469,0.0000,1.0000
2018-07-09,8.7400,9.0551,8.6674,8.7400,8.7400,10712,0.0000,1.0000
2018-07-06,9.0000,9.1100,8.7000,8.7000,8.7000,18038,0.0000,1.0000
2018-07-05,9.1000,9.1500,9.0000,9.0600,9.0600,18411,0.0000,1.0000
2018-07-03,9.1000,9.1300,8.2565,9.1300,9.1300,14704,0.0000,1.0000
2018-07-02,9.0200,9.1295,8.7100,9.0200,9.0200,45764,0.0000,1.0000
2018-06-29,8.7300,9.2770,8.7300,9.0000,9.0000,58645,0.0000,1.0000
