timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,50.3100,50.8500,50.3100,50.8500,50.8500,2122,0.0000,1.0000
2018-08-13,50.7000,50.7500,50.3500,50.3500,50.3500,2807,0.0000,1.0000
2018-08-10,50.5013,50.7000,50.4186,50.4186,50.4186,1035,0.0000,1.0000
2018-08-09,50.8500,50.8500,50.5500,50.7500,50.7500,1233,0.0000,1.0000
2018-08-08,50.0000,50.8500,50.0000,50.5000,50.5000,1614,0.0000,1.0000
2018-08-07,49.7035,50.2000,49.6000,50.2000,50.2000,1516,0.0000,1.0000
2018-08-06,49.6798,50.1250,49.6105,49.7500,49.7500,1825,0.0000,1.0000
2018-08-03,50.9000,51.0000,50.0758,50.3500,50.3500,3993,0.0000,1.0000
2018-08-02,50.4500,51.0000,49.4191,50.7000,50.7000,9577,0.0000,1.0000
2018-08-01,50.3500,50.7000,50.0000,50.4000,50.4000,3260,0.0000,1.0000
2018-07-31,50.5230,50.8500,50.5230,50.7000,50.7000,1729,0.0000,1.0000
2018-07-30,50.9500,50.9500,50.3014,50.4500,50.4500,1311,0.0000,1.0000
2018-07-27,50.6500,50.6524,50.0500,50.3500,50.3500,3893,0.0000,1.0000
2018-07-26,50.9500,50.9500,50.5535,50.9000,50.9000,4670,0.0000,1.0000
2018-07-25,48.2500,50.1000,48.2500,49.2500,49.2500,2999,0.0000,1.0000
2018-07-24,48.5000,48.9500,47.8000,48.2000,48.2000,7101,0.0000,1.0000
2018-07-23,48.6000,48.6000,48.6000,48.6000,48.6000,840,0.0000,1.0000
2018-07-20,48.9000,48.9575,48.6000,48.6000,48.6000,1738,0.0000,1.0000
2018-07-19,48.7500,49.1500,48.3000,48.4000,48.4000,3758,0.0000,1.0000
2018-07-18,48.6247,49.0000,48.3000,48.3500,48.3500,3110,0.0000,1.0000
2018-07-17,49.0000,49.6000,48.3940,48.8000,48.8000,4921,0.0000,1.0000
2018-07-16,49.3500,49.3500,48.7180,49.0000,49.0000,5680,0.0000,1.0000
2018-07-13,48.9500,49.3000,48.5000,48.6000,48.6000,5087,0.0000,1.0000
2018-07-12,50.8925,50.8925,48.8500,48.8500,48.8500,2398,0.0000,1.0000
2018-07-11,51.0000,51.7500,50.5500,50.9000,50.9000,4072,0.0000,1.0000
2018-07-10,51.2000,51.2000,51.0000,51.0000,51.0000,1293,0.0000,1.0000
2018-07-09,51.0000,52.3500,51.0000,51.2500,51.2500,5799,0.0000,1.0000
2018-07-06,51.2500,51.8000,51.1000,51.8000,51.8000,2031,0.0000,1.0000
2018-07-05,49.9000,51.8500,49.8500,50.8500,50.8500,2236,0.0000,1.0000
2018-07-03,49.4500,50.4500,49.4500,50.2000,50.2000,2197,0.0000,1.0000
2018-07-02,50.5000,50.5000,48.5937,49.8000,49.8000,5527,0.0000,1.0000
2018-06-29,50.9000,52.1500,50.5500,50.7000,50.7000,5373,0.0000,1.0000
2018-06-28,50.7000,52.4500,50.7000,51.2000,51.2000,3619,0.0000,1.0000
2018-06-27,52.5500,53.1000,51.0500,51.0500,51.0500,4368,0.0000,1.0000
2018-06-26,51.9000,52.9000,51.4500,52.5000,52.5000,3380,0.0000,1.0000
2018-06-25,51.9000,52.5000,51.6000,52.2500,52.2500,4438,0.0000,1.0000
2018-06-22,52.6500,53.0000,51.0500,51.6000,51.6000,48848,0.0000,1.0000
2018-06-21,53.9500,54.1500,51.2500,51.7500,51.7500,15497,0.0000,1.0000
2018-06-20,53.6000,54.2000,52.5250,53.6000,53.6000,26484,0.0000,1.0000
2018-06-19,53.0000,54.0000,53.0000,53.4000,53.4000,19653,0.0000,1.0000
2018-06-18,52.9000,53.7500,52.5500,53.3500,53.3500,9031,0.0000,1.0000
2018-06-15,53.2500,53.8999,52.6750,53.5000,53.5000,33319,0.0000,1.0000
2018-06-14,53.3000,53.6000,53.3000,53.5000,53.5000,7290,0.0000,1.0000
2018-06-13,53.9500,53.9500,52.0000,53.7000,53.7000,10504,0.0000,1.0000
2018-06-12,53.6000,54.4250,52.7385,54.0000,54.0000,13124,0.0000,1.0000
2018-06-11,52.0000,53.9500,51.5000,53.9500,53.9500,8446,0.0000,1.0000
2018-06-08,53.4500,53.4500,51.0500,51.4500,51.4500,7862,0.0000,1.0000
2018-06-07,52.0000,52.3000,51.3465,52.2000,52.2000,8849,0.0000,1.0000
2018-06-06,51.6000,52.5000,51.5750,51.6500,51.6500,9117,0.0000,1.0000
2018-06-05,51.6500,51.8500,50.9000,51.8500,51.8500,5492,0.0000,1.0000
2018-06-04,50.7500,51.0250,49.5500,51.0000,51.0000,7467,0.0000,1.0000
2018-06-01,53.4000,53.4000,50.1500,50.3000,50.3000,25521,0.0000,1.0000
2018-05-31,53.1000,53.7500,52.8500,52.9500,52.9500,11285,0.2800,1.0000
2018-05-30,53.1500,54.1000,53.1500,53.9500,53.6662,4418,0.0000,1.0000
2018-05-29,52.9500,53.7000,52.7000,53.5500,53.2683,8868,0.0000,1.0000
2018-05-25,53.6000,54.3500,52.6500,53.3000,53.0196,7185,0.0000,1.0000
