timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,6.3900,6.4300,5.9100,5.9900,5.9900,79177,0.0000,1.0000
2018-08-13,6.4000,6.5100,5.9810,6.2700,6.2700,57542,0.0000,1.0000
2018-08-10,6.5400,6.5400,6.1700,6.4100,6.4100,44800,0.0000,1.0000
2018-08-09,6.6500,6.6500,6.2710,6.5600,6.5600,72211,0.0000,1.0000
2018-08-08,6.4300,6.7500,6.3200,6.6700,6.6700,54468,0.0000,1.0000
2018-08-07,6.1900,6.4900,5.8700,6.4000,6.4000,67865,0.0000,1.0000
2018-08-06,6.2500,6.4000,6.0501,6.2700,6.2700,47401,0.0000,1.0000
2018-08-03,6.6400,6.6400,6.1700,6.2000,6.2000,59530,0.0000,1.0000
2018-08-02,6.6100,6.8700,6.4750,6.6300,6.6300,72186,0.0000,1.0000
2018-08-01,6.9000,7.0600,6.5000,6.6200,6.6200,52618,0.0000,1.0000
2018-07-31,6.4400,6.9700,6.4300,6.8500,6.8500,67711,0.0000,1.0000
2018-07-30,6.8000,6.9500,6.3100,6.3900,6.3900,70788,0.0000,1.0000
2018-07-27,7.2700,7.3500,6.8500,6.8600,6.8600,38425,0.0000,1.0000
2018-07-26,7.3800,7.5100,7.1000,7.2400,7.2400,34955,0.0000,1.0000
2018-07-25,7.1200,7.4300,7.1200,7.3700,7.3700,48263,0.0000,1.0000
2018-07-24,7.1500,7.3200,6.9200,7.0800,7.0800,71174,0.0000,1.0000
2018-07-23,7.3600,7.4600,7.0500,7.1500,7.1500,53138,0.0000,1.0000
2018-07-20,7.5000,7.5200,7.3100,7.4000,7.4000,36857,0.0000,1.0000
2018-07-19,7.3800,7.5000,7.1750,7.4700,7.4700,28666,0.0000,1.0000
2018-07-18,7.2100,7.4200,7.1266,7.3800,7.3800,40456,0.0000,1.0000
2018-07-17,7.4200,7.6100,7.1550,7.2300,7.2300,57296,0.0000,1.0000
2018-07-16,7.4700,7.5400,7.0601,7.4500,7.4500,59338,0.0000,1.0000
2018-07-13,7.6700,7.6700,7.2911,7.4900,7.4900,86339,0.0000,1.0000
2018-07-12,7.4700,7.5700,7.1700,7.4400,7.4400,47873,0.0000,1.0000
2018-07-11,7.3400,7.6099,7.1950,7.4200,7.4200,42389,0.0000,1.0000
2018-07-10,7.6700,7.7000,7.1899,7.4000,7.4000,75711,0.0000,1.0000
2018-07-09,7.4000,7.6700,7.1353,7.5800,7.5800,69599,0.0000,1.0000
2018-07-06,7.2200,7.6600,7.1700,7.3400,7.3400,81512,0.0000,1.0000
2018-07-05,7.2500,7.2500,7.0700,7.2100,7.2100,50512,0.0000,1.0000
2018-07-03,6.9800,7.3000,6.9000,7.1900,7.1900,61677,0.0000,1.0000
2018-07-02,6.8300,7.1900,6.7900,6.8700,6.8700,52559,0.0000,1.0000
2018-06-29,7.0000,7.1000,6.8100,6.8900,6.8900,51186,0.0000,1.0000
2018-06-28,6.7600,7.0000,6.6000,6.9800,6.9800,55799,0.0000,1.0000
2018-06-27,7.0800,7.2790,6.6700,6.7800,6.7800,85455,0.0000,1.0000
2018-06-26,7.0200,7.4290,6.8700,7.0500,7.0500,75384,0.0000,1.0000
2018-06-25,6.5900,7.1300,6.2500,6.9500,6.9500,150662,0.0000,1.0000
2018-06-22,6.8400,7.1400,6.5102,7.0400,7.0400,1833248,0.0000,1.0000
2018-06-21,6.8500,7.0600,6.1700,6.6800,6.6800,164824,0.0000,1.0000
2018-06-20,7.1500,7.2100,6.8000,6.8600,6.8600,128958,0.0000,1.0000
2018-06-19,7.0700,7.2050,6.8800,7.1500,7.1500,67333,0.0000,1.0000
2018-06-18,7.6700,7.6700,7.0100,7.0900,7.0900,81382,0.0000,1.0000
2018-06-15,7.8500,7.8500,7.3300,7.7600,7.7600,138861,0.0000,1.0000
2018-06-14,7.2800,7.9000,6.9600,7.8900,7.8900,59843,0.0000,1.0000
2018-06-13,7.1700,7.4400,7.0000,7.2000,7.2000,51928,0.0000,1.0000
2018-06-12,7.0200,7.2100,6.9200,7.2100,7.2100,49958,0.0000,1.0000
2018-06-11,7.0600,7.4350,6.7800,7.0200,7.0200,62844,0.0000,1.0000
2018-06-08,7.2000,7.2500,6.9500,7.0700,7.0700,41132,0.0000,1.0000
2018-06-07,7.4300,7.6900,6.8200,7.1700,7.1700,98736,0.0000,1.0000
2018-06-06,7.5500,7.6200,7.2900,7.3900,7.3900,75563,0.0000,1.0000
2018-06-05,7.4000,7.7100,7.3000,7.5200,7.5200,46269,0.0000,1.0000
2018-06-04,7.6300,7.8800,7.2700,7.3900,7.3900,51035,0.0000,1.0000
2018-06-01,7.4400,7.7500,7.3310,7.6100,7.6100,72315,0.0000,1.0000
2018-05-31,7.6000,7.9100,7.3100,7.4200,7.4200,56573,0.0000,1.0000
2018-05-30,7.5600,7.9900,7.4000,7.6000,7.6000,69034,0.0000,1.0000
2018-05-29,7.5500,7.9000,7.2000,7.5500,7.5500,90530,0.0000,1.0000
2018-05-25,7.4000,7.7000,7.3100,7.5700,7.5700,78917,0.0000,1.0000
2018-05-24,7.5400,7.9300,7.2700,7.4100,7.4100,116516,0.0000,1.0000
2018-05-23,7.0500,7.5990,7.0500,7.5400,7.5400,142693,0.0000,1.0000
2018-05-22,7.3900,7.6700,6.8100,7.0100,7.0100,113557,0.0000,1.0000
2018-05-21,7.6300,7.8000,6.9100,7.3300,7.3300,118718,0.0000,1.0000
2018-05-18,7.9400,7.9800,7.5500,7.6100,7.6100,139027,0.0000,1.0000
2018-05-17,8.0900,8.3500,7.7700,7.9900,7.9900,79933,0.0000,1.0000
2018-05-16,8.4500,8.5100,8.0900,8.1200,8.1200,95687,0.0000,1.0000
2018-05-15,8.2800,8.6400,7.7000,8.3900,8.3900,78804,0.0000,1.0000
