timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,9.3000,9.4200,8.6000,8.6600,8.6600,25417,0.0000,1.0000
2018-08-13,8.8000,9.2300,8.6800,9.0300,9.0300,12597,0.0000,1.0000
2018-08-10,9.0700,9.1800,8.7500,8.7500,8.7500,11337,0.0000,1.0000
2018-08-09,8.5300,9.2000,8.5300,9.1700,9.1700,14963,0.0000,1.0000
2018-08-08,8.2500,8.6200,8.1600,8.5800,8.5800,18184,0.0000,1.0000
2018-08-07,8.7500,8.7500,8.0994,8.5000,8.5000,37889,0.0000,1.0000
2018-08-06,8.8600,9.0150,8.4300,8.5800,8.5800,13886,0.0000,1.0000
2018-08-03,8.8001,9.0500,8.8001,8.9100,8.9100,12112,0.0000,1.0000
2018-08-02,8.8800,9.1342,8.7901,8.9700,8.9700,5441,0.0000,1.0000
2018-08-01,9.0800,9.1893,8.9000,8.9300,8.9300,29992,0.0000,1.0000
2018-07-31,8.7400,9.4200,8.7400,9.2100,9.2100,38990,0.0000,1.0000
2018-07-30,8.7100,9.0000,8.2475,8.7500,8.7500,15181,0.0000,1.0000
2018-07-27,8.0600,9.0490,8.0600,8.7500,8.7500,43145,0.0000,1.0000
2018-07-26,8.6400,8.9000,7.9800,8.1000,8.1000,170027,0.0000,1.0000
2018-07-25,9.2973,9.4900,7.9810,8.3000,8.3000,152475,0.0000,1.0000
2018-07-24,10.2600,10.5476,9.1900,9.4000,9.4000,61710,0.0000,1.0000
2018-07-23,10.1000,10.4250,10.0300,10.2000,10.2000,29511,0.0000,1.0000
2018-07-20,10.6069,10.6300,10.0500,10.0800,10.0800,27222,0.0000,1.0000
2018-07-19,10.4500,10.7367,10.4500,10.5300,10.5300,16550,0.0000,1.0000
2018-07-18,10.5200,11.2860,10.4000,10.4400,10.4400,44653,0.0000,1.0000
2018-07-17,10.7000,11.1450,10.5500,10.5700,10.5700,119972,0.0000,1.0000
2018-07-16,10.7300,11.1800,10.2990,10.7400,10.7400,107527,0.0000,1.0000
2018-07-13,11.6900,12.1500,10.2700,10.5300,10.5300,172935,0.0000,1.0000
2018-07-12,11.6100,12.1400,11.2000,11.6900,11.6900,85149,0.0000,1.0000
2018-07-11,12.3100,12.3247,11.3600,11.6100,11.6100,33983,0.0000,1.0000
2018-07-10,12.5700,13.1655,12.2610,12.4100,12.4100,66377,0.0000,1.0000
2018-07-09,13.0500,13.3900,12.0641,12.5000,12.5000,200827,0.0000,1.0000
2018-07-06,12.0000,12.8300,11.8800,12.8300,12.8300,74656,0.0000,1.0000
2018-07-05,12.5900,12.6300,12.0750,12.1700,12.1700,45132,0.0000,1.0000
2018-07-03,11.9700,12.7612,11.8025,12.1700,12.1700,96112,0.0000,1.0000
2018-07-02,11.6000,11.8560,11.3100,11.5800,11.5800,32844,0.0000,1.0000
2018-06-29,11.2400,11.9500,11.2000,11.4600,11.4600,66237,0.0000,1.0000
2018-06-28,11.5500,11.6928,10.6200,11.2000,11.2000,63563,0.0000,1.0000
2018-06-27,11.8800,12.2000,11.4050,11.9100,11.9100,121078,0.0000,1.0000
2018-06-26,11.9000,12.1200,11.8070,12.0700,12.0700,42584,0.0000,1.0000
2018-06-25,12.2500,12.7500,11.6500,11.8800,11.8800,97087,0.0000,1.0000
2018-06-22,13.0500,13.4190,11.6100,11.9000,11.9000,134239,0.0000,1.0000
2018-06-21,14.2700,14.6800,12.6800,12.7900,12.7900,131745,0.0000,1.0000
2018-06-20,14.7600,14.7600,14.1800,14.3600,14.3600,42060,0.0000,1.0000
2018-06-19,14.3100,14.8200,14.3100,14.5400,14.5400,105463,0.0000,1.0000
2018-06-18,14.3000,15.0000,14.1900,14.4500,14.4500,118727,0.0000,1.0000
2018-06-15,14.2100,14.5300,14.1800,14.4500,14.4500,170420,0.0000,1.0000
2018-06-14,14.5000,14.5990,14.4500,14.5000,14.5000,91007,0.0000,1.0000
2018-06-13,14.6300,14.7600,14.5000,14.5050,14.5050,112288,0.0000,1.0000
2018-06-12,15.0000,15.0100,14.0000,14.5700,14.5700,129639,0.0000,1.0000
2018-06-11,15.0000,15.2500,14.6200,15.0000,15.0000,282437,0.0000,1.0000
2018-06-08,15.1000,15.4900,14.8100,15.0000,15.0000,2014938,0.0000,1.0000
