timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,186.5700,187.3150,185.8500,186.4400,186.4400,134897,0.0000,1.0000
2018-08-13,186.2700,187.7300,185.7550,185.9600,185.9600,129167,0.0000,1.0000
2018-08-10,185.2600,187.5000,184.5500,186.4700,186.4700,114184,0.0000,1.0000
2018-08-09,186.2500,189.4290,185.7900,185.9800,185.9800,159282,0.0000,1.0000
2018-08-08,189.0400,189.2100,185.5900,186.2300,186.2300,250557,0.4200,1.0000
2018-08-07,189.2100,190.3300,189.0100,189.4400,189.0137,124195,0.0000,1.0000
2018-08-06,189.2400,190.5400,188.4600,189.6800,189.2532,203821,0.0000,1.0000
2018-08-03,192.0200,192.0200,187.3500,189.6400,189.2133,182673,0.0000,1.0000
2018-08-02,192.9600,195.4000,190.2600,190.8100,190.3806,285914,0.0000,1.0000
2018-08-01,193.0900,197.9700,191.9500,193.5300,193.0945,212112,0.0000,1.0000
2018-07-31,192.4300,194.2700,189.5000,193.7700,193.3340,298668,0.0000,1.0000
2018-07-30,198.7000,199.3400,188.7050,192.2100,191.7775,225847,0.0000,1.0000
2018-07-27,200.1500,201.4800,197.7900,198.6000,198.1531,170734,0.0000,1.0000
2018-07-26,202.3900,204.9400,199.9450,200.3700,199.9191,235033,0.0000,1.0000
2018-07-25,200.0500,210.5300,200.0500,202.9100,202.4534,643802,0.0000,1.0000
2018-07-24,211.3000,211.9400,209.0000,209.6000,209.1284,534749,0.0000,1.0000
2018-07-23,209.7900,211.6900,209.0000,210.5100,210.0363,204378,0.0000,1.0000
2018-07-20,208.2000,210.5000,207.2600,210.2200,209.7470,257377,0.0000,1.0000
2018-07-19,208.7300,210.9000,207.1100,208.9100,208.4399,120389,0.0000,1.0000
2018-07-18,208.2300,210.9100,206.1300,209.7600,209.2880,182243,0.0000,1.0000
2018-07-17,206.2300,209.2800,205.6100,207.5900,207.1229,193293,0.0000,1.0000
2018-07-16,205.5800,207.2650,204.6500,205.9800,205.5165,125295,0.0000,1.0000
2018-07-13,207.3200,208.9500,204.1200,205.8600,205.3968,181844,0.0000,1.0000
2018-07-12,204.4100,207.2700,202.9748,206.5900,206.1251,172568,0.0000,1.0000
2018-07-11,201.2100,204.8950,200.4101,204.1100,203.6507,228976,0.0000,1.0000
2018-07-10,203.4800,204.2700,200.0000,201.6300,201.1763,167358,0.0000,1.0000
2018-07-09,203.3900,205.4000,202.4900,202.8000,202.3437,173447,0.0000,1.0000
2018-07-06,199.6800,204.1800,197.7900,202.5500,202.0942,144250,0.0000,1.0000
2018-07-05,199.5800,200.2000,196.5500,199.7900,199.3404,188024,0.0000,1.0000
2018-07-03,202.0100,203.0350,198.9400,199.6000,199.1509,165069,0.0000,1.0000
2018-07-02,196.2900,201.1850,195.1400,200.7200,200.2683,215949,0.0000,1.0000
2018-06-29,202.8800,204.6000,196.8100,197.8600,197.4148,200667,0.0000,1.0000
2018-06-28,200.7100,203.2100,199.5600,202.6500,202.1940,187612,0.0000,1.0000
2018-06-27,202.2000,208.7650,199.9050,200.3100,199.8593,188150,0.0000,1.0000
2018-06-26,204.8100,205.9300,201.1600,202.7100,202.2539,315348,0.0000,1.0000
2018-06-25,210.0800,210.9900,204.4500,205.4200,204.9578,152160,0.0000,1.0000
2018-06-22,213.4800,217.5300,210.2600,211.0000,210.5252,176343,0.0000,1.0000
2018-06-21,212.5100,212.9200,210.1700,211.6900,211.2137,150500,0.0000,1.0000
2018-06-20,214.3300,216.2150,210.8400,213.0400,212.5606,179558,0.0000,1.0000
2018-06-19,212.1000,214.4600,211.4800,214.3300,213.8477,184717,0.0000,1.0000
2018-06-18,214.4600,216.1200,212.4900,213.8700,213.3887,176597,0.0000,1.0000
2018-06-15,216.6600,216.6600,212.1900,215.1100,214.6260,276248,0.0000,1.0000
2018-06-14,217.6900,218.5500,215.3500,217.3100,216.8210,159770,0.0000,1.0000
2018-06-13,216.5900,218.3500,213.7050,216.7200,216.2323,124308,0.0000,1.0000
2018-06-12,217.9100,219.9800,213.0700,215.4700,214.9851,112155,0.0000,1.0000
2018-06-11,215.4300,218.7000,215.4300,218.1400,217.6491,143530,0.0000,1.0000
2018-06-08,212.8300,215.8600,211.4400,214.8900,214.4065,169839,0.0000,1.0000
2018-06-07,212.5200,215.7300,211.5600,212.4500,211.9719,135652,0.0000,1.0000
2018-06-06,208.4900,211.6400,208.4900,211.2700,210.7946,142754,0.0000,1.0000
2018-06-05,216.0000,218.2450,207.0600,208.7000,208.2304,250447,0.0000,1.0000
2018-06-04,216.8900,218.3550,214.6700,217.9500,217.4596,136951,0.0000,1.0000
2018-06-01,215.9400,218.9700,214.7200,216.8500,216.3620,183583,0.0000,1.0000
2018-05-31,214.9400,217.7000,213.2100,213.6500,213.1692,161388,0.0000,1.0000
2018-05-30,211.2300,216.3200,211.2300,216.1500,215.6636,204777,0.0000,1.0000
2018-05-29,209.6500,211.3900,208.4100,210.9400,210.4653,156227,0.0000,1.0000
2018-05-25,211.7600,211.7600,209.7100,210.5500,210.0762,147291,0.0000,1.0000
2018-05-24,210.3400,211.9600,208.6500,211.8300,211.3533,137967,0.0000,1.0000
2018-05-23,209.3700,210.1900,207.8950,210.0100,209.5374,148745,0.0000,1.0000
2018-05-22,210.5000,213.0800,208.9400,210.3100,209.8368,139725,0.0000,1.0000
2018-05-21,205.2400,210.8700,205.2400,210.5900,210.1161,167626,0.0000,1.0000
2018-05-18,203.3100,206.2000,201.6900,204.7200,204.2593,163692,0.0000,1.0000
2018-05-17,201.9100,203.0000,200.3800,202.8200,202.3636,97840,0.0000,1.0000
2018-05-16,201.5300,203.6600,199.2450,202.2400,201.7849,129266,0.0000,1.0000
2018-05-15,199.8800,202.6450,198.6100,201.3200,200.8670,177176,0.0000,1.0000
2018-05-14,205.7300,205.7300,199.3700,199.6300,199.1808,167099,0.0000,1.0000
2018-05-11,204.5000,206.0950,203.5500,205.7300,205.2671,79659,0.0000,1.0000
2018-05-10,205.7000,205.9200,203.7800,204.6100,204.1496,107812,0.0000,1.0000
2018-05-09,203.3200,206.9400,201.7900,205.7500,205.2870,221361,0.0000,1.0000
2018-05-08,203.5600,204.6000,201.4400,203.3000,202.8425,125022,0.4200,1.0000
2018-05-07,201.8400,205.5000,201.8400,204.0200,203.1412,85629,0.0000,1.0000
2018-05-04,198.1700,202.9700,196.4200,201.7400,200.8711,203496,0.0000,1.0000
2018-05-03,201.5800,202.3800,197.4300,199.0000,198.1429,205298,0.0000,1.0000
2018-05-02,201.1800,203.6200,200.1900,202.0200,201.1499,132649,0.0000,1.0000
2018-05-01,198.0500,201.8900,196.2800,201.5200,200.6520,190073,0.0000,1.0000
2018-04-30,199.4600,202.7600,198.1700,198.6300,197.7745,222005,0.0000,1.0000
2018-04-27,199.4900,199.5100,196.7801,199.2600,198.4017,148825,0.0000,1.0000
2018-04-26,199.0900,202.1400,196.4900,199.4800,198.6208,167479,0.0000,1.0000
2018-04-25,201.4600,203.5853,195.3700,199.2900,198.4316,276448,0.0000,1.0000
2018-04-24,202.5200,204.4500,199.8700,200.8800,200.0148,170527,0.0000,1.0000
2018-04-23,202.9500,203.8500,198.7800,202.0600,201.1897,182010,0.0000,1.0000
2018-04-20,203.0300,205.0800,201.9800,202.5000,201.6278,295553,0.0000,1.0000
2018-04-19,203.1200,205.3100,202.3500,202.6700,201.7971,161301,0.0000,1.0000
2018-04-18,207.3200,208.6800,200.9300,203.0900,202.2152,219453,0.0000,1.0000
2018-04-17,205.0300,207.1500,205.0300,205.9900,205.1028,234766,0.0000,1.0000
2018-04-16,202.5600,205.6600,202.5600,204.4000,203.5196,155354,0.0000,1.0000
2018-04-13,203.4900,203.6700,200.0538,202.0700,201.1996,233528,0.0000,1.0000
2018-04-12,205.2900,206.0000,201.7500,203.4800,202.6036,299486,0.0000,1.0000
2018-04-11,204.8900,206.6700,202.9000,205.8500,204.9634,308498,0.0000,1.0000
2018-04-10,209.9900,212.0350,205.9900,206.3800,205.4911,177463,0.0000,1.0000
2018-04-09,208.5300,211.6600,207.5500,207.8100,206.9149,155801,0.0000,1.0000
2018-04-06,208.0600,208.3100,202.8400,206.6800,205.7898,305027,0.0000,1.0000
2018-04-05,212.6100,213.6250,208.2100,208.4400,207.5422,280327,0.0000,1.0000
2018-04-04,210.3300,213.4400,206.6150,212.2400,211.3258,291144,0.0000,1.0000
2018-04-03,213.3900,216.2700,210.0100,213.4100,212.4908,263069,0.0000,1.0000
2018-04-02,217.5000,218.7100,210.3100,212.2700,211.3557,171459,0.0000,1.0000
2018-03-29,213.7800,217.9600,213.4400,217.4400,216.5034,154285,0.0000,1.0000
2018-03-28,217.2700,218.1500,211.7600,212.9800,212.0626,290203,0.0000,1.0000
2018-03-27,222.3200,222.7050,216.7800,217.2800,216.3441,253721,0.0000,1.0000
2018-03-26,221.5600,222.5400,218.6300,221.7100,220.7550,181997,0.0000,1.0000
2018-03-23,221.3300,221.8400,218.1200,219.5400,218.5944,320126,0.0000,1.0000
2018-03-22,222.5400,226.1900,221.1700,221.2400,220.2871,194138,0.0000,1.0000
2018-03-21,223.7700,225.6600,220.9800,223.3700,222.4079,213958,0.0000,1.0000
2018-03-20,223.3100,229.8400,223.3100,224.2200,223.2542,266127,0.0000,1.0000
2018-03-19,224.4500,226.6300,220.4100,222.7500,221.7906,164875,0.0000,1.0000
2018-03-16,224.4600,226.6650,223.4500,224.5900,223.6226,251017,0.0000,1.0000
2018-03-15,223.7800,225.3850,221.9400,224.0900,223.1248,203681,0.0000,1.0000
2018-03-14,224.1800,224.9700,219.9300,223.5700,222.6070,158049,0.0000,1.0000
2018-03-13,223.7700,227.0600,223.7700,223.9700,223.0053,472377,0.0000,1.0000
2018-03-12,219.4300,223.6200,218.2000,223.1500,222.1888,225482,0.0000,1.0000
2018-03-09,218.0000,221.2500,216.4500,218.8800,217.9372,180574,0.0000,1.0000
2018-03-08,212.9900,218.3300,212.2000,216.7300,215.7965,223436,0.0000,1.0000
2018-03-07,210.0000,213.4100,208.1050,212.4800,211.5648,296830,0.0000,1.0000
2018-03-06,209.2500,212.5500,208.2600,211.4700,210.5592,285138,0.0000,1.0000
2018-03-05,201.6400,210.2500,200.6000,209.2000,208.2989,337362,0.0000,1.0000
2018-03-02,203.9900,208.4600,200.6200,202.8800,202.0062,484050,0.0000,1.0000
