timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,4.9500,4.9500,4.6000,4.7000,4.7000,417587,0.0000,1.0000
2018-08-13,4.9000,5.1000,4.8500,4.9000,4.9000,252988,0.0000,1.0000
2018-08-10,4.9000,4.9500,4.8000,4.8500,4.8500,218572,0.0000,1.0000
2018-08-09,5.1000,5.1500,4.8500,4.9000,4.9000,483141,0.0000,1.0000
2018-08-08,5.3500,5.3500,4.9500,5.0750,5.0750,877121,0.0000,1.0000
2018-08-07,5.0500,5.2000,4.6750,5.0250,5.0250,1158819,0.0000,1.0000
2018-08-06,5.2000,5.6500,5.2000,5.5000,5.5000,251339,0.0000,1.0000
2018-08-03,5.0000,5.3250,5.0000,5.2000,5.2000,399240,0.0000,1.0000
2018-08-02,5.2500,5.3500,5.0500,5.2000,5.2000,357843,0.0000,1.0000
2018-08-01,5.4000,5.6000,5.1500,5.3000,5.3000,641054,0.0000,1.0000
2018-07-31,5.2000,5.3500,5.0500,5.3000,5.3000,175324,0.0000,1.0000
2018-07-30,5.1000,5.3250,5.0500,5.1500,5.1500,232900,0.0000,1.0000
2018-07-27,5.3500,5.3500,5.0500,5.1000,5.1000,286349,0.0000,1.0000
2018-07-26,5.3000,5.4500,5.2500,5.4000,5.4000,166079,0.0000,1.0000
2018-07-25,5.4000,5.5000,5.0600,5.3500,5.3500,259823,0.0000,1.0000
2018-07-24,5.7500,5.7750,5.4500,5.4500,5.4500,503126,0.0000,1.0000
2018-07-23,5.9500,6.0000,5.6000,5.7500,5.7500,353499,0.0000,1.0000
2018-07-20,5.9500,6.1000,5.9000,5.9500,5.9500,158944,0.0000,1.0000
2018-07-19,6.2000,6.2940,6.0000,6.0500,6.0500,281599,0.0000,1.0000
2018-07-18,6.0500,6.2000,5.9000,6.1500,6.1500,136556,0.0000,1.0000
2018-07-17,6.0000,6.0500,5.8000,6.0000,6.0000,256084,0.0000,1.0000
2018-07-16,6.5000,6.5000,5.8718,6.0500,6.0500,451348,0.0000,1.0000
2018-07-13,6.4500,6.5500,6.3500,6.4500,6.4500,216789,0.0000,1.0000
2018-07-12,6.4500,6.5500,6.3500,6.5000,6.5000,233170,0.0000,1.0000
2018-07-11,6.4000,6.4500,6.3000,6.4000,6.4000,233375,0.0000,1.0000
2018-07-10,6.7500,6.9000,6.3500,6.4500,6.4500,213526,0.0000,1.0000
2018-07-09,6.5000,6.8500,6.2950,6.7500,6.7500,590436,0.0000,1.0000
2018-07-06,6.5500,6.7000,6.4250,6.4500,6.4500,299212,0.0000,1.0000
2018-07-05,6.5500,6.6601,6.4000,6.5500,6.5500,516653,0.0000,1.0000
2018-07-03,6.5000,6.5500,6.2250,6.5000,6.5000,564630,0.0000,1.0000
2018-07-02,6.5500,6.8000,6.2500,6.4500,6.4500,356044,0.0000,1.0000
2018-06-29,6.5500,6.6000,6.2000,6.3500,6.3500,387822,0.0000,1.0000
2018-06-28,6.3500,6.7000,6.3500,6.5000,6.5000,242752,0.0000,1.0000
2018-06-27,6.6500,6.7000,6.2500,6.3500,6.3500,243673,0.0000,1.0000
2018-06-26,6.9500,7.0000,6.5000,6.7000,6.7000,252755,0.0000,1.0000
2018-06-25,7.0000,7.1000,6.7500,6.9000,6.9000,196080,0.0000,1.0000
