timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.4800,0.5000,0.4800,0.5000,0.5000,72375,0.0000,1.0000
2018-08-13,0.5300,0.5300,0.5300,0.5300,0.5300,40000,0.0000,1.0000
2018-08-09,0.4500,0.4500,0.4500,0.4500,0.4500,50000,0.0000,1.0000
2018-08-08,0.4500,0.5500,0.4500,0.4600,0.4600,2200,0.0000,1.0000
2018-07-26,0.5400,0.5400,0.5300,0.5400,0.5400,41600,0.0000,1.0000
2018-07-24,0.5000,0.5000,0.5000,0.5000,0.5000,100,0.0000,1.0000
2018-07-19,0.4600,0.4600,0.4600,0.4600,0.4600,1150,0.0000,1.0000
2018-07-16,0.5200,0.5200,0.5200,0.5200,0.5200,49000,0.0000,1.0000
2018-07-13,0.4900,0.4900,0.4900,0.4900,0.4900,732,0.0000,1.0000
2018-07-12,0.5000,0.5000,0.4900,0.4900,0.4900,500,0.0000,1.0000
2018-07-11,0.5200,0.5200,0.5200,0.5200,0.5200,1000,0.0000,1.0000
2018-06-29,0.4900,0.5200,0.4900,0.5200,0.5200,19662,0.0000,1.0000
2018-06-28,0.4900,0.4900,0.4900,0.4900,0.4900,7613,0.0000,1.0000
2018-06-25,0.4111,0.4800,0.4111,0.4800,0.4800,63600,0.0000,1.0000
2018-06-22,0.4800,0.4800,0.4800,0.4800,0.4800,27000,0.0000,1.0000
2018-06-21,0.4550,0.4875,0.4550,0.4875,0.4875,18310,0.0000,1.0000
2018-06-20,0.5000,0.5000,0.5000,0.5000,0.5000,1000,0.0000,1.0000
2018-06-13,0.5499,0.5499,0.3800,0.4114,0.4114,3284,0.0000,1.0000
2018-06-12,0.5499,0.5499,0.5499,0.5499,0.5499,100,0.0000,1.0000
2018-06-11,0.5123,0.5123,0.5000,0.5000,0.5000,25100,0.0000,1.0000
2018-06-07,0.5100,0.5300,0.5000,0.5299,0.5299,27050,0.0000,1.0000
2018-06-06,0.5248,0.5300,0.5248,0.5300,0.5300,55444,0.0000,1.0000
2018-06-05,0.5000,0.5250,0.5000,0.5250,0.5250,16000,0.0000,1.0000
2018-06-04,0.5000,0.5200,0.5000,0.5200,0.5200,20100,0.0000,1.0000
2018-06-01,0.5000,0.5000,0.5000,0.5000,0.5000,6000,0.0000,1.0000
2018-05-31,0.5000,0.5050,0.5000,0.5000,0.5000,2493,0.0000,1.0000
2018-05-30,0.4732,0.4999,0.4732,0.4999,0.4999,1300,0.0000,1.0000
2018-05-24,0.3700,0.3700,0.3700,0.3700,0.3700,370,0.0000,1.0000
2018-05-23,0.4300,0.4300,0.4300,0.4300,0.4300,51000,0.0000,1.0000
2018-05-21,0.4400,0.4400,0.4300,0.4300,0.4300,2250,0.0000,1.0000
2018-05-18,0.4300,0.4515,0.4300,0.4515,0.4515,40100,0.0000,1.0000
2018-05-15,0.4500,0.4941,0.4500,0.4788,0.4788,118500,0.0000,1.0000
2018-05-11,0.4200,0.4200,0.4200,0.4200,0.4200,6400,0.0000,1.0000
2018-05-10,0.4300,0.4300,0.4300,0.4300,0.4300,2400,0.0000,1.0000
2018-05-09,0.3990,0.4721,0.3990,0.4721,0.4721,41619,0.0000,1.0000
2018-05-08,0.3800,0.3800,0.3800,0.3800,0.3800,770,0.0000,1.0000
2018-05-07,0.3800,0.4000,0.3800,0.4000,0.4000,10976,0.0000,1.0000
2018-05-04,0.4200,0.4200,0.4190,0.4190,0.4190,2141356,0.0000,1.0000
2018-05-03,0.3800,0.4200,0.3800,0.4200,0.4200,100450,0.0000,1.0000
2018-05-02,0.3602,0.3602,0.3602,0.3602,0.3602,530,0.0000,1.0000
2018-04-20,0.4250,0.4300,0.3800,0.4200,0.4200,60930,0.0000,1.0000
2018-04-17,0.3801,0.4000,0.3800,0.4000,0.4000,1320,0.0000,1.0000
2018-04-16,0.3800,0.3800,0.3800,0.3800,0.3800,390,0.0000,1.0000
2018-04-13,0.3800,0.3800,0.3800,0.3800,0.3800,2010,0.0000,1.0000
2018-04-11,0.4300,0.4300,0.4000,0.4000,0.4000,300,0.0000,1.0000
2018-04-10,0.4000,0.4000,0.4000,0.4000,0.4000,400,0.0000,1.0000
2018-04-09,0.3900,0.3900,0.3900,0.3900,0.3900,1820,0.0000,1.0000
2018-04-06,0.3800,0.3800,0.3800,0.3800,0.3800,400,0.0000,1.0000
2018-04-03,0.3800,0.3800,0.3800,0.3800,0.3800,1570,0.0000,1.0000
2018-03-28,0.4400,0.4400,0.4000,0.4000,0.4000,1660,0.0000,1.0000
2018-03-22,0.3900,0.4900,0.3900,0.4626,0.4626,1000,0.0000,1.0000
2018-03-19,0.3530,0.4800,0.3530,0.4800,0.4800,51560,0.0000,1.0000
2018-03-12,0.3100,0.4900,0.3000,0.4900,0.4900,2140,0.0000,1.0000
2018-03-09,0.4939,0.4939,0.4939,0.4939,0.4939,100,0.0000,1.0000
2018-03-08,0.3200,0.4886,0.3000,0.4499,0.4499,1290,0.0000,1.0000
2018-03-06,0.3510,0.4200,0.3401,0.4200,0.4200,164229,0.0000,1.0000
2018-03-05,0.3401,0.3600,0.3401,0.3600,0.3600,50221,0.0000,1.0000
2018-03-02,0.3500,0.3500,0.3200,0.3500,0.3500,51610,0.0000,1.0000
2018-03-01,0.3100,0.3500,0.3000,0.3500,0.3500,16710,0.0000,1.0000
2018-02-26,0.3500,0.3500,0.3001,0.3301,0.3301,21541,0.0000,1.0000
2018-02-21,0.3800,0.3800,0.3501,0.3501,0.3501,1500510,0.0000,1.0000
2018-02-14,0.4100,0.4200,0.3800,0.3800,0.3800,18300,0.0000,1.0000
2018-02-12,0.3501,0.3800,0.3500,0.3800,0.3800,20800,0.0000,1.0000
2018-02-07,0.3600,0.4900,0.3500,0.4900,0.4900,611,0.0000,1.0000
2018-02-06,0.4600,0.4940,0.3501,0.4940,0.4940,871,0.0000,1.0000
2018-02-01,0.4500,0.4940,0.4000,0.4600,0.4600,350622,0.0000,1.0000
2018-01-31,0.4001,0.4001,0.4000,0.4000,0.4000,2090,0.0000,1.0000
2018-01-26,0.4001,0.4001,0.4001,0.4001,0.4001,350,0.0000,1.0000
2018-01-24,0.3700,0.3700,0.3700,0.3700,0.3700,356,0.0000,1.0000
2018-01-23,0.3701,0.3701,0.3701,0.3701,0.3701,780,0.0000,1.0000
2018-01-22,0.3701,0.3701,0.3701,0.3701,0.3701,1110,0.0000,1.0000
2018-01-19,0.4250,0.4250,0.4250,0.4250,0.4250,750,0.0000,1.0000
2018-01-18,0.4100,0.4100,0.4100,0.4100,0.4100,600,0.0000,1.0000
2018-01-17,0.4100,0.4100,0.4100,0.4100,0.4100,810,0.0000,1.0000
2018-01-12,0.3701,0.3701,0.3701,0.3701,0.3701,660,0.0000,1.0000
2018-01-11,0.3701,0.3701,0.3700,0.3700,0.3700,4400,0.0000,1.0000
2018-01-09,0.4000,0.4001,0.4000,0.4000,0.4000,12000,0.0000,1.0000
2018-01-08,0.3701,0.3701,0.3701,0.3701,0.3701,760,0.0000,1.0000
2018-01-05,0.3850,0.4500,0.3850,0.4500,0.4500,1361,0.0000,1.0000
2018-01-04,0.3701,0.3701,0.3701,0.3701,0.3701,3880,0.0000,1.0000
2018-01-02,0.3700,0.4000,0.3700,0.4000,0.4000,600,0.0000,1.0000
2017-12-29,0.4000,0.5000,0.3900,0.3900,0.3900,73700,0.0000,1.0000
2017-12-28,0.4280,0.4280,0.4280,0.4280,0.4280,100,0.0000,1.0000
2017-12-27,0.3900,0.3900,0.3900,0.3900,0.3900,10000,0.0000,1.0000
2017-12-26,0.4200,0.4200,0.3900,0.3900,0.3900,7400,0.0000,1.0000
2017-12-20,0.4000,0.4300,0.3900,0.4100,0.4100,11800,0.0000,1.0000
2017-12-18,0.4000,0.4000,0.4000,0.4000,0.4000,18000,0.0000,1.0000
