timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,3.8000,3.9535,3.2000,3.2000,3.2000,107159,0.0000,1.0000
2018-08-13,3.7000,3.8800,3.3300,3.8800,3.8800,117367,0.0000,1.0000
2018-08-10,3.6000,3.7900,3.5200,3.6950,3.6950,150155,0.0000,1.0000
2018-08-09,3.4500,3.5823,3.3768,3.5800,3.5800,130188,0.0000,1.0000
2018-08-08,3.6000,3.6000,3.3110,3.3760,3.3760,12181,0.0000,1.0000
2018-08-07,3.2547,3.5000,3.2547,3.5000,3.5000,23658,0.0000,1.0000
2018-08-06,3.2500,3.2500,3.2500,3.2500,3.2500,0,0.0000,1.0000
2018-08-03,3.3200,3.3300,3.2500,3.2500,3.2500,12800,0.0000,1.0000
2018-08-02,3.2000,3.2500,3.1800,3.2500,3.2500,750,0.0000,1.0000
2018-08-01,3.5300,3.5300,3.3076,3.3500,3.3500,4006,0.0000,1.0000
2018-07-31,3.0900,3.3000,3.0700,3.3000,3.3000,6420,0.0000,1.0000
2018-07-30,3.3300,3.3300,3.1680,3.2100,3.2100,12782,0.0000,1.0000
2018-07-27,3.3200,3.3500,3.2100,3.3200,3.3200,5010,0.0000,1.0000
2018-07-26,3.4800,3.4800,3.3200,3.3200,3.3200,1766,0.0000,1.0000
2018-07-25,3.4700,3.5000,3.2550,3.5000,3.5000,15478,0.0000,1.0000
2018-07-24,3.3652,3.4300,3.3401,3.4000,3.4000,20152,0.0000,1.0000
2018-07-23,3.4900,3.4900,3.2600,3.3500,3.3500,9225,0.0000,1.0000
2018-07-20,3.3926,3.4000,3.2683,3.3800,3.3800,15292,0.0000,1.0000
2018-07-19,3.4026,3.4026,3.2494,3.2700,3.2700,8555,0.0000,1.0000
2018-07-18,3.1800,3.4000,3.1800,3.2500,3.2500,79366,0.0000,1.0000
2018-07-17,2.9800,3.0600,2.9800,3.0500,3.0500,10900,0.0000,1.0000
2018-07-16,3.0000,3.0000,2.8500,2.8500,2.8500,13128,0.0000,1.0000
2018-07-13,3.0111,3.0111,2.9250,2.9500,2.9500,4450,0.0000,1.0000
2018-07-12,2.9500,3.1690,2.8800,3.0300,3.0300,39790,0.0000,1.0000
2018-07-11,2.8102,2.9600,2.7510,2.9000,2.9000,64115,0.0000,1.0000
2018-07-10,2.8200,2.8400,2.6870,2.8400,2.8400,27200,0.0000,1.0000
2018-07-09,2.7300,2.8600,2.7300,2.8500,2.8500,77060,0.0000,1.0000
2018-07-06,2.7900,2.8399,2.7100,2.7748,2.7748,52250,0.0000,1.0000
2018-07-05,2.8110,2.8700,2.8000,2.8000,2.8000,19100,0.0000,1.0000
2018-07-03,2.7860,2.8300,2.7300,2.8300,2.8300,6300,0.0000,1.0000
2018-07-02,2.7774,2.7774,2.7774,2.7774,2.7774,200,0.0000,1.0000
2018-06-29,2.7346,2.8500,2.7100,2.7700,2.7700,27055,0.0000,1.0000
2018-06-28,2.7500,2.8500,2.7000,2.7373,2.7373,20600,0.0000,1.0000
2018-06-27,2.8200,2.8860,2.8179,2.8179,2.8179,40813,0.0000,1.0000
2018-06-26,2.7800,2.8572,2.7800,2.8352,2.8352,12310,0.0000,1.0000
2018-06-25,2.8000,2.8000,2.7101,2.7600,2.7600,3229,0.0000,1.0000
2018-06-22,2.6542,2.8150,2.6500,2.8150,2.8150,39744,0.0000,1.0000
2018-06-21,2.8000,2.8300,2.6800,2.7300,2.7300,56034,0.0000,1.0000
2018-06-20,2.9300,2.9300,2.8300,2.9100,2.9100,37922,0.0000,1.0000
2018-06-19,3.2500,3.2500,2.8500,2.8800,2.8800,48050,0.0000,1.0000
2018-06-18,2.8800,3.2500,2.8800,3.2500,3.2500,85674,0.0000,1.0000
2018-06-15,2.9300,3.1237,2.9300,3.0600,3.0600,21469,0.0000,1.0000
2018-06-14,3.0600,3.1335,3.0200,3.0380,3.0380,27450,0.0000,1.0000
2018-06-13,3.1900,3.2000,3.0636,3.0800,3.0800,28800,0.0000,1.0000
2018-06-12,2.8549,3.1047,2.8500,3.0501,3.0501,70575,0.0000,1.0000
2018-06-11,3.0047,3.0047,2.8164,2.9430,2.9430,15659,0.0000,1.0000
2018-06-08,2.9607,2.9607,2.8300,2.9000,2.9000,25850,0.0000,1.0000
2018-06-07,2.8053,2.8741,2.7400,2.8341,2.8341,26930,0.0000,1.0000
2018-06-06,2.7500,2.8500,2.6800,2.7784,2.7784,15840,0.0000,1.0000
2018-06-05,2.6271,2.8700,2.6271,2.7800,2.7800,66817,0.0000,1.0000
2018-06-04,2.5000,2.6271,2.5000,2.6271,2.6271,20890,0.0000,1.0000
2018-06-01,2.5000,2.5773,2.5000,2.5300,2.5300,2970,0.0000,1.0000
2018-05-31,2.5300,2.6255,2.5300,2.5862,2.5862,5577,0.0000,1.0000
2018-05-30,2.5829,2.6654,2.5829,2.6063,2.6063,3897,0.0000,1.0000
2018-05-29,2.6227,2.7599,2.5500,2.6190,2.6190,24971,0.0000,1.0000
2018-05-25,2.6902,2.7763,2.6600,2.7600,2.7600,8268,0.0000,1.0000
2018-05-24,2.7000,2.7700,2.6600,2.7563,2.7563,16564,0.0000,1.0000
2018-05-23,2.3200,2.7400,2.3200,2.6700,2.6700,78817,0.0000,1.0000
2018-05-22,2.6200,2.7700,2.3401,2.4500,2.4500,157473,0.0000,1.0000
2018-05-21,2.9300,2.9300,2.5100,2.7100,2.7100,61571,0.0000,1.0000
2018-05-18,2.5000,2.5000,2.3700,2.4400,2.4400,38150,0.0000,1.0000
2018-05-17,2.5500,2.5500,2.4500,2.4762,2.4762,51937,0.0000,1.0000
2018-05-16,2.5900,2.6200,2.5075,2.5200,2.5200,43445,0.0000,1.0000
2018-05-15,2.7700,2.7700,2.5200,2.5700,2.5700,56380,0.0000,1.0000
2018-05-14,2.8500,2.9890,2.7700,2.7700,2.7700,136576,0.0000,1.0000
2018-05-11,2.7000,2.8462,2.4310,2.7429,2.7429,220047,0.0000,1.0000
2018-05-10,2.2500,2.5000,2.2500,2.4800,2.4800,5642,0.0000,1.0000
2018-05-09,2.4900,2.4900,2.2100,2.2600,2.2600,12503,0.0000,1.0000
2018-05-08,2.5700,2.5700,2.4200,2.4200,2.4200,36460,0.0000,1.0000
2018-05-07,2.6675,2.7000,2.6675,2.6800,2.6800,6915,0.0000,1.0000
2018-05-04,2.6500,2.7000,2.6500,2.6630,2.6630,8125,0.0000,1.0000
2018-05-03,2.6000,2.6227,2.6000,2.6000,2.6000,15380,0.0000,1.0000
2018-05-02,2.6570,2.6570,2.5610,2.6300,2.6300,3877,0.0000,1.0000
2018-05-01,2.6800,2.6800,2.6200,2.6500,2.6500,21925,0.0000,1.0000
2018-04-30,2.8399,2.8399,2.7230,2.7230,2.7230,6626,0.0000,1.0000
2018-04-27,2.7000,2.9500,2.6868,2.9499,2.9499,13144,0.0000,1.0000
2018-04-26,2.6200,2.7200,2.6100,2.7200,2.7200,19457,0.0000,1.0000
2018-04-25,2.7000,2.7500,2.6100,2.6100,2.6100,42265,0.0000,1.0000
2018-04-24,2.8000,2.9600,2.8000,2.9400,2.9400,39301,0.0000,1.0000
2018-04-23,2.8200,2.8200,2.7100,2.7900,2.7900,9341,0.0000,1.0000
2018-04-20,2.5000,2.8432,2.5000,2.8432,2.8432,31750,0.0000,1.0000
2018-04-19,3.0648,3.0648,2.8412,2.8800,2.8800,8500,0.0000,1.0000
2018-04-18,3.4000,3.5000,3.0700,3.1700,3.1700,4049,0.0000,1.0000
2018-04-17,3.2500,3.4150,3.2500,3.3700,3.3700,15399,0.0000,1.0000
2018-04-16,2.9100,3.2289,2.8600,3.1930,3.1930,13015,0.0000,1.0000
2018-04-13,2.7980,2.8060,2.6500,2.7996,2.7996,5900,0.0000,1.0000
2018-04-12,2.7395,2.8000,2.7395,2.7500,2.7500,3500,0.0000,1.0000
2018-04-11,2.6000,2.6000,2.5460,2.5900,2.5900,2200,0.0000,1.0000
2018-04-10,2.6600,2.6600,2.6400,2.6404,2.6404,400,0.0000,1.0000
2018-04-09,2.7148,2.8300,2.7020,2.7100,2.7100,6550,0.0000,1.0000
2018-04-06,2.7849,2.8951,2.7849,2.8296,2.8296,3600,0.0000,1.0000
2018-04-05,2.6785,2.7700,2.6559,2.7700,2.7700,6500,0.0000,1.0000
2018-04-04,2.7331,2.7699,2.5900,2.6260,2.6260,18551,0.0000,1.0000
2018-04-03,2.8898,2.8898,2.7999,2.8200,2.8200,450,0.0000,1.0000
