timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,0.7000,0.7100,0.6000,0.6950,0.6950,62363,0.0000,1.0000
2018-08-13,0.6000,0.7800,0.6000,0.7800,0.7800,15500,0.0000,1.0000
2018-07-26,0.6000,0.6400,0.6000,0.6400,0.6400,200425,0.0000,1.0000
2018-07-24,0.6200,0.6263,0.6200,0.6263,0.6263,6500,0.0000,1.0000
2018-07-23,0.6400,0.6432,0.6400,0.6400,0.6400,9000,0.0000,1.0000
2018-07-20,0.6400,0.6400,0.6400,0.6400,0.6400,100,0.0000,1.0000
2018-07-18,0.6100,0.6100,0.6000,0.6000,0.6000,11800,0.0000,1.0000
2018-07-17,0.6500,0.6500,0.6400,0.6400,0.6400,3100,0.0000,1.0000
2018-07-10,0.6100,0.6100,0.6100,0.6100,0.6100,100,0.0000,1.0000
2018-07-05,0.6400,0.6600,0.6400,0.6430,0.6430,19761,0.0000,1.0000
2018-07-02,0.6500,0.6650,0.6280,0.6400,0.6400,55639,0.0000,1.0000
2018-06-29,0.6400,0.6400,0.6399,0.6400,0.6400,7000,0.0000,1.0000
2018-06-28,0.6000,0.6000,0.6000,0.6000,0.6000,100,0.0000,1.0000
2018-06-27,0.6200,0.6450,0.6000,0.6100,0.6100,721800,0.0000,1.0000
2018-06-21,0.6300,0.6300,0.6300,0.6300,0.6300,600,0.0000,1.0000
2018-06-20,0.6400,0.6400,0.6400,0.6400,0.6400,10000,0.0000,1.0000
2018-06-14,0.6400,0.6400,0.6400,0.6400,0.6400,1000,0.0000,1.0000
2018-06-13,0.6400,0.6400,0.6400,0.6400,0.6400,776000,0.0000,1.0000
2018-06-11,0.6500,0.6500,0.6500,0.6500,0.6500,250000,0.0000,1.0000
2018-06-05,0.6500,0.6500,0.6200,0.6500,0.6500,700,0.0000,1.0000
2018-05-30,0.6500,0.6500,0.6500,0.6500,0.6500,100,0.0000,1.0000
2018-05-29,0.6400,0.8450,0.6400,0.6400,0.6400,334700,0.0000,1.0000
2018-05-25,0.6500,0.6500,0.6400,0.6400,0.6400,200,0.0000,1.0000
2018-05-23,0.6400,0.6400,0.6300,0.6300,0.6300,5300,0.0000,1.0000
2018-05-21,0.6400,0.6400,0.6400,0.6400,0.6400,5600,0.0000,1.0000
2018-05-18,0.6900,0.6900,0.6900,0.6900,0.6900,100,0.0000,1.0000
2018-05-14,0.6500,0.6500,0.6200,0.6500,0.6500,8900,0.0000,1.0000
2018-05-10,0.6200,0.6200,0.6200,0.6200,0.6200,50000,0.0000,1.0000
2018-05-09,0.6500,0.6500,0.6500,0.6500,0.6500,60,0.0000,1.0000
2018-05-08,0.5550,0.6500,0.5550,0.6500,0.6500,14168,0.0000,1.0000
2018-05-07,0.6500,0.6500,0.6500,0.6500,0.6500,39900,0.0000,1.0000
2018-05-04,0.6500,0.6500,0.6500,0.6500,0.6500,500000,0.0000,1.0000
2018-05-03,0.6500,0.6500,0.6500,0.6500,0.6500,859100,0.0000,1.0000
2018-05-02,0.9000,0.9042,0.6300,0.6641,0.6641,1200,0.0000,1.0000
2018-04-30,0.6400,0.6400,0.6039,0.6100,0.6100,48810,0.0000,1.0000
2018-04-27,0.6300,0.6300,0.6300,0.6300,0.6300,5000,0.0000,1.0000
2018-04-26,0.6400,0.6500,0.6200,0.6200,0.6200,355500,0.0000,1.0000
2018-04-25,0.6300,0.6500,0.6300,0.6500,0.6500,161675,0.0000,1.0000
2018-04-19,0.6500,0.6500,0.6470,0.6470,0.6470,2500,0.0000,1.0000
2018-04-18,0.6500,0.6500,0.6500,0.6500,0.6500,108500,0.0000,1.0000
2018-04-17,0.6500,0.6500,0.6467,0.6467,0.6467,52500,0.0000,1.0000
2018-04-16,0.6500,0.6500,0.6500,0.6500,0.6500,110250,0.0000,1.0000
2018-04-13,0.6500,0.6500,0.6250,0.6400,0.6400,445500,0.0000,1.0000
2018-04-11,0.6600,0.6600,0.6200,0.6400,0.6400,240000,0.0000,1.0000
2018-04-04,0.6250,0.6500,0.6250,0.6500,0.6500,60100,0.0000,1.0000
2018-03-28,0.7500,1.5000,0.6500,0.6500,0.6500,1100,0.0000,1.0000
2018-03-21,0.6400,0.7000,0.6400,0.6400,0.6400,261825,0.0000,1.0000
2018-03-20,0.7000,0.7000,0.6999,0.6999,0.6999,400,0.0000,1.0000
2018-03-19,0.6200,0.6200,0.6000,0.6000,0.6000,106700,0.0000,1.0000
2018-03-16,0.6000,0.6600,0.6000,0.6000,0.6000,85100,0.0000,1.0000
2018-03-15,0.6000,0.6600,0.6000,0.6175,0.6175,17500,0.0000,1.0000
2018-03-14,0.5600,0.6600,0.5600,0.6486,0.6486,13900,0.0000,1.0000
2018-03-13,0.6700,0.6700,0.6502,0.6600,0.6600,47500,0.0000,1.0000
2018-03-12,0.6600,0.7200,0.6500,0.6500,0.6500,2475000,0.0000,1.0000
