timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,1.3800,1.3899,1.2800,1.3100,1.3100,50995,0.0000,1.0000
2018-08-13,1.4000,1.4495,1.3500,1.3600,1.3600,66081,0.0000,1.0000
2018-08-10,1.4300,1.4300,1.2600,1.3100,1.3100,56546,0.0000,1.0000
2018-08-09,1.3000,1.4100,1.2300,1.4000,1.4000,119966,0.0000,1.0000
2018-08-08,1.2000,1.3100,1.1600,1.2500,1.2500,94966,0.0000,1.0000
2018-08-07,1.2500,1.2899,1.1900,1.2100,1.2100,76859,0.0000,1.0000
2018-08-06,1.3400,1.4086,1.2210,1.2500,1.2500,213933,0.0000,1.0000
2018-08-03,1.4100,1.4753,1.3500,1.3500,1.3500,120800,0.0000,1.0000
2018-08-02,1.3900,1.4700,1.2400,1.4000,1.4000,538746,0.0000,1.0000
2018-08-01,1.4300,1.4508,1.3100,1.3700,1.3700,184507,0.0000,1.0000
2018-07-31,1.8300,1.8300,1.4080,1.4500,1.4500,716646,0.0000,1.0000
2018-07-30,1.7100,2.7800,1.6061,1.8600,1.8600,15869207,0.0000,1.0000
2018-07-27,1.4020,1.4100,1.3300,1.3900,1.3900,36947,0.0000,1.0000
2018-07-26,1.3600,1.3800,1.3000,1.3400,1.3400,16771,0.0000,1.0000
2018-07-25,1.4000,1.4100,1.3500,1.3500,1.3500,29093,0.0000,1.0000
2018-07-24,1.5300,1.5300,1.3501,1.3800,1.3800,67374,0.0000,1.0000
2018-07-23,1.5500,1.5500,1.4400,1.5300,1.5300,56337,0.0000,1.0000
2018-07-20,1.6100,1.6100,1.5010,1.5200,1.5200,37981,0.0000,1.0000
2018-07-19,1.6500,1.6694,1.6100,1.6100,1.6100,32364,0.0000,1.0000
2018-07-18,1.7150,1.7150,1.6300,1.7000,1.7000,31780,0.0000,1.0000
2018-07-17,1.7100,1.7600,1.5101,1.7500,1.7500,48567,0.0000,1.0000
2018-07-16,1.7100,1.8199,1.7000,1.7146,1.7146,89599,0.0000,1.0000
2018-07-13,1.5900,1.6898,1.5900,1.6500,1.6500,53383,0.0000,1.0000
2018-07-12,1.7400,1.7802,1.5700,1.6000,1.6000,117856,0.0000,1.0000
2018-07-11,1.7900,2.0200,1.7300,1.7400,1.7400,280873,0.0000,1.0000
2018-07-10,1.7900,1.8590,1.7800,1.8200,1.8200,64215,0.0000,1.0000
2018-07-09,1.9800,1.9920,1.7600,1.8100,1.8100,64132,0.0000,1.0000
2018-07-06,1.9200,2.0201,1.9000,1.9000,1.9000,27595,0.0000,1.0000
2018-07-05,2.0900,2.2100,1.9900,2.0000,2.0000,63281,0.0000,1.0000
2018-07-03,1.9900,2.0900,1.9900,2.0799,2.0799,13723,0.0000,1.0000
2018-07-02,1.9000,2.1200,1.9000,1.9300,1.9300,23261,0.0000,1.0000
2018-06-29,1.7500,1.8500,1.7500,1.8200,1.8200,19963,0.0000,1.0000
2018-06-28,2.0200,2.2000,1.7300,1.7300,1.7300,70013,0.0000,1.0000
2018-06-27,1.8000,1.9300,1.7800,1.8000,1.8000,54073,0.0000,1.0000
2018-06-26,1.7900,1.8600,1.7300,1.8000,1.8000,46794,0.0000,1.0000
2018-06-25,2.0500,2.1200,1.7420,1.8000,1.8000,99057,0.0000,1.0000
2018-06-22,2.1500,2.1500,2.0200,2.0500,2.0500,19984,0.0000,1.0000
2018-06-21,2.1500,2.1847,2.0600,2.1264,2.1264,133344,0.0000,1.0000
2018-06-20,2.1801,2.2100,2.1500,2.1500,2.1500,8913,0.0000,1.0000
2018-06-19,2.1600,2.2452,2.1600,2.1800,2.1800,32302,0.0000,1.0000
2018-06-18,2.2400,2.2400,2.1500,2.1700,2.1700,26345,0.0000,1.0000
2018-06-15,2.1500,2.2646,2.1500,2.2400,2.2400,39092,0.0000,1.0000
2018-06-14,2.1500,2.2900,2.1500,2.1700,2.1700,36541,0.0000,1.0000
2018-06-13,2.1600,2.3300,2.1600,2.1700,2.1700,51725,0.0000,1.0000
2018-06-12,2.3700,2.4455,2.1347,2.2400,2.2400,84568,0.0000,1.0000
2018-06-11,2.3800,2.4888,2.2500,2.3500,2.3500,73978,0.0000,1.0000
2018-06-08,2.5400,2.6963,2.3000,2.4000,2.4000,202293,0.0000,1.0000
2018-06-07,2.5300,2.6000,2.5004,2.5600,2.5600,26196,0.0000,1.0000
2018-06-06,2.5100,2.6300,2.5100,2.5500,2.5500,27032,0.0000,1.0000
2018-06-05,2.5400,2.6413,2.4622,2.5000,2.5000,42826,0.0000,1.0000
2018-06-04,2.4500,2.7343,2.4500,2.5400,2.5400,74463,0.0000,1.0000
2018-06-01,2.5900,2.6290,2.4500,2.4500,2.4500,80740,0.0000,1.0000
2018-05-31,2.6600,2.6700,2.5500,2.6100,2.6100,53545,0.0000,1.0000
2018-05-30,2.6700,2.8690,2.6110,2.6600,2.6600,157950,0.0000,1.0000
2018-05-29,2.2500,2.8199,2.2400,2.5500,2.5500,559245,0.0000,1.0000
2018-05-25,2.2700,2.3200,2.2400,2.2700,2.2700,222345,0.0000,1.0000
2018-05-24,2.2600,2.4799,2.2000,2.2300,2.2300,121786,0.0000,1.0000
2018-05-23,2.4300,2.5000,2.2000,2.2900,2.2900,382640,0.0000,1.0000
2018-05-22,3.1400,3.2000,2.4900,2.5800,2.5800,348831,0.0000,1.0000
2018-05-21,3.4000,3.6000,3.0000,3.1600,3.1600,266360,0.0000,1.0000
2018-05-18,3.3200,3.6600,3.2100,3.3200,3.3200,256222,0.0000,1.0000
2018-05-17,3.0000,3.4300,2.9100,3.2000,3.2000,196988,0.0000,1.0000
2018-05-16,3.0700,3.4392,2.9300,2.9800,2.9800,273790,0.0000,1.0000
2018-05-15,3.3500,4.0800,3.0300,3.1800,3.1800,1674254,0.0000,1.0000
2018-05-14,2.8600,3.2000,2.8600,3.1600,3.1600,527864,0.0000,1.0000
2018-05-11,2.5500,2.8900,2.4010,2.8600,2.8600,396537,0.0000,1.0000
2018-05-10,2.2600,2.5600,2.2500,2.4800,2.4800,262032,0.0000,1.0000
2018-05-09,2.2400,2.2500,2.1100,2.2100,2.2100,81905,0.0000,1.0000
2018-05-08,2.1300,2.2900,2.0200,2.2200,2.2200,56648,0.0000,1.0000
2018-05-07,2.1000,2.1700,2.0100,2.1500,2.1500,127732,0.0000,1.0000
2018-05-04,2.0700,2.1700,2.0106,2.0599,2.0599,39416,0.0000,1.0000
2018-05-03,2.1700,2.1700,2.0600,2.1000,2.1000,73950,0.0000,1.0000
2018-05-02,2.1700,2.2500,2.0278,2.1800,2.1800,49008,0.0000,1.0000
2018-05-01,2.1000,2.1900,2.0010,2.1900,2.1900,86989,0.0000,1.0000
2018-04-30,2.0815,2.5000,2.0500,2.0900,2.0900,767776,0.0000,1.0000
2018-04-27,2.0500,2.0800,2.0000,2.0608,2.0608,41822,0.0000,1.0000
2018-04-26,2.1000,2.2000,2.0300,2.0300,2.0300,75689,0.0000,1.0000
2018-04-25,2.2200,2.2500,2.0300,2.1400,2.1400,147085,0.0000,1.0000
2018-04-24,2.3000,2.3090,2.1798,2.2666,2.2666,188480,0.0000,1.0000
2018-04-23,2.2500,2.3600,2.1500,2.2500,2.2500,181923,0.0000,1.0000
2018-04-20,2.0800,2.2700,2.0300,2.2111,2.2111,138803,0.0000,1.0000
2018-04-19,2.0000,2.2499,1.9210,2.1000,2.1000,205024,0.0000,1.0000
2018-04-18,2.0800,2.0800,1.8200,2.0200,2.0200,58673,0.0000,1.0000
2018-04-17,2.0500,2.1500,1.9800,2.0600,2.0600,287316,0.0000,1.0000
2018-04-16,1.8800,2.1500,1.7011,1.9900,1.9900,503983,0.0000,1.0000
2018-04-13,1.7700,2.4500,1.7700,1.8800,1.8800,1552425,0.0000,1.0000
