timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,4.6600,4.9799,4.5330,4.7500,4.7500,19278,0.0000,1.0000
2018-08-13,4.6900,4.6900,4.6900,4.6900,4.6900,2027,0.0000,1.0000
2018-08-10,4.4289,4.6900,4.4289,4.6300,4.6300,400,0.0000,1.0000
2018-08-09,4.6300,4.6500,4.6100,4.6500,4.6500,1230,0.0000,1.0000
2018-08-08,4.6000,4.6000,4.6000,4.6000,4.6000,28,0.0000,1.0000
2018-08-07,4.6100,4.6100,4.5700,4.6000,4.6000,900,0.0000,1.0000
2018-08-06,4.8067,4.8590,4.6000,4.7300,4.7300,4782,0.0000,1.0000
2018-08-03,4.7250,4.7500,4.4500,4.6226,4.6226,11787,0.0000,1.0000
2018-08-02,4.5400,4.6900,4.4600,4.5800,4.5800,7985,0.0000,1.0000
2018-08-01,4.5200,4.6400,4.4500,4.5300,4.5300,3669,0.0000,1.0000
2018-07-31,4.3803,4.8652,4.3803,4.6600,4.6600,10160,0.0000,1.0000
2018-07-30,4.4100,4.4120,4.4000,4.4091,4.4091,13326,0.0000,1.0000
2018-07-27,4.5300,4.5689,4.5000,4.5200,4.5200,19998,0.0000,1.0000
2018-07-26,4.4947,4.6566,4.3600,4.6566,4.6566,2633,0.0000,1.0000
2018-07-25,4.6103,4.6903,4.3700,4.5393,4.5393,9177,0.0000,1.0000
2018-07-24,4.7500,4.8000,4.1600,4.4197,4.4197,38646,0.0000,1.0000
2018-07-23,4.5000,4.5000,4.5000,4.5000,4.5000,0,0.0000,1.0000
2018-07-20,4.4301,4.5200,4.4301,4.5000,4.5000,3592,0.0000,1.0000
2018-07-19,4.6500,4.6500,4.6500,4.6500,4.6500,0,0.0000,1.0000
2018-07-18,4.6800,4.7200,4.5225,4.6500,4.6500,15326,0.0000,1.0000
2018-07-17,4.4800,4.6937,4.2300,4.5000,4.5000,11194,0.0000,1.0000
2018-07-16,4.5400,4.5400,4.5400,4.5400,4.5400,204,0.0000,1.0000
2018-07-13,4.6400,4.6400,4.6400,4.6400,4.6400,25,0.0000,1.0000
2018-07-12,4.6400,4.6400,4.6400,4.6400,4.6400,0,0.0000,1.0000
2018-07-11,4.6500,4.7300,4.5300,4.6400,4.6400,11560,0.0000,1.0000
2018-07-10,4.6000,4.6600,4.5135,4.6600,4.6600,7961,0.0000,1.0000
2018-07-09,4.5690,4.7900,4.5220,4.7900,4.7900,7713,0.0000,1.0000
2018-07-06,4.5500,4.8000,4.5500,4.6800,4.6800,14768,0.0000,1.0000
2018-07-05,4.5400,4.6800,4.5400,4.6400,4.6400,11237,0.0000,1.0000
2018-07-03,4.5500,4.6774,4.4898,4.6000,4.6000,7874,0.0000,1.0000
2018-07-02,4.7750,4.9800,4.5600,4.5600,4.5600,20833,0.0000,1.0000
2018-06-29,4.8200,4.8500,4.7500,4.7900,4.7900,9450,0.0000,1.0000
2018-06-28,4.8100,4.8500,4.7500,4.8500,4.8500,2235,0.0000,1.0000
2018-06-27,4.6600,4.6800,4.6600,4.6800,4.6800,2620,0.0000,1.0000
2018-06-26,4.5000,4.7700,4.4000,4.6000,4.6000,18202,0.0000,1.0000
2018-06-25,4.5900,4.6000,4.4655,4.4655,4.4655,1030,0.0000,1.0000
2018-06-22,4.3300,4.8000,4.3300,4.7000,4.7000,24768,0.0000,1.0000
2018-06-21,4.1700,4.2000,4.1600,4.2000,4.2000,603,0.0000,1.0000
2018-06-20,4.2000,4.2780,4.2000,4.2780,4.2780,1536,0.0000,1.0000
2018-06-19,4.2800,4.3300,4.1665,4.2500,4.2500,5779,0.0000,1.0000
2018-06-18,4.3700,4.5700,4.2800,4.2800,4.2800,4510,0.0000,1.0000
2018-06-15,4.6000,4.6900,4.4800,4.4800,4.4800,4774,0.0000,1.0000
2018-06-14,4.6800,4.7200,4.5000,4.6000,4.6000,4134,0.0000,1.0000
2018-06-13,5.0000,5.0000,4.3490,4.6900,4.6900,42992,0.0000,1.0000
2018-06-12,4.4100,5.0000,3.9800,5.0000,5.0000,42137,0.0000,1.0000
2018-06-11,4.6300,4.6400,3.7500,4.2400,4.2400,11214,0.0000,1.0000
2018-06-08,4.7501,4.8108,4.5100,4.5100,4.5100,16177,0.0000,1.0000
2018-06-07,4.6500,4.9499,4.5000,4.5100,4.5100,24595,0.0000,1.0000
2018-06-06,4.8000,4.8174,4.6200,4.6500,4.6500,10580,0.0000,1.0000
2018-06-05,4.8700,4.9269,4.6100,4.8000,4.8000,16982,0.0000,1.0000
2018-06-04,4.6500,4.7600,4.6500,4.7600,4.7600,2865,0.0000,1.0000
2018-06-01,4.6500,5.0000,4.6400,4.6500,4.6500,25754,0.0000,1.0000
2018-05-31,4.5500,4.7500,4.4718,4.6700,4.6700,21281,0.0000,1.0000
2018-05-30,4.5500,4.6500,4.5500,4.6100,4.6100,2264,0.0000,1.0000
2018-05-29,4.6500,4.7800,4.6500,4.6500,4.6500,4829,0.0000,1.0000
2018-05-25,4.6400,4.7700,4.6400,4.7000,4.7000,4773,0.0000,1.0000
2018-05-24,4.5570,4.6900,4.5570,4.6400,4.6400,1622,0.0000,1.0000
2018-05-23,4.7000,4.7000,4.6102,4.6900,4.6900,4420,0.0000,1.0000
2018-05-22,4.7000,4.7900,4.4800,4.7800,4.7800,7613,0.0000,1.0000
2018-05-21,4.7000,4.8000,4.6750,4.8000,4.8000,6072,0.0000,1.0000
2018-05-18,4.6000,4.7500,4.6000,4.7100,4.7100,13688,0.0000,1.0000
2018-05-17,4.5300,4.7000,4.5300,4.6000,4.6000,8244,0.0000,1.0000
2018-05-16,4.4400,4.4400,4.4400,4.4400,4.4400,127,0.0000,1.0000
2018-05-15,4.6817,4.6817,4.5567,4.5567,4.5567,620,0.0000,1.0000
2018-05-14,4.5500,4.7000,4.5500,4.6900,4.6900,1116,0.0000,1.0000
2018-05-11,4.6250,4.7500,4.6250,4.7000,4.7000,42624,0.0000,1.0000
2018-05-10,4.6000,4.6200,4.4101,4.6100,4.6100,7542,0.0000,1.0000
2018-05-09,4.3700,4.6100,4.3500,4.5450,4.5450,7888,0.0000,1.0000
2018-05-08,4.5123,4.5300,4.5000,4.5000,4.5000,6144,0.0000,1.0000
2018-05-07,4.4901,4.5800,4.4901,4.5300,4.5300,2650,0.0000,1.0000
