timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,2.1600,2.5800,2.0100,2.5700,2.5700,125080,0.0000,1.0000
2018-08-13,2.0512,2.2750,2.0512,2.2690,2.2690,17355,0.0000,1.0000
2018-08-10,1.9900,2.3300,1.9900,2.3200,2.3200,6025,0.0000,1.0000
2018-08-09,2.2600,2.4500,2.2101,2.3300,2.3300,8336,0.0000,1.0000
2018-08-08,2.3800,2.3800,2.2180,2.3300,2.3300,22169,0.0000,1.0000
2018-08-07,2.2809,2.3749,2.1500,2.3300,2.3300,19727,0.0000,1.0000
2018-08-06,2.4000,2.4700,2.2500,2.3000,2.3000,10792,0.0000,1.0000
2018-08-03,2.4800,2.5000,2.2500,2.4300,2.4300,35800,0.0000,1.0000
2018-08-02,2.4000,2.5800,2.3600,2.4490,2.4490,39751,0.0000,1.0000
2018-08-01,2.3760,2.6520,2.3500,2.3700,2.3700,74178,0.0000,1.0000
2018-07-31,2.4400,2.4900,2.2274,2.4900,2.4900,34524,0.0000,1.0000
2018-07-30,2.4000,2.4700,2.2127,2.3900,2.3900,58549,0.0000,1.0000
2018-07-27,2.2500,2.3700,2.0501,2.3000,2.3000,77583,0.0000,1.0000
2018-07-26,2.0300,2.2400,2.0300,2.2300,2.2300,30174,0.0000,1.0000
2018-07-25,2.0500,2.1446,2.0000,2.0100,2.0100,21929,0.0000,1.0000
2018-07-24,2.0700,2.3476,2.0000,2.1500,2.1500,108039,0.0000,1.0000
2018-07-23,2.0445,2.0746,2.0300,2.0500,2.0500,3477,0.0000,1.0000
2018-07-20,2.1900,2.1900,2.0500,2.0881,2.0881,22076,0.0000,1.0000
2018-07-19,2.1500,2.1500,1.9498,2.1400,2.1400,27104,0.0000,1.0000
2018-07-18,1.9400,2.1800,1.9300,2.0900,2.0900,111802,0.0000,1.0000
2018-07-17,2.0600,2.8800,1.9199,1.9400,1.9400,459889,0.0000,1.0000
2018-07-16,2.2000,2.2080,2.0300,2.0600,2.0600,27777,0.0000,1.0000
2018-07-13,2.3000,2.3400,2.1000,2.2150,2.2150,34861,0.0000,1.0000
2018-07-12,3.0900,3.1100,1.9500,2.3300,2.3300,546361,0.0000,1.0000
2018-07-11,2.4500,2.5400,2.3000,2.4500,2.4500,59303,0.0000,1.0000
2018-07-10,2.4600,2.4600,2.2610,2.3395,2.3395,20129,0.0000,1.0000
2018-07-09,2.2400,2.5080,2.2200,2.3763,2.3763,47398,0.0000,1.0000
2018-07-06,2.7000,2.7900,2.5100,2.6100,2.6100,35569,0.0000,1.0000
2018-07-05,2.7200,2.7200,2.5601,2.6900,2.6900,17573,0.0000,1.0000
2018-07-03,2.5800,2.6890,2.4560,2.6300,2.6300,32460,0.0000,1.0000
2018-07-02,2.6700,2.7500,2.4300,2.4638,2.4638,44117,0.0000,1.0000
2018-06-29,2.8200,2.9862,2.4001,2.5500,2.5500,71417,0.0000,1.0000
2018-06-28,2.6752,2.9900,2.4840,2.8300,2.8300,243136,0.0000,1.0000
2018-06-27,2.5200,2.6800,2.3200,2.5200,2.5200,55146,0.0000,1.0000
2018-06-26,2.5610,2.5800,2.3600,2.4500,2.4500,20707,0.0000,1.0000
2018-06-25,2.6500,2.6901,2.4870,2.5700,2.5700,20288,0.0000,1.0000
2018-06-22,2.4900,2.8900,2.1000,2.6500,2.6500,80044,0.0000,1.0000
2018-06-21,2.5000,2.6030,2.3546,2.5100,2.5100,52389,0.0000,1.0000
2018-06-20,2.5000,2.6000,2.3000,2.4700,2.4700,76668,0.0000,1.0000
2018-06-19,2.6000,2.9890,2.2300,2.4252,2.4252,296051,0.0000,1.0000
2018-06-18,2.2700,2.5000,2.1000,2.4400,2.4400,167738,0.0000,1.0000
2018-06-15,1.8500,2.3500,1.6654,2.2000,2.2000,468844,0.0000,1.0000
2018-06-14,1.7900,1.8500,1.6392,1.8300,1.8300,23273,0.0000,1.0000
2018-06-13,1.6100,1.8365,1.6100,1.7100,1.7100,44262,0.0000,1.0000
2018-06-12,1.6900,1.6900,1.5500,1.6100,1.6100,48450,0.0000,1.0000
2018-06-11,1.7500,1.7939,1.6600,1.7000,1.7000,22803,0.0000,1.0000
